# ticks_per_quarter,256
# meta,0,0,time_signature,4/4
# meta,0,0,tempo,600000
# meta,1,768,meta_05,O 
# meta,1,1024,meta_05,beau
# meta,1,1408,meta_05,ti
# meta,1,1536,meta_05,ful 
# meta,1,1792,meta_05,for 
# meta,1,2048,meta_05,spa
# meta,1,2432,meta_05,cious 
# meta,1,2560,meta_05,skies, 
# meta,1,2816,meta_05,For 
# meta,1,3072,meta_05,am
# meta,1,3328,meta_05,ber 
# meta,1,3584,meta_05,waves 
# meta,1,3840,meta_05,of 
# meta,1,4096,meta_05,grain, 
# meta,1,4864,meta_05,For 
# meta,1,5120,meta_05,pur
# meta,1,5504,meta_05,ple 
# meta,1,5632,meta_05,moun
# meta,1,5888,meta_05,tain 
# meta,1,6144,meta_05,maj
# meta,1,6528,meta_05,es
# meta,1,6656,meta_05,ties 
# meta,1,6912,meta_05,A
# meta,1,7168,meta_05,bove 
# meta,1,7424,meta_05,the 
# meta,1,7680,meta_05,fruit
# meta,1,7936,meta_05,ed 
# meta,1,8192,meta_05,plain. 
# meta,1,8960,meta_05,A
# meta,1,9216,meta_05,mer
# meta,1,9600,meta_05,i
# meta,1,9728,meta_05,ca! 
# meta,1,9984,meta_05,A
# meta,1,10240,meta_05,mer
# meta,1,10624,meta_05,i
# meta,1,10752,meta_05,ca! 
# meta,1,11008,meta_05,God 
# meta,1,11264,meta_05,shed 
# meta,1,11520,meta_05,His 
# meta,1,11776,meta_05,grace 
# meta,1,12032,meta_05,on 
# meta,1,12288,meta_05,thee, 
# meta,1,13056,meta_05,And 
# meta,1,13312,meta_05,crown 
# meta,1,13696,meta_05,thy 
# meta,1,13824,meta_05,good 
# meta,1,14080,meta_05,with 
# meta,1,14336,meta_05,bro
# meta,1,14720,meta_05,ther
# meta,1,14848,meta_05,hood 
# meta,1,15104,meta_05,From 
# meta,1,15360,meta_05,sea 
# meta,1,15616,meta_05,to 
# meta,1,15872,meta_05,shin
# meta,1,16128,meta_05,ing 
# meta,1,16384,meta_05,sea. 
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,49,C#3,768,1024,256,63,0
1,0,61,C#4,768,1024,256,63,0
1,0,65,F4,768,1024,256,71,0
1,0,68,G#4,768,1024,256,71,0
1,0,49,C#3,1024,1408,384,74,0
1,0,61,C#4,1024,1408,384,74,0
1,0,65,F4,1024,1408,384,76,0
1,0,68,G#4,1024,1408,384,76,0
1,0,49,C#3,1408,1536,128,70,0
1,0,56,G#3,1408,1536,128,70,0
1,0,61,C#4,1408,1536,128,69,0
1,0,65,F4,1408,1536,128,69,0
1,0,49,C#3,1536,1792,256,74,0
1,0,56,G#3,1536,1792,256,74,0
1,0,61,C#4,1536,1792,256,76,0
1,0,65,F4,1536,1792,256,76,0
1,0,44,G#2,1792,2048,256,86,0
1,0,61,C#4,1792,2048,256,86,0
1,0,65,F4,1792,2048,256,82,0
1,0,68,G#4,1792,2048,256,82,0
1,0,51,D#3,2048,2432,384,74,0
1,0,60,C4,2048,2432,384,74,0
1,0,63,D#4,2048,2432,384,77,0
1,0,68,G#4,2048,2432,384,77,0
1,0,51,D#3,2432,2560,128,70,0
1,0,56,G#3,2432,2560,128,70,0
1,0,60,C4,2432,2560,128,69,0
1,0,63,D#4,2432,2560,128,69,0
1,0,51,D#3,2560,2816,256,75,0
1,0,56,G#3,2560,2816,256,75,0
1,0,60,C4,2560,2816,256,75,0
1,0,63,D#4,2560,2816,256,75,0
1,0,44,G#2,2816,3072,256,75,0
1,0,56,G#3,2816,3072,256,75,0
1,0,60,C4,2816,3072,256,83,0
1,0,65,F4,2816,3072,256,83,0
1,0,51,D#3,3072,3328,256,86,0
1,0,60,C4,3072,3328,256,86,0
1,0,63,D#4,3072,3328,256,78,0
1,0,66,F#4,3072,3328,256,78,0
1,0,51,D#3,3328,3584,256,78,0
1,0,60,C4,3328,3584,256,78,0
1,0,63,D#4,3328,3584,256,80,0
1,0,68,G#4,3328,3584,256,80,0
1,0,44,G#2,3584,3840,256,81,0
1,0,63,D#4,3584,3840,256,81,0
1,0,66,F#4,3584,3840,256,76,0
1,0,70,A#4,3584,3840,256,76,0
