# unit,quarterLength
# source,CPDL
# source_page,https://www.cpdl.org/wiki/index.php/America,_the_Beautiful_(Samuel_A._Ward)
# license,Public Domain
source_file,part,chord_index,pitch,note,start_quarter,duration_quarter,end_quarter,tie
"5_America,_the_Beautiful.mxl",P1-Staff1,1,65,F4,0.0,1.0,1.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,0.0,1.0,1.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,0.0,1.0,1.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,61,D-4,0.0,1.0,1.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,65,F4,1.0,1.5,2.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,1.0,1.5,2.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,1.0,1.5,2.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,61,D-4,1.0,1.5,2.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,61,D-4,2.5,0.5,3.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,65,F4,2.5,0.5,3.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,2.5,0.5,3.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,56,A-3,2.5,0.5,3.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,61,D-4,3.0,1.0,4.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,65,F4,3.0,1.0,4.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,3.0,1.0,4.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,56,A-3,3.0,1.0,4.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,65,F4,4.0,1.0,5.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,4.0,1.0,5.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,44,A-2,4.0,1.0,5.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,61,D-4,4.0,1.0,5.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,63,E-4,5.0,1.5,6.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,5.0,1.5,6.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,5.0,1.5,6.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,60,C4,5.0,1.5,6.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,60,C4,6.5,0.5,7.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,63,E-4,6.5,0.5,7.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,6.5,0.5,7.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,56,A-3,6.5,0.5,7.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,60,C4,7.0,1.0,8.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,63,E-4,7.0,1.0,8.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,7.0,1.0,8.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,56,A-3,7.0,1.0,8.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,60,C4,8.0,1.0,9.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,65,F4,8.0,1.0,9.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,44,A-2,8.0,1.0,9.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,56,A-3,8.0,1.0,9.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,63,E-4,9.0,1.0,10.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,66,G-4,9.0,1.0,10.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,9.0,1.0,10.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,60,C4,9.0,1.0,10.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,63,E-4,10.0,1.0,11.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,10.0,1.0,11.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,10.0,1.0,11.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,60,C4,10.0,1.0,11.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,66,G-4,11.0,1.0,12.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,70,B-4,11.0,1.0,12.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,44,A-2,11.0,1.0,12.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,63,E-4,11.0,1.0,12.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,66,G-4,12.0,1.0,13.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,72,C5,12.0,1.0,13.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,44,A-2,12.0,1.0,13.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,63,E-4,12.0,1.0,13.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,65,F4,13.0,2.0,15.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,68,A-4,13.0,3.0,16.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,13.0,1.0,14.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,61,D-4,13.0,1.0,14.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,50,D3,14.0,1.0,15.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,59,B3,14.0,1.0,15.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,66,G-4,15.0,1.0,16.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,51,E-3,15.0,1.0,16.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,60,C4,15.0,1.0,16.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,63,E-4,16.0,1.0,17.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,16.0,1.0,17.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,44,A-2,16.0,1.0,17.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,60,C4,16.0,1.0,17.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,65,F4,17.0,1.5,18.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,68,A-4,17.0,1.5,18.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,17.0,1.5,18.5,
"5_America,_the_Beautiful.mxl",P1-Staff2,2,61,D-4,17.0,1.5,18.5,
"5_America,_the_Beautiful.mxl",P1-Staff1,1,61,D-4,18.5,0.5,19.0,
"5_America,_the_Beautiful.mxl",P1-Staff1,2,65,F4,18.5,0.5,19.0,
"5_America,_the_Beautiful.mxl",P1-Staff2,1,49,D-3,18.5,0.5,19.0,
