# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.12.2           
# meta,0,0,time_signature,4/4
# meta,0,0,tempo,1000000
# meta,1,0,meta_03,
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,1,74,D5,0,768,768,127,64
1,1,73,C#5,768,1536,768,127,64
1,1,71,B4,1536,2304,768,127,64
1,1,69,A4,2304,3072,768,127,64
1,1,67,G4,3072,3840,768,127,64
1,1,66,F#4,3840,4608,768,127,64
1,1,67,G4,4608,5376,768,127,64
1,1,71,B4,5376,6144,768,127,64
1,1,66,F#4,6144,6912,768,127,64
1,1,57,A3,6912,7680,768,127,64
1,1,62,D4,7680,8448,768,127,64
1,1,66,F#4,8448,9216,768,127,64
1,1,71,B4,9216,9984,768,127,64
1,1,74,D5,9984,10752,768,127,64
1,1,71,B4,10752,11520,768,127,64
1,1,73,C#5,11520,12288,768,127,64
1,1,78,F#5,12288,13056,768,127,64
1,1,76,E5,13056,13824,768,127,64
1,1,74,D5,13824,14592,768,127,64
1,1,73,C#5,14592,15360,768,127,64
1,1,71,B4,15360,16128,768,127,64
1,1,69,A4,16128,16896,768,127,64
1,1,71,B4,16896,17664,768,127,64
1,1,73,C#5,17664,18048,384,127,64
1,1,73,C#5,18048,18432,384,127,64
1,1,74,D5,18432,18624,192,127,64
1,1,73,C#5,18624,18816,192,127,64
1,1,74,D5,18816,19008,192,127,64
1,1,62,D4,19008,19200,192,127,64
1,1,61,C#4,19200,19392,192,127,64
1,1,69,A4,19392,19584,192,127,64
1,1,64,E4,19584,19776,192,127,64
1,1,66,F#4,19776,19968,192,127,64
1,1,62,D4,19968,20160,192,127,64
1,1,74,D5,20160,20352,192,127,64
1,1,73,C#5,20352,20544,192,127,64
1,1,71,B4,20544,20736,192,127,64
1,1,73,C#5,20736,20928,192,127,64
1,1,66,F#4,20928,21120,192,127,64
1,1,69,A4,21120,21312,192,127,64
1,1,71,B4,21312,21504,192,127,64
1,1,67,G4,21504,21696,192,127,64
1,1,66,F#4,21696,21888,192,127,64
1,1,64,E4,21888,22080,192,127,64
1,1,67,G4,22080,22272,192,127,64
1,1,66,F#4,22272,22464,192,127,64
1,1,64,E4,22464,22656,192,127,64
1,1,62,D4,22656,22848,192,127,64
1,1,73,C#5,22848,23040,192,127,64
1,1,71,B4,23040,23232,192,127,64
1,1,69,A4,23232,23424,192,127,64
1,1,67,G4,23424,23616,192,127,64
1,1,66,F#4,23616,23808,192,127,64
1,1,64,E4,23808,24000,192,127,64
1,1,67,G4,24000,24192,192,127,64
1,1,66,F#4,24192,24384,192,127,64
1,1,64,E4,24384,24576,192,127,64
1,1,62,D4,24576,24960,384,127,64
1,1,61,C#4,27648,28416,768,127,64
1,1,59,B3,28416,29184,768,127,64
1,1,57,A3,29184,29952,768,127,64
1,1,55,G3,29952,30720,768,127,64
1,1,54,F#3,30720,31488,768,127,64
1,1,55,G3,31488,32256,768,127,64
1,1,54,F#3,32256,33024,768,127,64
1,1,57,A3,33024,33792,768,127,64
1,1,64,E4,33792,34176,384,127,64
1,1,64,E4,34176,34560,384,127,64
1,1,62,D4,34560,34944,384,127,64
1,1,62,D4,34944,35328,384,127,64
1,1,61,C#4,35328,35712,384,127,64
1,1,61,C#4,35712,36096,384,127,64
1,1,59,B3,36096,36480,384,127,64
1,1,59,B3,36480,36864,384,127,64
1,1,57,A3,36864,37248,384,127,64
1,1,57,A3,37248,37632,384,127,64
