# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.18.2           
# meta,0,0,time_signature,2/4
# meta,0,0,tempo,322580
# meta,0,73728,time_signature,3/4
# meta,0,110208,time_signature,2/4
# meta,1,0,meta_04,violin
# meta,1,110208,meta_04,pizzicato strings
# meta,1,122496,meta_04,violin
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,69,A4,0,96,96,81,0
1,0,69,A4,288,336,48,81,0
1,0,69,A4,384,480,96,81,0
1,0,72,C5,480,576,96,81,0
1,0,71,B4,576,672,96,81,0
1,0,69,A4,672,756,84,81,0
1,0,76,E5,768,936,168,81,0
1,0,64,E4,1056,1140,84,81,0
1,0,64,E4,1152,1248,96,81,0
1,0,68,G#4,1248,1344,96,81,0
1,0,66,F#4,1344,1440,96,81,0
1,0,64,E4,1440,1524,84,81,0
1,0,69,A4,1536,1704,168,81,0
1,0,69,A4,1824,1908,84,81,0
1,0,69,A4,1920,2016,96,81,0
1,0,72,C5,2016,2112,96,81,0
1,0,71,B4,2112,2208,96,81,0
1,0,69,A4,2208,2292,84,81,0
1,0,76,E5,2304,2688,384,81,0
1,0,64,E4,2688,2856,168,81,0
1,0,69,A4,3072,3168,96,81,0
1,0,69,A4,3360,3408,48,81,0
1,0,69,A4,3456,3552,96,81,0
1,0,72,C5,3552,3648,96,81,0
1,0,71,B4,3648,3744,96,81,0
1,0,69,A4,3744,3828,84,81,0
1,0,76,E5,3840,4008,168,81,0
1,0,64,E4,4128,4212,84,81,0
1,0,64,E4,4224,4320,96,81,0
1,0,68,G#4,4320,4416,96,81,0
1,0,66,F#4,4416,4512,96,81,0
1,0,64,E4,4512,4596,84,81,0
1,0,69,A4,4608,4776,168,81,0
1,0,69,A4,4896,4980,84,81,0
1,0,69,A4,4992,5088,96,81,0
1,0,72,C5,5088,5184,96,81,0
1,0,71,B4,5184,5280,96,81,0
1,0,69,A4,5280,5364,84,81,0
1,0,76,E5,5376,5760,384,81,0
1,0,64,E4,5760,5928,168,81,0
1,0,81,A5,6144,6312,168,81,0
1,0,81,A5,6432,6516,84,81,0
1,0,81,A5,6528,6624,96,81,0
1,0,82,A#5,6624,6720,96,81,0
1,0,81,A5,6720,6816,96,81,0
1,0,79,G5,6816,6900,84,81,0
1,0,77,F5,6912,7080,168,81,0
1,0,74,D5,7200,7284,84,81,0
1,0,74,D5,7296,7392,96,81,0
1,0,77,F5,7392,7488,96,81,0
1,0,76,E5,7488,7584,96,81,0
1,0,74,D5,7584,7668,84,81,0
1,0,79,G5,7680,7848,168,81,0
1,0,79,G5,7968,8052,84,81,0
1,0,79,G5,8064,8160,96,81,0
1,0,81,A5,8160,8256,96,81,0
1,0,79,G5,8256,8352,96,81,0
1,0,77,F5,8352,8436,84,81,0
1,0,76,E5,8448,8616,168,81,0
1,0,72,C5,8736,8820,84,81,0
1,0,72,C5,8832,8928,96,81,0
1,0,76,E5,8928,9024,96,81,0
1,0,74,D5,9024,9120,96,81,0
1,0,72,C5,9120,9204,84,81,0
1,0,77,F5,9216,9384,168,81,0
1,0,71,B4,9504,9588,84,81,0
1,0,71,B4,9600,9696,96,81,0
1,0,74,D5,9696,9792,96,81,0
1,0,72,C5,9792,9888,96,81,0
1,0,71,B4,9888,9972,84,81,0
1,0,76,E5,9984,10152,168,81,0
1,0,69,A4,10272,10356,84,81,0
1,0,69,A4,10368,10464,96,81,0
1,0,72,C5,10464,10560,96,81,0
1,0,71,B4,10560,10656,96,81,0
1,0,69,A4,10656,10740,84,81,0
1,0,65,F4,10752,10920,168,81,0
1,0,75,D#5,11040,11124,84,81,0
1,0,64,E4,11136,11232,96,81,0
1,0,76,E5,11232,11328,96,81,0
1,0,74,D5,11328,11424,96,81,0
1,0,71,B4,11424,11508,84,81,0
1,0,69,A4,11520,11856,336,81,0
1,0,57,A3,11904,12072,168,81,0
1,0,81,A5,12266,12276,10,101,0
1,0,84,C6,12277,12286,9,101,0
1,0,88,E6,12288,12352,64,101,0
1,0,84,C6,12416,12480,64,101,0
1,0,81,A5,12544,12608,64,101,0
1,0,76,E5,12672,12736,64,101,0
1,0,72,C5,12800,12864,64,101,0
1,0,69,A4,12928,12992,64,101,0
1,0,76,E5,13034,13044,10,101,0
1,0,80,G#5,13045,13054,9,101,0
1,0,83,B5,13056,13120,64,101,0
1,0,80,G#5,13184,13248,64,101,0
1,0,76,E5,13312,13376,64,101,0
1,0,71,B4,13440,13504,64,101,0
1,0,67,G4,13568,13632,64,101,0
1,0,64,E4,13696,13760,64,101,0
1,0,81,A5,13802,13812,10,101,0
1,0,84,C6,13813,13822,9,101,0
1,0,88,E6,13824,13888,64,101,0
1,0,84,C6,13952,14016,64,101,0
1,0,81,A5,14080,14144,64,101,0
1,0,76,E5,14208,14272,64,101,0
1,0,72,C5,14336,14400,64,101,0
