# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.16.1           
# meta,0,0,time_signature,4/4
# meta,0,0,tempo,434782
# meta,0,75264,tempo,389610
# meta,1,0,meta_03,right:solo
# meta,2,0,meta_03,left:
# meta,2,0,meta_04,acoustic grand
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,54,F#3,0,1344,1344,69,0
1,0,66,F#4,0,1344,1344,69,0
1,0,35,B1,1536,1632,96,62,0
2,1,23,B0,1536,1728,192,62,0
1,0,37,C#2,1728,1824,96,62,0
1,0,38,D2,1920,2016,96,62,0
2,1,30,F#1,1920,2112,192,62,0
1,0,40,E2,2112,2208,96,62,0
1,0,42,F#2,2304,2400,96,62,0
2,1,23,B0,2304,2496,192,62,0
1,0,38,D2,2496,2592,96,62,0
1,0,42,F#2,2688,2880,192,62,0
2,1,30,F#1,2688,2880,192,62,0
1,0,41,F2,3072,3168,96,62,0
2,1,23,B0,3072,3264,192,62,0
1,0,37,C#2,3264,3360,96,62,0
1,0,41,F2,3456,3648,192,62,0
2,1,30,F#1,3456,3648,192,62,0
1,0,40,E2,3840,3936,96,62,0
2,1,23,B0,3840,4032,192,62,0
1,0,36,C2,4032,4128,96,62,0
1,0,40,E2,4224,4416,192,62,0
2,1,30,F#1,4224,4416,192,62,0
1,0,35,B1,4608,4704,96,62,0
2,1,23,B0,4608,4800,192,62,0
1,0,37,C#2,4800,4896,96,62,0
1,0,38,D2,4992,5088,96,62,0
2,1,30,F#1,4992,5184,192,62,0
1,0,40,E2,5184,5280,96,62,0
1,0,42,F#2,5376,5472,96,62,0
2,1,23,B0,5376,5568,192,62,0
1,0,38,D2,5568,5664,96,62,0
1,0,42,F#2,5760,5856,96,62,0
2,1,30,F#1,5760,5952,192,62,0
1,0,47,B2,5952,6048,96,62,0
1,0,45,A2,6144,6240,96,62,0
2,1,26,D1,6144,6336,192,62,0
1,0,42,F#2,6336,6432,96,62,0
1,0,38,D2,6528,6624,96,62,0
2,1,33,A1,6528,6720,192,62,0
1,0,42,F#2,6720,6816,96,62,0
1,0,45,A2,6912,7584,672,62,0
2,1,26,D1,6912,7104,192,62,0
2,1,33,A1,7296,7488,192,62,0
1,0,47,B2,7680,7776,96,62,0
2,1,23,B0,7680,7872,192,62,0
1,0,49,C#3,7872,7968,96,62,0
1,0,50,D3,8064,8160,96,62,0
2,1,30,F#1,8064,8256,192,62,0
1,0,52,E3,8256,8352,96,62,0
1,0,54,F#3,8448,8544,96,62,0
2,1,23,B0,8448,8640,192,62,0
1,0,50,D3,8640,8736,96,62,0
1,0,54,F#3,8832,9024,192,62,0
2,1,30,F#1,8832,9024,192,62,0
1,0,53,F3,9216,9312,96,62,0
2,1,23,B0,9216,9408,192,62,0
1,0,49,C#3,9408,9504,96,62,0
1,0,53,F3,9600,9792,192,62,0
2,1,30,F#1,9600,9792,192,62,0
1,0,52,E3,9984,10080,96,62,0
2,1,23,B0,9984,10176,192,62,0
1,0,48,C3,10176,10272,96,62,0
1,0,52,E3,10368,10560,192,62,0
2,1,30,F#1,10368,10560,192,62,0
1,0,47,B2,10752,10848,96,62,0
2,1,23,B0,10752,10944,192,62,0
1,0,49,C#3,10944,11040,96,62,0
1,0,50,D3,11136,11232,96,62,0
2,1,30,F#1,11136,11328,192,62,0
1,0,52,E3,11328,11424,96,62,0
1,0,54,F#3,11520,11616,96,62,0
2,1,23,B0,11520,11712,192,62,0
1,0,50,D3,11712,11808,96,62,0
1,0,54,F#3,11904,12000,96,62,0
2,1,30,F#1,11904,12096,192,62,0
1,0,59,B3,12096,12192,96,62,0
1,0,57,A3,12288,12384,96,62,0
2,1,26,D1,12288,12480,192,62,0
1,0,54,F#3,12480,12576,96,62,0
1,0,50,D3,12672,12768,96,62,0
2,1,33,A1,12672,12864,192,62,0
1,0,54,F#3,12864,12960,96,62,0
1,0,45,A2,13056,13728,672,62,0
1,0,57,A3,13056,13728,672,62,0
2,1,26,D1,13056,13248,192,62,0
2,1,33,A1,13440,13632,192,62,0
1,0,42,F#2,13824,13920,96,62,0
2,1,30,F#1,13824,14160,336,62,0
1,0,44,G#2,14016,14112,96,62,0
1,0,46,A#2,14208,14304,96,62,0
2,1,37,C#2,14208,14544,336,62,0
1,0,47,B2,14400,14496,96,62,0
1,0,49,C#3,14592,14688,96,62,0
2,1,30,F#1,14592,14928,336,62,0
1,0,46,A#2,14784,14880,96,62,0
1,0,49,C#3,14976,15168,192,62,0
2,1,37,C#2,14976,15312,336,62,0
1,0,50,D3,15360,15456,96,62,0
2,1,26,D1,15360,15696,336,62,0
1,0,46,A#2,15552,15648,96,62,0
1,0,50,D3,15744,15936,192,62,0
2,1,34,A#1,15744,16080,336,62,0
1,0,49,C#3,16128,16224,96,62,0
2,1,30,F#1,16128,16464,336,62,0
1,0,46,A#2,16320,16416,96,62,0
1,0,49,C#3,16512,16704,192,62,0
2,1,37,C#2,16512,16848,336,62,0
1,0,42,F#2,16896,16992,96,62,0
2,1,30,F#1,16896,17232,336,62,0
1,0,44,G#2,17088,17184,96,62,0
1,0,46,A#2,17280,17376,96,62,0
2,1,37,C#2,17280,17616,336,62,0
1,0,47,B2,17472,17568,96,62,0
1,0,49,C#3,17664,17760,96,62,0
2,1,30,F#1,17664,18000,336,62,0
1,0,46,A#2,17856,17952,96,62,0
1,0,49,C#3,18048,18240,192,62,0
2,1,37,C#2,18048,18384,336,62,0
1,0,50,D3,18432,18528,96,62,0
2,1,26,D1,18432,18768,336,62,0
