# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.18.2           
# meta,0,0,time_signature,3/4
# meta,0,0,tempo,750000
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,64,E4,0,192,192,90,0
1,0,64,E4,192,384,192,90,0
1,0,67,G4,384,960,576,90,0
2,1,60,C4,384,768,384,90,0
2,1,64,E4,384,768,384,90,0
2,1,67,G4,384,768,384,90,0
2,1,64,E4,768,1536,768,90,0
2,1,67,G4,768,1536,768,90,0
2,1,71,B4,768,1536,768,90,0
1,0,64,E4,960,1152,192,90,0
1,0,64,E4,1152,1536,384,90,0
1,0,67,G4,1536,2304,768,90,0
2,1,60,C4,1536,1920,384,90,0
2,1,64,E4,1536,1920,384,90,0
2,1,67,G4,1536,1920,384,90,0
2,1,64,E4,1920,2688,768,90,0
2,1,67,G4,1920,2688,768,90,0
2,1,71,B4,1920,2688,768,90,0
1,0,64,E4,2304,2496,192,90,0
1,0,67,G4,2496,2688,192,90,0
1,0,72,C5,2688,3072,384,90,0
2,1,60,C4,2688,3072,384,90,0
2,1,64,E4,2688,3072,384,90,0
2,1,67,G4,2688,3072,384,90,0
1,0,71,B4,3072,3648,576,90,0
2,1,64,E4,3072,3840,768,90,0
2,1,67,G4,3072,3840,768,90,0
2,1,71,B4,3072,3840,768,90,0
1,0,69,A4,3648,3840,192,90,0
1,0,69,A4,3840,4224,384,90,0
2,1,62,D4,3840,4224,384,90,0
2,1,65,F4,3840,4224,384,90,0
2,1,69,A4,3840,4224,384,90,0
1,0,67,G4,4224,4608,384,90,0
2,1,55,G3,4224,4992,768,90,0
2,1,59,B3,4224,4992,768,90,0
2,1,62,D4,4224,4992,768,90,0
1,0,62,D4,4608,4800,192,90,0
1,0,64,E4,4800,4992,192,90,0
1,0,65,F4,4992,5376,384,90,0
2,1,62,D4,4992,5376,384,90,0
2,1,65,F4,4992,5376,384,90,0
2,1,69,A4,4992,5376,384,90,0
1,0,62,D4,5376,5760,384,90,0
2,1,55,G3,5376,6144,768,90,0
2,1,59,B3,5376,6144,768,90,0
2,1,62,D4,5376,6144,768,90,0
1,0,62,D4,5760,5952,192,90,0
1,0,64,E4,5952,6144,192,90,0
1,0,65,F4,6144,6528,384,90,0
2,1,62,D4,6144,6528,384,90,0
2,1,65,F4,6144,6528,384,90,0
2,1,69,A4,6144,6528,384,90,0
2,1,55,G3,6528,7296,768,90,0
2,1,59,B3,6528,7296,768,90,0
2,1,62,D4,6528,7296,768,90,0
2,1,65,F4,6528,7296,768,90,0
1,0,62,D4,6912,7104,192,90,0
1,0,65,F4,7104,7296,192,90,0
1,0,71,B4,7296,7488,192,90,0
2,1,55,G3,7296,8448,1152,90,0
2,1,59,B3,7296,8448,1152,90,0
2,1,62,D4,7296,8448,1152,90,0
