# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.10.25          
# meta,0,0,time_signature,3/4
# meta,0,0,tempo,1000000
# meta,1,0,meta_03,upper
# meta,2,0,meta_03,lower
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,1,70,A#4,0,384,384,127,64
2,2,46,A#2,0,192,192,127,64
2,2,48,C3,192,384,192,127,64
1,1,70,A#4,384,768,384,127,64
2,2,50,D3,384,576,192,127,64
2,2,48,C3,576,768,192,127,64
1,1,65,F4,768,1056,288,127,64
2,2,50,D3,768,960,192,127,64
2,2,46,A#2,960,1152,192,127,64
1,1,67,G4,1056,1108,52,127,64
1,1,65,F4,1108,1151,43,127,64
1,1,63,D#4,1152,1920,768,127,64
2,2,48,C3,1152,1344,192,127,64
2,2,46,A#2,1344,1536,192,127,64
2,2,48,C3,1536,1728,192,127,64
2,2,41,F2,1728,1920,192,127,64
1,1,62,D4,1920,2304,384,127,64
2,2,46,A#2,1920,2304,384,127,64
1,1,60,C4,2304,2688,384,127,64
2,2,39,D#2,2304,2496,192,127,64
2,2,55,G3,2496,2688,192,127,64
1,1,72,C5,2688,3264,576,127,64
2,2,53,F3,2688,2880,192,127,64
2,2,51,D#3,2880,3072,192,127,64
2,2,50,D3,3072,3264,192,127,64
1,1,74,D5,3264,3360,96,127,64
2,2,48,C3,3264,3456,192,127,64
1,1,75,D#5,3360,3412,52,127,64
1,1,70,A#4,3412,3455,43,127,64
1,1,69,A4,3456,4224,768,127,64
2,2,53,F3,3456,3648,192,127,64
2,2,48,C3,3648,3840,192,127,64
2,2,51,D#3,3840,4032,192,127,64
2,2,50,D3,4032,4224,192,127,64
1,1,70,A#4,4224,4608,384,127,64
2,2,48,C3,4224,4416,192,127,64
2,2,46,A#2,4416,4608,192,127,64
1,1,72,C5,4608,4992,384,127,64
2,2,45,A2,4608,4800,192,127,64
2,2,48,C3,4800,4992,192,127,64
1,1,65,F4,4992,5376,384,127,64
2,2,46,A#2,4992,5184,192,127,64
2,2,45,A2,5184,5376,192,127,64
1,1,75,D#5,5376,5760,384,127,64
2,2,43,G2,5376,5568,192,127,64
2,2,41,F2,5568,5760,192,127,64
1,1,74,D5,5760,5952,192,127,64
2,2,46,A#2,5760,6144,384,127,64
1,1,72,C5,5952,6144,192,127,64
1,1,70,A#4,6144,6336,192,127,64
2,2,48,C3,6144,6528,384,127,64
1,1,69,A4,6336,6528,192,127,64
1,1,70,A#4,6528,6912,384,127,64
2,2,50,D3,6528,6912,384,127,64
1,1,75,D#5,6912,7008,96,127,64
2,2,43,G2,6912,7296,384,127,64
1,1,77,F5,7008,7104,96,127,64
1,1,79,G5,7104,7296,192,127,64
1,1,77,F5,7296,7488,192,127,64
2,2,45,A2,7296,7680,384,127,64
