# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.18.0           
# meta,0,0,time_signature,3/4
# meta,0,0,tempo,400000
# meta,1,0,meta_03,up:upper
# meta,2,0,meta_03,down:lower
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,60,C4,0,384,384,90,0
1,0,60,C4,384,768,384,90,0
1,0,64,E4,768,1152,384,90,0
1,0,67,G4,1152,1536,384,90,0
1,0,67,G4,1536,2304,768,90,0
2,1,48,C3,1536,1920,384,69,0
2,1,52,E3,1920,2304,384,69,0
2,1,55,G3,1920,2304,384,69,0
1,0,76,E5,2304,2688,384,90,0
1,0,79,G5,2304,2688,384,90,0
2,1,52,E3,2304,2688,384,69,0
2,1,55,G3,2304,2688,384,69,0
1,0,76,E5,2688,3456,768,90,0
1,0,79,G5,2688,3456,768,90,0
2,1,48,C3,2688,3072,384,69,0
2,1,52,E3,3072,3456,384,69,0
2,1,55,G3,3072,3456,384,69,0
1,0,72,C5,3456,3840,384,90,0
1,0,76,E5,3456,3840,384,90,0
2,1,52,E3,3456,3840,384,69,0
2,1,55,G3,3456,3840,384,69,0
1,0,72,C5,3840,4608,768,90,0
1,0,76,E5,3840,4608,768,90,0
2,1,48,C3,3840,4224,384,69,0
2,1,52,E3,4224,4608,384,69,0
2,1,55,G3,4224,4608,384,69,0
1,0,60,C4,4608,4992,384,90,0
2,1,52,E3,4608,4992,384,69,0
2,1,55,G3,4608,4992,384,69,0
1,0,60,C4,4992,5376,384,90,0
2,1,48,C3,4992,5376,384,69,0
1,0,64,E4,5376,5760,384,90,0
2,1,52,E3,5376,5760,384,69,0
2,1,55,G3,5376,5760,384,69,0
1,0,67,G4,5760,6144,384,90,0
2,1,52,E3,5760,6144,384,69,0
2,1,55,G3,5760,6144,384,69,0
1,0,67,G4,6144,6912,768,90,0
2,1,50,D3,6144,6528,384,69,0
2,1,53,F3,6528,6912,384,69,0
2,1,55,G3,6528,6912,384,69,0
1,0,77,F5,6912,7296,384,90,0
1,0,79,G5,6912,7296,384,90,0
2,1,53,F3,6912,7296,384,69,0
2,1,55,G3,6912,7296,384,69,0
1,0,77,F5,7296,8064,768,90,0
1,0,79,G5,7296,8064,768,90,0
2,1,50,D3,7296,7680,384,69,0
2,1,53,F3,7680,8064,384,69,0
2,1,55,G3,7680,8064,384,69,0
1,0,71,B4,8064,8448,384,90,0
1,0,77,F5,8064,8448,384,90,0
2,1,53,F3,8064,8448,384,69,0
2,1,55,G3,8064,8448,384,69,0
1,0,71,B4,8448,9216,768,90,0
1,0,77,F5,8448,9216,768,90,0
2,1,50,D3,8448,8832,384,69,0
2,1,53,F3,8832,9216,384,69,0
2,1,55,G3,8832,9216,384,69,0
1,0,59,B3,9216,9600,384,90,0
2,1,53,F3,9216,9600,384,69,0
2,1,55,G3,9216,9600,384,69,0
1,0,59,B3,9600,9984,384,90,0
2,1,50,D3,9600,9984,384,69,0
1,0,62,D4,9984,10368,384,90,0
2,1,53,F3,9984,10368,384,69,0
2,1,55,G3,9984,10368,384,69,0
1,0,69,A4,10368,10752,384,90,0
2,1,53,F3,10368,10752,384,69,0
2,1,55,G3,10368,10752,384,69,0
1,0,69,A4,10752,11520,768,90,0
2,1,50,D3,10752,11136,384,69,0
2,1,53,F3,11136,11520,384,69,0
2,1,55,G3,11136,11520,384,69,0
1,0,77,F5,11520,11904,384,90,0
1,0,81,A5,11520,11904,384,90,0
2,1,53,F3,11520,11904,384,69,0
2,1,55,G3,11520,11904,384,69,0
1,0,77,F5,11904,12672,768,90,0
1,0,81,A5,11904,12672,768,90,0
2,1,50,D3,11904,12288,384,69,0
2,1,53,F3,12288,12672,384,69,0
2,1,55,G3,12288,12672,384,69,0
1,0,71,B4,12672,13056,384,90,0
1,0,77,F5,12672,13056,384,90,0
2,1,53,F3,12672,13056,384,69,0
2,1,55,G3,12672,13056,384,69,0
1,0,71,B4,13056,13824,768,90,0
1,0,77,F5,13056,13824,768,90,0
2,1,50,D3,13056,13440,384,69,0
2,1,53,F3,13440,13824,384,69,0
2,1,55,G3,13440,13824,384,69,0
1,0,59,B3,13824,14208,384,90,0
2,1,53,F3,13824,14208,384,69,0
2,1,55,G3,13824,14208,384,69,0
1,0,59,B3,14208,14592,384,90,0
2,1,50,D3,14208,14592,384,69,0
1,0,62,D4,14592,14976,384,90,0
2,1,53,F3,14592,14976,384,69,0
2,1,55,G3,14592,14976,384,69,0
1,0,69,A4,14976,15360,384,90,0
2,1,53,F3,14976,15360,384,69,0
2,1,55,G3,14976,15360,384,69,0
1,0,69,A4,15360,16128,768,90,0
2,1,48,C3,15360,15744,384,69,0
2,1,52,E3,15744,16128,384,69,0
2,1,55,G3,15744,16128,384,69,0
1,0,76,E5,16128,16512,384,90,0
1,0,81,A5,16128,16512,384,90,0
2,1,52,E3,16128,16512,384,69,0
2,1,55,G3,16128,16512,384,69,0
1,0,76,E5,16512,17280,768,90,0
1,0,81,A5,16512,17280,768,90,0
2,1,48,C3,16512,16896,384,69,0
2,1,52,E3,16896,17280,384,69,0
2,1,55,G3,16896,17280,384,69,0
1,0,72,C5,17280,17664,384,90,0
1,0,76,E5,17280,17664,384,90,0
2,1,52,E3,17280,17664,384,69,0
2,1,55,G3,17280,17664,384,69,0
1,0,72,C5,17664,18432,768,90,0
1,0,76,E5,17664,18432,768,90,0
2,1,48,C3,17664,18048,384,69,0
2,1,52,E3,18048,18432,384,69,0
2,1,55,G3,18048,18432,384,69,0
1,0,60,C4,18432,18816,384,90,0
2,1,52,E3,18432,18816,384,69,0
2,1,55,G3,18432,18816,384,69,0
1,0,60,C4,18816,19200,384,90,0
2,1,48,C3,18816,19200,384,69,0
1,0,64,E4,19200,19584,384,90,0
2,1,52,E3,19200,19584,384,69,0
2,1,55,G3,19200,19584,384,69,0
1,0,67,G4,19584,19968,384,90,0
2,1,52,E3,19584,19968,384,69,0
2,1,55,G3,19584,19968,384,69,0
1,0,72,C5,19968,20736,768,90,0
2,1,52,E3,19968,20352,384,69,0
2,1,55,G3,20352,20736,384,69,0
2,1,60,C4,20352,20736,384,69,0
1,0,79,G5,20736,21120,384,90,0
1,0,84,C6,20736,21120,384,90,0
2,1,55,G3,20736,21120,384,69,0
2,1,60,C4,20736,21120,384,69,0
1,0,79,G5,21120,21888,768,90,0
1,0,84,C6,21120,21888,768,90,0
2,1,52,E3,21120,21504,384,69,0
2,1,55,G3,21504,21888,384,69,0
2,1,60,C4,21504,21888,384,69,0
1,0,76,E5,21888,22272,384,90,0
1,0,79,G5,21888,22272,384,90,0
2,1,55,G3,21888,22272,384,69,0
2,1,60,C4,21888,22272,384,69,0
1,0,76,E5,22272,23040,768,90,0
1,0,79,G5,22272,23040,768,90,0
2,1,52,E3,22272,22656,384,69,0
2,1,55,G3,22656,23040,384,69,0
2,1,60,C4,22656,23040,384,69,0
1,0,60,C4,23040,23424,384,90,0
