# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.14.2           
# meta,0,0,time_signature,4/4
# meta,0,0,tempo,1000000
# meta,1,0,meta_03,RH:1
# meta,1,0,meta_04,church organ
# meta,2,0,meta_03,LH:
# meta,2,0,meta_04,church organ
# meta,3,0,meta_04,church organ
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,69,A4,0,192,192,90,0
1,0,81,A5,0,192,192,90,0
1,0,67,G4,240,264,24,90,0
1,0,79,G5,240,264,24,90,0
1,0,65,F4,264,288,24,90,0
1,0,77,F5,264,288,24,90,0
1,0,64,E4,288,312,24,90,0
1,0,76,E5,288,312,24,90,0
1,0,62,D4,312,336,24,90,0
1,0,74,D5,312,336,24,90,0
1,0,61,C#4,336,384,48,90,0
1,0,73,C#5,336,384,48,90,0
1,0,62,D4,384,480,96,90,0
1,0,74,D5,384,480,96,90,0
1,0,69,A4,768,960,192,90,0
2,1,57,A3,768,960,192,90,0
1,0,64,E4,1008,1056,48,90,0
2,1,52,E3,1008,1056,48,90,0
1,0,65,F4,1056,1104,48,90,0
2,1,53,F3,1056,1104,48,90,0
1,0,61,C#4,1104,1152,48,90,0
2,1,49,C#3,1104,1152,48,90,0
1,0,62,D4,1152,1248,96,90,0
2,1,50,D3,1152,1248,96,90,0
2,1,45,A2,1536,1728,192,90,0
2,1,57,A3,1536,1728,192,90,0
2,1,43,G2,1776,1800,24,90,0
2,1,55,G3,1776,1800,24,90,0
2,1,41,F2,1800,1824,24,90,0
2,1,53,F3,1800,1824,24,90,0
2,1,40,E2,1824,1848,24,90,0
2,1,52,E3,1824,1848,24,90,0
2,1,38,D2,1848,1872,24,90,0
2,1,50,D3,1848,1872,24,90,0
2,1,37,C#2,1872,1920,48,90,0
2,1,49,C#3,1872,1920,48,90,0
2,1,38,D2,1920,2016,96,90,0
2,1,50,D3,1920,2016,96,90,0
3,2,38,D2,2304,3840,1536,90,0
1,0,58,A#3,2688,3456,768,90,0
1,0,61,C#4,2688,3456,768,90,0
1,0,64,E4,2688,3456,768,90,0
2,1,49,C#3,2688,3456,768,90,0
2,1,52,E3,2688,3456,768,90,0
2,1,55,G3,2688,3552,864,90,0
1,0,57,A3,3456,3840,384,90,0
1,0,62,D4,3456,3840,384,90,0
2,1,50,D3,3456,3840,384,90,0
2,1,52,E3,3552,3648,96,90,0
2,1,54,F#3,3648,3840,192,90,0
1,0,61,C#4,4512,4608,96,90,0
2,1,49,C#3,4512,4608,96,90,0
1,0,62,D4,4608,4672,64,90,0
2,1,50,D3,4608,4672,64,90,0
1,0,64,E4,4672,4736,64,90,0
2,1,52,E3,4672,4736,64,90,0
1,0,61,C#4,4736,4800,64,90,0
2,1,49,C#3,4736,4800,64,90,0
1,0,62,D4,4800,4864,64,90,0
2,1,50,D3,4800,4864,64,90,0
1,0,64,E4,4864,4928,64,90,0
2,1,52,E3,4864,4928,64,90,0
1,0,61,C#4,4928,4992,64,90,0
2,1,49,C#3,4928,4992,64,90,0
1,0,62,D4,4992,5056,64,90,0
2,1,50,D3,4992,5056,64,90,0
1,0,64,E4,5056,5120,64,90,0
2,1,52,E3,5056,5120,64,90,0
1,0,61,C#4,5120,5184,64,90,0
2,1,49,C#3,5120,5184,64,90,0
1,0,62,D4,5184,5280,96,90,0
2,1,50,D3,5184,5280,96,90,0
1,0,64,E4,5280,5376,96,90,0
2,1,52,E3,5280,5376,96,90,0
1,0,65,F4,5376,5440,64,90,0
2,1,53,F3,5376,5440,64,90,0
1,0,67,G4,5440,5504,64,90,0
2,1,55,G3,5440,5504,64,90,0
1,0,64,E4,5504,5568,64,90,0
2,1,52,E3,5504,5568,64,90,0
1,0,65,F4,5568,5632,64,90,0
2,1,53,F3,5568,5632,64,90,0
1,0,67,G4,5632,5696,64,90,0
2,1,55,G3,5632,5696,64,90,0
1,0,64,E4,5696,5760,64,90,0
2,1,52,E3,5696,5760,64,90,0
1,0,65,F4,5760,5824,64,90,0
2,1,53,F3,5760,5824,64,90,0
1,0,67,G4,5824,5888,64,90,0
2,1,55,G3,5824,5888,64,90,0
1,0,64,E4,5888,5952,64,90,0
2,1,52,E3,5888,5952,64,90,0
1,0,65,F4,5952,6048,96,90,0
2,1,53,F3,5952,6048,96,90,0
1,0,67,G4,6048,6144,96,90,0
2,1,55,G3,6048,6144,96,90,0
1,0,69,A4,6144,6208,64,90,0
2,1,57,A3,6144,6208,64,90,0
1,0,70,A#4,6208,6272,64,90,0
2,1,58,A#3,6208,6272,64,90,0
1,0,67,G4,6272,6336,64,90,0
2,1,55,G3,6272,6336,64,90,0
1,0,69,A4,6336,6400,64,90,0
2,1,57,A3,6336,6400,64,90,0
1,0,70,A#4,6400,6464,64,90,0
2,1,58,A#3,6400,6464,64,90,0
1,0,67,G4,6464,6528,64,90,0
2,1,55,G3,6464,6528,64,90,0
1,0,69,A4,6528,6592,64,90,0
2,1,57,A3,6528,6592,64,90,0
1,0,70,A#4,6592,6656,64,90,0
2,1,58,A#3,6592,6656,64,90,0
1,0,67,G4,6656,6720,64,90,0
2,1,55,G3,6656,6720,64,90,0
1,0,69,A4,6720,6816,96,90,0
2,1,57,A3,6720,6816,96,90,0
1,0,73,C#5,7584,7680,96,90,0
2,1,61,C#4,7584,7680,96,90,0
1,0,74,D5,7680,7744,64,90,0
2,1,62,D4,7680,7744,64,90,0
1,0,76,E5,7744,7808,64,90,0
2,1,64,E4,7744,7808,64,90,0
1,0,73,C#5,7808,7872,64,90,0
2,1,61,C#4,7808,7872,64,90,0
1,0,74,D5,7872,7936,64,90,0
2,1,62,D4,7872,7936,64,90,0
1,0,76,E5,7936,8000,64,90,0
2,1,64,E4,7936,8000,64,90,0
1,0,73,C#5,8000,8064,64,90,0
2,1,61,C#4,8000,8064,64,90,0
