# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.18.2           
# meta,0,0,time_signature,2/4
# meta,0,0,tempo,1000000
# meta,0,27648,tempo,882352
# meta,0,47616,tempo,833333
# meta,0,61440,tempo,1000000
# meta,0,81408,time_signature,4/4
# meta,0,81408,tempo,937500
# meta,0,107520,time_signature,2/4
# meta,0,107520,tempo,1000000
# meta,0,121344,tempo,714285
# meta,0,124416,tempo,652173
# meta,0,127488,tempo,600000
# meta,0,130560,tempo,555555
# meta,0,133632,tempo,517241
# meta,0,136704,tempo,483870
# meta,0,141312,tempo,555555
# meta,0,161280,tempo,833333
# meta,0,175104,tempo,500000
# meta,0,195072,time_signature,4/4
# meta,0,195072,tempo,714285
# meta,0,221184,time_signature,3/4
# meta,0,221184,tempo,833333
# meta,1,0,meta_04,acoustic grand
# meta,2,0,meta_04,acoustic grand
# meta,3,13824,meta_04,acoustic grand
# meta,4,13824,meta_04,acoustic grand
# meta,5,27648,meta_03,:1
# meta,5,27648,meta_04,acoustic grand
# meta,6,27648,meta_04,acoustic grand
# meta,7,47616,meta_04,acoustic grand
# meta,8,47616,meta_03,:1
# meta,8,47616,meta_04,acoustic grand
# meta,9,61440,meta_03,:1
# meta,9,61440,meta_04,acoustic grand
# meta,10,61440,meta_03,:1
# meta,10,61440,meta_04,acoustic grand
# meta,11,81408,meta_04,acoustic grand
# meta,12,82944,meta_04,acoustic grand
# meta,13,107520,meta_04,acoustic grand
# meta,14,107520,meta_04,acoustic grand
# meta,15,121344,meta_04,acoustic grand
# meta,16,121536,meta_04,acoustic grand
# meta,17,141312,meta_04,acoustic grand
# meta,18,141312,meta_04,acoustic grand
# meta,19,161280,meta_03,:1
# meta,19,161280,meta_04,acoustic grand
# meta,20,161280,meta_04,acoustic grand
# meta,21,175104,meta_03,:2
# meta,21,175104,meta_04,acoustic grand
# meta,22,176640,meta_04,acoustic grand
# meta,23,195072,meta_04,acoustic grand
# meta,24,195264,meta_04,acoustic grand
# meta,25,221184,meta_04,acoustic grand
# meta,26,221184,meta_04,acoustic grand
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,0,62,D4,0,96,96,90,0
2,1,52,E3,0,384,384,90,0
1,0,60,C4,96,192,96,90,0
1,0,59,B3,192,288,96,90,0
1,0,60,C4,288,384,96,90,0
1,0,59,B3,384,480,96,90,0
2,1,48,C3,384,768,384,90,0
1,0,60,C4,480,576,96,90,0
1,0,59,B3,576,672,96,90,0
1,0,60,C4,672,768,96,90,0
1,0,69,A4,768,864,96,90,0
2,1,52,E3,768,1152,384,90,0
1,0,67,G4,864,960,96,90,0
1,0,66,F#4,960,1056,96,90,0
1,0,67,G4,1056,1152,96,90,0
1,0,66,F#4,1152,1248,96,90,0
2,1,48,C3,1152,1536,384,90,0
1,0,67,G4,1248,1344,96,90,0
1,0,66,F#4,1344,1440,96,90,0
1,0,67,G4,1440,1536,96,90,0
1,0,68,G#4,1536,1632,96,90,0
2,1,53,F3,1536,1920,384,90,0
1,0,69,A4,1632,1728,96,90,0
1,0,72,C5,1728,1824,96,90,0
1,0,71,B4,1824,1920,96,90,0
1,0,74,D5,1920,2016,96,90,0
2,1,48,C3,1920,2304,384,90,0
1,0,72,C5,2016,2112,96,90,0
1,0,71,B4,2112,2208,96,90,0
1,0,69,A4,2208,2304,96,90,0
1,0,69,A4,2304,2400,96,90,0
2,1,48,C3,2304,2688,384,90,0
2,1,52,E3,2304,2688,384,90,0
1,0,67,G4,2400,2496,96,90,0
1,0,76,E5,2496,2592,96,90,0
1,0,74,D5,2592,2688,96,90,0
1,0,72,C5,2688,2784,96,90,0
1,0,71,B4,2784,2880,96,90,0
1,0,69,A4,2880,2976,96,90,0
1,0,67,G4,2976,3072,96,90,0
2,1,49,C#3,2976,3072,96,90,0
1,0,67,G4,3072,3168,96,90,0
2,1,50,D3,3072,3456,384,90,0
1,0,65,F4,3168,3264,96,90,0
1,0,74,D5,3264,3360,96,90,0
1,0,72,C5,3360,3456,96,90,0
1,0,71,B4,3456,3552,96,90,0
1,0,69,A4,3552,3648,96,90,0
1,0,67,G4,3648,3744,96,90,0
1,0,65,F4,3744,3840,96,90,0
2,1,47,B2,3744,3840,96,90,0
1,0,65,F4,3840,3936,96,90,0
2,1,48,C3,3840,4224,384,90,0
1,0,64,E4,3936,4032,96,90,0
1,0,72,C5,4032,4128,96,90,0
1,0,71,B4,4128,4224,96,90,0
1,0,69,A4,4224,4320,96,90,0
1,0,67,G4,4320,4416,96,90,0
1,0,65,F4,4416,4512,96,90,0
1,0,64,E4,4512,4608,96,90,0
2,1,45,A2,4512,4608,96,90,0
1,0,62,D4,4608,4800,192,90,0
2,1,41,F2,4608,4992,384,90,0
1,0,69,A4,4800,4992,192,90,0
1,0,67,G4,4992,5184,192,90,0
2,1,43,G2,4992,5376,384,90,0
1,0,59,B3,5184,5376,192,90,0
1,0,60,C4,5376,5472,96,90,0
2,1,48,C3,5376,6144,768,90,0
1,0,55,G3,5472,5568,96,90,0
1,0,52,E3,5568,5664,96,90,0
1,0,55,G3,5664,5760,96,90,0
1,0,48,C3,5760,6144,384,90,0
1,0,69,A4,6144,6240,96,90,0
2,1,52,E3,6144,6528,384,90,0
1,0,67,G4,6240,6336,96,90,0
1,0,66,F#4,6336,6432,96,90,0
1,0,67,G4,6432,6528,96,90,0
1,0,66,F#4,6528,6624,96,90,0
2,1,43,G2,6528,6912,384,90,0
1,0,67,G4,6624,6720,96,90,0
1,0,69,A4,6720,6816,96,90,0
1,0,67,G4,6816,6912,96,90,0
1,0,67,G4,6912,7008,96,90,0
2,1,50,D3,6912,7296,384,90,0
1,0,65,F4,7008,7104,96,90,0
1,0,64,E4,7104,7200,96,90,0
1,0,65,F4,7200,7296,96,90,0
1,0,64,E4,7296,7392,96,90,0
2,1,43,G2,7296,7680,384,90,0
1,0,65,F4,7392,7488,96,90,0
1,0,67,G4,7488,7584,96,90,0
1,0,65,F4,7584,7680,96,90,0
1,0,65,F4,7680,7776,96,90,0
2,1,48,C3,7680,8064,384,90,0
1,0,64,E4,7776,7872,96,90,0
1,0,63,D#4,7872,7968,96,90,0
1,0,64,E4,7968,8064,96,90,0
1,0,63,D#4,8064,8160,96,90,0
2,1,43,G2,8064,8448,384,90,0
1,0,64,E4,8160,8256,96,90,0
1,0,65,F4,8256,8352,96,90,0
1,0,64,E4,8352,8448,96,90,0
1,0,64,E4,8448,8544,96,90,0
2,1,53,F3,8448,8832,384,90,0
1,0,62,D4,8544,8640,96,90,0
1,0,61,C#4,8640,8736,96,90,0
1,0,62,D4,8736,8832,96,90,0
1,0,61,C#4,8832,8928,96,90,0
2,1,43,G2,8832,9216,384,90,0
1,0,62,D4,8928,9024,96,90,0
1,0,64,E4,9024,9120,96,90,0
1,0,62,D4,9120,9216,96,90,0
1,0,69,A4,9216,9312,96,90,0
2,1,43,G2,9216,9984,768,90,0
2,1,52,E3,9216,9984,768,90,0
1,0,67,G4,9312,9408,96,90,0
1,0,66,F#4,9408,9504,96,90,0
1,0,67,G4,9504,9600,96,90,0
1,0,76,E5,9600,9696,96,90,0
1,0,72,C5,9696,9792,96,90,0
1,0,69,A4,9792,9888,96,90,0
1,0,67,G4,9888,9984,96,90,0
1,0,67,G4,9984,10080,96,90,0
2,1,43,G2,9984,10752,768,90,0
2,1,50,D3,9984,10752,768,90,0
1,0,65,F4,10080,10176,96,90,0
1,0,64,E4,10176,10272,96,90,0
1,0,65,F4,10272,10368,96,90,0
1,0,74,D5,10368,10464,96,90,0
1,0,71,B4,10464,10560,96,90,0
1,0,67,G4,10560,10656,96,90,0
1,0,65,F4,10656,10752,96,90,0
1,0,65,F4,10752,10848,96,90,0
2,1,43,G2,10752,11136,384,90,0
2,1,48,C3,10752,11136,384,90,0
1,0,64,E4,10848,10944,96,90,0
1,0,63,D#4,10944,11040,96,90,0
1,0,64,E4,11040,11136,96,90,0
1,0,72,C5,11136,11232,96,90,0
1,0,67,G4,11232,11328,96,90,0
1,0,65,F4,11328,11424,96,90,0
1,0,64,E4,11424,11520,96,90,0
2,1,48,C3,11424,11520,96,90,0
1,0,55,G3,11520,12288,768,90,0
1,0,67,G4,11520,11808,288,90,0
2,1,52,E3,11520,11808,288,90,0
1,0,64,E4,11808,11904,96,90,0
2,1,48,C3,11808,11904,96,90,0
1,0,62,D4,11904,12288,384,90,0
2,1,47,B2,11904,12288,384,90,0
3,2,48,C3,13824,14016,192,90,0
4,3,43,G2,13824,14208,384,90,0
3,2,50,D3,14016,14112,96,90,0
3,2,52,E3,14112,14208,96,90,0
3,2,53,F3,14208,14304,96,90,0
4,3,48,C3,14208,14592,384,90,0
3,2,55,G3,14304,14400,96,90,0
3,2,57,A3,14400,14496,96,90,0
3,2,59,B3,14496,14592,96,90,0
3,2,60,C4,14592,14688,96,90,0
4,3,52,E3,14592,14976,384,90,0
3,2,62,D4,14688,14784,96,90,0
3,2,64,E4,14784,14880,96,90,0
3,2,65,F4,14880,14976,96,90,0
3,2,67,G4,14976,15072,96,90,0
4,3,48,C3,14976,15360,384,90,0
3,2,69,A4,15072,15168,96,90,0
3,2,71,B4,15168,15264,96,90,0
3,2,72,C5,15264,15360,96,90,0
3,2,71,B4,15360,15456,96,90,0
4,3,53,F3,15360,15744,384,90,0
3,2,69,A4,15456,15552,96,90,0
3,2,68,G#4,15552,15648,96,90,0
3,2,69,A4,15648,15744,96,90,0
3,2,74,D5,15744,15840,96,90,0
4,3,48,C3,15744,16128,384,90,0
3,2,72,C5,15840,15936,96,90,0
3,2,71,B4,15936,16032,96,90,0
3,2,69,A4,16032,16128,96,90,0
3,2,69,A4,16128,16224,96,90,0
4,3,52,E3,16128,16512,384,90,0
3,2,67,G4,16224,16320,96,90,0
3,2,66,F#4,16320,16416,96,90,0
3,2,67,G4,16416,16512,96,90,0
4,3,48,C3,16512,16896,384,90,0
4,3,60,C4,16512,16896,384,90,0
3,2,67,G4,16608,16704,96,90,0
3,2,76,E5,16704,16800,96,90,0
3,2,67,G4,16800,16896,96,90,0
4,3,45,A2,16896,17280,384,90,0
4,3,57,A3,16896,17280,384,90,0
3,2,65,F4,16992,17088,96,90,0
3,2,76,E5,17088,17184,96,90,0
3,2,65,F4,17184,17280,96,90,0
4,3,47,B2,17280,17664,384,90,0
4,3,59,B3,17280,17664,384,90,0
3,2,65,F4,17376,17472,96,90,0
3,2,74,D5,17472,17568,96,90,0
3,2,65,F4,17568,17664,96,90,0
4,3,44,G#2,17664,18048,384,90,0
4,3,56,G#3,17664,18048,384,90,0
3,2,64,E4,17760,17856,96,90,0
3,2,74,D5,17856,17952,96,90,0
3,2,64,E4,17952,18048,96,90,0
4,3,45,A2,18048,18432,384,90,0
4,3,57,A3,18048,18432,384,90,0
3,2,64,E4,18144,18240,96,90,0
3,2,72,C5,18240,18336,96,90,0
3,2,64,E4,18336,18432,96,90,0
4,3,41,F2,18432,18816,384,90,0
4,3,53,F3,18432,18816,384,90,0
3,2,62,D4,18528,18624,96,90,0
3,2,72,C5,18624,18720,96,90,0
3,2,62,D4,18720,18816,96,90,0
4,3,43,G2,18816,19200,384,90,0
4,3,55,G3,18816,19200,384,90,0
3,2,62,D4,18912,19008,96,90,0
3,2,71,B4,19008,19104,96,90,0
3,2,62,D4,19104,19200,96,90,0
3,2,60,C4,19200,19584,384,90,0
3,2,72,C5,19200,19584,384,90,0
4,3,48,C3,19200,19584,384,90,0
4,3,52,E3,19200,19584,384,90,0
4,3,55,G3,19200,19584,384,90,0
3,2,67,G4,19968,20064,96,90,0
4,3,43,G2,19968,20736,768,90,0
4,3,52,E3,19968,20736,768,90,0
3,2,72,C5,20064,20160,96,90,0
3,2,76,E5,20160,20256,96,90,0
3,2,74,D5,20256,20352,96,90,0
3,2,72,C5,20352,20448,96,90,0
3,2,71,B4,20448,20544,96,90,0
3,2,69,A4,20544,20640,96,90,0
3,2,67,G4,20640,20736,96,90,0
3,2,65,F4,20736,20832,96,90,0
4,3,43,G2,20736,21504,768,90,0
4,3,50,D3,20736,21504,768,90,0
3,2,64,E4,20832,20928,96,90,0
3,2,62,D4,20928,21024,96,90,0
3,2,60,C4,21024,21120,96,90,0
3,2,59,B3,21120,21216,96,90,0
3,2,57,A3,21216,21312,96,90,0
3,2,55,G3,21312,21408,96,90,0
3,2,53,F3,21408,21504,96,90,0
3,2,52,E3,21504,21696,192,90,0
4,3,43,G2,21504,22272,768,90,0
4,3,48,C3,21504,22272,768,90,0
3,2,64,E4,21696,21888,192,90,0
3,2,65,F4,21888,22080,192,90,0
3,2,66,F#4,22080,22272,192,90,0
3,2,67,G4,22272,22560,288,90,0
4,3,43,G2,22272,23040,768,90,0
4,3,47,B2,22272,23040,768,90,0
3,2,64,E4,22560,22656,96,90,0
3,2,62,D4,22656,22848,192,90,0
3,2,67,G4,23040,23136,96,90,0
4,3,43,G2,23040,23808,768,90,0
4,3,52,E3,23040,23808,768,90,0
3,2,72,C5,23136,23232,96,90,0
3,2,76,E5,23232,23328,96,90,0
3,2,74,D5,23328,23424,96,90,0
3,2,72,C5,23424,23520,96,90,0
3,2,71,B4,23520,23616,96,90,0
3,2,69,A4,23616,23712,96,90,0
3,2,67,G4,23712,23808,96,90,0
3,2,65,F4,23808,23904,96,90,0
4,3,43,G2,23808,24576,768,90,0
4,3,50,D3,23808,24576,768,90,0
3,2,64,E4,23904,24000,96,90,0
3,2,62,D4,24000,24096,96,90,0
3,2,60,C4,24096,24192,96,90,0
3,2,59,B3,24192,24288,96,90,0
3,2,57,A3,24288,24384,96,90,0
3,2,55,G3,24384,24480,96,90,0
3,2,53,F3,24480,24576,96,90,0
3,2,52,E3,24576,24768,192,90,0
4,3,43,G2,24576,25344,768,90,0
4,3,48,C3,24576,25344,768,90,0
3,2,64,E4,24768,24960,192,90,0
3,2,65,F4,24960,25152,192,90,0
3,2,66,F#4,25152,25344,192,90,0
3,2,67,G4,25344,25632,288,90,0
4,3,43,G2,25344,26112,768,90,0
4,3,47,B2,25344,26112,768,90,0
3,2,64,E4,25632,25728,96,90,0
3,2,62,D4,25728,25920,192,90,0
5,4,60,C4,27648,27840,192,90,0
5,4,62,D4,27840,28032,192,90,0
5,4,63,D#4,28032,28224,192,90,0
5,4,65,F4,28224,28416,192,90,0
5,4,67,G4,28416,28800,384,90,0
5,4,67,G4,28800,29184,384,90,0
5,4,68,G#4,29184,29568,384,90,0
6,5,53,F3,29184,29376,192,90,0
6,5,55,G3,29376,29568,192,90,0
5,4,65,F4,29568,29952,384,90,0
6,5,56,G#3,29568,29760,192,90,0
6,5,58,A#3,29760,29952,192,90,0
5,4,67,G4,29952,30336,384,90,0
6,5,60,C4,29952,30336,384,90,0
5,4,63,D#4,30336,30720,384,90,0
6,5,60,C4,30336,30720,384,90,0
5,4,55,G3,30720,31488,768,90,0
5,4,65,F4,30720,31104,384,90,0
6,5,43,G2,30720,30912,192,90,0
6,5,45,A2,30912,31104,192,90,0
5,4,62,D4,31104,31488,384,90,0
6,5,47,B2,31104,31296,192,90,0
6,5,43,G2,31296,31488,192,90,0
5,4,55,G3,31488,31872,384,90,0
5,4,63,D#4,31488,31872,384,90,0
6,5,48,C3,31488,31680,192,90,0
6,5,43,G2,31680,31872,192,90,0
5,4,60,C4,31872,32256,384,90,0
6,5,44,G#2,31872,32064,192,90,0
6,5,51,D#3,32064,32256,192,90,0
5,4,62,D4,32256,32640,384,90,0
6,5,53,F3,32256,32448,192,90,0
6,5,50,D3,32448,32640,192,90,0
5,4,59,B3,32640,33024,384,90,0
6,5,55,G3,32640,32832,192,90,0
6,5,43,G2,32832,33024,192,90,0
5,4,60,C4,33024,33792,768,90,0
6,5,48,C3,33024,33792,768,90,0
5,4,55,G3,33792,34560,768,90,0
6,5,43,G2,33792,34560,768,90,0
5,4,67,G4,33984,34176,192,90,0
5,4,68,G#4,34176,34368,192,90,0
5,4,67,G4,34368,34560,192,90,0
5,4,57,A3,34560,34944,384,90,0
5,4,66,F#4,34560,34944,384,90,0
6,5,43,G2,34560,35328,768,90,0
5,4,59,B3,34944,35328,384,90,0
5,4,65,F4,34944,35328,384,90,0
5,4,60,C4,35328,35520,192,90,0
5,4,64,E4,35328,35712,384,90,0
6,5,43,G2,35328,36096,768,90,0
5,4,55,G3,35520,35712,192,90,0
5,4,56,G#3,35712,35904,192,90,0
5,4,63,D#4,35712,36096,384,90,0
5,4,55,G3,35904,36096,192,90,0
5,4,54,F#3,36096,36480,384,90,0
6,5,45,A2,36096,36480,384,90,0
5,4,53,F3,36480,36864,384,90,0
5,4,62,D4,36480,36864,384,90,0
6,5,47,B2,36480,36864,384,90,0
5,4,52,E3,36864,37248,384,90,0
6,5,48,C3,36864,37056,192,90,0
6,5,43,G2,37056,37248,192,90,0
5,4,51,D#3,37248,37632,384,90,0
5,4,60,C4,37248,37632,384,90,0
6,5,44,G#2,37248,37440,192,90,0
6,5,43,G2,37440,37632,192,90,0
5,4,51,D#3,37632,38016,384,90,0
6,5,42,F#2,37632,38016,384,90,0
5,4,56,G#3,38016,38400,384,90,0
5,4,59,B3,38016,38400,384,90,0
6,5,53,F3,38016,38400,384,90,0
5,4,55,G3,38400,39168,768,90,0
5,4,60,C4,38400,38592,192,90,0
6,5,52,E3,38400,38784,384,90,0
