# DoReDog MIDI extraction
# source,BitMidi (public-domain composition)
# ticks_per_quarter,256
# meta,0,0,tempo,937500
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,52,80,0,64
2,0,55,80,128,192
2,0,59,80,128,192
1,0,64,80,128,192
2,0,52,80,256,320
2,0,57,80,384,448
1,0,60,80,384,448
1,0,66,80,384,448
2,0,52,80,512,576
2,0,58,80,640,704
1,0,61,80,640,704
1,0,67,80,640,704
2,0,52,80,768,832
2,0,57,80,896,960
1,0,60,80,896,960
1,0,63,80,896,960
2,0,52,80,1024,1088
2,0,55,80,1152,1216
2,0,59,80,1152,1216
1,0,64,80,1152,1216
2,0,52,80,1280,1344
2,0,57,80,1408,1472
1,0,60,80,1408,1472
1,0,66,80,1408,1472
2,0,52,80,1536,1600
2,0,58,80,1664,1728
1,0,61,80,1664,1728
1,0,67,80,1664,1728
2,0,52,80,1792,1856
2,0,57,80,1920,1984
1,0,60,80,1920,1984
1,0,63,80,1920,1984
2,0,52,80,2048,2112
2,0,55,80,2176,2240
2,0,59,80,2176,2240
1,0,64,80,2176,2240
1,0,83,80,2176,2208
1,0,88,80,2176,2208
1,0,91,80,2176,2208
1,0,79,80,2240,2272
1,0,83,80,2240,2272
1,0,88,80,2240,2272
2,0,52,80,2304,2368
1,0,83,80,2304,2368
1,0,88,80,2304,2368
1,0,91,80,2304,2368
2,0,57,80,2432,2496
1,0,60,80,2432,2496
1,0,66,80,2432,2496
1,0,81,80,2432,2496
1,0,84,80,2432,2496
1,0,90,80,2432,2496
2,0,52,80,2560,2624
1,0,78,80,2560,2624
1,0,81,80,2560,2624
1,0,87,80,2560,2624
2,0,58,80,2688,2752
1,0,61,80,2688,2752
1,0,67,80,2688,2752
1,0,79,80,2688,2752
1,0,82,80,2688,2752
1,0,88,80,2688,2752
2,0,52,80,2816,2880
1,0,80,80,2816,2848
1,0,83,80,2816,2848
1,0,86,80,2816,2848
1,0,80,80,2880,2912
1,0,83,80,2880,2912
1,0,86,80,2880,2912
2,0,59,80,2944,3008
1,0,62,80,2944,3008
1,0,68,80,2944,3008
1,0,80,80,2944,3008
1,0,83,80,2944,3008
1,0,86,80,2944,3008
2,0,52,80,3072,3136
1,0,79,80,3072,3104
1,0,82,80,3072,3104
1,0,85,80,3072,3104
1,0,79,80,3136,3168
1,0,82,80,3136,3168
1,0,85,80,3136,3168
1,0,61,80,3200,3264
1,0,64,80,3200,3264
