# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,833333
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,66,80,0,192
1,0,68,80,192,288
1,0,69,80,288,384
2,0,50,80,384,768
2,0,52,80,384,1152
1,0,59,80,384,768
1,0,64,80,384,768
1,0,68,80,384,576
1,0,71,80,576,768
2,0,49,80,768,1152
1,0,64,80,768,1536
1,0,69,80,960,1152
2,0,47,80,1152,1344
2,0,52,80,1152,1536
1,0,68,80,1152,1344
1,0,71,80,1152,1344
2,0,45,80,1344,1536
1,0,69,80,1344,1536
1,0,73,80,1344,1536
2,0,44,80,1536,1920
2,0,52,80,1536,2304
1,0,64,80,1536,2304
1,0,71,80,1536,1920
1,0,76,80,1536,1920
2,0,45,80,1920,2304
1,0,69,80,1920,2304
1,0,73,80,1920,2304
1,0,73,80,2304,2496
1,0,74,80,2496,2592
1,0,76,80,2592,2688
2,0,46,80,2688,3072
2,0,54,80,2688,3072
2,0,61,80,2688,3072
1,0,66,80,2688,3072
1,0,73,80,2688,2880
1,0,78,80,2688,2880
1,0,73,80,2880,3072
2,0,47,80,3072,3456
2,0,54,80,3072,3456
2,0,59,80,3072,3456
1,0,66,80,3072,3456
1,0,71,80,3072,3456
1,0,74,80,3072,3456
1,0,66,80,3456,3648
1,0,68,80,3648,3744
1,0,69,80,3744,3840
2,0,47,80,3840,4224
2,0,57,80,3840,4224
1,0,63,80,3840,4224
1,0,73,80,3840,4032
1,0,70,80,4032,4416
2,0,52,80,4224,4608
2,0,56,80,4224,4608
1,0,62,80,4224,4608
1,0,71,80,4416,4608
1,0,66,80,4608,4800
1,0,68,80,4800,4896
1,0,69,80,4896,4992
2,0,50,80,4992,5376
2,0,52,80,4992,5760
1,0,59,80,4992,5376
1,0,64,80,4992,5376
1,0,68,80,4992,5184
1,0,71,80,5184,5376
2,0,49,80,5376,5760
1,0,64,80,5376,6144
1,0,69,80,5568,5760
2,0,47,80,5760,5952
2,0,52,80,5760,6144
1,0,68,80,5760,5952
1,0,71,80,5760,5952
2,0,45,80,5952,6144
1,0,69,80,5952,6144
1,0,73,80,5952,6144
2,0,44,80,6144,6528
2,0,52,80,6144,6912
1,0,64,80,6144,6912
1,0,71,80,6144,6528
1,0,76,80,6144,6528
2,0,45,80,6528,6912
1,0,69,80,6528,6912
1,0,73,80,6528,6912
1,0,73,80,6912,7104
1,0,75,80,7104,7200
1,0,76,80,7200,7296
2,0,47,80,7296,8448
1,0,64,80,7296,7680
1,0,68,80,7296,7488
1,0,73,80,7488,7680
2,0,57,80,7680,7872
1,0,63,80,7680,8064
1,0,66,80,7680,8064
1,0,71,80,7680,8064
2,0,59,80,7872,8064
2,0,56,80,8064,8448
