# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,394736
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,78,80,0,576
2,0,47,80,384,768
1,0,79,80,576,768
2,0,54,80,768,1152
2,0,59,80,768,1152
2,0,62,80,768,1152
1,0,78,80,768,960
1,0,73,80,960,1152
2,0,54,80,1152,1536
2,0,59,80,1152,1536
2,0,62,80,1152,1536
1,0,74,80,1152,1344
1,0,71,80,1344,1536
2,0,49,80,1536,1920
1,0,70,80,1536,2304
2,0,54,80,1920,2304
2,0,61,80,1920,2304
2,0,64,80,1920,2304
2,0,54,80,2304,2688
2,0,61,80,2304,2688
2,0,64,80,2304,2688
1,0,78,80,2304,2880
2,0,46,80,2688,3072
1,0,79,80,2880,3072
2,0,54,80,3072,3456
2,0,61,80,3072,3456
2,0,64,80,3072,3456
1,0,78,80,3072,3264
1,0,73,80,3264,3456
2,0,54,80,3456,3840
2,0,58,80,3456,3840
2,0,64,80,3456,3840
1,0,76,80,3456,3648
1,0,74,80,3648,3840
2,0,47,80,3840,4224
1,0,71,80,3840,4608
2,0,54,80,4224,4608
2,0,59,80,4224,4608
2,0,62,80,4224,4608
2,0,54,80,4608,4992
2,0,59,80,4608,4992
2,0,62,80,4608,4992
1,0,78,80,4608,5184
2,0,47,80,4992,5376
1,0,79,80,5184,5376
2,0,54,80,5376,5760
2,0,59,80,5376,5760
2,0,62,80,5376,5760
1,0,77,80,5376,5568
1,0,78,80,5568,5760
2,0,54,80,5760,6144
2,0,59,80,5760,6144
2,0,62,80,5760,6144
1,0,83,80,5760,5952
1,0,86,80,5952,6144
2,0,47,80,6144,6528
1,0,86,80,6144,6528
2,0,56,80,6528,6912
2,0,59,80,6528,6912
2,0,62,80,6528,6912
1,0,77,80,6528,6912
2,0,56,80,6912,7296
2,0,59,80,6912,7296
2,0,62,80,6912,7296
1,0,86,80,6912,7680
2,0,47,80,7296,7680
2,0,55,80,7680,8064
2,0,59,80,7680,8064
2,0,64,80,7680,8064
1,0,76,80,7680,8064
2,0,55,80,8064,8448
2,0,59,80,8064,8448
2,0,64,80,8064,8448
1,0,85,80,8064,8640
2,0,47,80,8448,8832
1,0,83,80,8640,8832
2,0,54,80,8832,9216
2,0,61,80,8832,9216
2,0,64,80,8832,9216
1,0,82,80,8832,9024
1,0,79,80,9024,9216
2,0,54,80,9216,9600
2,0,58,80,9216,9600
2,0,64,80,9216,9600
1,0,78,80,9216,9408
1,0,73,80,9408,9600
2,0,47,80,9600,9984
1,0,74,80,9600,9792
1,0,79,80,9792,9984
2,0,54,80,9984,10368
2,0,59,80,9984,10368
2,0,62,80,9984,10368
1,0,78,80,9984,10176
1,0,73,80,10176,10368
2,0,54,80,10368,10752
2,0,59,80,10368,10752
2,0,62,80,10368,10752
1,0,74,80,10368,10560
1,0,71,80,10560,10752
2,0,49,80,10752,11136
1,0,70,80,10752,11520
2,0,54,80,11136,11520
2,0,61,80,11136,11520
2,0,64,80,11136,11520
2,0,54,80,11520,11904
2,0,61,80,11520,11904
2,0,64,80,11520,11904
1,0,78,80,11520,12096
