# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,49,80,0,384
1,0,56,80,0,384
1,0,61,80,0,384
1,0,65,80,0,384
2,0,46,80,384,768
2,0,49,80,384,768
1,0,58,80,384,768
1,0,61,80,384,768
1,0,65,80,384,768
2,0,42,80,768,1152
2,0,49,80,768,1152
1,0,58,80,768,1152
1,0,61,80,768,1152
1,0,68,80,768,960
1,0,66,80,960,1152
2,0,37,80,1152,1536
2,0,49,80,1152,1536
1,0,56,80,1152,1536
1,0,61,80,1152,1536
1,0,65,80,1152,1536
2,0,39,80,1536,1920
2,0,46,80,1536,1920
1,0,54,80,1536,1920
1,0,58,80,1536,1920
1,0,63,80,1536,1920
2,0,32,80,1920,2304
2,0,44,80,1920,2304
1,0,54,80,1920,2304
1,0,60,80,1920,2304
1,0,63,80,1920,2304
1,0,70,80,1920,2208
1,0,68,80,2208,2304
2,0,37,80,2304,3840
2,0,44,80,2304,3840
1,0,53,80,2304,3840
1,0,61,80,2304,3840
1,0,68,80,2304,3456
1,0,65,80,3456,3840
2,0,58,80,4032,4416
1,0,61,80,4032,4416
1,0,65,80,4032,4416
1,0,73,80,4032,4416
2,0,56,80,4416,4608
1,0,61,80,4416,4608
1,0,65,80,4416,4608
1,0,72,80,4416,4800
2,0,54,80,4608,4992
1,0,61,80,4608,4992
1,0,66,80,4608,4992
1,0,70,80,4800,5184
2,0,49,80,4992,5376
1,0,61,80,4992,5376
1,0,65,80,4992,5376
1,0,68,80,5184,5568
2,0,51,80,5376,5760
1,0,58,80,5376,5760
1,0,63,80,5376,5760
1,0,66,80,5568,5952
2,0,46,80,5760,6144
1,0,58,80,5760,6144
1,0,61,80,5760,6144
1,0,65,80,5952,6144
2,0,43,80,6144,6912
1,0,58,80,6144,6912
1,0,61,80,6144,6912
1,0,65,80,6144,6912
2,0,44,80,6912,7296
1,0,60,80,6912,7488
1,0,63,80,6912,7488
1,0,64,80,7488,7680
2,0,49,80,7680,8064
1,0,56,80,7680,8064
1,0,61,80,7680,8064
1,0,65,80,7680,8064
2,0,46,80,8064,8448
2,0,49,80,8064,8448
1,0,58,80,8064,8448
1,0,61,80,8064,8448
1,0,65,80,8064,8448
2,0,42,80,8448,8832
2,0,49,80,8448,8832
1,0,58,80,8448,8832
1,0,61,80,8448,8832
1,0,68,80,8448,8640
1,0,66,80,8640,8832
2,0,37,80,8832,9216
2,0,49,80,8832,9216
1,0,56,80,8832,9216
1,0,61,80,8832,9216
1,0,65,80,8832,9216
2,0,39,80,9216,9600
2,0,46,80,9216,9600
1,0,54,80,9216,9600
1,0,58,80,9216,9600
1,0,63,80,9216,9600
2,0,32,80,9600,9984
2,0,44,80,9600,9984
1,0,54,80,9600,9984
1,0,60,80,9600,9984
1,0,63,80,9600,9984
1,0,70,80,9600,9888
1,0,68,80,9888,9984
2,0,37,80,9984,11520
2,0,44,80,9984,11520
1,0,53,80,9984,11520
1,0,61,80,9984,11520
1,0,68,80,9984,11136
1,0,65,80,11136,11520
2,0,58,80,11712,12096
1,0,61,80,11712,12096
1,0,65,80,11712,12096
1,0,73,80,11712,12096
2,0,53,80,12096,12288
1,0,63,80,12096,12480
1,0,69,80,12096,12480
1,0,72,80,12096,12480
2,0,54,80,12288,12672
1,0,61,80,12480,12672
1,0,70,80,12480,12864
2,0,51,80,12672,13056
1,0,63,80,12672,13056
1,0,66,80,12672,13056
1,0,71,80,12864,13248
2,0,53,80,13056,13440
1,0,61,80,13056,13440
1,0,65,80,13056,13440
1,0,70,80,13248,13632
2,0,41,80,13440,13824
2,0,53,80,13440,13824
1,0,60,80,13440,13824
1,0,63,80,13440,13824
1,0,69,80,13632,13824
2,0,46,80,13824,14592
2,0,53,80,13824,14592
1,0,61,80,13824,14592
1,0,70,80,13824,14592
2,0,56,80,15360,15744
2,0,48,80,15552,15744
2,0,51,80,15552,15744
2,0,56,80,15744,16128
2,0,49,80,15936,16128
2,0,52,80,15936,16128
2,0,57,80,16128,16704
2,0,51,80,16320,16512
2,0,54,80,16320,16512
2,0,56,80,16704,16896
2,0,56,80,16896,17088
2,0,64,80,17088,17280
2,0,52,80,17280,17664
2,0,56,80,17280,17664
2,0,63,80,17280,17472
2,0,61,80,17472,17664
2,0,54,80,17664,18048
2,0,57,80,17664,18048
2,0,61,80,17664,18048
2,0,60,80,18048,18240
1,0,68,80,18432,18816
1,0,60,80,18624,18816
1,0,63,80,18624,18816
1,0,68,80,18816,19200
1,0,61,80,19008,19200
1,0,64,80,19008,19200
1,0,69,80,19200,19776
1,0,63,80,19392,19584
1,0,66,80,19392,19584
1,0,68,80,19776,19968
1,0,68,80,19968,20160
1,0,76,80,20160,20352
1,0,64,80,20352,20736
1,0,68,80,20352,20736
1,0,75,80,20352,20544
1,0,73,80,20544,20736
1,0,63,80,20736,21504
1,0,66,80,20736,21504
1,0,69,80,20736,21504
1,0,73,80,20736,21312
1,0,72,80,21312,21504
1,0,73,80,21504,21888
2,0,57,80,21696,21888
1,0,61,80,21696,21888
1,0,64,80,21696,21888
1,0,71,80,21888,22272
2,0,56,80,22080,22272
1,0,61,80,22080,22272
1,0,65,80,22080,22272
1,0,71,80,22272,22464
2,0,54,80,22464,22656
1,0,61,80,22464,22656
1,0,66,80,22464,22656
1,0,69,80,22464,22656
1,0,69,80,22656,22848
2,0,47,80,22848,23040
1,0,59,80,22848,23040
1,0,62,80,22848,23040
1,0,67,80,22848,23040
1,0,67,80,23040,23232
2,0,49,80,23232,23424
1,0,57,80,23232,23424
1,0,61,80,23232,23424
1,0,66,80,23232,23424
1,0,66,80,23424,23616
2,0,37,80,23616,23808
2,0,49,80,23616,23808
1,0,56,80,23616,23808
1,0,59,80,23616,23808
1,0,65,80,23616,23808
2,0,42,80,23808,24576
2,0,49,80,23808,24576
1,0,57,80,23808,24576
1,0,66,80,23808,24576
2,0,30,80,24576,24960
2,0,42,80,24576,24960
1,0,57,80,24576,25344
