# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,55,80,0,288
1,0,67,80,0,288
1,0,71,80,0,288
2,0,57,80,288,384
1,0,67,80,288,384
1,0,72,80,288,384
2,0,59,80,384,576
1,0,67,80,384,576
1,0,74,80,384,576
2,0,60,80,768,960
1,0,67,80,768,960
1,0,76,80,768,960
2,0,59,80,1152,1344
1,0,67,80,1152,1344
1,0,74,80,1152,1344
2,0,57,80,1536,1728
1,0,66,80,1536,1728
1,0,72,80,1536,1728
2,0,55,80,1920,2112
1,0,67,80,1920,2112
1,0,71,80,1920,2112
2,0,50,80,2304,2496
2,0,60,80,2304,2496
1,0,66,80,2304,2496
1,0,69,80,2304,2496
2,0,55,80,2688,2880
2,0,59,80,2688,2880
1,0,67,80,2688,2880
2,0,55,80,3072,3360
1,0,67,80,3072,3360
1,0,71,80,3072,3360
2,0,57,80,3360,3456
1,0,67,80,3360,3456
1,0,72,80,3360,3456
2,0,59,80,3456,3648
1,0,67,80,3456,3648
1,0,74,80,3456,3648
2,0,60,80,3840,4032
1,0,67,80,3840,4032
1,0,76,80,3840,4032
2,0,59,80,4224,4416
1,0,67,80,4224,4416
1,0,74,80,4224,4416
2,0,61,80,4608,4800
1,0,76,80,4608,4800
1,0,79,80,4608,4800
2,0,62,80,4992,5184
1,0,74,80,4992,5184
1,0,78,80,4992,5184
2,0,57,80,5376,5568
2,0,67,80,5376,5568
1,0,73,80,5376,5568
1,0,76,80,5376,5568
2,0,62,80,5760,5952
2,0,66,80,5760,5952
1,0,74,80,5760,5952
2,0,55,80,6144,6432
1,0,67,80,6144,6432
1,0,71,80,6144,6432
2,0,57,80,6432,6528
1,0,67,80,6432,6528
1,0,72,80,6432,6528
2,0,59,80,6528,6720
1,0,67,80,6528,6720
1,0,74,80,6528,6720
2,0,60,80,6912,7104
1,0,67,80,6912,7104
1,0,76,80,6912,7104
2,0,59,80,7296,7488
1,0,67,80,7296,7488
1,0,74,80,7296,7488
2,0,57,80,7680,7872
1,0,66,80,7680,7872
1,0,72,80,7680,7872
2,0,55,80,8064,8256
1,0,67,80,8064,8256
1,0,71,80,8064,8256
2,0,50,80,8448,8640
2,0,60,80,8448,8640
1,0,66,80,8448,8640
1,0,69,80,8448,8640
2,0,55,80,8832,9024
2,0,59,80,8832,9024
1,0,67,80,8832,9024
2,0,55,80,9216,9504
1,0,67,80,9216,9504
1,0,71,80,9216,9504
2,0,57,80,9504,9600
1,0,67,80,9504,9600
1,0,72,80,9504,9600
2,0,59,80,9600,9792
1,0,67,80,9600,9792
1,0,74,80,9600,9792
2,0,60,80,9984,10176
1,0,67,80,9984,10176
1,0,76,80,9984,10176
2,0,59,80,10368,10560
1,0,67,80,10368,10560
1,0,74,80,10368,10560
2,0,61,80,10752,10944
1,0,76,80,10752,10944
1,0,79,80,10752,10944
2,0,62,80,11136,11328
1,0,74,80,11136,11328
1,0,78,80,11136,11328
2,0,57,80,11520,11712
2,0,67,80,11520,11712
1,0,73,80,11520,11712
1,0,76,80,11520,11712
2,0,62,80,11904,12096
2,0,66,80,11904,12096
1,0,74,80,11904,12096
2,0,50,80,12288,12576
1,0,62,80,12288,12576
2,0,52,80,12576,12672
1,0,64,80,12576,12672
2,0,54,80,12672,13056
1,0,66,80,12672,13056
2,0,52,80,13056,13440
1,0,64,80,13056,13440
2,0,50,80,13440,13824
1,0,62,80,13440,13824
2,0,60,80,13824,14016
1,0,66,80,13824,14016
1,0,76,80,13824,14016
2,0,59,80,14208,14400
1,0,67,80,14208,14400
1,0,74,80,14208,14400
2,0,54,80,14592,14784
2,0,62,80,14592,14784
1,0,69,80,14592,14784
1,0,72,80,14592,14784
2,0,55,80,14976,15168
2,0,62,80,14976,15168
1,0,67,80,14976,15168
1,0,71,80,14976,15168
2,0,50,80,15360,15648
1,0,62,80,15360,15648
1,0,66,80,15360,15648
1,0,69,80,15360,15648
2,0,52,80,15648,15744
1,0,64,80,15648,15744
2,0,54,80,15744,16128
1,0,66,80,15744,16128
2,0,52,80,16128,16512
1,0,64,80,16128,16512
2,0,50,80,16512,16896
1,0,62,80,16512,16896
2,0,54,80,16896,17088
2,0,62,80,16896,17088
1,0,69,80,16896,17088
1,0,72,80,16896,17088
2,0,55,80,17280,17472
2,0,62,80,17280,17472
1,0,67,80,17280,17472
1,0,71,80,17280,17472
2,0,50,80,17664,17856
2,0,62,80,17664,17856
1,0,66,80,17664,17856
1,0,69,80,17664,17856
2,0,55,80,18048,18240
2,0,62,80,18048,18240
1,0,67,80,18048,18240
1,0,71,80,18048,18240
2,0,55,80,18432,18720
1,0,67,80,18432,18720
1,0,71,80,18432,18720
2,0,57,80,18720,18816
1,0,67,80,18720,18816
1,0,72,80,18720,18816
2,0,59,80,18816,19008
1,0,67,80,18816,19008
1,0,74,80,18816,19008
2,0,60,80,19200,19392
1,0,67,80,19200,19392
1,0,76,80,19200,19392
2,0,59,80,19584,19776
1,0,67,80,19584,19776
1,0,74,80,19584,19776
2,0,57,80,19968,20160
1,0,66,80,19968,20160
1,0,72,80,19968,20160
2,0,55,80,20352,20544
1,0,67,80,20352,20544
1,0,71,80,20352,20544
2,0,50,80,20736,20928
2,0,60,80,20736,20928
1,0,66,80,20736,20928
1,0,69,80,20736,20928
2,0,55,80,21120,21312
2,0,59,80,21120,21312
1,0,67,80,21120,21312
2,0,48,80,21504,21792
1,0,60,80,21504,21792
2,0,50,80,21792,21888
1,0,62,80,21792,21888
2,0,52,80,21888,22272
