# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,55,80,0,192
1,0,71,80,96,192
2,0,59,80,192,384
1,0,67,80,288,384
2,0,62,80,384,576
1,0,62,80,480,576
2,0,67,80,576,768
1,0,59,80,672,768
2,0,71,80,768,960
1,0,55,80,864,960
1,0,54,80,960,1056
2,0,73,80,960,1152
1,0,52,80,1056,1152
1,0,54,80,1152,1344
2,0,74,80,1248,1344
1,0,57,80,1344,1536
2,0,69,80,1440,1536
1,0,62,80,1536,1728
2,0,66,80,1632,1728
1,0,66,80,1728,1920
2,0,62,80,1824,1920
1,0,69,80,1920,2112
2,0,57,80,2016,2112
2,0,55,80,2112,2208
1,0,74,80,2112,2304
2,0,54,80,2208,2304
2,0,52,80,2304,2496
1,0,67,80,2400,2496
2,0,55,80,2496,2688
1,0,64,80,2592,2688
2,0,57,80,2688,2880
1,0,61,80,2784,2880
2,0,61,80,2880,3072
1,0,57,80,2976,3072
2,0,64,80,3072,3264
1,0,55,80,3168,3264
1,0,54,80,3264,3360
2,0,67,80,3264,3456
1,0,52,80,3360,3456
1,0,50,80,3456,3648
2,0,66,80,3552,3648
1,0,54,80,3648,3840
2,0,62,80,3744,3840
1,0,57,80,3840,4032
2,0,57,80,3936,4032
1,0,62,80,4032,4224
2,0,54,80,4128,4224
1,0,66,80,4224,4416
2,0,52,80,4320,4416
2,0,50,80,4416,4512
1,0,69,80,4416,4608
2,0,48,80,4512,4608
2,0,47,80,4608,4800
1,0,66,80,4704,4800
2,0,50,80,4800,4992
1,0,62,80,4896,4992
2,0,55,80,4992,5184
1,0,59,80,5088,5184
2,0,59,80,5184,5376
1,0,55,80,5280,5376
2,0,62,80,5376,5568
1,0,53,80,5472,5568
1,0,52,80,5568,5664
2,0,65,80,5568,5760
1,0,50,80,5664,5760
1,0,48,80,5760,5952
2,0,64,80,5856,5952
1,0,52,80,5952,6144
2,0,60,80,6048,6144
1,0,55,80,6144,6336
2,0,55,80,6240,6336
1,0,60,80,6336,6528
2,0,52,80,6432,6528
1,0,64,80,6528,6720
2,0,48,80,6624,6720
2,0,47,80,6720,6816
1,0,67,80,6720,6912
2,0,45,80,6816,6912
2,0,50,80,6912,7104
1,0,66,80,7008,7104
2,0,54,80,7104,7296
1,0,62,80,7200,7296
2,0,57,80,7296,7488
1,0,57,80,7392,7488
2,0,62,80,7488,7680
1,0,54,80,7584,7680
2,0,66,80,7680,7872
1,0,50,80,7776,7872
1,0,48,80,7872,7968
2,0,69,80,7872,8064
1,0,50,80,7968,8064
1,0,43,80,8064,8256
2,0,71,80,8160,8256
1,0,47,80,8256,8448
2,0,67,80,8352,8448
1,0,50,80,8448,8640
2,0,62,80,8544,8640
1,0,55,80,8640,8832
2,0,59,80,8736,8832
1,0,54,80,8832,9024
2,0,57,80,8928,9024
2,0,55,80,9024,9120
1,0,60,80,9024,9216
2,0,54,80,9120,9216
2,0,55,80,9216,9408
1,0,59,80,9216,9280
1,0,57,80,9280,9344
1,0,59,80,9344,9408
1,0,61,80,9408,9472
1,0,59,80,9472,9536
1,0,61,80,9536,9600
1,0,62,80,9600,9664
2,0,83,80,9600,9984
1,0,61,80,9664,9728
1,0,62,80,9728,9792
1,0,64,80,9792,9856
1,0,62,80,9856,9920
1,0,64,80,9920,9984
1,0,66,80,9984,10048
1,0,64,80,10048,10112
1,0,66,80,10112,10176
2,0,64,80,10176,10368
1,0,67,80,10176,10240
1,0,66,80,10240,10304
1,0,67,80,10304,10368
2,0,54,80,10368,10560
1,0,69,80,10368,10432
1,0,67,80,10432,10496
1,0,69,80,10496,10560
1,0,71,80,10560,10624
1,0,69,80,10624,10688
1,0,71,80,10688,10752
1,0,73,80,10752,10816
2,0,81,80,10752,11136
1,0,71,80,10816,10880
1,0,73,80,10880,10944
1,0,74,80,10944,11008
1,0,73,80,11008,11072
1,0,74,80,11072,11136
1,0,76,80,11136,11200
1,0,74,80,11200,11264
1,0,76,80,11264,11328
2,0,62,80,11328,11520
1,0,78,80,11328,11392
1,0,76,80,11392,11456
1,0,78,80,11456,11520
2,0,71,80,11520,11584
1,0,79,80,11520,11712
2,0,72,80,11584,11648
2,0,71,80,11648,11712
2,0,69,80,11712,11776
2,0,71,80,11776,11840
2,0,69,80,11840,11904
1,0,52,80,11904,12288
2,0,67,80,11904,11968
2,0,69,80,11968,12032
2,0,67,80,12032,12096
2,0,66,80,12096,12160
2,0,67,80,12160,12224
2,0,66,80,12224,12288
2,0,64,80,12288,12352
2,0,66,80,12352,12416
2,0,64,80,12416,12480
2,0,62,80,12480,12544
1,0,71,80,12480,12672
2,0,64,80,12544,12608
2,0,62,80,12608,12672
2,0,61,80,12672,12736
1,0,79,80,12672,12864
2,0,62,80,12736,12800
2,0,61,80,12800,12864
2,0,59,80,12864,12928
2,0,61,80,12928,12992
2,0,59,80,12992,13056
1,0,49,80,13056,13440
2,0,57,80,13056,13120
2,0,59,80,13120,13184
2,0,57,80,13184,13248
2,0,55,80,13248,13312
2,0,57,80,13312,13376
2,0,55,80,13376,13440
2,0,54,80,13440,13504
2,0,55,80,13504,13568
2,0,54,80,13568,13632
2,0,52,80,13632,13696
1,0,79,80,13632,13824
2,0,54,80,13696,13760
2,0,52,80,13760,13824
2,0,50,80,13824,14016
1,0,78,80,13824,13888
1,0,81,80,13888,13952
1,0,74,80,13952,14016
2,0,57,80,14016,14208
1,0,76,80,14016,14080
1,0,79,80,14080,14144
1,0,73,80,14144,14208
2,0,66,80,14208,14400
1,0,74,80,14208,14272
1,0,78,80,14272,14336
1,0,71,80,14336,14400
2,0,57,80,14400,14592
1,0,72,80,14400,14464
1,0,76,80,14464,14528
1,0,69,80,14528,14592
2,0,50,80,14592,14784
1,0,71,80,14592,14656
1,0,74,80,14656,14720
1,0,67,80,14720,14784
2,0,60,80,14784,14976
1,0,69,80,14784,14848
1,0,72,80,14848,14912
1,0,66,80,14912,14976
2,0,59,80,14976,15040
1,0,67,80,14976,15168
2,0,55,80,15040,15104
2,0,62,80,15104,15168
1,0,55,80,15168,15360
2,0,61,80,15168,15232
2,0,57,80,15232,15296
2,0,64,80,15296,15360
1,0,54,80,15360,15552
2,0,62,80,15360,15424
