# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,960
# meta,0,0,tempo,508474
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,41,80,0,5760
2,0,41,80,0,5760
2,0,48,80,0,5760
2,0,41,80,5760,11520
2,0,41,80,5760,11520
2,0,48,80,5760,11520
2,0,41,80,11520,17280
2,0,41,80,11520,17280
2,0,48,80,11520,17280
2,0,58,80,11520,15360
1,0,62,80,11520,15360
1,0,67,80,11520,15360
2,0,53,80,15360,16320
2,0,58,80,15360,16320
1,0,62,80,15360,16320
2,0,58,80,16320,17240
1,0,62,80,16320,17240
1,0,67,80,16320,17240
2,0,41,80,17280,23040
2,0,41,80,17280,23040
2,0,48,80,17280,23040
1,0,62,80,17280,18240
1,0,64,80,17280,18240
1,0,70,80,17280,18240
1,0,60,80,18240,19200
1,0,64,80,18240,19200
1,0,69,80,18240,19200
2,0,58,80,19200,21040
1,0,62,80,19200,21040
1,0,67,80,19200,21040
1,0,60,80,21120,22080
1,0,64,80,21120,22080
1,0,69,80,21120,22080
2,0,57,80,22080,23000
1,0,60,80,22080,23000
1,0,65,80,22080,23000
2,0,41,80,23040,28800
2,0,41,80,23040,28800
2,0,48,80,23040,28800
2,0,53,80,23040,24000
2,0,57,80,23040,24000
1,0,62,80,23040,24000
2,0,55,80,24000,24920
2,0,58,80,24000,24920
1,0,67,80,24000,24920
2,0,58,80,24960,26880
1,0,62,80,24960,26880
1,0,67,80,24960,26880
1,0,60,80,26880,28800
1,0,64,80,26880,28800
1,0,69,80,26880,28800
2,0,41,80,28800,34560
2,0,41,80,28800,34560
2,0,48,80,28800,34560
2,0,58,80,28800,34560
1,0,62,80,28800,34560
1,0,67,80,28800,34560
2,0,41,80,34560,40320
2,0,41,80,34560,40320
2,0,48,80,34560,40320
2,0,58,80,34560,38400
1,0,61,80,34560,38400
1,0,67,80,34560,38400
2,0,53,80,38400,39360
2,0,58,80,38400,39360
1,0,61,80,38400,39360
2,0,58,80,39360,40320
1,0,61,80,39360,40320
1,0,67,80,39360,40320
2,0,41,80,40320,46080
2,0,41,80,40320,46080
2,0,48,80,40320,46080
1,0,61,80,40320,41240
1,0,64,80,40320,41240
1,0,70,80,40320,41240
1,0,60,80,41280,42240
1,0,64,80,41280,42240
1,0,68,80,41280,42240
2,0,58,80,42240,44080
1,0,61,80,42240,44080
1,0,67,80,42240,44080
1,0,60,80,44160,45120
1,0,64,80,44160,45120
1,0,68,80,44160,45120
2,0,56,80,45120,46040
1,0,60,80,45120,46040
1,0,65,80,45120,46040
2,0,41,80,46080,51840
2,0,41,80,46080,51840
2,0,48,80,46080,51840
2,0,53,80,46080,47040
2,0,56,80,46080,47040
1,0,61,80,46080,47040
2,0,55,80,47040,48000
2,0,58,80,47040,48000
1,0,64,80,47040,48000
2,0,58,80,48000,49840
1,0,61,80,48000,49840
1,0,67,80,48000,49840
1,0,60,80,49920,51840
1,0,64,80,49920,51840
1,0,68,80,49920,51840
2,0,41,80,51840,57600
2,0,41,80,51840,57600
2,0,48,80,51840,57600
2,0,58,80,51840,57600
1,0,61,80,51840,57600
1,0,67,80,51840,57600
2,0,53,80,57600,63360
2,0,55,80,57600,63360
2,0,58,80,57600,63360
1,0,64,80,57600,63360
1,0,61,80,58560,61440
1,0,60,80,61440,62400
2,0,58,80,62400,63320
2,0,53,80,63360,66240
2,0,56,80,63360,64320
1,0,60,80,63360,66240
1,0,65,80,63360,66240
2,0,55,80,64320,65280
2,0,53,80,65280,66200
2,0,51,80,66240,67200
1,0,60,80,66240,69120
1,0,65,80,66240,69120
1,0,68,80,66240,69120
2,0,49,80,67200,68160
2,0,48,80,68160,69080
2,0,47,80,69120,74880
2,0,47,80,69120,74880
1,0,62,80,69120,74880
1,0,65,80,69120,74880
1,0,68,80,69120,74880
2,0,46,80,74880,80640
2,0,46,80,74880,80640
1,0,62,80,74880,80640
1,0,65,80,74880,80640
1,0,68,80,74880,80640
2,0,45,80,80640,84960
2,0,45,80,80640,84960
1,0,62,80,80640,84960
1,0,65,80,80640,84960
1,0,69,80,80640,84960
2,0,38,80,84960,85920
1,0,62,80,84960,86920
1,0,65,80,84960,86920
1,0,69,80,84960,86880
1,0,74,80,84960,86920
2,0,57,80,86880,87800
1,0,64,80,86880,87800
1,0,69,80,86880,87840
1,0,72,80,86880,87800
2,0,38,80,87840,88800
1,0,62,80,87840,88800
1,0,65,80,87840,88800
1,0,69,80,87840,88800
1,0,74,80,87840,88800
2,0,57,80,88800,90640
1,0,64,80,88800,90640
1,0,69,80,88800,90720
1,0,72,80,88800,90640
2,0,38,80,90720,91680
1,0,62,80,90720,91680
1,0,65,80,90720,91680
1,0,69,80,90720,91680
1,0,74,80,90720,91680
1,0,60,80,91680,92640
1,0,67,80,91680,92640
1,0,72,80,91680,92640
1,0,76,80,91680,92640
2,0,53,80,92640,93560
1,0,69,80,92640,93560
1,0,72,80,92640,93600
1,0,77,80,92640,93560
2,0,46,80,93600,94560
2,0,58,80,93600,94560
1,0,65,80,93600,94560
1,0,70,80,93600,94560
1,0,74,80,93600,94560
2,0,53,80,94560,95520
1,0,65,80,94560,95520
1,0,69,80,94560,95520
1,0,72,80,94560,95520
2,0,58,80,95520,96440
1,0,65,80,95520,96480
1,0,70,80,95520,96440
1,0,74,80,95520,96440
2,0,39,80,96480,97440
2,0,51,80,96480,98440
1,0,67,80,96480,98440
1,0,70,80,96480,98400
1,0,75,80,96480,98440
2,0,58,80,98400,99320
1,0,65,80,98400,99320
