# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,600000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,46,80,576,608
2,0,46,80,576,928
2,0,53,80,608,640
2,0,58,80,640,672
1,0,62,80,672,712
2,0,53,80,768,808
2,0,58,80,768,808
1,0,62,80,768,808
2,0,46,80,864,896
2,0,56,80,896,928
2,0,58,80,928,960
1,0,65,80,960,1000
2,0,56,80,1056,1096
2,0,58,80,1056,1096
1,0,65,80,1056,1096
2,0,46,80,1152,1184
2,0,46,80,1152,1416
2,0,55,80,1184,1216
2,0,58,80,1216,1248
1,0,63,80,1248,1336
2,0,55,80,1344,1432
2,0,58,80,1344,1432
1,0,63,80,1344,1432
2,0,46,80,1440,1472
2,0,46,80,1440,1704
2,0,53,80,1472,1504
2,0,58,80,1504,1536
1,0,62,80,1536,1624
2,0,53,80,1632,1720
2,0,58,80,1632,1720
1,0,62,80,1632,1720
2,0,46,80,1728,1760
2,0,46,80,1728,2080
2,0,52,80,1760,1792
2,0,55,80,1792,1824
1,0,60,80,1824,1864
2,0,52,80,1920,1960
2,0,55,80,1920,1960
1,0,60,80,1920,1960
2,0,46,80,2016,2048
2,0,55,80,2048,2080
2,0,58,80,2080,2112
1,0,67,80,2112,2152
2,0,55,80,2208,2248
2,0,58,80,2208,2248
1,0,67,80,2208,2248
2,0,46,80,2304,2336
2,0,46,80,2304,2656
2,0,51,80,2336,2368
2,0,54,80,2368,2400
1,0,60,80,2400,2440
2,0,51,80,2496,2536
2,0,54,80,2496,2536
1,0,60,80,2496,2536
2,0,46,80,2592,2624
2,0,54,80,2624,2656
2,0,57,80,2656,2688
1,0,63,80,2688,2728
2,0,46,80,2784,2824
2,0,54,80,2784,2824
2,0,57,80,2784,2824
2,0,46,80,2880,2912
2,0,46,80,2880,3408
2,0,53,80,2912,2944
2,0,58,80,2944,2976
1,0,62,80,2976,3064
2,0,53,80,3072,3160
2,0,58,80,3072,3160
1,0,62,80,3072,3160
2,0,46,80,3168,3200
2,0,53,80,3200,3232
2,0,58,80,3232,3264
1,0,62,80,3264,3352
2,0,53,80,3360,3448
2,0,58,80,3360,3448
1,0,62,80,3360,3448
2,0,46,80,3456,3488
2,0,53,80,3488,3520
2,0,58,80,3520,3552
1,0,62,80,3552,3640
2,0,53,80,3648,3736
2,0,58,80,3648,3736
1,0,62,80,3648,3736
2,0,46,80,3744,3776
2,0,53,80,3776,3808
2,0,58,80,3808,3840
1,0,62,80,3840,3928
2,0,53,80,3936,4024
2,0,58,80,3936,4024
1,0,62,80,3936,4024
2,0,46,80,4032,4064
2,0,46,80,4032,4296
1,0,74,80,4032,4072
2,0,53,80,4064,4096
2,0,58,80,4096,4128
1,0,62,80,4128,4216
1,0,74,80,4128,4168
2,0,53,80,4224,4312
2,0,58,80,4224,4312
1,0,62,80,4224,4312
1,0,74,80,4224,4264
1,0,77,80,4296,4320
2,0,46,80,4320,4352
2,0,46,80,4320,4584
1,0,75,80,4320,4408
2,0,53,80,4352,4384
2,0,57,80,4384,4416
1,0,63,80,4416,4504
1,0,72,80,4416,4504
2,0,53,80,4512,4600
2,0,57,80,4512,4600
1,0,63,80,4512,4600
1,0,65,80,4512,4600
2,0,46,80,4608,4640
2,0,46,80,4608,4960
1,0,77,80,4608,4872
2,0,53,80,4640,4672
2,0,58,80,4672,4704
1,0,62,80,4704,4792
2,0,53,80,4800,4888
2,0,58,80,4800,4888
1,0,62,80,4800,4888
2,0,46,80,4896,4928
1,0,82,80,4896,4984
2,0,53,80,4928,4960
2,0,58,80,4960,4992
1,0,62,80,4992,5080
2,0,53,80,5088,5176
2,0,58,80,5088,5176
1,0,62,80,5088,5176
2,0,46,80,5184,5216
2,0,46,80,5184,5448
1,0,74,80,5184,5272
2,0,53,80,5216,5248
2,0,58,80,5248,5280
1,0,62,80,5280,5368
1,0,79,80,5280,5368
2,0,53,80,5376,5464
2,0,58,80,5376,5464
1,0,62,80,5376,5464
1,0,77,80,5376,5464
2,0,41,80,5472,5504
2,0,41,80,5472,5736
1,0,75,80,5472,5504
2,0,53,80,5504,5536
1,0,77,80,5504,5536
2,0,57,80,5536,5568
1,0,75,80,5536,5568
1,0,63,80,5568,5656
1,0,67,80,5568,5656
2,0,53,80,5664,5752
2,0,57,80,5664,5752
1,0,63,80,5664,5752
1,0,69,80,5664,5752
2,0,46,80,5760,5792
2,0,46,80,5760,6112
1,0,70,80,5760,6024
2,0,53,80,5792,5824
2,0,58,80,5824,5856
1,0,62,80,5856,5944
2,0,53,80,5952,6040
2,0,58,80,5952,6040
1,0,62,80,5952,6040
2,0,46,80,6048,6080
1,0,65,80,6048,6088
2,0,53,80,6080,6112
2,0,58,80,6112,6144
1,0,62,80,6144,6232
2,0,53,80,6240,6328
2,0,58,80,6240,6328
1,0,62,80,6240,6328
2,0,46,80,6336,6368
2,0,46,80,6336,6600
1,0,74,80,6336,6376
2,0,53,80,6368,6400
2,0,58,80,6400,6432
1,0,62,80,6432,6520
1,0,74,80,6432,6472
2,0,53,80,6528,6616
2,0,58,80,6528,6616
1,0,62,80,6528,6616
1,0,74,80,6528,6568
1,0,74,80,6576,6600
1,0,77,80,6600,6624
2,0,46,80,6624,6656
2,0,46,80,6624,6888
1,0,75,80,6624,6664
2,0,53,80,6656,6688
2,0,57,80,6688,6720
1,0,63,80,6720,6808
1,0,72,80,6720,6808
2,0,53,80,6816,6904
2,0,57,80,6816,6904
1,0,63,80,6816,6904
