# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,960
# meta,0,0,tempo,769230
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,40,80,1920,2880
1,0,52,80,1920,2880
1,0,59,80,1920,2880
1,0,67,80,1920,2880
1,0,39,80,2880,4800
1,0,51,80,2880,4800
1,0,59,80,2880,6720
1,0,66,80,2880,3360
1,0,64,80,3360,3840
1,0,66,80,3840,4320
1,0,69,80,4320,4800
1,0,38,80,4800,5760
1,0,50,80,4800,5760
1,0,67,80,4800,5280
1,0,66,80,5280,5760
1,0,37,80,5760,7680
1,0,49,80,5760,7680
1,0,64,80,5760,6240
1,0,62,80,6240,6720
1,0,57,80,6720,8640
1,0,64,80,6720,7200
1,0,67,80,7200,7680
1,0,36,80,7680,8640
1,0,48,80,7680,8640
2,0,52,80,7680,8640
1,0,66,80,7680,8160
1,0,64,80,8160,8640
1,0,35,80,8640,9120
1,0,47,80,8640,9120
2,0,51,80,8640,10560
1,0,54,80,8640,10560
1,0,59,80,8640,10560
1,0,63,80,8640,10560
1,0,48,80,9120,9600
1,0,47,80,9600,10080
1,0,45,80,10080,10560
1,0,43,80,10560,11040
2,0,52,80,10560,11520
1,0,55,80,10560,11520
1,0,59,80,10560,11520
1,0,64,80,10560,11520
1,0,42,80,11040,11520
1,0,40,80,11520,12000
2,0,55,80,11520,13440
1,0,59,80,11520,13440
1,0,64,80,11520,13440
1,0,67,80,11520,13440
1,0,47,80,12000,12480
1,0,52,80,12480,12960
1,0,50,80,12960,13440
1,0,48,80,13440,13920
2,0,57,80,13440,14400
1,0,60,80,13440,14400
1,0,64,80,13440,14400
1,0,69,80,13440,14400
1,0,50,80,13920,14400
1,0,52,80,14400,14880
2,0,55,80,14400,16320
1,0,59,80,14400,15360
1,0,64,80,14400,16800
1,0,67,80,14400,16320
1,0,50,80,14880,15360
1,0,48,80,15360,15840
1,0,60,80,15360,16800
1,0,43,80,15840,16320
1,0,45,80,16320,16800
2,0,54,80,16320,17280
1,0,66,80,16320,17280
1,0,47,80,16800,17280
1,0,59,80,16800,17280
1,0,63,80,16800,17280
1,0,40,80,17280,17760
2,0,52,80,17280,19200
1,0,55,80,17280,19200
1,0,59,80,17280,19200
1,0,64,80,17280,19200
1,0,43,80,17760,18240
1,0,42,80,18240,18720
1,0,40,80,18720,19200
1,0,38,80,19200,19680
2,0,50,80,19200,19680
1,0,50,80,19200,19680
1,0,62,80,19200,20160
1,0,66,80,19200,20160
1,0,71,80,19200,20160
1,0,40,80,19680,20160
2,0,52,80,19680,20120
1,0,52,80,19680,20160
1,0,42,80,20160,20640
2,0,54,80,20160,20640
1,0,54,80,20160,20640
1,0,61,80,20160,22080
1,0,66,80,20160,22080
1,0,70,80,20160,22080
1,0,43,80,20640,21120
2,0,55,80,20640,21120
1,0,55,80,20640,21120
1,0,42,80,21120,21600
2,0,54,80,21120,21600
1,0,54,80,21120,21600
1,0,40,80,21600,22080
2,0,52,80,21600,22080
1,0,52,80,21600,22080
1,0,38,80,22080,22560
2,0,50,80,22080,22560
1,0,50,80,22080,22560
1,0,62,80,22080,23040
1,0,66,80,22080,23040
1,0,71,80,22080,23040
1,0,37,80,22560,23040
2,0,49,80,22560,23040
1,0,49,80,22560,23040
1,0,35,80,23040,23520
2,0,47,80,23040,23960
1,0,47,80,23040,23520
1,0,66,80,23040,24960
1,0,71,80,23040,24960
1,0,74,80,23040,24960
1,0,42,80,23520,24000
1,0,54,80,23520,24000
1,0,47,80,24000,24480
2,0,59,80,24000,26880
1,0,59,80,24000,24480
1,0,45,80,24480,24960
1,0,57,80,24480,24960
1,0,43,80,24960,25440
1,0,55,80,24960,25440
1,0,64,80,24960,25920
1,0,71,80,24960,25920
1,0,76,80,24960,25920
1,0,42,80,25440,25920
1,0,54,80,25440,25920
1,0,43,80,25920,26400
1,0,55,80,25920,26400
1,0,67,80,25920,27360
1,0,71,80,25920,27360
1,0,74,80,25920,27360
1,0,38,80,26400,26880
1,0,50,80,26400,26880
1,0,43,80,26880,27360
1,0,55,80,26880,27360
2,0,59,80,26880,28320
1,0,42,80,27360,27840
1,0,54,80,27360,27840
1,0,62,80,27360,27840
1,0,40,80,27840,28320
1,0,52,80,27840,28320
1,0,64,80,27840,28800
1,0,67,80,27840,28320
1,0,73,80,27840,28800
1,0,42,80,28320,28800
1,0,54,80,28320,28800
2,0,58,80,28320,28800
1,0,66,80,28320,28800
1,0,35,80,28800,29280
1,0,47,80,28800,29280
2,0,59,80,28800,30720
1,0,63,80,28800,30720
1,0,66,80,28800,30720
1,0,71,80,28800,30720
1,0,42,80,29280,29760
1,0,43,80,29760,30240
1,0,45,80,30240,30720
1,0,47,80,30720,31680
2,0,59,80,30720,31680
1,0,66,80,30720,31680
1,0,71,80,30720,31680
1,0,75,80,30720,31680
1,0,35,80,31200,31680
1,0,36,80,31680,33120
1,0,48,80,31680,33120
2,0,55,80,31680,33600
1,0,71,80,31680,33600
1,0,76,80,31680,32160
1,0,75,80,32160,32640
1,0,76,80,32640,33120
1,0,35,80,33120,33600
1,0,47,80,33120,33600
1,0,79,80,33120,33600
1,0,36,80,33600,34560
1,0,48,80,33600,34560
2,0,57,80,33600,34560
1,0,69,80,33600,34560
1,0,78,80,33600,34080
1,0,76,80,34080,34560
1,0,35,80,34560,35040
1,0,47,80,34560,35040
2,0,59,80,34560,36040
1,0,69,80,34560,35520
1,0,75,80,34560,35040
1,0,36,80,35040,35520
1,0,48,80,35040,35520
1,0,76,80,35040,35520
1,0,33,80,35520,36000
1,0,45,80,35520,36000
1,0,67,80,35520,36000
1,0,73,80,35520,36000
1,0,35,80,36000,36480
1,0,47,80,36000,36480
2,0,57,80,36000,36480
1,0,66,80,36000,36480
1,0,75,80,36000,36480
1,0,36,80,36480,36960
1,0,48,80,36480,36960
2,0,55,80,36480,37400
1,0,64,80,36480,37440
1,0,76,80,36480,37920
1,0,43,80,36960,37440
1,0,45,80,37440,37920
2,0,54,80,37440,38400
1,0,66,80,37440,40320
1,0,72,80,37440,38400
1,0,42,80,37920,38400
1,0,78,80,37920,38400
1,0,47,80,38400,38880
2,0,54,80,38400,40320
1,0,71,80,38400,39840
1,0,75,80,38400,39840
1,0,45,80,38880,39360
1,0,47,80,39360,40320
1,0,35,80,39840,40320
1,0,69,80,39840,40320
1,0,76,80,39840,40320
1,0,40,80,40320,40800
2,0,52,80,40320,42240
1,0,67,80,40320,42240
1,0,76,80,40320,42240
1,0,43,80,40800,41280
1,0,42,80,41280,41760
1,0,40,80,41760,42240
1,0,39,80,42240,42720
1,0,51,80,42240,42720
2,0,59,80,42240,43200
1,0,59,80,42240,43200
1,0,66,80,42240,43200
1,0,71,80,42240,43200
1,0,35,80,42720,43200
1,0,47,80,42720,43200
1,0,40,80,43200,43680
1,0,52,80,43200,43680
2,0,59,80,43200,45120
1,0,59,80,43200,45120
1,0,64,80,43200,45120
1,0,67,80,43200,45120
1,0,42,80,43680,44160
1,0,54,80,43680,44160
1,0,40,80,44160,44640
1,0,52,80,44160,44640
1,0,38,80,44640,45120
1,0,50,80,44640,45120
1,0,37,80,45120,45600
1,0,49,80,45120,45600
2,0,57,80,45120,46080
1,0,64,80,45120,46080
1,0,66,80,45120,46080
1,0,69,80,45120,46080
1,0,42,80,45600,46080
1,0,54,80,45600,46080
1,0,39,80,46080,46560
1,0,51,80,46080,46560
2,0,57,80,46080,47040
1,0,66,80,46080,46560
1,0,71,80,46080,47520
1,0,35,80,46560,47040
1,0,47,80,46560,47040
1,0,63,80,46560,47040
1,0,37,80,47040,47520
1,0,49,80,47040,47520
2,0,55,80,47040,47520
1,0,64,80,47040,47520
1,0,39,80,47520,48000
1,0,51,80,47520,48000
2,0,54,80,47520,47960
1,0,66,80,47520,48000
1,0,69,80,47520,48000
1,0,40,80,48000,48480
2,0,52,80,48000,48480
1,0,52,80,48000,48480
1,0,59,80,48000,48960
1,0,67,80,48000,48960
1,0,31,80,48480,48960
1,0,43,80,48480,48960
2,0,50,80,48480,48920
1,0,33,80,48960,49440
1,0,45,80,48960,49440
2,0,48,80,48960,49440
1,0,60,80,48960,49920
1,0,66,80,48960,49920
1,0,72,80,48960,49440
1,0,30,80,49440,49920
1,0,42,80,49440,49920
2,0,45,80,49440,49920
1,0,64,80,49440,49920
1,0,35,80,49920,50400
2,0,47,80,49920,51760
1,0,47,80,49920,50400
1,0,59,80,49920,51840
1,0,64,80,49920,50880
1,0,66,80,49920,51840
1,0,45,80,50400,50880
1,0,47,80,50880,51840
1,0,63,80,50880,51840
1,0,35,80,51360,51840
2,0,40,80,51840,53760
1,0,40,80,51840,52800
1,0,52,80,51840,52800
1,0,55,80,51840,52800
1,0,59,80,51840,52800
1,0,64,80,51840,52800
1,0,28,80,52800,53760
1,0,40,80,52800,53760
1,0,71,80,52800,53760
1,0,79,80,52800,54720
1,0,40,80,53760,54720
1,0,52,80,53760,54720
1,0,72,80,53760,55680
1,0,39,80,54720,56640
1,0,51,80,54720,56640
1,0,66,80,54720,57600
1,0,78,80,54720,55200
1,0,76,80,55200,55680
1,0,71,80,55680,58560
1,0,78,80,55680,56160
1,0,81,80,56160,56640
1,0,38,80,56640,57600
1,0,50,80,56640,57600
1,0,79,80,56640,57120
1,0,78,80,57120,57560
1,0,37,80,57600,59520
1,0,49,80,57600,59520
1,0,67,80,57600,58560
1,0,76,80,57600,58080
1,0,75,80,58080,58560
1,0,64,80,58560,60480
1,0,69,80,58560,61440
1,0,76,80,58560,59040
1,0,79,80,59040,59520
1,0,36,80,59520,60480
1,0,48,80,59520,60480
2,0,52,80,59520,60480
1,0,78,80,59520,60000
1,0,76,80,60000,60480
1,0,35,80,60480,60960
1,0,47,80,60480,60960
2,0,51,80,60480,62400
1,0,75,80,60480,62400
1,0,83,80,60480,61920
1,0,48,80,60960,61440
1,0,47,80,61440,61920
1,0,67,80,61440,61920
1,0,45,80,61920,62400
1,0,66,80,61920,62400
1,0,78,80,61920,62400
1,0,43,80,62400,62880
2,0,52,80,62400,63360
1,0,71,80,62400,63360
1,0,79,80,62400,62880
1,0,42,80,62880,63360
1,0,69,80,62880,63360
1,0,75,80,62880,63360
1,0,40,80,63360,63840
2,0,55,80,63360,65280
1,0,67,80,63360,64320
1,0,71,80,63360,64320
1,0,76,80,63360,64320
1,0,47,80,63840,64320
1,0,52,80,64320,64800
1,0,64,80,64320,65280
1,0,67,80,64320,65280
1,0,71,80,64320,65280
