# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,256
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,60,80,0,117.33333333333333
1,0,79,80,0,53.33333333333333
1,0,81,80,64,128
1,0,79,80,128,192
1,0,77,80,192,256
1,0,64,80,256,373.3333333333333
1,0,79,80,256,309.3333333333333
1,0,76,80,320,384
1,0,74,80,384,448
1,0,72,80,448,512
1,0,65,80,512,629.3333333333333
1,0,72,80,512,565.3333333333333
1,0,81,80,512,1141.3333333333333
1,0,74,80,576,640
1,0,72,80,640,704
1,0,71,80,704,768
2,0,53,80,768,885.3333333333333
1,0,72,80,768,821.3333333333333
1,0,69,80,832,896
1,0,67,80,896,960
1,0,65,80,960,1024
2,0,59,80,1024,1141.3333333333333
1,0,74,80,1024,1653.3333333333333
1,0,81,80,1152,1269.3333333333333
2,0,55,80,1280,1397.3333333333333
1,0,79,80,1280,1397.3333333333333
1,0,77,80,1408,1525.3333333333333
1,0,60,80,1536,1653.3333333333333
1,0,76,80,1536,1653.3333333333333
1,0,74,80,1664,1781.3333333333333
1,0,77,80,1664,1781.3333333333333
1,0,64,80,1792,1909.3333333333333
1,0,72,80,1792,1909.3333333333333
1,0,79,80,1792,2165.333333333333
1,0,71,80,1920,2037.3333333333333
1,0,65,80,2048,2165.333333333333
1,0,69,80,2048,2165.333333333333
1,0,71,80,2176,2293.333333333333
1,0,79,80,2176,2293.333333333333
1,0,62,80,2304,2421.333333333333
1,0,72,80,2304,2677.333333333333
1,0,77,80,2304,2421.333333333333
1,0,76,80,2432,2549.333333333333
1,0,67,80,2560,2677.333333333333
1,0,74,80,2560,2613.333333333333
1,0,72,80,2624,2688
1,0,72,80,2688,2805.333333333333
1,0,74,80,2688,2752
1,0,76,80,2752,2816
2,0,55,80,2816,2933.333333333333
1,0,71,80,2816,2933.333333333333
1,0,77,80,2816,2869.333333333333
1,0,76,80,2880,2944
1,0,69,80,2944,3061.333333333333
1,0,77,80,2944,3008
1,0,79,80,3008,3072
1,0,60,80,3072,3189.333333333333
1,0,67,80,3072,3125.333333333333
1,0,76,80,3072,3125.333333333333
1,0,66,80,3136,3200
1,0,74,80,3136,3200
1,0,60,80,3200,3317.333333333333
1,0,67,80,3200,3264
1,0,76,80,3200,3264
1,0,69,80,3264,3328
1,0,78,80,3264,3328
2,0,59,80,3328,3445.333333333333
1,0,71,80,3328,3381.333333333333
1,0,79,80,3328,3381.333333333333
1,0,69,80,3392,3456
1,0,78,80,3392,3456
2,0,55,80,3456,3573.333333333333
1,0,71,80,3456,3520
1,0,79,80,3456,3520
1,0,72,80,3520,3584
1,0,81,80,3520,3584
1,0,62,80,3584,3701.333333333333
1,0,69,80,3584,3637.333333333333
1,0,78,80,3584,3701.333333333333
1,0,67,80,3648,3712
2,0,57,80,3712,3829.333333333333
1,0,69,80,3712,3776
1,0,76,80,3712,3829.333333333333
1,0,71,80,3776,3840
1,0,66,80,3840,3957.333333333333
1,0,72,80,3840,3893.333333333333
1,0,74,80,3840,4213.333333333333
1,0,71,80,3904,3968
1,0,62,80,3968,4085.333333333333
1,0,72,80,3968,4032
1,0,74,80,4032,4096
2,0,55,80,4096,4213.333333333333
1,0,71,80,4096,4213.333333333333
2,0,57,80,4224,4341.333333333333
1,0,69,80,4224,4341.333333333333
1,0,78,80,4224,4341.333333333333
2,0,59,80,4352,4469.333333333333
1,0,67,80,4352,4725.333333333333
1,0,79,80,4352,4469.333333333333
1,0,64,80,4480,4597.333333333333
1,0,72,80,4480,4597.333333333333
1,0,62,80,4608,4725.333333333333
1,0,71,80,4608,4661.333333333333
1,0,76,80,4672,4736
1,0,69,80,4736,4853.333333333333
1,0,74,80,4736,4800
1,0,78,80,4736,4853.333333333333
1,0,72,80,4800,4864
1,0,71,80,4864,4981.333333333333
1,0,74,80,4864,4917.333333333333
1,0,79,80,4864,4981.333333333333
1,0,72,80,4928,4981.333333333333
1,0,66,80,4992,5109.333333333333
1,0,71,80,4992,5045.333333333333
1,0,76,80,4992,5109.333333333333
1,0,69,80,5056,5109.333333333333
1,0,67,80,5120,5237.333333333333
1,0,71,80,5120,5248
1,0,74,80,5120,5173.333333333333
1,0,71,80,5184,5248
1,0,64,80,5248,5365.333333333333
1,0,69,80,5248,5312
1,0,72,80,5248,5504
1,0,67,80,5312,5376
