# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,96
# meta,0,0,tempo,6000000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,65,80,312,340
1,0,64,80,336,344
1,0,65,80,344,352
1,0,64,80,348,360
1,0,62,80,360,384
1,0,60,80,384,408
1,0,64,80,408,432
2,0,59,80,432,456
1,0,64,80,456,480
2,0,57,80,480,504
1,0,64,80,504,528
2,0,56,80,528,552
1,0,64,80,552,576
2,0,57,80,576,600
1,0,64,80,624,648
1,0,65,80,672,696
1,0,64,80,720,744
1,0,62,80,768,784
1,0,60,80,784,800
1,0,62,80,792,864
1,0,64,80,888,916
1,0,62,80,912,920
1,0,64,80,920,924
1,0,62,80,924,936
1,0,60,80,936,960
2,0,59,80,960,984
1,0,62,80,984,1004
2,0,57,80,1008,1032
1,0,62,80,1032,1052
2,0,56,80,1056,1080
1,0,62,80,1080,1100
2,0,54,80,1104,1124
1,0,62,80,1128,1148
2,0,52,80,1152,1172
1,0,62,80,1200,1224
1,0,64,80,1248,1272
1,0,62,80,1296,1320
1,0,60,80,1344,1360
2,0,59,80,1356,1372
1,0,60,80,1368,1440
2,0,52,80,1488,1512
2,0,56,80,1512,1536
2,0,57,80,1536,1560
1,0,60,80,1584,1608
1,0,63,80,1608,1632
1,0,64,80,1632,1656
2,0,52,80,1680,1704
2,0,56,80,1704,1728
2,0,57,80,1728,1752
1,0,60,80,1776,1800
1,0,63,80,1800,1824
1,0,64,80,1824,1848
1,0,62,80,1896,1920
1,0,60,80,1920,2012
1,0,60,80,2016,2040
2,0,59,80,2036,2052
1,0,60,80,2052,2064
2,0,59,80,2060,2076
1,0,60,80,2072,2084
2,0,59,80,2084,2116
2,0,57,80,2112,2136
1,0,60,80,2136,2160
2,0,54,80,2160,2184
2,0,57,80,2184,2208
2,0,51,80,2208,2232
2,0,54,80,2232,2256
1,0,72,80,2232,2256
1,0,71,80,2256,2264
2,0,47,80,2256,2280
1,0,72,80,2260,2268
1,0,71,80,2268,2280
2,0,51,80,2280,2304
1,0,69,80,2280,2304
2,0,52,80,2304,2332
1,0,67,80,2304,2328
1,0,71,80,2328,2352
1,0,66,80,2352,2376
2,0,57,80,2352,2400
1,0,71,80,2376,2400
1,0,64,80,2400,2424
2,0,57,80,2400,2408
2,0,55,80,2408,2416
2,0,57,80,2416,2424
2,0,55,80,2420,2448
1,0,71,80,2424,2448
2,0,54,80,2448,2496
1,0,63,80,2448,2472
1,0,71,80,2472,2496
2,0,55,80,2496,2516
1,0,64,80,2496,2516
1,0,64,80,2520,2540
1,0,71,80,2544,2568
2,0,55,80,2544,2568
1,0,64,80,2568,2588
1,0,72,80,2592,2616
2,0,57,80,2592,2612
1,0,64,80,2616,2636
2,0,55,80,2640,2660
1,0,71,80,2640,2664
1,0,64,80,2664,2684
2,0,54,80,2688,2712
1,0,69,80,2688,2704
1,0,67,80,2704,2720
1,0,64,80,2712,2740
1,0,69,80,2712,2784
1,0,63,80,2736,2760
1,0,61,80,2760,2788
1,0,63,80,2784,2812
1,0,71,80,2808,2832
1,0,64,80,2832,2856
1,0,69,80,2832,2840
1,0,71,80,2840,2848
1,0,69,80,2848,2856
1,0,67,80,2856,2880
1,0,63,80,2880,2904
1,0,66,80,2880,2904
1,0,69,80,2904,2924
1,0,61,80,2928,2956
1,0,64,80,2928,2952
1,0,69,80,2952,2976
2,0,59,80,2976,3000
1,0,63,80,2976,3000
1,0,69,80,3000,3024
1,0,61,80,3024,3048
2,0,54,80,3024,3052
1,0,69,80,3048,3072
2,0,51,80,3072,3096
2,0,59,80,3072,3092
2,0,59,80,3096,3120
2,0,54,80,3120,3140
1,0,69,80,3120,3144
2,0,59,80,3144,3168
2,0,55,80,3168,3188
1,0,71,80,3168,3192
2,0,59,80,3192,3216
1,0,69,80,3216,3240
2,0,54,80,3216,3240
2,0,59,80,3240,3264
2,0,52,80,3264,3288
1,0,67,80,3264,3280
1,0,66,80,3276,3292
1,0,67,80,3288,3360
2,0,55,80,3312,3336
2,0,58,80,3336,3364
2,0,59,80,3360,3384
2,0,57,80,3408,3436
2,0,59,80,3408,3432
1,0,63,80,3432,3456
2,0,55,80,3456,3484
1,0,64,80,3456,3480
2,0,52,80,3480,3508
2,0,49,80,3504,3528
1,0,67,80,3504,3528
