# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,240
# meta,0,0,tempo,625000
# meta,0,0,time_signature,1/4
track,channel,pitch,vel,start,end
2,0,48,80,0,230
2,0,55,80,0,230
1,0,64,80,0,230
1,0,67,80,0,230
2,0,48,80,240,710
1,0,60,80,240,710
1,0,60,80,240,470
1,0,64,80,240,710
2,0,59,80,480,710
2,0,48,80,720,950
2,0,57,80,720,950
1,0,62,80,720,950
1,0,65,80,720,950
2,0,48,80,960,1430
2,0,55,80,960,1430
1,0,64,80,960,1430
1,0,67,80,960,1430
2,0,52,80,1440,1670
2,0,55,80,1440,1670
1,0,67,80,1440,1670
1,0,72,80,1440,1670
2,0,53,80,1680,1910
2,0,57,80,1680,1910
1,0,65,80,1680,1910
1,0,74,80,1680,1910
2,0,55,80,1920,2150
2,0,55,80,1920,2150
1,0,64,80,1920,2150
1,0,72,80,1920,2150
2,0,43,80,2160,2390
2,0,55,80,2160,2390
1,0,62,80,2160,2390
1,0,71,80,2160,2390
2,0,48,80,2400,2630
2,0,55,80,2400,2630
1,0,64,80,2400,2630
1,0,72,80,2400,2630
2,0,48,80,2640,2870
1,0,60,80,2640,2870
1,0,64,80,2640,2870
1,0,67,80,2640,2870
2,0,48,80,2880,3110
1,0,60,80,2880,3110
1,0,64,80,2880,3110
1,0,67,80,2880,3110
2,0,53,80,3120,3590
1,0,60,80,3120,3590
1,0,65,80,3120,3350
1,0,69,80,3120,3350
1,0,69,80,3360,3590
1,0,72,80,3360,3590
2,0,57,80,3600,3830
1,0,60,80,3600,3830
1,0,65,80,3600,3830
1,0,69,80,3600,3830
1,0,60,80,3840,4310
1,0,60,80,3840,4310
1,0,64,80,3840,4310
1,0,67,80,3840,4310
2,0,48,80,4320,4550
2,0,55,80,4320,4550
1,0,60,80,4320,4550
1,0,64,80,4320,4550
2,0,47,80,4560,5030
2,0,55,80,4560,5030
1,0,62,80,4560,5030
1,0,67,80,4560,4790
1,0,65,80,4800,5030
2,0,48,80,5040,5270
2,0,55,80,5040,5270
1,0,60,80,5040,5270
1,0,64,80,5040,5270
2,0,43,80,5280,5750
2,0,55,80,5280,5750
2,0,59,80,5280,5750
1,0,62,80,5280,5750
2,0,47,80,5760,5990
2,0,55,80,5760,5990
1,0,62,80,5760,5990
1,0,67,80,5760,5990
2,0,48,80,6000,6470
1,0,60,80,6000,6470
1,0,60,80,6000,6230
1,0,64,80,6000,6470
2,0,59,80,6240,6470
2,0,48,80,6480,6710
2,0,57,80,6480,6710
1,0,62,80,6480,6710
1,0,65,80,6480,6710
2,0,48,80,6720,7190
2,0,55,80,6720,7190
1,0,64,80,6720,7190
1,0,67,80,6720,7190
2,0,52,80,7200,7430
2,0,55,80,7200,7430
1,0,67,80,7200,7430
1,0,72,80,7200,7430
2,0,53,80,7440,7670
2,0,57,80,7440,7670
1,0,65,80,7440,7670
1,0,74,80,7440,7670
2,0,55,80,7680,7910
2,0,55,80,7680,7910
1,0,64,80,7680,7910
1,0,72,80,7680,7910
2,0,43,80,7920,8150
2,0,55,80,7920,8150
1,0,62,80,7920,8150
1,0,71,80,7920,8150
2,0,48,80,8160,8390
2,0,55,80,8160,8390
1,0,64,80,8160,8390
1,0,72,80,8160,8390
2,0,48,80,8400,8630
1,0,60,80,8400,8630
1,0,64,80,8400,8630
1,0,67,80,8400,8630
2,0,48,80,8640,8870
1,0,60,80,8640,8870
1,0,64,80,8640,8870
1,0,67,80,8640,8870
2,0,53,80,8880,9350
1,0,60,80,8880,9350
1,0,65,80,8880,9110
1,0,69,80,8880,9110
1,0,69,80,9120,9350
1,0,72,80,9120,9350
2,0,57,80,9360,9590
1,0,60,80,9360,9590
1,0,65,80,9360,9590
1,0,69,80,9360,9590
1,0,60,80,9600,10070
1,0,60,80,9600,10070
1,0,64,80,9600,10070
1,0,67,80,9600,10070
2,0,48,80,10080,10310
2,0,55,80,10080,10310
1,0,60,80,10080,10310
1,0,64,80,10080,10310
2,0,53,80,10320,10790
2,0,57,80,10320,10790
1,0,65,80,10320,10670
1,0,69,80,10320,10670
1,0,64,80,10680,10790
1,0,67,80,10680,10790
2,0,53,80,10800,10910
2,0,57,80,10800,11030
1,0,62,80,10800,10910
1,0,65,80,10800,10910
2,0,54,80,10920,11030
1,0,60,80,10920,11030
1,0,64,80,10920,11030
2,0,55,80,11040,11510
2,0,59,80,11040,11510
2,0,59,80,11040,11510
1,0,62,80,11040,11510
2,0,55,80,11520,11750
2,0,55,80,11520,11750
1,0,67,80,11520,11750
1,0,67,80,11520,11750
2,0,53,80,11760,12230
1,0,62,80,11760,12230
1,0,67,80,11760,12230
1,0,71,80,11760,12230
2,0,55,80,12240,12470
2,0,55,80,12240,12470
1,0,67,80,12240,12470
1,0,67,80,12240,12470
2,0,52,80,12480,12950
2,0,55,80,12480,12950
1,0,67,80,12480,12950
1,0,72,80,12480,12950
2,0,55,80,12960,13190
2,0,55,80,12960,13190
1,0,67,80,12960,13190
1,0,67,80,12960,13190
2,0,48,80,13200,13430
2,0,55,80,13200,13430
1,0,64,80,13200,13430
1,0,76,80,13200,13430
2,0,50,80,13440,13670
2,0,59,80,13440,13670
1,0,65,80,13440,13670
1,0,74,80,13440,13670
2,0,52,80,13680,13790
1,0,60,80,13680,13910
1,0,67,80,13680,13790
1,0,72,80,13680,13910
2,0,53,80,13800,13910
1,0,69,80,13800,13910
2,0,55,80,13920,14390
1,0,64,80,13920,14390
1,0,67,80,13920,14390
1,0,72,80,13920,14390
2,0,55,80,14400,14630
1,0,62,80,14400,14630
1,0,67,80,14400,14630
1,0,71,80,14400,14630
2,0,57,80,14640,14870
1,0,60,80,14640,14870
1,0,64,80,14640,14870
1,0,72,80,14640,14870
2,0,52,80,14880,15110
1,0,64,80,14880,15110
1,0,67,80,14880,15110
1,0,71,80,14880,15110
2,0,53,80,15120,15350
1,0,60,80,15120,15350
1,0,65,80,15120,15350
1,0,69,80,15120,15350
2,0,48,80,15360,15830
1,0,60,80,15360,15830
1,0,64,80,15360,15830
1,0,67,80,15360,15830
2,0,48,80,15840,16070
2,0,55,80,15840,16070
1,0,60,80,15840,16070
1,0,64,80,15840,16070
2,0,53,80,16080,16310
2,0,53,80,16080,16310
1,0,60,80,16080,16310
1,0,69,80,16080,16310
2,0,52,80,16320,16550
2,0,55,80,16320,16550
1,0,61,80,16320,16550
1,0,67,80,16320,16550
2,0,50,80,16560,16790
2,0,57,80,16560,16790
