# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1000
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,57,80,9250,16625
1,0,74,80,9250,11666.666666666666
2,0,50,80,9333.333333333332,11750
2,0,49,80,11833.333333333332,14250
1,0,76,80,11833.333333333332,14250
2,0,50,80,14291.666666666666,16625
1,0,77,80,14333.333333333332,16249.999999999998
1,0,79,80,16208.333333333332,16541.666666666664
1,0,74,80,16541.666666666664,16875
2,0,48,80,16833.333333333332,18083.333333333332
1,0,76,80,16833.333333333332,18708.333333333332
2,0,57,80,16875,21916.666666666664
2,0,45,80,18083.333333333332,19333.333333333332
1,0,77,80,18708.333333333332,19041.666666666664
1,0,73,80,19041.666666666664,19375
2,0,46,80,19375,24416.666666666664
1,0,74,80,19375,22500
2,0,55,80,21916.666666666664,24458.333333333332
1,0,77,80,22500,23125
1,0,76,80,23166.666666666664,23791.666666666664
1,0,74,80,23750,24208.333333333332
2,0,45,80,24416.666666666664,28958.333333333332
2,0,57,80,24416.666666666664,26958.333333333332
1,0,74,80,24416.666666666664,24875
1,0,73,80,24875,25041.666666666664
1,0,74,80,25041.666666666664,25208.333333333332
1,0,73,80,25208.333333333332,25375
1,0,74,80,25375,25500
1,0,73,80,25500,25666.666666666664
1,0,74,80,25666.666666666664,25833.333333333332
1,0,73,80,25833.333333333332,26291.666666666664
1,0,71,80,26291.666666666664,26583.333333333332
1,0,73,80,26666.666666666664,26958.333333333332
1,0,69,80,26958.333333333332,28958.333333333332
2,0,52,80,26958.333333333332,29000
2,0,50,80,29666.666666666664,32000
2,0,57,80,29708.333333333332,37041.666666666664
1,0,74,80,29708.333333333332,32124.999999999996
2,0,49,80,32208.333333333332,34500
1,0,76,80,32208.333333333332,32666.666666666664
1,0,77,80,32666.666666666664,32833.33333333333
1,0,76,80,32833.33333333333,33000
1,0,77,80,33000,33125
1,0,76,80,33125,33291.666666666664
1,0,77,80,33291.666666666664,33458.33333333333
1,0,76,80,33458.33333333333,34083.33333333333
1,0,74,80,34083.33333333333,34416.666666666664
1,0,76,80,34416.666666666664,34708.33333333333
2,0,50,80,34708.33333333333,37041.666666666664
1,0,77,80,34750,36625
1,0,79,80,36625,36958.33333333333
1,0,74,80,36958.33333333333,37291.666666666664
1,0,76,80,37208.33333333333,39125
2,0,48,80,37250,38500
2,0,57,80,37291.666666666664,42333.33333333333
2,0,45,80,38500,39750
1,0,77,80,39125,39458.33333333333
1,0,73,80,39416.666666666664,39666.666666666664
2,0,46,80,39791.666666666664,44833.33333333333
1,0,73,80,39791.666666666664,41083.33333333333
1,0,74,80,41125,42916.666666666664
2,0,55,80,42333.33333333333,44875
1,0,77,80,42916.666666666664,43541.666666666664
1,0,76,80,43583.33333333333,44208.33333333333
1,0,74,80,44166.666666666664,44625
1,0,74,80,44833.33333333333,45166.666666666664
2,0,45,80,44875,49625
2,0,57,80,44875,47541.666666666664
1,0,73,80,45166.666666666664,45333.33333333333
1,0,74,80,45333.33333333333,45500
1,0,73,80,45500,45666.666666666664
1,0,74,80,45666.666666666664,45833.33333333333
1,0,73,80,45833.33333333333,46000
1,0,74,80,46000,46166.666666666664
1,0,73,80,46166.666666666664,46833.33333333333
1,0,71,80,46791.666666666664,47125
1,0,73,80,47208.33333333333,47541.666666666664
2,0,52,80,47500,49625
1,0,69,80,47500,49625
2,0,41,80,50333.33333333333,52666.666666666664
2,0,53,80,50333.33333333333,55416.666666666664
1,0,69,80,50333.33333333333,52541.666666666664
1,0,72,80,52541.666666666664,52875
1,0,70,80,52833.33333333333,53833.33333333333
2,0,46,80,52916.666666666664,55208.33333333333
1,0,70,80,54125,55125
