# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,57,80,0,1440
1,0,69,80,0,480
1,0,73,80,0,480
1,0,76,80,0,480
1,0,81,80,0,480
1,0,61,80,480,960
1,0,64,80,480,960
1,0,69,80,480,720
1,0,71,80,720,960
1,0,61,80,960,1440
1,0,64,80,960,1440
1,0,73,80,960,1200
1,0,74,80,1200,1440
2,0,55,80,1440,2880
1,0,76,80,1440,1680
1,0,77,80,1680,1920
1,0,61,80,1920,2400
1,0,64,80,1920,2400
1,0,76,80,1920,2160
1,0,77,80,2160,2400
1,0,61,80,2400,2880
1,0,64,80,2400,2880
1,0,76,80,2400,2640
1,0,77,80,2640,2880
2,0,53,80,2880,4320
1,0,74,80,2880,3360
2,0,57,80,3360,3840
1,0,62,80,3360,3840
2,0,57,80,3840,4800
1,0,62,80,3840,4800
1,0,69,80,3840,4320
2,0,50,80,4320,4800
1,0,69,80,4320,4800
1,0,74,80,4320,4800
1,0,77,80,4320,4800
1,0,81,80,4320,4800
2,0,55,80,5760,7200
1,0,67,80,5760,6240
1,0,71,80,5760,6240
1,0,74,80,5760,6240
1,0,79,80,5760,6240
2,0,59,80,6240,6720
1,0,62,80,6240,6720
1,0,67,80,6240,6480
1,0,69,80,6480,6720
2,0,59,80,6720,7200
1,0,62,80,6720,7200
1,0,71,80,6720,6960
1,0,72,80,6960,7200
2,0,53,80,7200,8640
1,0,74,80,7200,7440
1,0,76,80,7440,7680
2,0,59,80,7680,8160
1,0,62,80,7680,8160
1,0,74,80,7680,7920
1,0,76,80,7920,8160
2,0,59,80,8160,8640
1,0,62,80,8160,8640
1,0,74,80,8160,8400
1,0,76,80,8400,8640
2,0,52,80,8640,10080
1,0,72,80,8640,9120
2,0,55,80,9120,9600
1,0,60,80,9120,9600
2,0,55,80,9600,10560
1,0,60,80,9600,10560
1,0,67,80,9600,10080
2,0,48,80,10080,10560
1,0,67,80,10080,10560
1,0,72,80,10080,10560
1,0,76,80,10080,10560
1,0,79,80,10080,10560
2,0,41,80,11520,12960
2,0,53,80,11520,12960
1,0,69,80,11520,14400
1,0,74,80,11520,12960
2,0,42,80,12960,14400
2,0,54,80,12960,14400
1,0,75,80,12960,14400
2,0,43,80,14400,14880
2,0,55,80,14400,14880
1,0,67,80,14400,14880
1,0,76,80,14400,14880
2,0,44,80,14880,15360
2,0,56,80,14880,15360
1,0,65,80,14880,15360
1,0,71,80,14880,15360
2,0,47,80,15360,15840
2,0,59,80,15360,15840
1,0,64,80,15360,15840
1,0,74,80,15360,15840
2,0,45,80,15840,16320
2,0,57,80,15840,16320
1,0,64,80,15840,16320
1,0,72,80,15840,16320
2,0,41,80,16320,16800
2,0,53,80,16320,16800
1,0,62,80,16320,16800
1,0,71,80,16320,16800
2,0,42,80,16800,17280
2,0,54,80,16800,17280
1,0,60,80,16800,17280
1,0,63,80,16800,17280
1,0,69,80,16800,17280
2,0,43,80,17280,18720
