# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,666669
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,43,80,0,1066.6666666666665
2,0,59,80,0,1066.6666666666665
1,0,67,80,0,1066.6666666666665
2,0,47,80,1066.6666666666665,2048
1,0,62,80,1066.6666666666665,2048
1,0,67,80,1066.6666666666665,2048
2,0,48,80,2048,3072
1,0,64,80,2048,3072
1,0,69,80,2048,3072
2,0,50,80,3072,4138.666666666666
1,0,62,80,3072,4650.666666666666
1,0,66,80,3072,4650.666666666666
2,0,38,80,4138.666666666666,5120
1,0,64,80,4650.666666666666,5120
1,0,67,80,4650.666666666666,5120
2,0,50,80,5120,6144
1,0,66,80,5120,6144
1,0,69,80,5120,6144
2,0,43,80,6144,7210.666666666666
2,0,55,80,6144,7210.666666666666
1,0,62,80,6144,7210.666666666666
1,0,67,80,6144,7210.666666666666
1,0,71,80,6144,7210.666666666666
2,0,40,80,7210.666666666666,8192
2,0,52,80,7210.666666666666,8192
1,0,64,80,7210.666666666666,8192
1,0,67,80,7210.666666666666,8192
1,0,71,80,7210.666666666666,8192
2,0,36,80,8192,9216
2,0,48,80,8192,9216
1,0,64,80,8192,9216
1,0,69,80,8192,9216
1,0,72,80,8192,9216
2,0,38,80,9216,10794.666666666666
2,0,50,80,9216,10794.666666666666
1,0,62,80,9216,10794.666666666666
1,0,67,80,9216,10794.666666666666
1,0,71,80,9216,10794.666666666666
2,0,39,80,10794.666666666666,11264
2,0,51,80,10794.666666666666,11264
1,0,60,80,10794.666666666666,11264
1,0,66,80,10794.666666666666,11264
1,0,69,80,10794.666666666666,11264
2,0,40,80,11264,12288
2,0,52,80,11264,12288
2,0,59,80,11264,12288
1,0,67,80,11264,12288
2,0,36,80,12288,13354.666666666666
2,0,48,80,12288,13354.666666666666
1,0,60,80,12288,13354.666666666666
1,0,64,80,12288,13354.666666666666
1,0,69,80,12288,13354.666666666666
2,0,38,80,13354.666666666666,14336
2,0,50,80,13354.666666666666,14336
2,0,59,80,13354.666666666666,14336
1,0,62,80,13354.666666666666,14336
1,0,67,80,13354.666666666666,14336
2,0,38,80,14336,15360
2,0,50,80,14336,15360
2,0,57,80,14336,15360
1,0,60,80,14336,15360
1,0,66,80,14336,15360
2,0,43,80,15360,17408
2,0,55,80,15360,17408
2,0,59,80,15360,17408
1,0,62,80,15360,17408
1,0,67,80,15360,17408
2,0,43,80,18432,19498.666666666664
2,0,59,80,18432,19498.666666666664
1,0,67,80,18432,19498.666666666664
1,0,67,80,18432,19498.666666666664
2,0,47,80,19498.666666666664,20480
1,0,62,80,19498.666666666664,20480
1,0,67,80,19498.666666666664,20437.333333333332
1,0,67,80,19498.666666666664,20480
2,0,48,80,20480,21504
1,0,64,80,20480,21504
1,0,69,80,20480,21461.333333333332
1,0,69,80,20480,21504
2,0,50,80,21504,22570.666666666664
1,0,62,80,21504,23082.666666666664
1,0,66,80,21504,22997.333333333332
1,0,66,80,21504,23082.666666666664
2,0,38,80,22570.666666666664,23552
1,0,64,80,23082.666666666664,23552
1,0,67,80,23082.666666666664,23509.333333333332
1,0,67,80,23082.666666666664,23552
2,0,50,80,23552,24576
1,0,66,80,23552,24576
1,0,69,80,23552,24533.333333333332
1,0,69,80,23552,24576
2,0,55,80,24576,25642.666666666664
1,0,67,80,24576,25642.666666666664
1,0,71,80,24576,25642.666666666664
1,0,71,80,24576,25642.666666666664
2,0,52,80,25642.666666666664,26624
1,0,67,80,25642.666666666664,26624
1,0,71,80,25642.666666666664,26581.333333333332
1,0,71,80,25642.666666666664,26624
2,0,48,80,26624,27648
1,0,64,80,26624,27648
1,0,72,80,26624,27605.333333333332
1,0,72,80,26624,27648
2,0,50,80,27648,29226.666666666664
1,0,62,80,27648,29226.666666666664
1,0,71,80,27648,29141.333333333332
1,0,71,80,27648,29226.666666666664
2,0,51,80,29226.666666666664,29696
1,0,60,80,29226.666666666664,29696
1,0,69,80,29226.666666666664,29653.333333333332
1,0,69,80,29226.666666666664,29696
2,0,52,80,29696,30720
2,0,59,80,29696,30720
1,0,67,80,29696,30677.333333333332
1,0,67,80,29696,30720
2,0,48,80,30720,31786.666666666664
1,0,60,80,30720,31786.666666666664
1,0,69,80,30720,31701.333333333332
1,0,69,80,30720,31786.666666666664
2,0,50,80,31786.666666666664,32768
2,0,59,80,31786.666666666664,32768
1,0,67,80,31786.666666666664,32725.333333333332
1,0,67,80,31786.666666666664,32768
2,0,38,80,32768,33792
2,0,57,80,32768,33792
1,0,66,80,32768,33749.33333333333
1,0,66,80,32768,33792
2,0,43,80,33792,35840
2,0,59,80,33792,35840
1,0,67,80,33792,35797.33333333333
1,0,67,80,33792,35840
2,0,43,80,36864,37930.666666666664
1,0,71,80,36864,37930.666666666664
1,0,74,80,36864,37930.666666666664
1,0,74,80,36864,37930.666666666664
2,0,47,80,37930.666666666664,38912
1,0,71,80,37930.666666666664,38912
1,0,74,80,37930.666666666664,38912
1,0,74,80,37930.666666666664,38912
2,0,50,80,38912,39936
1,0,71,80,38912,39936
1,0,74,80,38912,39936
1,0,74,80,38912,39936
2,0,55,80,39936,40533.33333333333
1,0,71,80,39936,41514.666666666664
1,0,74,80,39936,41429.33333333333
1,0,74,80,39936,41514.666666666664
2,0,43,80,40490.666666666664,40917.33333333333
2,0,47,80,41002.666666666664,41557.33333333333
2,0,50,80,41514.666666666664,41941.33333333333
1,0,69,80,41514.666666666664,41984
1,0,72,80,41514.666666666664,41941.33333333333
1,0,72,80,41514.666666666664,41984
2,0,55,80,41984,43008
1,0,67,80,41984,43008
1,0,71,80,41984,42965.33333333333
1,0,71,80,41984,43008
2,0,50,80,43008,44074.666666666664
1,0,69,80,43008,44074.666666666664
1,0,72,80,43008,44074.666666666664
1,0,72,80,43008,44074.666666666664
2,0,54,80,44074.666666666664,45056
1,0,69,80,44074.666666666664,45056
1,0,72,80,44074.666666666664,45056
1,0,72,80,44074.666666666664,45056
2,0,57,80,45056,46080
1,0,69,80,45056,46080
1,0,72,80,45056,46080
1,0,72,80,45056,46080
2,0,50,80,46080,46677.33333333333
1,0,69,80,46080,47658.666666666664
1,0,72,80,46080,47573.33333333333
1,0,72,80,46080,47658.666666666664
2,0,52,80,46634.666666666664,47061.33333333333
2,0,54,80,47146.666666666664,47701.33333333333
2,0,55,80,47658.666666666664,48085.33333333333
1,0,67,80,47658.666666666664,48128
1,0,71,80,47658.666666666664,48085.33333333333
1,0,71,80,47658.666666666664,48128
2,0,50,80,48128,49152
1,0,66,80,48128,49152
1,0,69,80,48128,49109.33333333333
1,0,69,80,48128,49152
2,0,43,80,49152,50218.666666666664
1,0,62,80,49152,50218.666666666664
1,0,71,80,49152,50133.33333333333
1,0,71,80,49152,50218.666666666664
2,0,55,80,50218.666666666664,51200
1,0,64,80,50218.666666666664,50773.33333333333
1,0,72,80,50218.666666666664,50773.33333333333
1,0,72,80,50218.666666666664,50730.666666666664
1,0,62,80,50730.666666666664,51157.33333333333
1,0,71,80,50730.666666666664,51114.666666666664
1,0,71,80,50730.666666666664,51200
2,0,55,80,51200,52224
1,0,60,80,51200,51797.33333333333
1,0,69,80,51200,51754.666666666664
1,0,69,80,51200,51712
2,0,59,80,51712,52181.33333333333
1,0,67,80,51712,52138.666666666664
1,0,67,80,51712,52224
2,0,55,80,52224,53802.666666666664
1,0,67,80,52224,53802.666666666664
1,0,71,80,52224,53717.33333333333
1,0,71,80,52224,53802.666666666664
2,0,52,80,53802.666666666664,54272
1,0,67,80,53802.666666666664,54272
1,0,72,80,53802.666666666664,54229.33333333333
1,0,72,80,53802.666666666664,54272
2,0,47,80,54272,55296
1,0,67,80,54272,55296
1,0,74,80,54272,55253.33333333333
1,0,74,80,54272,55296
2,0,48,80,55296,56362.666666666664
1,0,67,80,55296,55893.33333333333
1,0,76,80,55296,55893.33333333333
1,0,76,80,55296,55850.666666666664
1,0,64,80,55850.666666666664,56277.33333333333
1,0,69,80,55850.666666666664,56277.33333333333
1,0,72,80,55850.666666666664,56277.33333333333
1,0,72,80,55850.666666666664,56362.666666666664
2,0,50,80,56362.666666666664,57344
1,0,62,80,56362.666666666664,57344
1,0,67,80,56362.666666666664,57344
1,0,71,80,56362.666666666664,57301.33333333333
1,0,71,80,56362.666666666664,57344
2,0,50,80,57344,58368
1,0,60,80,57344,58368
1,0,62,80,57344,58368
1,0,69,80,57344,58325.33333333333
1,0,69,80,57344,58368
2,0,43,80,58368,61440
2,0,59,80,58368,61440
1,0,62,80,58368,61440
1,0,67,80,58368,61440
1,0,67,80,58368,61440
2,0,43,80,61440,62421.33333333333
2,0,43,80,61440,62506.666666666664
2,0,59,80,61440,62506.666666666664
1,0,67,80,61440,62506.666666666664
1,0,71,80,61440,62506.666666666664
1,0,74,80,61440,62506.666666666664
1,0,74,80,61440,62506.666666666664
2,0,47,80,62506.666666666664,63445.33333333333
2,0,47,80,62506.666666666664,63488
2,0,59,80,62506.666666666664,63488
1,0,67,80,62506.666666666664,63488
1,0,71,80,62506.666666666664,63488
1,0,74,80,62506.666666666664,63488
1,0,74,80,62506.666666666664,63488
2,0,50,80,63488,64469.33333333333
2,0,50,80,63488,64512
2,0,59,80,63488,64512
1,0,67,80,63488,64512
1,0,71,80,63488,64512
1,0,74,80,63488,64512
1,0,74,80,63488,64512
2,0,55,80,64512,66005.33333333333
2,0,55,80,64512,65109.33333333333
2,0,59,80,64512,66090.66666666666
1,0,67,80,64512,66005.33333333333
1,0,71,80,64512,66090.66666666666
1,0,74,80,64512,66090.66666666666
1,0,74,80,64512,66090.66666666666
2,0,43,80,65066.666666666664,65493.33333333333
2,0,47,80,65578.66666666666,66133.33333333333
2,0,43,80,66090.66666666666,66560
2,0,50,80,66090.66666666666,66517.33333333333
2,0,57,80,66090.66666666666,66560
1,0,62,80,66090.66666666666,66560
1,0,69,80,66090.66666666666,66560
1,0,72,80,66090.66666666666,66560
1,0,72,80,66090.66666666666,66560
2,0,43,80,66560,67541.33333333333
2,0,55,80,66560,67584
2,0,55,80,66560,67584
1,0,62,80,66560,67541.33333333333
1,0,67,80,66560,67584
1,0,71,80,66560,67584
1,0,71,80,66560,67584
2,0,50,80,67584,68565.33333333333
2,0,50,80,67584,68650.66666666666
2,0,57,80,67584,68650.66666666666
1,0,66,80,67584,68565.33333333333
1,0,69,80,67584,68650.66666666666
1,0,72,80,67584,68650.66666666666
1,0,72,80,67584,68650.66666666666
2,0,54,80,68650.66666666666,69589.33333333333
2,0,54,80,68650.66666666666,69632
2,0,57,80,68650.66666666666,69632
1,0,62,80,68650.66666666666,69589.33333333333
1,0,69,80,68650.66666666666,69632
1,0,72,80,68650.66666666666,69632
1,0,72,80,68650.66666666666,69632
2,0,57,80,69632,70613.33333333333
2,0,57,80,69632,70656
1,0,62,80,69632,70656
1,0,66,80,69632,70613.33333333333
1,0,69,80,69632,70656
1,0,72,80,69632,70656
1,0,72,80,69632,70656
2,0,50,80,70656,72234.66666666666
2,0,50,80,70656,71253.33333333333
1,0,62,80,70656,72234.66666666666
1,0,69,80,70656,72149.33333333333
1,0,69,80,70656,72234.66666666666
1,0,72,80,70656,72234.66666666666
1,0,72,80,70656,72234.66666666666
2,0,52,80,71210.66666666666,71637.33333333333
2,0,54,80,71722.66666666666,72277.33333333333
2,0,50,80,72234.66666666666,72704
2,0,55,80,72234.66666666666,72661.33333333333
1,0,62,80,72234.66666666666,72704
1,0,67,80,72234.66666666666,72661.33333333333
1,0,67,80,72234.66666666666,72704
1,0,71,80,72234.66666666666,72704
1,0,71,80,72234.66666666666,72704
2,0,50,80,72704,73685.33333333333
2,0,50,80,72704,73728
1,0,62,80,72704,73728
1,0,66,80,72704,73685.33333333333
1,0,66,80,72704,73728
1,0,69,80,72704,73728
1,0,69,80,72704,73728
2,0,43,80,73728,74794.66666666666
2,0,55,80,73728,74794.66666666666
1,0,62,80,73728,74709.33333333333
1,0,62,80,73728,74794.66666666666
1,0,67,80,73728,74794.66666666666
1,0,71,80,73728,74709.33333333333
1,0,71,80,73728,74794.66666666666
2,0,55,80,74794.66666666666,75776
2,0,55,80,74794.66666666666,75776
1,0,64,80,74794.66666666666,75349.33333333333
1,0,64,80,74794.66666666666,75349.33333333333
1,0,67,80,74794.66666666666,75733.33333333333
1,0,72,80,74794.66666666666,75349.33333333333
1,0,72,80,74794.66666666666,75306.66666666666
1,0,62,80,75306.66666666666,75690.66666666666
1,0,62,80,75306.66666666666,75733.33333333333
1,0,71,80,75306.66666666666,75690.66666666666
1,0,71,80,75306.66666666666,75776
2,0,55,80,75776,76757.33333333333
2,0,55,80,75776,76800
1,0,60,80,75776,76330.66666666666
1,0,60,80,75776,76373.33333333333
1,0,62,80,75776,76757.33333333333
1,0,69,80,75776,76330.66666666666
1,0,69,80,75776,76288
2,0,59,80,76288,76714.66666666666
2,0,59,80,76288,76757.33333333333
1,0,67,80,76288,76714.66666666666
1,0,67,80,76288,76800
2,0,55,80,76800,78293.33333333333
2,0,55,80,76800,78378.66666666666
1,0,62,80,76800,78293.33333333333
1,0,62,80,76800,78378.66666666666
1,0,67,80,76800,79872
