# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,681818
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,67,80,480,600
1,0,69,80,600,720
1,0,70,80,720,840
1,0,72,80,840,960
2,0,55,80,960,1200
1,0,74,80,960,1440
2,0,58,80,1200,1440
1,0,62,80,1200,1440
1,0,78,80,1380,1440
2,0,50,80,1440,1680
1,0,79,80,1440,1680
1,0,73,80,1620,1680
2,0,58,80,1680,1920
1,0,62,80,1680,1920
1,0,74,80,1680,1920
1,0,69,80,1800,1920
2,0,55,80,1920,2160
1,0,70,80,1920,2400
2,0,58,80,2160,2400
1,0,62,80,2160,2400
2,0,50,80,2400,2640
1,0,74,80,2400,2640
2,0,58,80,2640,2880
1,0,62,80,2640,2880
1,0,75,80,2640,2880
2,0,54,80,2880,3120
1,0,74,80,2880,2960
1,0,75,80,2960,3040
1,0,74,80,3040,3120
2,0,57,80,3120,3360
1,0,60,80,3120,3360
1,0,72,80,3120,3360
2,0,50,80,3360,3600
1,0,69,80,3360,3600
2,0,54,80,3600,3840
1,0,60,80,3600,3840
1,0,70,80,3600,3840
2,0,55,80,3840,4080
1,0,81,80,3840,3920
1,0,82,80,3920,4000
1,0,81,80,4000,4080
2,0,58,80,4080,4320
1,0,62,80,4080,4320
1,0,79,80,4080,4320
2,0,50,80,4320,4560
1,0,79,80,4320,4440
1,0,81,80,4440,4560
2,0,58,80,4560,4800
1,0,62,80,4560,4800
1,0,82,80,4560,4680
1,0,84,80,4680,4800
2,0,55,80,4800,5040
1,0,86,80,4800,5280
2,0,58,80,5040,5280
1,0,62,80,5040,5280
1,0,90,80,5220,5280
2,0,50,80,5280,5520
1,0,91,80,5280,5520
1,0,85,80,5460,5520
2,0,58,80,5520,5760
1,0,62,80,5520,5760
1,0,86,80,5520,5760
1,0,81,80,5640,5760
2,0,55,80,5760,6000
1,0,82,80,5760,6240
2,0,58,80,6000,6240
1,0,62,80,6000,6240
2,0,50,80,6240,6480
1,0,86,80,6240,6480
2,0,58,80,6480,6720
1,0,62,80,6480,6720
1,0,87,80,6480,6720
2,0,54,80,6720,6960
1,0,86,80,6720,6800
1,0,87,80,6800,6880
1,0,86,80,6880,6960
2,0,57,80,6960,7200
1,0,60,80,6960,7200
1,0,84,80,6960,7200
2,0,50,80,7200,7440
1,0,81,80,7200,7440
2,0,54,80,7440,7680
1,0,60,80,7440,7680
1,0,82,80,7440,7680
1,0,82,80,7620,7680
2,0,55,80,7680,7920
1,0,79,80,7680,7920
2,0,58,80,7920,8160
1,0,62,80,7920,8160
2,0,50,80,8160,8400
2,0,58,80,8400,8640
1,0,62,80,8400,8640
2,0,55,80,8640,8880
2,0,58,80,8880,9120
1,0,62,80,8880,9120
2,0,50,80,9120,9360
2,0,58,80,9360,9600
1,0,62,80,9360,9600
1,0,70,80,9360,9600
1,0,70,80,9360,9480
2,0,55,80,9600,9840
1,0,70,80,9600,9840
1,0,70,80,9600,9720
2,0,58,80,9840,10080
1,0,62,80,9840,10080
1,0,70,80,9840,10080
1,0,70,80,9840,9960
2,0,50,80,10080,10320
1,0,70,80,10080,10320
1,0,70,80,10080,10200
2,0,58,80,10320,10560
1,0,62,80,10320,10560
1,0,70,80,10320,10560
1,0,70,80,10320,10440
2,0,55,80,10560,10800
1,0,70,80,10560,10680
1,0,70,80,10560,10680
1,0,69,80,10680,10800
1,0,69,80,10680,10800
2,0,58,80,10800,11040
1,0,62,80,10800,11040
1,0,67,80,10800,11280
1,0,67,80,10800,11280
2,0,50,80,11040,11280
2,0,58,80,11280,11520
1,0,62,80,11280,11520
1,0,70,80,11280,11400
1,0,74,80,11280,11520
1,0,74,80,11280,11400
2,0,55,80,11520,11760
1,0,70,80,11520,11640
1,0,74,80,11520,11760
1,0,74,80,11520,11640
2,0,58,80,11760,12000
1,0,62,80,11760,12000
1,0,70,80,11760,11880
