# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,1034483
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,56,80,720,1200
1,0,66,80,720,1200
1,0,68,80,720,1200
1,0,72,80,720,1200
1,0,80,80,720,1200
1,0,78,80,1200,1440
2,0,49,80,1440,1560
1,0,77,80,1440,1520
1,0,78,80,1520,1600
1,0,77,80,1600,1680
2,0,56,80,1680,1800
1,0,65,80,1680,1800
1,0,75,80,1680,1920
2,0,56,80,1920,2040
1,0,65,80,1920,2040
1,0,73,80,1920,2160
2,0,55,80,2160,2400
1,0,72,80,2160,2400
2,0,59,80,2400,2880
1,0,65,80,2400,2880
1,0,71,80,2400,2640
1,0,67,80,2640,2880
2,0,48,80,2880,3120
1,0,72,80,2880,3120
2,0,55,80,3120,3360
1,0,64,80,3120,3360
1,0,67,80,3120,3360
1,0,60,80,3360,3600
1,0,64,80,3360,3600
1,0,67,80,3360,3600
2,0,56,80,3600,4080
1,0,60,80,3600,4080
1,0,66,80,3600,4080
1,0,68,80,3600,4080
2,0,54,80,4080,4200
2,0,53,80,4320,4440
2,0,51,80,4560,4680
1,0,61,80,4560,4800
1,0,65,80,4560,4800
1,0,68,80,4560,4800
2,0,49,80,4800,4920
1,0,61,80,4800,5040
1,0,65,80,4800,5040
1,0,68,80,4800,5040
2,0,48,80,5040,5160
2,0,47,80,5280,5400
2,0,55,80,5280,5760
1,0,65,80,5280,5760
1,0,67,80,5280,5760
2,0,45,80,5520,5640
2,0,48,80,5760,5880
1,0,64,80,6000,6060
1,0,60,80,6120,6180
2,0,55,80,6240,6360
2,0,43,80,6480,6600
2,0,55,80,6720,6840
2,0,59,80,6720,6840
1,0,65,80,6720,6840
1,0,67,80,6720,6840
2,0,55,80,6960,7080
2,0,59,80,6960,7080
1,0,65,80,6960,7080
1,0,67,80,6960,7080
2,0,48,80,7200,7320
1,0,64,80,7440,7500
1,0,60,80,7560,7620
2,0,55,80,7680,7800
2,0,43,80,7920,8040
2,0,55,80,8160,8280
2,0,59,80,8160,8280
1,0,65,80,8160,8280
1,0,67,80,8160,8280
2,0,55,80,8400,8520
2,0,59,80,8400,8520
1,0,65,80,8400,8520
1,0,67,80,8400,8520
2,0,48,80,8640,8760
1,0,64,80,8880,8940
1,0,60,80,9000,9060
2,0,55,80,9120,9240
2,0,43,80,9360,9480
1,0,64,80,9360,9600
2,0,55,80,9600,9720
2,0,59,80,9600,9840
1,0,65,80,9600,9840
1,0,65,80,9600,9840
1,0,67,80,9600,9840
2,0,55,80,9840,9960
2,0,59,80,9840,10080
1,0,65,80,9840,10080
1,0,67,80,9840,10080
1,0,67,80,9840,10080
2,0,48,80,10080,10320
1,0,64,80,10080,10560
1,0,64,80,10320,10440
1,0,60,80,10440,10560
2,0,55,80,10560,10800
1,0,64,80,10560,10800
2,0,43,80,10800,11040
1,0,64,80,10800,11040
2,0,55,80,11040,11280
2,0,59,80,11040,11280
1,0,65,80,11040,11280
1,0,65,80,11040,11280
1,0,67,80,11040,11280
2,0,55,80,11280,11520
2,0,59,80,11280,11520
1,0,65,80,11280,11520
1,0,67,80,11280,11520
1,0,67,80,11280,11520
2,0,48,80,11520,11760
1,0,64,80,11520,12000
1,0,64,80,11760,11880
1,0,60,80,11880,12000
2,0,55,80,12000,12240
1,0,64,80,12000,12240
2,0,54,80,12240,12960
1,0,69,80,12240,12480
1,0,60,80,12480,12720
1,0,63,80,12480,12720
1,0,71,80,12480,12720
1,0,60,80,12720,12960
1,0,63,80,12720,12960
1,0,72,80,12720,12960
2,0,55,80,12960,13200
1,0,71,80,12960,13200
1,0,64,80,13200,13320
1,0,69,80,13200,13440
1,0,60,80,13320,13440
2,0,55,80,13440,13680
1,0,64,80,13440,13680
2,0,43,80,13680,14400
1,0,67,80,13680,14160
2,0,55,80,13920,14160
2,0,59,80,13920,14160
2,0,55,80,14160,14400
2,0,59,80,14160,14400
1,0,65,80,14160,14400
2,0,48,80,14400,14640
1,0,64,80,14400,15120
1,0,60,80,14640,14760
2,0,55,80,14760,14880
2,0,52,80,14880,15120
2,0,55,80,15120,15600
1,0,65,80,15120,15600
1,0,67,80,15120,15600
1,0,71,80,15120,15600
1,0,79,80,15120,15600
1,0,77,80,15600,15840
1,0,60,80,15840,16080
1,0,76,80,15840,15920
1,0,77,80,15920,16000
1,0,76,80,16000,16080
1,0,62,80,16080,16320
1,0,74,80,16080,16320
1,0,64,80,16320,16560
1,0,72,80,16320,16560
2,0,43,80,16560,16680
1,0,64,80,16560,16800
2,0,55,80,16800,16920
2,0,59,80,16800,16920
1,0,65,80,16800,17040
1,0,65,80,16800,16920
1,0,67,80,16800,16920
2,0,55,80,17040,17160
2,0,59,80,17040,17160
1,0,65,80,17040,17160
1,0,67,80,17040,17280
1,0,67,80,17040,17160
2,0,48,80,17280,17400
1,0,64,80,17280,17760
1,0,64,80,17520,17580
1,0,60,80,17640,17700
2,0,55,80,17760,17880
1,0,64,80,17760,18000
2,0,45,80,18000,18480
1,0,64,80,18000,18240
1,0,60,80,18240,18480
1,0,65,80,18240,18480
2,0,47,80,18480,18720
2,0,59,80,18480,18720
1,0,63,80,18480,18720
1,0,67,80,18480,18720
1,0,67,80,18480,18720
2,0,52,80,18720,18960
1,0,64,80,18720,19200
1,0,62,80,18960,19080
2,0,59,80,19080,19200
2,0,55,80,19200,19440
1,0,64,80,19200,19440
2,0,48,80,19440,20160
1,0,67,80,19440,19680
2,0,57,80,19680,19920
1,0,63,80,19680,19920
1,0,67,80,19680,19920
1,0,69,80,19680,19920
2,0,57,80,19920,20160
1,0,63,80,19920,20160
1,0,67,80,19920,20160
1,0,72,80,19920,20160
2,0,50,80,20160,20880
1,0,71,80,20160,20400
1,0,67,80,20400,20520
1,0,69,80,20400,20640
1,0,62,80,20520,20640
2,0,59,80,20640,20880
1,0,67,80,20640,20880
2,0,38,80,20880,21600
1,0,69,80,20880,21120
1,0,60,80,21120,21360
1,0,66,80,21120,21360
1,0,69,80,21120,21240
1,0,69,80,21120,21360
1,0,60,80,21360,21600
1,0,64,80,21360,21600
1,0,64,80,21360,21600
1,0,67,80,21360,21600
2,0,43,80,21600,21840
1,0,67,80,21600,22080
2,0,59,80,21840,22080
1,0,62,80,21840,22080
1,0,67,80,21840,22080
2,0,59,80,22080,22320
1,0,62,80,22080,22320
1,0,67,80,22080,22320
2,0,48,80,22320,22440
1,0,68,80,22440,22500
1,0,63,80,22560,22680
1,0,70,80,22560,22620
1,0,72,80,22680,22740
2,0,56,80,22800,22920
1,0,68,80,22800,23040
1,0,74,80,22800,22860
1,0,75,80,22920,22980
2,0,46,80,23040,23160
1,0,74,80,23040,23760
1,0,74,80,23040,23160
1,0,62,80,23280,23400
1,0,70,80,23280,23400
2,0,55,80,23520,23640
1,0,67,80,23520,23640
2,0,44,80,23760,23880
1,0,65,80,23880,23940
1,0,60,80,24000,24120
1,0,67,80,24000,24060
1,0,68,80,24120,24180
2,0,53,80,24240,24360
1,0,65,80,24240,24480
1,0,70,80,24240,24300
1,0,72,80,24360,24420
2,0,43,80,24480,24600
1,0,70,80,24480,25200
1,0,70,80,24480,24600
2,0,58,80,24720,24840
1,0,67,80,24720,24840
2,0,51,80,24960,25080
1,0,63,80,24960,25080
2,0,41,80,25200,25320
1,0,61,80,25320,25380
2,0,56,80,25440,25560
1,0,63,80,25440,25500
1,0,65,80,25560,25620
2,0,49,80,25680,25800
1,0,61,80,25680,25920
1,0,67,80,25680,25740
1,0,68,80,25800,25860
2,0,39,80,25920,26040
1,0,67,80,25920,28560
1,0,67,80,25920,26040
2,0,55,80,26160,26280
1,0,63,80,26160,26280
2,0,48,80,26400,26520
1,0,60,80,26400,26520
2,0,44,80,26640,27360
2,0,51,80,26640,27360
1,0,60,80,26640,26720
1,0,62,80,26720,26800
1,0,60,80,26800,26880
2,0,59,80,26880,27120
1,0,60,80,27120,27360
2,0,43,80,27360,27840
2,0,50,80,27360,27840
2,0,59,80,27360,27840
1,0,67,80,27360,27600
1,0,67,80,27600,27840
1,0,67,80,27840,28080
1,0,67,80,28080,28320
1,0,67,80,28320,28560
1,0,64,80,28560,28800
1,0,67,80,28560,28800
2,0,53,80,28800,29520
1,0,65,80,28800,29280
1,0,67,80,29040,29160
1,0,62,80,29160,29280
2,0,59,80,29280,29400
1,0,67,80,29280,29520
2,0,55,80,29400,29520
2,0,43,80,29520,30240
1,0,69,80,29520,30000
2,0,59,80,29760,29880
1,0,62,80,29760,29880
1,0,67,80,29760,29880
2,0,59,80,30000,30120
1,0,62,80,30000,30120
1,0,67,80,30000,30120
1,0,71,80,30000,30240
2,0,52,80,30240,30960
1,0,67,80,30240,30960
1,0,67,80,30480,30600
1,0,64,80,30600,30720
1,0,60,80,30720,30840
2,0,55,80,30840,30960
2,0,43,80,30960,31680
1,0,67,80,30960,31440
1,0,60,80,31200,31320
1,0,64,80,31200,31320
1,0,67,80,31200,31320
1,0,60,80,31440,31560
1,0,64,80,31440,31560
1,0,67,80,31440,31680
1,0,67,80,31440,31560
2,0,50,80,31680,32400
1,0,69,80,31680,32160
1,0,67,80,31920,32040
1,0,65,80,32040,32160
2,0,59,80,32160,32280
1,0,71,80,32160,32400
2,0,55,80,32280,32400
2,0,43,80,32400,33120
1,0,72,80,32400,32880
2,0,59,80,32640,32760
1,0,65,80,32640,32760
1,0,67,80,32640,32760
2,0,59,80,32880,33000
1,0,65,80,32880,33000
1,0,67,80,32880,33000
1,0,74,80,32880,33120
2,0,48,80,33120,33840
1,0,76,80,33120,34560
1,0,67,80,33360,33480
1,0,64,80,33480,33600
1,0,60,80,33600,33720
2,0,55,80,33720,33840
2,0,43,80,33840,34560
1,0,60,80,34080,34200
1,0,64,80,34080,34200
1,0,67,80,34080,34200
1,0,60,80,34320,34440
1,0,64,80,34320,34440
1,0,67,80,34320,34440
2,0,45,80,34560,35280
1,0,76,80,34560,34800
1,0,72,80,34800,34920
1,0,76,80,34800,35040
1,0,69,80,34920,35040
1,0,64,80,35040,35160
1,0,76,80,35040,35280
1,0,60,80,35160,35280
2,0,57,80,35280,36000
1,0,76,80,35280,35760
1,0,64,80,35520,35640
1,0,69,80,35520,35640
1,0,72,80,35520,35640
1,0,64,80,35760,35880
1,0,69,80,35760,35880
1,0,72,80,35760,36000
1,0,72,80,35760,35880
2,0,53,80,36000,36720
1,0,72,80,36000,36720
1,0,69,80,36240,36360
1,0,65,80,36360,36480
1,0,60,80,36480,36600
2,0,55,80,36600,36720
2,0,50,80,36720,37440
1,0,69,80,36720,37440
1,0,62,80,36960,37080
1,0,65,80,36960,37080
1,0,69,80,36960,37080
1,0,62,80,37200,37320
1,0,65,80,37200,37320
1,0,69,80,37200,37320
2,0,47,80,37440,38160
1,0,65,80,37440,37680
1,0,65,80,37680,37800
1,0,62,80,37800,37920
2,0,59,80,37920,38040
1,0,64,80,37920,38160
2,0,55,80,38040,38160
2,0,43,80,38160,38880
1,0,67,80,38160,38400
2,0,55,80,38400,38520
2,0,59,80,38400,38520
1,0,65,80,38400,38640
1,0,65,80,38400,38520
2,0,55,80,38640,38760
2,0,59,80,38640,38760
1,0,64,80,38640,38880
1,0,65,80,38640,38760
2,0,48,80,38880,39600
1,0,64,80,38880,39120
1,0,64,80,39120,39240
1,0,67,80,39120,41760
1,0,60,80,39240,39360
2,0,55,80,39360,39480
2,0,52,80,39480,39600
2,0,43,80,39600,40320
2,0,55,80,39840,40080
1,0,60,80,39840,40080
1,0,64,80,39840,40080
1,0,60,80,40080,40320
1,0,64,80,40080,40320
2,0,50,80,40320,40440
1,0,62,80,40320,40800
1,0,65,80,40320,40800
2,0,55,80,40560,40680
2,0,59,80,40560,40680
2,0,55,80,40800,40920
2,0,59,80,40800,40920
1,0,64,80,40800,41040
1,0,67,80,40800,41040
2,0,43,80,41040,41160
1,0,65,80,41040,41520
1,0,69,80,41040,41520
2,0,55,80,41280,41400
2,0,59,80,41280,41400
2,0,55,80,41520,41640
2,0,59,80,41520,41640
1,0,67,80,41520,41760
1,0,71,80,41520,41760
2,0,48,80,41760,42000
1,0,64,80,41760,42480
1,0,67,80,41760,42480
1,0,60,80,42000,42120
2,0,55,80,42120,42240
2,0,52,80,42240,42360
2,0,48,80,42360,42480
2,0,43,80,42480,42600
1,0,64,80,42480,42960
1,0,67,80,42480,42960
2,0,55,80,42720,42840
1,0,60,80,42720,42840
2,0,55,80,42960,43080
1,0,60,80,42960,43080
1,0,64,80,42960,43200
1,0,67,80,42960,43200
1,0,67,80,42960,43200
2,0,47,80,43200,43440
1,0,65,80,43200,43680
1,0,69,80,43200,43680
1,0,69,80,43200,43680
2,0,55,80,43440,43560
2,0,59,80,43440,43560
2,0,55,80,43680,43800
2,0,59,80,43680,43800
1,0,67,80,43680,43920
1,0,71,80,43680,43920
1,0,71,80,43680,43920
2,0,43,80,43920,44040
1,0,65,80,43920,44400
1,0,69,80,43920,44400
