# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,256
# meta,0,0,tempo,750000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
1,0,64,80,0,234.66666666666666
1,0,79,80,0,234.66666666666666
1,0,67,80,128,245.33333333333331
1,0,60,80,256,373.3333333333333
1,0,64,80,256,373.3333333333333
1,0,84,80,256,373.3333333333333
2,0,55,80,384,501.3333333333333
1,0,83,80,384,618.6666666666666
1,0,67,80,512,885.3333333333333
1,0,67,80,512,629.3333333333333
1,0,65,80,640,757.3333333333333
1,0,81,80,640,757.3333333333333
1,0,64,80,768,1002.6666666666666
1,0,79,80,768,1002.6666666666666
1,0,67,80,896,1013.3333333333333
1,0,60,80,1024,1141.3333333333333
1,0,64,80,1024,1141.3333333333333
1,0,84,80,1024,1141.3333333333333
2,0,55,80,1152,1269.3333333333333
1,0,83,80,1152,1386.6666666666665
1,0,67,80,1280,1653.3333333333333
1,0,67,80,1280,1397.3333333333333
1,0,65,80,1408,1525.3333333333333
1,0,81,80,1408,1525.3333333333333
1,0,64,80,1536,1770.6666666666665
1,0,79,80,1536,1653.3333333333333
1,0,67,80,1664,2037.3333333333333
1,0,84,80,1664,1781.3333333333333
1,0,62,80,1792,1909.3333333333333
1,0,86,80,1792,1909.3333333333333
1,0,60,80,1920,2037.3333333333333
1,0,88,80,1920,2048
1,0,62,80,2048,2165.333333333333
1,0,86,80,2048,2176
1,0,64,80,2176,2293.333333333333
1,0,84,80,2176,2293.333333333333
1,0,62,80,2304,2421.333333333333
1,0,89,80,2304,2538.6666666666665
2,0,59,80,2432,2549.333333333333
1,0,60,80,2560,2677.333333333333
1,0,88,80,2560,2677.333333333333
2,0,55,80,2688,2805.333333333333
1,0,86,80,2688,2922.6666666666665
1,0,67,80,2816,2933.333333333333
1,0,65,80,2944,3061.333333333333
1,0,64,80,3072,3306.6666666666665
1,0,79,80,3072,3306.6666666666665
1,0,67,80,3200,3317.333333333333
1,0,60,80,3328,3445.333333333333
1,0,64,80,3328,3445.333333333333
1,0,84,80,3328,3445.333333333333
2,0,55,80,3456,3573.333333333333
1,0,83,80,3456,3690.6666666666665
1,0,67,80,3584,3957.333333333333
1,0,67,80,3584,3701.333333333333
1,0,65,80,3712,3829.333333333333
1,0,81,80,3712,3829.333333333333
1,0,64,80,3840,4074.6666666666665
1,0,79,80,3840,4074.6666666666665
1,0,67,80,3968,4085.333333333333
1,0,60,80,4096,4213.333333333333
1,0,64,80,4096,4213.333333333333
1,0,84,80,4096,4213.333333333333
2,0,55,80,4224,4341.333333333333
1,0,83,80,4224,4458.666666666666
1,0,67,80,4352,4725.333333333333
1,0,67,80,4352,4469.333333333333
1,0,65,80,4480,4597.333333333333
1,0,81,80,4480,4597.333333333333
1,0,64,80,4608,4842.666666666666
1,0,79,80,4608,4725.333333333333
1,0,67,80,4736,5109.333333333333
1,0,84,80,4736,4853.333333333333
1,0,62,80,4864,4981.333333333333
1,0,86,80,4864,4981.333333333333
1,0,60,80,4992,5333.333333333333
1,0,88,80,4992,5109.333333333333
1,0,69,80,5120,5237.333333333333
1,0,84,80,5120,5237.333333333333
1,0,65,80,5248,5365.333333333333
1,0,89,80,5248,5365.333333333333
1,0,67,80,5376,5717.333333333333
1,0,67,80,5376,5610.666666666666
1,0,88,80,5376,5632
2,0,55,80,5632,5749.333333333333
1,0,86,80,5632,5728
1,0,84,80,5728,5760
1,0,60,80,5760,5877.333333333333
1,0,64,80,5760,5994.666666666666
1,0,84,80,5760,5994.666666666666
1,0,60,80,5888,6005.333333333333
1,0,62,80,6016,6133.333333333333
1,0,64,80,6144,6378.666666666666
1,0,79,80,6144,6378.666666666666
1,0,67,80,6272,6389.333333333333
1,0,60,80,6400,6517.333333333333
1,0,64,80,6400,6517.333333333333
1,0,84,80,6400,6517.333333333333
2,0,55,80,6528,6645.333333333333
1,0,83,80,6528,6762.666666666666
1,0,67,80,6656,7029.333333333333
1,0,67,80,6656,6773.333333333333
1,0,65,80,6784,6901.333333333333
1,0,81,80,6784,6901.333333333333
1,0,64,80,6912,7146.666666666666
1,0,79,80,6912,7146.666666666666
1,0,67,80,7040,7157.333333333333
1,0,60,80,7168,7285.333333333333
1,0,64,80,7168,7285.333333333333
1,0,84,80,7168,7285.333333333333
2,0,55,80,7296,7413.333333333333
1,0,83,80,7296,7530.666666666666
1,0,67,80,7424,7797.333333333333
1,0,67,80,7424,7541.333333333333
1,0,65,80,7552,7669.333333333333
1,0,81,80,7552,7669.333333333333
1,0,64,80,7680,7914.666666666666
1,0,79,80,7680,7797.333333333333
1,0,67,80,7808,8181.333333333333
1,0,84,80,7808,7925.333333333333
1,0,62,80,7936,8053.333333333333
1,0,86,80,7936,8053.333333333333
1,0,60,80,8064,8181.333333333333
1,0,88,80,8064,8192
1,0,62,80,8192,8309.333333333332
1,0,86,80,8192,8320
1,0,64,80,8320,8437.333333333332
1,0,84,80,8320,8437.333333333332
1,0,62,80,8448,8565.333333333332
1,0,89,80,8448,8682.666666666666
2,0,59,80,8576,8693.333333333332
1,0,60,80,8704,8821.333333333332
1,0,88,80,8704,8821.333333333332
2,0,55,80,8832,8949.333333333332
1,0,86,80,8832,9066.666666666666
1,0,67,80,8960,9077.333333333332
1,0,65,80,9088,9205.333333333332
1,0,64,80,9216,9450.666666666666
1,0,79,80,9216,9450.666666666666
1,0,67,80,9344,9461.333333333332
1,0,60,80,9472,9589.333333333332
1,0,64,80,9472,9589.333333333332
1,0,84,80,9472,9589.333333333332
2,0,55,80,9600,9717.333333333332
1,0,83,80,9600,9834.666666666666
1,0,67,80,9728,10101.333333333332
1,0,67,80,9728,9845.333333333332
1,0,65,80,9856,9973.333333333332
1,0,81,80,9856,9973.333333333332
1,0,64,80,9984,10218.666666666666
1,0,79,80,9984,10218.666666666666
1,0,67,80,10112,10229.333333333332
1,0,60,80,10240,10357.333333333332
1,0,64,80,10240,10357.333333333332
