# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,468750
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,53,80,0,240
1,0,84,80,0,240
2,0,57,80,240,480
1,0,60,80,240,480
1,0,81,80,240,480
2,0,48,80,480,720
1,0,81,80,480,720
2,0,57,80,720,960
1,0,60,80,720,960
1,0,84,80,720,960
2,0,53,80,960,1200
1,0,84,80,960,1440
2,0,57,80,1200,1440
1,0,60,80,1200,1440
2,0,48,80,1440,1680
1,0,84,80,1440,1680
2,0,57,80,1680,1920
1,0,60,80,1680,1920
2,0,54,80,1920,2160
1,0,86,80,1920,2160
2,0,57,80,2160,2400
1,0,60,80,2160,2400
1,0,81,80,2160,2400
2,0,50,80,2400,2640
1,0,81,80,2400,2640
2,0,57,80,2640,2880
1,0,60,80,2640,2880
1,0,86,80,2640,2880
2,0,57,80,2880,3120
1,0,86,80,2880,3360
2,0,58,80,3120,3360
1,0,62,80,3120,3360
2,0,50,80,3360,3600
1,0,86,80,3360,3600
2,0,58,80,3600,3840
1,0,62,80,3600,3840
1,0,86,80,3600,3840
2,0,34,80,3840,4320
2,0,46,80,3840,4320
1,0,85,80,3840,4080
1,0,86,80,4080,4320
2,0,35,80,4320,4800
2,0,47,80,4320,4800
1,0,88,80,4320,4560
1,0,89,80,4560,5040
2,0,36,80,4800,5280
2,0,48,80,4800,5280
1,0,84,80,5040,5280
2,0,41,80,5280,5760
2,0,53,80,5280,5760
1,0,81,80,5280,5520
1,0,77,80,5520,5760
2,0,43,80,5760,6000
2,0,55,80,5760,6000
1,0,67,80,5760,6000
1,0,71,80,5760,6000
1,0,74,80,5760,6000
2,0,48,80,6240,6480
1,0,60,80,6240,6480
1,0,67,80,6240,6480
1,0,70,80,6240,6480
1,0,72,80,6240,6480
1,0,76,80,6240,6480
2,0,41,80,6720,7200
2,0,53,80,6720,7200
1,0,69,80,6720,7200
1,0,72,80,6720,7200
1,0,77,80,6720,7200
2,0,41,80,7440,7920
2,0,53,80,7440,7920
2,0,57,80,7440,7920
1,0,60,80,7440,7920
1,0,65,80,7440,7920
2,0,41,80,8160,8640
2,0,53,80,8160,8640
2,0,57,80,8160,8640
1,0,60,80,8160,8640
1,0,65,80,8160,8640
2,0,41,80,8880,9360
2,0,53,80,8880,9360
2,0,57,80,8880,9360
1,0,60,80,8880,9360
1,0,65,80,8880,9360
1,0,69,80,8880,9120
1,0,72,80,9120,9360
1,0,72,80,9360,9600
2,0,41,80,9600,10080
2,0,53,80,9600,10080
2,0,57,80,9600,10080
1,0,60,80,9600,10080
1,0,65,80,9600,10080
1,0,69,80,9600,9840
1,0,67,80,9840,10080
1,0,65,80,10080,10320
2,0,41,80,10320,10800
2,0,53,80,10320,10800
2,0,58,80,10320,10800
1,0,61,80,10320,10800
1,0,67,80,10320,10560
1,0,67,80,10320,10800
1,0,69,80,10560,10800
1,0,70,80,10800,11040
2,0,41,80,11040,11520
2,0,53,80,11040,11520
2,0,57,80,11040,11520
1,0,60,80,11040,11520
1,0,65,80,11040,11520
1,0,69,80,11040,11280
1,0,67,80,11280,11520
1,0,65,80,11520,11760
2,0,37,80,11760,12240
2,0,49,80,11760,12240
2,0,58,80,11760,12240
1,0,65,80,11760,12240
1,0,67,80,11760,12000
1,0,67,80,11760,12240
1,0,69,80,12000,12240
1,0,70,80,12240,12480
2,0,36,80,12480,12960
2,0,48,80,12480,12960
2,0,57,80,12480,12960
1,0,65,80,12480,12960
1,0,69,80,12480,12960
1,0,69,80,12480,12960
1,0,72,80,12960,13200
2,0,48,80,13200,13440
1,0,60,80,13200,13440
2,0,50,80,13440,13680
1,0,62,80,13440,13680
2,0,52,80,13680,13920
1,0,64,80,13680,13920
2,0,53,80,13920,14400
1,0,65,80,13920,14400
2,0,38,80,14640,15120
2,0,50,80,14640,15120
1,0,60,80,14640,15120
1,0,66,80,14640,15120
1,0,69,80,14640,15120
1,0,74,80,14640,14880
1,0,74,80,14880,15120
1,0,74,80,15120,15360
2,0,43,80,15360,15840
2,0,55,80,15360,15840
2,0,58,80,15360,15840
1,0,67,80,15360,15840
1,0,70,80,15360,15600
1,0,70,80,15360,15840
1,0,69,80,15600,15840
1,0,67,80,15840,16080
2,0,43,80,16080,16560
2,0,55,80,16080,16560
1,0,60,80,16080,16560
1,0,63,80,16080,16560
1,0,69,80,16080,16320
1,0,69,80,16080,16560
1,0,70,80,16320,16560
1,0,72,80,16560,16800
2,0,43,80,16800,17280
2,0,55,80,16800,17280
2,0,58,80,16800,17280
1,0,62,80,16800,17280
1,0,67,80,16800,17280
1,0,70,80,16800,17040
1,0,69,80,17040,17280
1,0,67,80,17280,17520
2,0,39,80,17520,18000
2,0,51,80,17520,18000
1,0,60,80,17520,18000
1,0,67,80,17520,18000
1,0,69,80,17520,17760
1,0,69,80,17520,18000
1,0,70,80,17760,18000
1,0,72,80,18000,18240
2,0,38,80,18240,18720
2,0,50,80,18240,18720
2,0,58,80,18240,18720
1,0,67,80,18240,18720
