# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,857143
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,29,80,0,960
2,0,41,80,0,1920
1,0,65,80,0,240
1,0,69,80,60,300
1,0,72,80,120,360
1,0,77,80,180,420
2,0,48,80,240,480
1,0,60,80,400,480
2,0,53,80,480,720
1,0,69,80,480,840
1,0,72,80,480,840
2,0,48,80,720,960
1,0,67,80,840,960
1,0,70,80,840,960
2,0,53,80,960,1200
1,0,65,80,960,1080
1,0,69,80,960,1080
2,0,48,80,1200,1440
2,0,53,80,1440,1680
1,0,65,80,1440,1800
1,0,69,80,1440,1800
2,0,48,80,1680,1920
1,0,69,80,1800,1920
1,0,72,80,1800,1920
1,0,72,80,1840,1920
2,0,36,80,1920,2160
1,0,67,80,1920,2280
1,0,70,80,1920,2280
2,0,48,80,2160,2400
1,0,66,80,2280,2400
1,0,69,80,2280,2400
2,0,36,80,2400,2640
1,0,67,80,2400,2760
1,0,70,80,2400,2760
2,0,48,80,2640,2880
1,0,65,80,2760,2880
1,0,69,80,2760,2880
2,0,36,80,2880,3120
2,0,36,80,2880,3840
1,0,64,80,2880,3360
1,0,67,80,2880,3360
2,0,40,80,3120,3360
2,0,43,80,3360,3600
1,0,64,80,3360,3600
1,0,67,80,3360,3600
2,0,48,80,3600,3840
2,0,34,80,3840,4320
2,0,46,80,3840,4320
1,0,65,80,3840,4320
1,0,74,80,3840,4080
1,0,76,80,4080,4320
2,0,33,80,4320,4560
2,0,45,80,4320,4560
1,0,65,80,4320,4440
1,0,72,80,4320,4440
1,0,77,80,4320,4440
2,0,31,80,4560,4800
2,0,43,80,4560,4800
1,0,70,80,4560,4680
1,0,72,80,4560,4680
1,0,79,80,4560,4680
2,0,29,80,4800,5040
2,0,41,80,4800,5040
1,0,69,80,4800,5040
1,0,72,80,4800,5040
1,0,81,80,4800,5040
2,0,31,80,5040,5280
2,0,43,80,5040,5280
1,0,72,80,5040,5280
1,0,76,80,5040,5280
1,0,82,80,5040,5280
2,0,33,80,5280,5520
2,0,45,80,5280,5520
1,0,72,80,5280,5520
1,0,77,80,5280,5520
1,0,84,80,5280,5520
2,0,35,80,5520,5760
2,0,47,80,5520,5760
1,0,74,80,5520,5760
1,0,77,80,5520,5760
1,0,80,80,5520,5760
1,0,86,80,5520,5760
2,0,36,80,5760,6720
2,0,48,80,5760,6720
1,0,60,80,6000,6240
2,0,58,80,6240,6720
1,0,64,80,6240,6720
1,0,69,80,6240,6600
1,0,67,80,6600,6720
2,0,29,80,6720,7680
2,0,41,80,6720,7680
2,0,57,80,6720,6960
1,0,65,80,6720,6960
2,0,48,80,6960,7200
2,0,53,80,7200,7440
2,0,48,80,7440,7680
1,0,60,80,7560,7680
2,0,41,80,7680,8640
1,0,69,80,7680,8160
1,0,69,80,7680,8160
1,0,72,80,7680,8160
1,0,72,80,7680,8160
2,0,48,80,7920,8160
2,0,53,80,8160,8400
1,0,69,80,8160,8520
1,0,69,80,8160,8520
1,0,72,80,8160,8520
1,0,72,80,8160,8520
2,0,48,80,8400,8640
1,0,67,80,8520,8640
1,0,67,80,8520,8640
1,0,70,80,8520,8640
1,0,70,80,8520,8640
2,0,41,80,8640,9600
2,0,53,80,8640,8880
1,0,65,80,8640,9120
1,0,65,80,8640,9120
1,0,69,80,8640,9120
1,0,69,80,8640,9120
2,0,48,80,8880,9120
2,0,53,80,9120,9360
1,0,65,80,9120,9480
1,0,65,80,9120,9480
1,0,69,80,9120,9480
1,0,69,80,9120,9480
2,0,48,80,9360,9600
1,0,69,80,9480,9600
1,0,69,80,9480,9600
1,0,72,80,9480,9600
1,0,72,80,9480,9600
1,0,69,80,9520,9600
1,0,72,80,9520,9600
1,0,72,80,9520,9600
2,0,36,80,9600,9840
1,0,67,80,9600,9960
1,0,67,80,9600,9960
1,0,70,80,9600,9960
1,0,70,80,9600,9960
2,0,48,80,9840,10080
1,0,66,80,9960,10080
1,0,66,80,9960,10080
1,0,69,80,9960,10080
1,0,69,80,9960,10080
2,0,36,80,10080,10320
1,0,67,80,10080,10440
1,0,67,80,10080,10440
1,0,70,80,10080,10440
1,0,70,80,10080,10440
2,0,48,80,10320,10560
1,0,65,80,10440,10560
1,0,65,80,10440,10560
1,0,69,80,10440,10560
1,0,69,80,10440,10560
2,0,36,80,10560,10800
2,0,36,80,10560,11520
1,0,64,80,10560,11040
1,0,64,80,10560,11280
1,0,67,80,10560,11040
1,0,67,80,10560,11280
2,0,40,80,10800,11040
2,0,43,80,11040,11280
1,0,64,80,11040,11280
1,0,67,80,11040,11280
2,0,48,80,11280,11520
1,0,60,80,11400,11520
2,0,29,80,11520,12480
2,0,41,80,11520,12480
1,0,69,80,11520,12000
1,0,69,80,11520,12000
1,0,72,80,11520,12000
1,0,72,80,11520,12000
2,0,48,80,11760,12000
2,0,53,80,12000,12240
1,0,69,80,12000,12360
1,0,69,80,12000,12360
1,0,72,80,12000,12360
1,0,72,80,12000,12360
2,0,48,80,12240,12480
1,0,67,80,12360,12480
1,0,67,80,12360,12480
1,0,70,80,12360,12480
1,0,70,80,12360,12480
2,0,41,80,12480,13440
2,0,53,80,12480,12720
1,0,65,80,12480,12960
1,0,65,80,12480,12960
1,0,69,80,12480,12960
1,0,69,80,12480,12960
2,0,48,80,12720,12960
2,0,53,80,12960,13200
1,0,65,80,12960,13320
1,0,65,80,12960,13320
1,0,69,80,12960,13320
1,0,69,80,12960,13320
2,0,48,80,13200,13440
1,0,69,80,13320,13440
1,0,69,80,13320,13440
1,0,72,80,13320,13440
1,0,72,80,13320,13440
2,0,36,80,13440,13680
1,0,67,80,13440,13800
1,0,67,80,13440,13800
1,0,70,80,13440,13800
1,0,70,80,13440,13800
2,0,48,80,13680,13920
1,0,66,80,13800,13920
1,0,66,80,13800,13920
1,0,69,80,13800,13920
1,0,69,80,13800,13920
2,0,36,80,13920,14160
1,0,67,80,13920,14280
1,0,67,80,13920,14280
1,0,70,80,13920,14280
1,0,70,80,13920,14280
2,0,48,80,14160,14400
1,0,65,80,14280,14400
1,0,65,80,14280,14400
1,0,69,80,14280,14400
1,0,69,80,14280,14400
2,0,36,80,14400,14640
2,0,36,80,14400,15360
1,0,64,80,14400,14880
1,0,64,80,14400,15120
1,0,67,80,14400,14880
1,0,67,80,14400,15120
2,0,40,80,14640,14880
2,0,43,80,14880,15120
1,0,64,80,14880,15120
1,0,67,80,14880,15120
2,0,48,80,15120,15360
2,0,46,80,15360,15480
1,0,70,80,15360,15480
1,0,74,80,15360,15600
1,0,74,80,15360,15480
2,0,48,80,15600,15720
1,0,70,80,15600,15720
1,0,74,80,15600,15720
1,0,74,80,15600,15720
1,0,74,80,15720,15840
2,0,50,80,15840,15960
1,0,70,80,15840,15960
1,0,74,80,15840,16080
1,0,74,80,15840,15960
2,0,52,80,16080,16200
1,0,70,80,16080,16200
1,0,74,80,16080,16320
1,0,74,80,16080,16200
1,0,76,80,16260,16320
2,0,53,80,16320,16800
1,0,74,80,16320,16560
1,0,69,80,16560,16800
1,0,72,80,16560,16800
1,0,72,80,16560,16800
2,0,41,80,16800,17280
1,0,67,80,16800,17040
1,0,71,80,16800,17040
1,0,71,80,16800,17040
1,0,69,80,17040,17280
1,0,72,80,17040,17280
1,0,72,80,17040,17280
1,0,74,80,17220,17280
2,0,36,80,17280,17760
1,0,72,80,17280,17520
1,0,67,80,17520,17760
1,0,70,80,17520,17760
1,0,70,80,17520,17760
2,0,48,80,17760,18240
1,0,66,80,17760,18000
1,0,69,80,17760,18000
1,0,69,80,17760,18000
1,0,67,80,18000,18240
1,0,70,80,18000,18240
1,0,70,80,18000,18240
2,0,41,80,18240,18480
1,0,70,80,18240,18720
1,0,74,80,18240,18720
1,0,74,80,18240,18720
2,0,53,80,18480,18720
2,0,41,80,18720,18960
1,0,69,80,18720,18960
1,0,72,80,18720,18960
1,0,72,80,18720,18960
2,0,53,80,18960,19200
1,0,69,80,18960,19200
1,0,72,80,18960,19200
1,0,70,80,19140,19200
1,0,74,80,19140,19200
2,0,34,80,19200,19440
2,0,46,80,19200,19440
1,0,69,80,19200,19440
1,0,72,80,19200,19440
2,0,58,80,19440,19560
1,0,62,80,19440,19560
1,0,67,80,19440,19560
1,0,67,80,19440,19560
1,0,70,80,19440,19560
2,0,58,80,19680,19800
1,0,62,80,19680,19800
1,0,67,80,19680,19800
1,0,67,80,19680,19800
1,0,70,80,19680,19800
2,0,58,80,19920,20040
1,0,62,80,19920,20040
1,0,67,80,19920,20040
1,0,67,80,19920,20040
1,0,70,80,19920,20040
1,0,69,80,20100,20160
1,0,72,80,20100,20160
2,0,36,80,20160,20400
2,0,48,80,20160,20400
1,0,67,80,20160,20400
1,0,70,80,20160,20400
2,0,57,80,20400,20520
1,0,60,80,20400,20520
1,0,65,80,20400,20880
1,0,65,80,20400,20520
1,0,69,80,20400,20880
2,0,57,80,20640,20760
1,0,60,80,20640,20760
1,0,65,80,20640,20760
2,0,57,80,20880,21000
1,0,60,80,20880,21000
1,0,65,80,20880,21120
1,0,65,80,20880,21000
1,0,69,80,20880,21120
2,0,36,80,21120,21360
2,0,48,80,21120,21360
1,0,65,80,21120,21360
1,0,69,80,21120,21360
2,0,55,80,21360,21600
1,0,64,80,21360,21600
1,0,64,80,21360,21600
1,0,67,80,21360,21600
1,0,60,80,21600,21840
1,0,69,80,21600,21840
1,0,69,80,21600,21840
1,0,72,80,21600,21840
2,0,58,80,21840,22080
1,0,67,80,21840,22080
1,0,67,80,21840,22080
1,0,70,80,21840,22080
2,0,41,80,22080,22320
2,0,53,80,22080,22320
1,0,65,80,22080,22200
1,0,69,80,22080,22200
1,0,69,80,22320,22440
1,0,69,80,22320,22440
1,0,72,80,22320,22440
1,0,72,80,22320,22440
1,0,67,80,22440,22560
1,0,67,80,22440,22560
1,0,70,80,22440,22560
1,0,70,80,22440,22560
1,0,65,80,22560,22800
1,0,65,80,22560,22680
1,0,69,80,22560,22800
1,0,69,80,22560,22680
1,0,67,80,22800,22920
1,0,70,80,22800,22920
1,0,69,80,22920,23040
1,0,72,80,22920,23040
2,0,46,80,23040,23280
2,0,46,80,23040,24000
1,0,70,80,23040,23280
1,0,70,80,23040,23280
1,0,74,80,23040,23280
1,0,74,80,23040,23280
2,0,50,80,23280,23520
1,0,69,80,23280,23400
1,0,69,80,23280,23400
1,0,73,80,23280,23400
1,0,73,80,23280,23400
1,0,70,80,23400,23520
1,0,70,80,23400,23520
1,0,74,80,23400,23520
1,0,74,80,23400,23520
2,0,55,80,23520,23760
1,0,67,80,23520,23760
1,0,67,80,23520,23640
1,0,70,80,23520,23760
1,0,70,80,23520,23640
2,0,58,80,23760,24000
1,0,67,80,23760,24000
1,0,70,80,23760,24000
1,0,74,80,23760,24000
1,0,70,80,23820,24060
1,0,74,80,23880,24120
1,0,79,80,23940,24180
2,0,48,80,24000,24240
2,0,48,80,24000,24960
1,0,69,80,24000,24720
1,0,69,80,24000,24120
1,0,72,80,24000,24720
1,0,72,80,24000,24120
2,0,53,80,24240,24480
1,0,67,80,24240,24360
1,0,70,80,24240,24360
1,0,69,80,24360,24480
1,0,72,80,24360,24480
2,0,57,80,24480,24720
1,0,65,80,24480,24720
1,0,69,80,24480,24720
1,0,60,80,24720,24960
1,0,65,80,24720,24960
1,0,65,80,24720,24960
1,0,69,80,24720,24960
1,0,69,80,24780,25020
1,0,72,80,24840,24960
1,0,72,80,24900,25080
1,0,77,80,24900,25140
2,0,48,80,24960,25200
1,0,67,80,24960,25200
1,0,67,80,24960,25200
1,0,70,80,24960,25200
1,0,70,80,24960,25200
1,0,60,80,25200,25440
1,0,66,80,25200,25440
1,0,66,80,25200,25440
1,0,69,80,25200,25440
1,0,69,80,25200,25440
2,0,48,80,25440,25680
1,0,67,80,25440,25680
1,0,67,80,25440,25680
1,0,70,80,25440,25680
1,0,70,80,25440,25680
1,0,60,80,25680,25920
1,0,64,80,25680,25920
1,0,64,80,25680,25920
