# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,800001
# meta,0,0,time_signature,9/8
track,channel,pitch,vel,start,end
2,0,51,80,0,2773.333333333333
1,0,67,80,0,85.33333333333333
1,0,75,80,85.33333333333333,469.3333333333333
2,0,55,80,512,981.3333333333333
1,0,74,80,512,938.6666666666666
2,0,58,80,981.3333333333333,1450.6666666666665
1,0,75,80,981.3333333333333,1365.3333333333333
1,0,63,80,1408,1877.3333333333333
1,0,70,80,1408,2773.333333333333
2,0,58,80,1877.3333333333333,2346.6666666666665
2,0,55,80,2304,2773.333333333333
1,0,63,80,2773.333333333333,3242.6666666666665
1,0,67,80,2773.333333333333,4096
2,0,58,80,3200,3669.333333333333
2,0,55,80,3626.6666666666665,4138.666666666666
1,0,67,80,4096,4181.333333333333
2,0,44,80,4096,4650.666666666666
1,0,65,80,4181.333333333333,4565.333333333333
2,0,44,80,4608,6400
2,0,56,80,4608,4736
1,0,64,80,4608,5034.666666666666
1,0,60,80,5077.333333333333,5546.666666666666
1,0,65,80,5077.333333333333,5461.333333333333
1,0,65,80,5504,5973.333333333333
1,0,72,80,5504,8192
1,0,60,80,5973.333333333333,6442.666666666666
2,0,56,80,6400,6869.333333333333
1,0,65,80,6869.333333333333,7338.666666666666
1,0,60,80,7296,7765.333333333333
2,0,56,80,7722.666666666666,8234.666666666666
2,0,46,80,8192,10069.333333333332
1,0,70,80,8192,8704
2,0,56,80,8704,8832
1,0,80,80,8704,9130.666666666666
2,0,58,80,9173.333333333332,9642.666666666666
1,0,79,80,9173.333333333332,9600
1,0,62,80,9600,10069.333333333332
1,0,79,80,9600,10026.666666666666
2,0,58,80,10069.333333333332,10538.666666666666
1,0,77,80,10069.333333333332,10453.333333333332
2,0,56,80,10496,10965.333333333332
1,0,76,80,10496,10922.666666666666
1,0,62,80,10965.333333333332,11434.666666666666
1,0,77,80,10965.333333333332,11349.333333333332
2,0,58,80,11392,11861.333333333332
1,0,72,80,11392,11818.666666666666
2,0,56,80,11818.666666666666,12330.666666666666
1,0,74,80,11818.666666666666,12245.333333333332
2,0,51,80,12288,15402.666666666666
1,0,75,80,12288,16896
2,0,55,80,12885.333333333332,13397.333333333332
2,0,58,80,13354.666666666666,13909.333333333332
1,0,63,80,13866.666666666666,14421.333333333332
2,0,58,80,14378.666666666666,14933.333333333332
2,0,55,80,14890.666666666666,15445.333333333332
2,0,51,80,15402.666666666666,16896
2,0,39,80,16896,20010.666666666664
2,0,51,80,16896,20010.666666666664
1,0,75,80,16896,17450.666666666664
2,0,55,80,17493.333333333332,17920
1,0,74,80,17493.333333333332,17920
2,0,58,80,17962.666666666664,18432
1,0,75,80,17962.666666666664,18432
1,0,67,80,18474.666666666664,18986.666666666664
1,0,70,80,18474.666666666664,19968
2,0,58,80,18986.666666666664,19456
2,0,55,80,19498.666666666664,19968
2,0,58,80,20010.666666666664,20480
1,0,67,80,20010.666666666664,21461.333333333332
1,0,63,80,20522.666666666664,20949.333333333332
2,0,58,80,20992,21461.333333333332
2,0,32,80,21504,24618.666666666664
2,0,44,80,21504,24618.666666666664
1,0,65,80,21504,22058.666666666664
2,0,56,80,22101.333333333332,22528
1,0,64,80,22101.333333333332,22528
1,0,60,80,22570.666666666664,23040
1,0,65,80,22570.666666666664,23040
1,0,68,80,23082.666666666664,23594.666666666664
