# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,300000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,72,80,864,952
1,0,73,80,960,1048
1,0,74,80,1056,1144
2,0,56,80,1104,1128
1,0,66,80,1128,1152
2,0,56,80,1152,1680
1,0,66,80,1152,1680
1,0,72,80,1152,1680
1,0,75,80,1152,1240
1,0,75,80,1344,1632
1,0,75,80,1632,1720
2,0,56,80,1680,1704
1,0,65,80,1704,1728
2,0,56,80,1728,2256
1,0,65,80,1728,2256
1,0,71,80,1728,2256
1,0,77,80,1872,1896
1,0,79,80,1896,1920
1,0,74,80,1920,2272
1,0,79,80,1920,2008
1,0,76,80,2016,2104
1,0,77,80,2112,2200
1,0,80,80,2208,2296
2,0,56,80,2256,2280
1,0,66,80,2280,2304
2,0,56,80,2304,2832
1,0,66,80,2304,2832
1,0,72,80,2304,2832
1,0,75,80,2304,2480
1,0,84,80,2496,2584
1,0,87,80,2496,2544
1,0,92,80,2544,2592
1,0,80,80,2592,2680
1,0,85,80,2592,2640
1,0,84,80,2640,2688
1,0,78,80,2688,2776
1,0,83,80,2688,2736
1,0,86,80,2736,2784
1,0,75,80,2784,2872
1,0,82,80,2784,2832
1,0,80,80,2832,2880
1,0,80,80,2856,2880
1,0,72,80,2880,2968
1,0,78,80,2880,2968
1,0,87,80,2880,2968
1,0,84,80,3168,3256
1,0,85,80,3264,3352
1,0,86,80,3360,3448
1,0,68,80,3408,3432
1,0,78,80,3432,3456
1,0,68,80,3456,3984
1,0,78,80,3456,3984
1,0,84,80,3456,3984
1,0,87,80,3456,3496
1,0,87,80,3648,3936
1,0,88,80,3936,4024
1,0,68,80,3984,4008
1,0,77,80,4008,4032
1,0,68,80,4032,4560
1,0,77,80,4032,4560
1,0,83,80,4032,4560
1,0,89,80,4176,4200
1,0,91,80,4200,4224
1,0,86,80,4224,4576
1,0,89,80,4224,4312
1,0,88,80,4320,4408
1,0,89,80,4416,4504
1,0,92,80,4512,4600
1,0,68,80,4560,4584
1,0,78,80,4584,4608
1,0,68,80,4608,5136
1,0,78,80,4608,5136
1,0,84,80,4608,5136
1,0,87,80,4608,4696
1,0,96,80,4800,4888
1,0,99,80,4800,4848
1,0,104,80,4848,4896
1,0,92,80,4896,4984
1,0,97,80,4896,4944
1,0,96,80,4944,4992
1,0,90,80,4992,5080
1,0,95,80,4992,5040
1,0,98,80,5040,5088
1,0,87,80,5088,5176
1,0,94,80,5088,5136
1,0,93,80,5136,5184
1,0,92,80,5160,5184
1,0,80,80,5184,5360
1,0,84,80,5184,5272
1,0,87,80,5184,5360
1,0,90,80,5184,5272
1,0,99,80,5184,5272
1,0,84,80,5472,5560
1,0,96,80,5472,5560
1,0,85,80,5568,5656
1,0,97,80,5568,5656
1,0,86,80,5664,5752
1,0,98,80,5664,5752
1,0,97,80,5760,5808
1,0,104,80,5808,5856
1,0,97,80,5856,5904
1,0,96,80,5904,5952
1,0,95,80,5952,6000
1,0,98,80,6000,6048
1,0,94,80,6048,6096
1,0,93,80,6096,6144
1,0,92,80,6144,6192
1,0,99,80,6192,6240
1,0,91,80,6240,6288
1,0,90,80,6288,6336
1,0,99,80,6336,6384
1,0,89,80,6384,6432
1,0,88,80,6432,6480
1,0,91,80,6480,6528
1,0,87,80,6528,6576
1,0,86,80,6576,6624
1,0,85,80,6624,6672
1,0,92,80,6672,6720
1,0,84,80,6720,6768
1,0,83,80,6768,6816
1,0,86,80,6816,6864
1,0,82,80,6864,6912
1,0,81,80,6912,6960
1,0,80,80,6960,7008
1,0,87,80,7008,7056
1,0,79,80,7056,7104
1,0,78,80,7104,7152
1,0,87,80,7152,7200
1,0,77,80,7200,7248
1,0,76,80,7248,7296
1,0,78,80,7296,7344
1,0,76,80,7344,7392
1,0,74,80,7392,7440
1,0,73,80,7440,7488
1,0,73,80,7488,7552
1,0,72,80,7552,7616
1,0,73,80,7616,7680
1,0,74,80,7680,7744
1,0,75,80,7744,7808
1,0,76,80,7808,7872
1,0,77,80,7872,7936
1,0,78,80,7936,8000
1,0,79,80,8000,8064
1,0,80,80,8064,8128
1,0,82,80,8128,8192
1,0,80,80,8192,8256
