# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,50,80,0,240
1,0,69,80,0,240
2,0,54,80,240,480
2,0,57,80,240,480
1,0,74,80,240,360
1,0,78,80,360,480
2,0,45,80,480,720
1,0,81,80,480,720
2,0,54,80,720,960
2,0,57,80,720,960
1,0,81,80,720,960
2,0,50,80,960,1200
1,0,78,80,960,1080
1,0,79,80,1080,1200
2,0,54,80,1200,1440
2,0,57,80,1200,1440
1,0,78,80,1200,1320
1,0,76,80,1320,1440
2,0,45,80,1440,1680
1,0,74,80,1440,1680
2,0,54,80,1680,1920
2,0,57,80,1680,1920
2,0,50,80,1920,2160
1,0,69,80,1920,2160
2,0,54,80,2160,2400
2,0,57,80,2160,2400
1,0,74,80,2160,2280
1,0,78,80,2280,2400
2,0,45,80,2400,2640
1,0,81,80,2400,2640
2,0,54,80,2640,2880
2,0,57,80,2640,2880
1,0,81,80,2640,2880
2,0,50,80,2880,3120
1,0,79,80,2880,3000
1,0,81,80,3000,3120
2,0,54,80,3120,3360
2,0,57,80,3120,3360
1,0,79,80,3120,3240
1,0,78,80,3240,3360
2,0,45,80,3360,3600
1,0,76,80,3360,3600
2,0,54,80,3600,3840
2,0,57,80,3600,3840
2,0,50,80,3840,4080
1,0,71,80,3840,4080
2,0,54,80,4080,4320
2,0,57,80,4080,4320
1,0,76,80,4080,4200
1,0,79,80,4200,4320
2,0,45,80,4320,4560
1,0,83,80,4320,4560
2,0,54,80,4560,4800
2,0,57,80,4560,4800
1,0,83,80,4560,4800
2,0,54,80,4800,5040
1,0,81,80,4800,4920
1,0,83,80,4920,5040
2,0,57,80,5040,5280
1,0,62,80,5040,5280
1,0,81,80,5040,5160
1,0,78,80,5160,5280
2,0,50,80,5280,5520
1,0,74,80,5280,5400
1,0,76,80,5400,5520
2,0,54,80,5520,5760
2,0,57,80,5520,5760
1,0,62,80,5520,5760
1,0,74,80,5520,5640
1,0,71,80,5640,5760
2,0,52,80,5760,6000
2,0,55,80,5760,6000
2,0,57,80,5760,6000
1,0,61,80,5760,6000
1,0,69,80,5760,6000
2,0,33,80,6240,6480
2,0,45,80,6240,6480
1,0,67,80,6240,6480
1,0,69,80,6240,6480
1,0,76,80,6240,6480
2,0,50,80,6720,6960
1,0,66,80,6720,6960
1,0,69,80,6720,6960
1,0,74,80,6720,6960
2,0,54,80,6960,7200
2,0,57,80,6960,7200
2,0,45,80,7200,7440
2,0,54,80,7440,7680
2,0,57,80,7440,7680
2,0,50,80,7680,7920
2,0,54,80,7920,8160
2,0,57,80,7920,8160
2,0,45,80,8160,8400
2,0,54,80,8400,8640
2,0,57,80,8400,8640
2,0,50,80,8640,8880
1,0,66,80,8640,10560
1,0,74,80,8640,9360
1,0,74,80,8640,9360
2,0,54,80,8880,9120
2,0,57,80,8880,9120
2,0,45,80,9120,9360
2,0,54,80,9360,9600
2,0,57,80,9360,9600
1,0,76,80,9360,9600
1,0,76,80,9360,9600
2,0,50,80,9600,9840
1,0,73,80,9600,9840
1,0,73,80,9600,9840
2,0,54,80,9840,10080
2,0,57,80,9840,10080
1,0,74,80,9840,10080
1,0,74,80,9840,10080
2,0,45,80,10080,10320
1,0,71,80,10080,10320
1,0,71,80,10080,10320
2,0,54,80,10320,10560
2,0,57,80,10320,10560
1,0,73,80,10320,10560
1,0,73,80,10320,10560
2,0,50,80,10560,10800
1,0,66,80,10560,12000
1,0,69,80,10560,11520
1,0,69,80,10560,12000
2,0,54,80,10800,11040
2,0,57,80,10800,11040
1,0,81,80,10800,10920
1,0,79,80,10920,11040
2,0,45,80,11040,11280
1,0,81,80,11040,11160
1,0,78,80,11160,11280
2,0,54,80,11280,11520
2,0,57,80,11280,11520
1,0,74,80,11280,11400
1,0,78,80,11400,11520
2,0,50,80,11520,11760
1,0,69,80,11520,12000
1,0,81,80,11520,11760
2,0,54,80,11760,12000
2,0,57,80,11760,12000
2,0,45,80,12000,12240
2,0,54,80,12240,12480
2,0,57,80,12240,12480
2,0,50,80,12480,12720
1,0,66,80,12480,14400
1,0,74,80,12480,13200
1,0,74,80,12480,13200
2,0,54,80,12720,12960
2,0,57,80,12720,12960
2,0,45,80,12960,13200
2,0,54,80,13200,13440
2,0,57,80,13200,13440
1,0,76,80,13200,13440
1,0,76,80,13200,13440
2,0,50,80,13440,13680
1,0,73,80,13440,13680
1,0,73,80,13440,13680
2,0,54,80,13680,13920
2,0,57,80,13680,13920
1,0,74,80,13680,13920
1,0,74,80,13680,13920
2,0,45,80,13920,14160
1,0,71,80,13920,14160
1,0,71,80,13920,14160
2,0,54,80,14160,14400
2,0,57,80,14160,14400
1,0,73,80,14160,14400
1,0,73,80,14160,14400
2,0,52,80,14400,14640
1,0,67,80,14400,15840
1,0,71,80,14400,15360
1,0,71,80,14400,15840
2,0,55,80,14640,14880
2,0,59,80,14640,14880
1,0,83,80,14640,14760
1,0,83,80,14760,14880
2,0,47,80,14880,15120
1,0,83,80,14880,15000
1,0,79,80,15000,15120
2,0,55,80,15120,15360
2,0,59,80,15120,15360
1,0,76,80,15120,15240
1,0,79,80,15240,15360
2,0,52,80,15360,15600
1,0,71,80,15360,15840
1,0,83,80,15360,15600
2,0,55,80,15600,15840
2,0,59,80,15600,15840
2,0,47,80,15840,16080
2,0,55,80,16080,16320
