# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,384
# meta,0,0,tempo,428571
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,0,384
2,0,59,80,0,384
1,0,67,80,0,384
1,0,74,80,0,384
2,0,48,80,384,768
2,0,60,80,384,768
1,0,67,80,384,768
1,0,76,80,384,768
2,0,50,80,768,1152
2,0,57,80,768,1152
1,0,65,80,768,1152
1,0,74,80,768,1152
2,0,53,80,1152,1536
2,0,57,80,1152,1536
1,0,69,80,1152,1536
1,0,72,80,1152,1536
2,0,55,80,1536,1920
2,0,62,80,1536,1920
1,0,67,80,1536,1920
1,0,71,80,1536,1920
2,0,50,80,1920,2688
2,0,62,80,1920,2688
1,0,66,80,1920,2688
1,0,69,80,1920,2688
2,0,50,80,2688,3072
2,0,62,80,2688,3072
1,0,66,80,2688,3072
1,0,69,80,2688,3072
2,0,47,80,3072,3456
2,0,62,80,3072,3456
1,0,67,80,3072,3456
1,0,71,80,3072,3456
2,0,48,80,3456,3840
2,0,60,80,3456,3840
1,0,64,80,3456,3840
1,0,67,80,3456,3840
2,0,52,80,3840,4224
2,0,59,80,3840,4224
1,0,67,80,3840,4224
2,0,50,80,4224,4608
2,0,62,80,4224,4608
1,0,66,80,4224,4608
1,0,69,80,4224,4608
2,0,50,80,4608,4992
2,0,62,80,4608,4992
1,0,66,80,4608,4992
1,0,69,80,4608,4992
2,0,43,80,4992,5760
2,0,62,80,4992,5760
1,0,67,80,4992,5760
1,0,71,80,4992,5760
2,0,55,80,6144,6528
2,0,59,80,6144,6528
1,0,67,80,6144,6528
1,0,74,80,6144,6528
2,0,48,80,6528,6912
2,0,60,80,6528,6912
1,0,67,80,6528,6912
1,0,76,80,6528,6912
2,0,50,80,6912,7296
2,0,57,80,6912,7296
1,0,65,80,6912,7296
1,0,74,80,6912,7296
2,0,53,80,7296,7680
2,0,57,80,7296,7680
1,0,69,80,7296,7680
1,0,72,80,7296,7680
2,0,55,80,7680,8064
2,0,62,80,7680,8064
1,0,67,80,7680,8064
1,0,71,80,7680,8064
2,0,50,80,8064,8832
2,0,62,80,8064,8832
1,0,66,80,8064,8832
1,0,69,80,8064,8832
2,0,50,80,8832,9216
2,0,62,80,8832,9216
1,0,66,80,8832,9216
1,0,69,80,8832,9216
2,0,47,80,9216,9600
2,0,62,80,9216,9600
1,0,67,80,9216,9600
1,0,71,80,9216,9600
2,0,48,80,9600,9984
2,0,60,80,9600,9984
1,0,64,80,9600,9984
1,0,67,80,9600,9984
2,0,52,80,9984,10368
2,0,59,80,9984,10368
1,0,67,80,9984,10368
2,0,50,80,10368,10752
2,0,62,80,10368,10752
1,0,66,80,10368,10752
1,0,69,80,10368,10752
2,0,50,80,10752,11136
2,0,62,80,10752,11136
1,0,66,80,10752,11136
1,0,69,80,10752,11136
2,0,43,80,11136,11904
2,0,62,80,11136,11904
1,0,67,80,11136,11904
1,0,71,80,11136,11904
2,0,55,80,12288,12672
2,0,59,80,12288,12672
1,0,62,80,12288,12672
1,0,67,80,12288,12672
2,0,53,80,12672,13056
2,0,57,80,12672,13056
1,0,65,80,12672,13056
1,0,72,80,12672,13056
2,0,55,80,13056,13440
1,0,62,80,13056,13440
1,0,71,80,13056,13440
2,0,53,80,13440,13824
2,0,57,80,13440,13824
1,0,69,80,13440,13824
1,0,72,80,13440,13824
2,0,50,80,13824,14208
2,0,57,80,13824,14208
1,0,65,80,13824,14208
1,0,74,80,13824,14208
2,0,48,80,14208,14976
2,0,60,80,14208,14976
1,0,67,80,14208,14976
1,0,76,80,14208,14976
2,0,53,80,14976,15360
2,0,60,80,14976,15360
1,0,69,80,14976,15360
1,0,72,80,14976,15360
2,0,52,80,15360,15744
2,0,55,80,15360,15744
1,0,67,80,15360,15744
1,0,72,80,15360,15744
2,0,50,80,15744,16128
2,0,62,80,15744,16128
1,0,69,80,15744,16128
1,0,77,80,15744,16128
2,0,53,80,16128,16512
2,0,62,80,16128,16512
1,0,69,80,16128,16512
1,0,77,80,16128,16512
2,0,55,80,16512,16896
2,0,62,80,16512,16896
1,0,67,80,16512,16896
1,0,76,80,16512,16896
2,0,57,80,16896,17280
2,0,61,80,16896,17280
1,0,64,80,16896,17280
1,0,76,80,16896,17280
2,0,50,80,17280,18048
2,0,62,80,17280,18048
1,0,66,80,17280,18048
1,0,74,80,17280,18048
2,0,55,80,18432,18816
2,0,62,80,18432,18816
1,0,67,80,18432,18816
1,0,71,80,18432,18816
2,0,60,80,18816,19200
1,0,67,80,18816,19200
1,0,76,80,18816,19200
2,0,57,80,19200,19584
2,0,64,80,19200,19584
1,0,69,80,19200,19584
1,0,72,80,19200,19584
2,0,59,80,19584,19968
2,0,62,80,19584,19968
1,0,67,80,19584,19968
1,0,74,80,19584,19968
2,0,60,80,19968,20352
1,0,67,80,19968,20736
1,0,76,80,19968,20352
2,0,57,80,20352,21120
2,0,60,80,20352,21120
1,0,72,80,20352,21120
1,0,66,80,20736,21120
2,0,55,80,21120,21504
2,0,62,80,21120,21504
1,0,67,80,21120,21504
1,0,71,80,21120,21504
2,0,55,80,21504,21888
2,0,62,80,21504,21888
1,0,67,80,21504,21888
1,0,71,80,21504,21888
2,0,55,80,21888,22272
2,0,59,80,21888,22272
1,0,62,80,21888,22272
1,0,71,80,21888,22272
2,0,52,80,22272,22656
2,0,59,80,22272,22656
1,0,64,80,22272,22656
1,0,67,80,22272,22656
2,0,54,80,22656,23040
2,0,57,80,22656,23040
1,0,62,80,22656,23040
1,0,69,80,22656,23040
2,0,55,80,23040,23424
1,0,62,80,23040,23808
1,0,71,80,23040,23424
2,0,52,80,23424,24192
2,0,55,80,23424,24192
1,0,67,80,23424,24192
1,0,61,80,23808,24192
2,0,50,80,24192,24576
2,0,57,80,24192,24576
1,0,62,80,24192,24576
1,0,66,80,24192,24576
2,0,50,80,24576,24960
2,0,62,80,24576,24960
1,0,66,80,24576,24960
1,0,69,80,24576,24960
2,0,50,80,24960,25344
2,0,62,80,24960,25344
1,0,66,80,24960,25344
1,0,69,80,24960,25344
2,0,55,80,25344,25728
2,0,62,80,25344,25728
1,0,67,80,25344,25728
1,0,71,80,25344,25728
2,0,53,80,25728,26112
2,0,57,80,25728,26112
1,0,69,80,25728,26112
1,0,72,80,25728,26112
2,0,50,80,26112,26496
2,0,57,80,26112,26496
1,0,65,80,26112,26496
1,0,74,80,26112,26496
2,0,48,80,26496,27648
2,0,60,80,26496,27072
1,0,67,80,26496,27648
1,0,76,80,26496,27072
2,0,62,80,27072,27264
1,0,74,80,27072,27264
2,0,64,80,27264,27648
1,0,72,80,27264,27648
2,0,43,80,27648,28032
2,0,62,80,27648,28032
1,0,67,80,27648,28032
1,0,71,80,27648,28032
2,0,45,80,28032,28416
2,0,60,80,28032,28416
1,0,64,80,28032,28416
1,0,69,80,28032,28416
2,0,47,80,28416,28800
2,0,59,80,28416,28800
1,0,62,80,28416,28800
1,0,67,80,28416,28800
2,0,48,80,28800,29184
2,0,57,80,28800,29184
1,0,64,80,28800,29184
1,0,67,80,28800,29184
2,0,50,80,29184,29568
2,0,57,80,29184,29568
1,0,62,80,29184,29568
1,0,66,80,29184,29568
2,0,43,80,29568,30336
2,0,59,80,29568,30336
1,0,62,80,29568,30336
1,0,67,80,29568,30336
