# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,384
# meta,0,0,tempo,666666
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,53,80,0,192
2,0,52,80,192,384
2,0,53,80,384,576
2,0,55,80,576,768
2,0,57,80,768,960
2,0,53,80,960,1344
2,0,50,80,1344,1536
2,0,55,80,1536,1728
2,0,54,80,1728,1920
2,0,55,80,1920,2112
2,0,57,80,2112,2304
2,0,58,80,2304,2496
2,0,55,80,2496,2880
2,0,48,80,2880,3072
1,0,60,80,3072,3264
2,0,58,80,3264,3456
2,0,57,80,3456,3648
2,0,55,80,3648,3840
2,0,53,80,3840,4032
2,0,55,80,4032,4224
2,0,57,80,4224,4416
2,0,57,80,4416,4608
2,0,55,80,4608,4800
1,0,60,80,4800,4992
2,0,59,80,4992,5184
1,0,62,80,5184,5376
1,0,60,80,5376,5568
2,0,58,80,5568,5760
2,0,57,80,5760,5952
2,0,56,80,5952,6144
2,0,57,80,6144,6336
2,0,55,80,6336,6528
2,0,52,80,6528,6720
2,0,57,80,6720,6912
2,0,53,80,6912,7104
2,0,50,80,7104,7488
2,0,53,80,7488,7680
2,0,52,80,7680,7872
2,0,45,80,7872,8256
2,0,49,80,8256,8448
2,0,50,80,8448,8640
2,0,52,80,8640,8832
2,0,53,80,8832,9024
2,0,55,80,9024,9216
2,0,57,80,9216,9408
2,0,55,80,9408,9600
2,0,52,80,9600,9792
2,0,57,80,9792,9984
2,0,53,80,9984,10176
2,0,50,80,10176,10560
2,0,53,80,10560,10752
2,0,52,80,10752,10944
2,0,57,80,10944,11136
1,0,60,80,11136,11328
2,0,59,80,11328,11520
2,0,57,80,11520,12096
2,0,57,80,12096,12288
2,0,58,80,12288,12480
2,0,55,80,12480,12672
1,0,60,80,12672,12864
2,0,58,80,12864,13056
2,0,57,80,13056,13248
2,0,53,80,13248,13440
2,0,48,80,13440,13632
2,0,57,80,13632,13824
2,0,55,80,13824,14016
2,0,52,80,14016,14208
2,0,48,80,14208,14400
2,0,52,80,14400,14592
2,0,53,80,14592,14784
2,0,57,80,14784,15168
1,0,60,80,15168,15360
2,0,58,80,15360,15552
2,0,55,80,15552,15744
2,0,48,80,15744,15936
2,0,58,80,15936,16128
2,0,57,80,16128,16320
2,0,53,80,16320,16512
2,0,48,80,16512,16704
2,0,57,80,16704,16896
2,0,55,80,16896,17088
2,0,54,80,17088,17280
2,0,55,80,17280,17472
2,0,57,80,17472,17664
2,0,59,80,17664,17856
2,0,57,80,17856,18048
2,0,59,80,18048,18240
1,0,60,80,18240,18432
1,0,62,80,18432,18624
2,0,59,80,18624,19008
2,0,57,80,19008,19200
2,0,55,80,19200,19392
2,0,53,80,19392,19584
2,0,52,80,19584,19776
2,0,50,80,19776,19968
2,0,52,80,19968,20160
2,0,55,80,20160,20352
1,0,60,80,20352,20544
2,0,55,80,20544,20736
2,0,52,80,20736,20928
2,0,55,80,20928,21120
2,0,52,80,21120,21312
2,0,48,80,21312,21504
2,0,47,80,21504,21696
2,0,48,80,21696,21888
2,0,50,80,21888,22080
2,0,52,80,22080,22272
2,0,53,80,22272,22464
2,0,57,80,22464,22656
2,0,55,80,22656,22848
2,0,53,80,22848,23040
2,0,52,80,23040,23232
2,0,53,80,23232,23424
2,0,55,80,23424,23616
2,0,57,80,23616,23808
2,0,55,80,23808,24000
1,0,60,80,24000,24192
2,0,59,80,24192,24384
2,0,57,80,24384,24576
1,0,62,80,24576,24768
2,0,59,80,24768,25152
2,0,57,80,25152,25344
2,0,55,80,25344,25536
2,0,53,80,25536,25728
2,0,52,80,25728,25920
2,0,50,80,25920,26112
2,0,52,80,26112,26304
2,0,55,80,26304,26496
1,0,60,80,26496,26688
2,0,55,80,26688,26880
2,0,52,80,26880,27072
2,0,55,80,27072,27264
2,0,52,80,27264,27456
2,0,48,80,27456,27648
2,0,47,80,27648,27840
2,0,48,80,27840,28032
2,0,50,80,28032,28224
2,0,52,80,28224,28416
2,0,53,80,28416,28608
2,0,55,80,28608,28800
2,0,57,80,28800,28992
2,0,59,80,28992,29184
1,0,60,80,29184,29376
2,0,59,80,29376,29568
1,0,60,80,29568,29760
2,0,59,80,29760,29952
1,0,60,80,29952,30144
2,0,58,80,30144,30336
2,0,57,80,30336,30528
2,0,55,80,30528,30720
2,0,53,80,30720,30912
2,0,52,80,30912,31104
2,0,53,80,31104,31296
2,0,55,80,31296,31488
2,0,57,80,31488,31680
2,0,53,80,31680,32064
2,0,48,80,32064,32256
2,0,55,80,32256,32448
2,0,54,80,32448,32640
2,0,55,80,32640,32832
2,0,57,80,32832,33024
2,0,58,80,33024,33216
2,0,55,80,33216,33600
2,0,48,80,33600,33792
2,0,57,80,33792,33984
1,0,60,80,33984,34176
2,0,57,80,34176,34368
2,0,55,80,34368,34560
2,0,50,80,34560,34752
2,0,58,80,34752,34944
2,0,55,80,34944,35136
2,0,50,80,35136,35328
2,0,48,80,35328,35520
2,0,57,80,35520,35712
2,0,53,80,35712,35904
2,0,50,80,35904,36096
2,0,48,80,36096,36288
2,0,55,80,36288,36480
2,0,52,80,36480,36672
2,0,48,80,36672,36864
2,0,53,80,36864,37056
2,0,48,80,37056,37248
2,0,48,80,37248,37440
2,0,53,80,37440,37632
2,0,52,80,37632,37824
2,0,53,80,37824,38016
2,0,55,80,38016,38208
2,0,52,80,38208,38400
2,0,53,80,38400,38592
2,0,48,80,38592,38784
2,0,48,80,38784,38976
2,0,53,80,38976,39168
2,0,52,80,39168,39360
2,0,53,80,39360,39552
2,0,55,80,39552,39744
2,0,52,80,39744,39936
2,0,53,80,39936,40320
2,0,57,80,40704,41088
2,0,53,80,41472,42624
