# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,666666
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,46,80,576,616
2,0,46,80,576,1712
2,0,53,80,672,768
2,0,58,80,768,864
1,0,61,80,864,1144
1,0,65,80,864,1144
2,0,46,80,1152,1192
2,0,53,80,1248,1344
2,0,58,80,1344,1440
1,0,61,80,1440,1720
1,0,65,80,1440,1720
2,0,46,80,1728,1824
2,0,46,80,1728,2288
1,0,70,80,1728,2112
2,0,53,80,1824,1920
2,0,58,80,1920,2016
1,0,61,80,2016,2296
1,0,65,80,2016,2296
1,0,69,80,2112,2208
1,0,70,80,2208,2304
2,0,46,80,2304,2400
2,0,46,80,2304,2864
1,0,72,80,2304,2688
2,0,54,80,2400,2496
2,0,57,80,2496,2592
1,0,63,80,2592,2872
1,0,66,80,2592,2872
1,0,73,80,2688,2784
1,0,72,80,2784,2880
2,0,46,80,2880,2976
2,0,46,80,2880,3440
1,0,70,80,2880,3264
2,0,53,80,2976,3072
2,0,58,80,3072,3168
1,0,61,80,3168,3448
1,0,65,80,3168,3448
1,0,69,80,3264,3360
1,0,70,80,3360,3456
2,0,46,80,3456,3552
2,0,46,80,3456,4016
1,0,78,80,3456,3736
2,0,53,80,3552,3648
2,0,58,80,3648,3744
1,0,61,80,3744,4024
1,0,65,80,3744,4024
1,0,77,80,3744,4024
2,0,42,80,4032,4128
2,0,42,80,4032,4408
1,0,75,80,4032,4416
2,0,54,80,4128,4224
2,0,58,80,4224,4512
1,0,63,80,4320,4512
1,0,66,80,4320,4512
1,0,77,80,4416,4512
2,0,57,80,4512,4608
2,0,57,80,4512,4608
1,0,75,80,4512,4608
2,0,44,80,4608,4704
2,0,44,80,4608,4984
1,0,73,80,4608,4992
2,0,53,80,4704,4800
2,0,56,80,4800,5088
1,0,61,80,4896,5184
1,0,65,80,4896,5088
1,0,72,80,4992,5088
2,0,55,80,5088,5184
2,0,55,80,5088,5184
1,0,64,80,5088,5184
1,0,70,80,5088,5184
2,0,44,80,5184,5280
2,0,44,80,5184,5464
1,0,70,80,5184,5568
2,0,54,80,5280,5376
2,0,54,80,5280,5752
2,0,56,80,5376,5568
1,0,60,80,5472,5568
1,0,65,80,5568,5664
1,0,68,80,5568,5664
1,0,63,80,5664,5760
1,0,66,80,5664,5760
2,0,37,80,5760,6144
2,0,37,80,5760,6040
1,0,65,80,5760,6328
2,0,53,80,5856,5952
2,0,56,80,5952,6048
1,0,61,80,6048,6240
2,0,49,80,6144,6240
2,0,48,80,6240,6336
2,0,48,80,6240,6336
2,0,53,80,6240,6336
2,0,57,80,6240,6336
1,0,63,80,6240,6336
2,0,46,80,6336,6432
2,0,46,80,6336,6896
2,0,58,80,6336,6528
1,0,61,80,6336,6528
1,0,70,80,6336,6720
2,0,53,80,6432,6528
2,0,58,80,6528,6624
1,0,61,80,6624,6904
1,0,65,80,6624,6904
1,0,69,80,6720,6816
1,0,70,80,6816,6912
2,0,46,80,6912,7008
2,0,46,80,6912,7472
1,0,72,80,6912,7296
2,0,54,80,7008,7104
2,0,57,80,7104,7200
1,0,63,80,7200,7480
1,0,66,80,7200,7480
1,0,73,80,7296,7392
1,0,72,80,7392,7488
2,0,46,80,7488,7584
2,0,46,80,7488,8048
1,0,70,80,7488,7872
2,0,53,80,7584,7680
2,0,58,80,7680,7776
1,0,61,80,7776,8056
1,0,65,80,7776,8056
1,0,69,80,7872,7968
1,0,70,80,7968,8064
1,0,70,80,8040,8064
2,0,42,80,8064,8160
2,0,42,80,8064,8624
1,0,80,80,8064,8344
2,0,54,80,8160,8256
2,0,58,80,8256,8352
1,0,63,80,8352,8632
1,0,70,80,8352,8632
1,0,78,80,8352,8632
2,0,44,80,8640,8736
2,0,44,80,8640,9016
1,0,65,80,8640,9120
