# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,342857
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,78,80,576,616
1,0,77,80,672,712
1,0,78,80,768,848
1,0,66,80,960,1000
1,0,70,80,960,1000
1,0,73,80,960,1000
1,0,65,80,1056,1096
1,0,71,80,1056,1096
1,0,75,80,1056,1096
1,0,66,80,1152,1232
1,0,70,80,1152,1232
1,0,73,80,1152,1232
1,0,61,80,1344,1384
1,0,66,80,1344,1384
1,0,70,80,1344,1384
1,0,63,80,1440,1480
1,0,66,80,1440,1480
1,0,71,80,1440,1480
1,0,61,80,1536,1616
1,0,66,80,1536,1968
1,0,70,80,1536,1968
1,0,73,80,1536,1968
2,0,58,80,1728,1768
2,0,59,80,1824,1864
1,0,61,80,1920,2272
1,0,70,80,2112,2152
1,0,73,80,2112,2152
1,0,70,80,2208,2248
1,0,78,80,2208,2248
1,0,73,80,2304,2496
1,0,82,80,2304,2496
1,0,61,80,2496,2536
1,0,80,80,2496,2536
1,0,66,80,2592,2632
1,0,78,80,2592,2632
1,0,70,80,2688,2880
1,0,73,80,2688,2768
1,0,68,80,2880,2920
1,0,72,80,2880,2960
1,0,75,80,2880,2960
1,0,66,80,2976,3016
1,0,61,80,3072,3152
1,0,73,80,3072,3504
1,0,77,80,3072,3504
1,0,63,80,3264,3344
1,0,65,80,3456,3808
1,0,75,80,3648,3688
1,0,74,80,3744,3784
2,0,49,80,3840,4016
1,0,75,80,3840,3920
1,0,63,80,4032,4072
1,0,65,80,4032,4384
1,0,68,80,4032,4384
1,0,62,80,4128,4168
1,0,63,80,4224,4304
2,0,49,80,4416,4608
2,0,56,80,4416,4784
1,0,65,80,4416,4592
1,0,70,80,4416,4456
1,0,71,80,4512,4552
2,0,42,80,4608,4784
1,0,64,80,4608,4784
1,0,73,80,4608,4688
2,0,58,80,4800,4840
1,0,64,80,4800,5152
1,0,66,80,4800,5152
2,0,59,80,4896,4936
1,0,61,80,4992,5072
2,0,54,80,5184,5552
1,0,63,80,5184,5360
1,0,66,80,5184,5272
1,0,71,80,5280,5368
2,0,49,80,5376,5904
1,0,61,80,5376,5552
1,0,66,80,5376,5456
1,0,70,80,5376,5456
2,0,54,80,5568,5656
2,0,59,80,5568,5744
1,0,63,80,5568,5744
1,0,68,80,5568,5648
2,0,59,80,5664,5752
2,0,58,80,5760,5936
1,0,61,80,5760,5936
1,0,66,80,5760,5936
2,0,49,80,5952,6144
2,0,56,80,5952,6144
1,0,65,80,5952,6128
1,0,71,80,5952,6128
1,0,73,80,5952,6040
1,0,82,80,6048,6136
2,0,42,80,6144,6320
2,0,54,80,6144,6320
1,0,70,80,6144,6320
1,0,78,80,6144,6224
1,0,61,80,6336,6424
1,0,70,80,6432,6520
1,0,66,80,6528,6704
1,0,78,80,6720,6760
1,0,77,80,6816,6856
1,0,78,80,6912,6992
1,0,66,80,7104,7144
1,0,70,80,7104,7144
1,0,73,80,7104,7144
1,0,65,80,7200,7240
1,0,71,80,7200,7240
1,0,75,80,7200,7240
1,0,66,80,7296,7376
1,0,70,80,7296,7376
1,0,73,80,7296,7376
1,0,61,80,7488,7528
1,0,66,80,7488,7528
1,0,70,80,7488,7528
1,0,63,80,7584,7624
1,0,66,80,7584,7624
1,0,71,80,7584,7624
1,0,61,80,7680,7760
1,0,66,80,7680,8112
1,0,70,80,7680,8112
1,0,73,80,7680,8112
2,0,58,80,7872,7912
