# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,32,80,0,512
2,0,44,80,0,512
2,0,56,80,554.6666666666666,1024
1,0,68,80,554.6666666666666,1024
2,0,31,80,1066.6666666666665,1536
2,0,43,80,1066.6666666666665,1536
2,0,55,80,1578.6666666666665,2048
1,0,67,80,1578.6666666666665,2048
2,0,32,80,2090.6666666666665,2517.333333333333
2,0,44,80,2090.6666666666665,2517.333333333333
2,0,56,80,2560,3029.333333333333
1,0,68,80,2560,3029.333333333333
2,0,33,80,3072,3584
2,0,45,80,3072,3584
2,0,57,80,3626.6666666666665,4096
1,0,69,80,3626.6666666666665,4096
2,0,32,80,4138.666666666666,4608
2,0,44,80,4138.666666666666,4608
2,0,56,80,4650.666666666666,5120
1,0,68,80,4650.666666666666,5120
2,0,31,80,5162.666666666666,5589.333333333333
2,0,43,80,5162.666666666666,5589.333333333333
2,0,55,80,5632,6101.333333333333
1,0,67,80,5632,6101.333333333333
2,0,32,80,6144,7210.666666666666
2,0,44,80,6144,7210.666666666666
2,0,56,80,6144,7210.666666666666
1,0,68,80,6144,7210.666666666666
2,0,56,80,9045.333333333332,9685.333333333332
1,0,80,80,9045.333333333332,9685.333333333332
1,0,60,80,9088,9685.333333333332
1,0,84,80,9088,9685.333333333332
1,0,63,80,9173.333333333332,9685.333333333332
1,0,87,80,9173.333333333332,9685.333333333332
1,0,68,80,9216,9685.333333333332
1,0,92,80,9216,9685.333333333332
2,0,32,80,12288,12800
2,0,44,80,12288,12800
2,0,56,80,12842.666666666666,13312
1,0,68,80,12842.666666666666,13312
2,0,31,80,13354.666666666666,13824
2,0,43,80,13354.666666666666,13824
2,0,55,80,13866.666666666666,14336
1,0,67,80,13866.666666666666,14336
2,0,32,80,14378.666666666666,14805.333333333332
2,0,44,80,14378.666666666666,14805.333333333332
2,0,56,80,14848,15317.333333333332
1,0,68,80,14848,15317.333333333332
2,0,33,80,15360,15872
2,0,45,80,15360,15872
2,0,57,80,15914.666666666666,16384
1,0,69,80,15914.666666666666,16384
2,0,32,80,16426.666666666664,16896
2,0,44,80,16426.666666666664,16896
2,0,56,80,16938.666666666664,17408
1,0,68,80,16938.666666666664,17408
2,0,31,80,17450.666666666664,17877.333333333332
2,0,43,80,17450.666666666664,17877.333333333332
2,0,55,80,17920,18389.333333333332
1,0,67,80,17920,18389.333333333332
2,0,32,80,18432,19498.666666666664
2,0,44,80,18432,19498.666666666664
2,0,56,80,18432,19498.666666666664
1,0,68,80,18432,19498.666666666664
2,0,56,80,21333.333333333332,21973.333333333332
1,0,80,80,21333.333333333332,21973.333333333332
1,0,61,80,21376,21973.333333333332
1,0,85,80,21376,21973.333333333332
1,0,65,80,21461.333333333332,21973.333333333332
1,0,89,80,21461.333333333332,21973.333333333332
1,0,68,80,21504,21973.333333333332
1,0,92,80,21504,21973.333333333332
1,0,88,80,24405.333333333332,25642.666666666664
1,0,91,80,24448,25642.666666666664
1,0,94,80,24533.333333333332,25642.666666666664
2,0,32,80,24576,25642.666666666664
2,0,44,80,24576,25642.666666666664
1,0,100,80,24576,25642.666666666664
1,0,61,80,25642.666666666664,26112
1,0,73,80,25642.666666666664,26112
1,0,85,80,26154.666666666664,26624
1,0,97,80,26154.666666666664,26624
2,0,58,80,26666.666666666664,27093.333333333332
1,0,70,80,26666.666666666664,27093.333333333332
1,0,82,80,27136,27605.333333333332
1,0,94,80,27136,27605.333333333332
2,0,55,80,27648,28160
1,0,67,80,27648,28160
1,0,79,80,28202.666666666664,28672
1,0,91,80,28202.666666666664,28672
2,0,52,80,28714.666666666664,29184
1,0,64,80,28714.666666666664,29184
1,0,76,80,29226.666666666664,29696
1,0,88,80,29226.666666666664,29696
2,0,49,80,29738.666666666664,30165.333333333332
1,0,61,80,29738.666666666664,30165.333333333332
1,0,73,80,30208,30677.333333333332
1,0,85,80,30208,30677.333333333332
2,0,46,80,30720,31232
2,0,58,80,30720,31232
1,0,70,80,31274.666666666664,31744
1,0,82,80,31274.666666666664,31744
2,0,43,80,31786.666666666664,32256
2,0,55,80,31786.666666666664,32256
