# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,357142
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,47,80,1056,1096
2,0,59,80,1056,1096
1,0,71,80,1056,1096
2,0,40,80,1152,1192
2,0,44,80,1152,1192
2,0,47,80,1152,1192
2,0,52,80,1152,1192
1,0,64,80,1152,1192
1,0,68,80,1152,1192
1,0,76,80,1152,1192
2,0,35,80,1440,1480
2,0,39,80,1440,1480
2,0,42,80,1440,1480
2,0,47,80,1440,1480
1,0,66,80,1440,1480
1,0,71,80,1440,1480
1,0,75,80,1440,1480
1,0,78,80,1440,1480
2,0,40,80,1728,1768
2,0,44,80,1728,1768
2,0,47,80,1728,1768
2,0,52,80,1728,1768
1,0,68,80,1728,1768
1,0,71,80,1728,1768
1,0,76,80,1728,1768
1,0,80,80,1728,1768
2,0,52,80,2016,2056
1,0,61,80,2016,2056
1,0,69,80,2016,2056
1,0,76,80,2016,2056
1,0,81,80,2016,2056
2,0,52,80,2112,2152
2,0,59,80,2112,2152
1,0,71,80,2112,2152
1,0,76,80,2112,2152
1,0,83,80,2112,2152
2,0,52,80,2208,2248
2,0,57,80,2208,2248
1,0,73,80,2208,2248
1,0,76,80,2208,2248
1,0,85,80,2208,2248
2,0,52,80,2304,2344
2,0,56,80,2304,2344
1,0,71,80,2304,2344
1,0,76,80,2304,2344
1,0,83,80,2304,2344
2,0,47,80,2592,2632
2,0,51,80,2592,2632
2,0,54,80,2592,2632
2,0,59,80,2592,2632
1,0,69,80,2592,2632
1,0,75,80,2592,2632
1,0,78,80,2592,2632
1,0,81,80,2592,2632
2,0,49,80,2880,2920
2,0,52,80,2880,2920
2,0,56,80,2880,2920
1,0,61,80,2880,2920
1,0,68,80,2880,2920
1,0,73,80,2880,2920
1,0,76,80,2880,2920
1,0,80,80,2880,2920
2,0,45,80,3168,3208
2,0,57,80,3168,3208
1,0,69,80,3168,3208
1,0,78,80,3168,3208
2,0,44,80,3264,3304
2,0,56,80,3264,3304
1,0,71,80,3264,3304
1,0,80,80,3264,3304
2,0,42,80,3360,3400
2,0,54,80,3360,3400
1,0,73,80,3360,3400
1,0,81,80,3360,3400
2,0,47,80,3456,3496
2,0,59,80,3456,3496
1,0,71,80,3456,3496
1,0,80,80,3456,3496
2,0,35,80,3744,3784
2,0,39,80,3744,3784
2,0,42,80,3744,3784
2,0,47,80,3744,3784
1,0,66,80,3744,3784
1,0,71,80,3744,3784
1,0,75,80,3744,3784
1,0,78,80,3744,3784
2,0,40,80,4032,4072
2,0,44,80,4032,4072
2,0,47,80,4032,4072
2,0,52,80,4032,4072
1,0,64,80,4032,4072
1,0,68,80,4032,4072
1,0,71,80,4032,4072
1,0,76,80,4032,4072
2,0,35,80,4320,4360
2,0,47,80,4320,4360
2,0,59,80,4320,4360
1,0,71,80,4320,4360
2,0,37,80,4416,4456
2,0,49,80,4416,4456
