# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,666666
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
1,0,80,80,480,576
2,0,39,80,576,616
1,0,79,80,576,752
2,0,55,80,672,768
1,0,61,80,672,768
2,0,51,80,768,856
1,0,77,80,768,856
2,0,39,80,864,904
1,0,79,80,864,1040
2,0,55,80,960,1056
1,0,61,80,960,1056
2,0,51,80,1056,1144
1,0,77,80,1056,1144
2,0,44,80,1152,1192
1,0,75,80,1152,1328
2,0,56,80,1248,1344
1,0,60,80,1248,1344
2,0,51,80,1344,1432
1,0,72,80,1344,1432
2,0,44,80,1440,1480
1,0,75,80,1440,1528
2,0,56,80,1536,1632
1,0,60,80,1536,1632
1,0,80,80,1536,1624
2,0,51,80,1632,1720
1,0,84,80,1680,1728
2,0,39,80,1728,1768
1,0,84,80,1728,1904
2,0,55,80,1824,1920
1,0,61,80,1824,1920
2,0,51,80,1920,2008
1,0,82,80,1920,2008
2,0,39,80,2016,2056
1,0,73,80,2016,2104
2,0,55,80,2112,2208
1,0,61,80,2112,2208
1,0,75,80,2112,2200
2,0,51,80,2208,2296
1,0,82,80,2256,2304
2,0,44,80,2304,2344
1,0,82,80,2304,2480
2,0,56,80,2400,2496
1,0,60,80,2400,2496
2,0,51,80,2496,2584
1,0,80,80,2496,2584
2,0,44,80,2592,2632
1,0,72,80,2592,2680
2,0,56,80,2688,2784
1,0,60,80,2688,2784
1,0,75,80,2688,2776
2,0,51,80,2784,2872
1,0,80,80,2784,2872
2,0,46,80,2880,2920
1,0,79,80,2880,2920
2,0,55,80,2976,3072
1,0,61,80,2976,3072
2,0,51,80,3072,3160
1,0,77,80,3072,3160
2,0,39,80,3168,3208
1,0,79,80,3168,3344
2,0,55,80,3264,3360
1,0,61,80,3264,3360
2,0,51,80,3360,3448
1,0,77,80,3360,3448
2,0,44,80,3456,3496
1,0,77,80,3456,3632
2,0,56,80,3552,3648
1,0,60,80,3552,3648
2,0,51,80,3648,3736
1,0,75,80,3648,3736
2,0,44,80,3744,3784
1,0,72,80,3744,3832
2,0,56,80,3840,3936
1,0,60,80,3840,3936
1,0,75,80,3840,3928
2,0,51,80,3936,4024
1,0,84,80,3984,4032
2,0,39,80,4032,4072
1,0,84,80,4032,4208
2,0,55,80,4128,4224
1,0,61,80,4128,4224
2,0,51,80,4224,4312
1,0,82,80,4224,4312
2,0,39,80,4320,4360
1,0,73,80,4320,4408
2,0,55,80,4416,4512
1,0,61,80,4416,4512
1,0,75,80,4416,4504
2,0,51,80,4512,4600
1,0,82,80,4512,4600
2,0,44,80,4608,4648
1,0,80,80,4608,4736
