# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,465116
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,768,944
2,0,56,80,768,944
1,0,60,80,768,944
2,0,32,80,960,1136
2,0,39,80,960,1136
2,0,51,80,1152,1328
2,0,56,80,1152,1328
1,0,60,80,1152,1328
2,0,32,80,1344,1520
2,0,39,80,1344,1520
2,0,51,80,1536,1712
2,0,56,80,1536,1712
1,0,60,80,1536,1712
2,0,32,80,1728,1904
2,0,39,80,1728,1904
2,0,51,80,1920,2096
2,0,56,80,1920,2096
1,0,60,80,1920,2096
2,0,32,80,2112,2288
2,0,39,80,2112,2288
2,0,51,80,2304,2480
2,0,56,80,2304,2480
1,0,60,80,2304,2480
1,0,72,80,2304,2480
2,0,32,80,2496,2672
2,0,39,80,2496,2672
1,0,75,80,2496,2672
2,0,51,80,2688,2864
2,0,56,80,2688,2864
1,0,60,80,2688,2864
1,0,72,80,2688,2864
2,0,32,80,2880,3056
2,0,39,80,2880,3056
1,0,75,80,2880,3056
1,0,73,80,3024,3048
1,0,75,80,3048,3072
2,0,51,80,3072,3248
2,0,55,80,3072,3248
1,0,61,80,3072,3248
1,0,73,80,3072,3160
1,0,72,80,3168,3256
2,0,32,80,3264,3440
2,0,39,80,3264,3440
1,0,73,80,3264,3352
1,0,75,80,3360,3448
2,0,51,80,3456,3632
2,0,56,80,3456,3632
1,0,60,80,3456,3632
1,0,72,80,3456,3544
1,0,80,80,3552,3640
2,0,32,80,3648,3824
2,0,39,80,3648,3824
1,0,75,80,3648,3824
2,0,51,80,3840,4016
2,0,56,80,3840,4016
1,0,60,80,3840,4016
1,0,72,80,3840,4016
2,0,32,80,4032,4208
2,0,39,80,4032,4208
1,0,75,80,4032,4208
2,0,51,80,4224,4400
2,0,56,80,4224,4400
1,0,60,80,4224,4400
1,0,72,80,4224,4400
2,0,32,80,4416,4592
2,0,39,80,4416,4592
1,0,75,80,4416,4592
2,0,56,80,4608,4784
1,0,60,80,4608,4784
1,0,65,80,4608,4784
1,0,72,80,4608,4656
1,0,70,80,4656,4704
1,0,68,80,4704,4752
1,0,70,80,4752,4800
2,0,34,80,4800,4976
2,0,46,80,4800,4976
1,0,72,80,4800,4840
1,0,74,80,4896,4936
2,0,56,80,4992,5168
1,0,63,80,4992,5168
1,0,67,80,4992,5168
1,0,75,80,4992,5280
2,0,39,80,5184,5360
1,0,73,80,5280,5368
2,0,51,80,5376,5552
2,0,56,80,5376,5552
1,0,60,80,5376,5552
1,0,72,80,5376,5552
2,0,32,80,5568,5744
2,0,39,80,5568,5744
1,0,75,80,5568,5744
2,0,51,80,5760,5936
2,0,56,80,5760,5936
1,0,60,80,5760,5936
1,0,72,80,5760,5936
2,0,32,80,5952,6128
2,0,39,80,5952,6128
1,0,75,80,5952,6128
1,0,73,80,6096,6120
1,0,75,80,6120,6144
2,0,51,80,6144,6320
2,0,55,80,6144,6320
1,0,61,80,6144,6320
1,0,73,80,6144,6232
1,0,72,80,6240,6328
2,0,32,80,6336,6512
2,0,39,80,6336,6512
1,0,73,80,6336,6424
1,0,75,80,6432,6520
2,0,51,80,6528,6704
2,0,56,80,6528,6704
1,0,60,80,6528,6704
1,0,72,80,6528,6616
1,0,80,80,6624,6712
2,0,32,80,6720,6896
2,0,39,80,6720,6896
1,0,75,80,6720,6896
2,0,51,80,6912,7088
2,0,56,80,6912,7088
1,0,60,80,6912,7088
1,0,72,80,6912,7088
2,0,32,80,7104,7280
1,0,75,80,7104,7280
2,0,56,80,7296,7472
1,0,60,80,7296,7472
1,0,65,80,7296,7472
1,0,72,80,7296,7472
2,0,41,80,7488,7664
1,0,68,80,7488,7664
1,0,70,80,7632,7656
1,0,72,80,7656,7680
2,0,51,80,7680,7856
2,0,55,80,7680,7856
1,0,61,80,7680,7856
1,0,70,80,7680,7768
1,0,68,80,7776,7864
2,0,39,80,7872,8048
1,0,70,80,7872,7960
1,0,72,80,7968,8056
2,0,51,80,8064,8240
2,0,56,80,8064,8240
1,0,60,80,8064,8240
1,0,68,80,8064,8240
2,0,32,80,8256,8432
2,0,39,80,8256,8432
2,0,58,80,8448,8624
1,0,63,80,8448,8624
1,0,67,80,8448,8624
1,0,79,80,8448,8624
2,0,39,80,8640,8816
2,0,51,80,8640,8816
1,0,70,80,8640,8816
1,0,74,80,8640,8816
1,0,77,80,8640,8816
1,0,82,80,8640,8816
2,0,56,80,8832,9008
1,0,60,80,8832,9008
1,0,63,80,8832,9008
1,0,75,80,8832,9008
2,0,39,80,9024,9200
2,0,51,80,9024,9200
1,0,67,80,9024,9200
1,0,70,80,9024,9200
1,0,79,80,9024,9200
1,0,72,80,9168,9192
1,0,73,80,9192,9216
2,0,56,80,9216,9392
2,0,58,80,9216,9392
1,0,62,80,9216,9392
1,0,72,80,9216,9304
1,0,70,80,9312,9400
2,0,39,80,9408,9584
2,0,46,80,9408,9584
