# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,960
# meta,0,0,tempo,526315
# meta,0,0,time_signature,9/8
track,channel,pitch,vel,start,end
1,0,60,80,2880,3400
2,0,59,80,3360,3880
2,0,57,80,3840,4360
1,0,64,80,4320,5840
1,0,65,80,5760,8360
1,0,60,80,11520,12040
2,0,59,80,12000,12520
2,0,57,80,12480,13000
1,0,65,80,12960,14480
1,0,66,80,14400,17000
2,0,54,80,20160,20680
2,0,52,80,20640,21160
2,0,51,80,21120,21640
2,0,57,80,21600,22120
2,0,55,80,22080,22600
2,0,54,80,22560,23080
1,0,60,80,23040,23560
2,0,59,80,23520,24040
2,0,57,80,24000,24520
2,0,55,80,24480,25000
2,0,54,80,24960,25480
2,0,57,80,25440,25960
1,0,60,80,25920,26440
2,0,59,80,26400,26920
2,0,57,80,26880,27320
1,0,63,80,27360,27880
1,0,60,80,27840,28360
2,0,59,80,28320,28840
2,0,57,80,28800,29320
2,0,59,80,29280,29800
1,0,60,80,29760,30280
1,0,63,80,30240,30760
1,0,64,80,30720,31240
1,0,65,80,31200,31720
1,0,66,80,31680,32120
1,0,67,80,33120,33640
1,0,66,80,33600,34120
1,0,64,80,34080,34600
1,0,71,80,34560,36480
2,0,52,80,35520,35760
2,0,59,80,36000,36240
1,0,67,80,36000,36240
1,0,71,80,36480,37000
1,0,72,80,36960,37480
2,0,55,80,37440,37680
1,0,64,80,37440,37680
1,0,71,80,37440,37960
1,0,74,80,37840,37920
1,0,72,80,37920,38440
1,0,71,80,38400,38840
1,0,71,80,38880,40400
2,0,52,80,39840,40080
1,0,60,80,40320,40560
1,0,64,80,40320,40560
1,0,66,80,40320,41200
2,0,57,80,41760,42000
1,0,60,80,41760,42000
1,0,66,80,41760,42280
1,0,67,80,42240,42760
1,0,71,80,42640,42720
1,0,69,80,42720,43240
1,0,60,80,43200,45160
2,0,51,80,44160,44400
2,0,54,80,44640,44880
2,0,57,80,44640,44880
2,0,59,80,45120,45640
1,0,62,80,45520,45600
1,0,60,80,45600,46120
2,0,51,80,46080,46320
2,0,57,80,46080,46320
2,0,59,80,46080,47080
1,0,67,80,47040,47560
1,0,66,80,47520,49040
2,0,54,80,48960,49200
2,0,58,80,48960,49200
1,0,64,80,48960,49840
2,0,55,80,49920,50160
2,0,59,80,49920,50160
2,0,52,80,50400,50640
2,0,59,80,50400,50640
1,0,67,80,50400,50920
1,0,66,80,50880,51400
1,0,64,80,51360,51880
1,0,71,80,51840,53760
2,0,52,80,52800,53040
2,0,59,80,53280,53520
1,0,67,80,53280,53520
1,0,71,80,53760,54280
1,0,72,80,54240,54760
2,0,56,80,54720,54960
1,0,62,80,54720,54960
1,0,65,80,54720,54960
1,0,71,80,54720,55240
1,0,74,80,55120,55200
1,0,72,80,55200,55720
1,0,71,80,55680,56120
1,0,71,80,56160,57680
1,0,62,80,57120,57360
1,0,65,80,57120,57360
2,0,57,80,57600,57840
1,0,60,80,57600,57840
1,0,64,80,57600,58480
2,0,48,80,59040,60320
2,0,57,80,59040,60320
1,0,63,80,59040,60520
1,0,71,80,59520,60040
1,0,69,80,60000,60480
1,0,69,80,60480,61920
2,0,50,80,61920,64520
2,0,59,80,61920,63440
1,0,62,80,61920,62000
1,0,64,80,62880,63400
2,0,58,80,63360,64880
1,0,61,80,63360,64800
1,0,66,80,63360,64320
1,0,64,80,64320,64360
1,0,66,80,64480,64640
1,0,67,80,64640,64800
2,0,49,80,64800,66240
2,0,57,80,64800,66240
1,0,61,80,64800,66280
1,0,66,80,64800,65800
1,0,64,80,65760,66280
1,0,66,80,66240,67120
2,0,48,80,67680,68960
2,0,57,80,67680,68960
1,0,63,80,67680,69160
1,0,71,80,68160,68680
1,0,69,80,68640,69120
1,0,69,80,69120,70560
2,0,50,80,70560,73160
2,0,59,80,70560,72080
1,0,62,80,70560,70640
1,0,64,80,71520,72040
2,0,58,80,72000,73520
1,0,61,80,72000,73440
1,0,66,80,72000,72960
1,0,64,80,72960,73000
1,0,66,80,73120,73280
1,0,67,80,73280,73440
2,0,49,80,73440,75760
2,0,57,80,73440,75760
1,0,61,80,73440,75760
1,0,66,80,73440,74440
1,0,64,80,74400,74920
1,0,66,80,74880,77480
1,0,66,80,79200,80720
1,0,67,80,80640,81160
1,0,66,80,81120,81640
1,0,64,80,81600,82120
2,0,57,80,82080,82560
1,0,60,80,82080,83520
1,0,66,80,82080,82520
2,0,55,80,82560,83040
1,0,64,80,82560,83040
2,0,54,80,83040,83520
1,0,63,80,83040,83520
2,0,55,80,83520,84000
1,0,60,80,83520,85400
1,0,69,80,83520,85400
2,0,54,80,84000,84480
2,0,52,80,84480,84960
2,0,54,80,84960,85440
2,0,52,80,85440,85920
1,0,60,80,85440,85880
1,0,67,80,85440,85920
2,0,51,80,85920,86840
1,0,60,80,85920,86360
1,0,66,80,85920,86400
1,0,60,80,86400,86840
1,0,66,80,86400,86880
2,0,57,80,86880,87360
2,0,59,80,87360,87840
2,0,57,80,87840,88320
1,0,60,80,87840,89280
1,0,66,80,87840,88320
2,0,55,80,88320,88800
1,0,64,80,88320,88800
2,0,54,80,88800,89280
1,0,63,80,88800,89280
2,0,55,80,89280,89760
1,0,60,80,89280,91160
1,0,69,80,89280,91160
2,0,54,80,89760,90240
2,0,52,80,90240,90720
2,0,54,80,90720,91200
2,0,52,80,91200,91680
1,0,60,80,91200,91640
1,0,67,80,91200,91680
2,0,51,80,91680,92600
1,0,60,80,91680,92120
1,0,66,80,91680,92160
1,0,60,80,92160,92600
1,0,66,80,92160,92640
2,0,57,80,92640,93120
2,0,59,80,93120,93600
2,0,48,80,93600,94040
2,0,57,80,93600,94040
1,0,60,80,93600,94040
1,0,65,80,93600,95040
2,0,48,80,94080,94520
2,0,57,80,94080,94520
1,0,60,80,94080,94520
2,0,48,80,94560,95000
2,0,57,80,94560,95000
1,0,60,80,94560,95000
1,0,69,80,94960,95040
2,0,48,80,95040,95480
2,0,57,80,95040,95480
1,0,60,80,95040,95480
1,0,67,80,95040,96000
2,0,48,80,95520,95960
2,0,57,80,95520,95960
1,0,60,80,95520,95960
2,0,48,80,96000,96440
2,0,57,80,96000,96440
1,0,60,80,96000,96440
1,0,65,80,96000,96480
2,0,49,80,96480,96920
2,0,57,80,96480,96920
2,0,59,80,96480,96920
1,0,65,80,96480,97920
2,0,49,80,96960,97400
2,0,57,80,96960,97400
2,0,59,80,96960,97400
2,0,49,80,97440,97880
2,0,57,80,97440,97880
2,0,59,80,97440,97880
2,0,49,80,97920,98360
2,0,57,80,97920,98360
2,0,59,80,97920,98360
1,0,64,80,97920,99360
2,0,49,80,98400,98840
2,0,57,80,98400,98840
2,0,59,80,98400,98840
2,0,49,80,98880,99320
2,0,57,80,98880,99320
2,0,59,80,98880,99320
2,0,50,80,99360,99800
2,0,57,80,99360,99800
2,0,59,80,99360,99800
1,0,65,80,99360,100800
2,0,50,80,99840,100280
2,0,57,80,99840,100280
2,0,59,80,99840,100280
2,0,50,80,100320,100760
2,0,57,80,100320,100760
2,0,59,80,100320,100760
1,0,69,80,100720,100800
2,0,50,80,100800,101240
2,0,57,80,100800,101240
2,0,59,80,100800,101240
1,0,67,80,100800,101760
2,0,50,80,101280,101720
2,0,57,80,101280,101720
2,0,59,80,101280,101720
2,0,50,80,101760,102200
2,0,57,80,101760,102200
2,0,59,80,101760,102200
1,0,65,80,101760,102240
2,0,51,80,102240,102680
2,0,57,80,102240,102680
1,0,60,80,102240,102680
1,0,65,80,102240,103680
2,0,51,80,102720,103160
2,0,57,80,102720,103160
1,0,60,80,102720,103160
2,0,51,80,103200,103640
2,0,57,80,103200,103640
1,0,60,80,103200,103640
2,0,51,80,103680,104120
2,0,57,80,103680,104120
1,0,60,80,103680,104120
1,0,66,80,103680,106280
2,0,51,80,104160,104600
2,0,57,80,104160,104600
1,0,60,80,104160,104600
2,0,51,80,104640,105080
2,0,57,80,104640,105080
1,0,60,80,104640,105080
2,0,51,80,105120,105560
2,0,57,80,105120,105560
1,0,61,80,105120,105560
2,0,51,80,105600,106040
2,0,57,80,105600,106040
1,0,61,80,105600,106040
2,0,51,80,106080,106520
2,0,57,80,106080,106520
1,0,61,80,106080,106520
2,0,52,80,106560,107000
2,0,56,80,106560,107000
2,0,59,80,106560,107000
1,0,68,80,106560,107040
2,0,52,80,107040,107480
2,0,56,80,107040,107480
2,0,59,80,107040,107480
1,0,66,80,107040,107520
2,0,52,80,107520,107960
2,0,56,80,107520,107960
2,0,59,80,107520,107960
1,0,64,80,107520,108000
2,0,51,80,108000,108440
2,0,56,80,108000,108440
2,0,59,80,108000,108440
1,0,71,80,108000,109440
2,0,51,80,108480,108920
2,0,56,80,108480,108920
2,0,59,80,108480,108920
2,0,51,80,108960,109400
2,0,56,80,108960,109400
2,0,59,80,108960,109400
2,0,49,80,109440,109880
2,0,56,80,109440,109880
1,0,64,80,109440,109880
1,0,68,80,109440,109920
2,0,49,80,109920,110360
2,0,56,80,109920,110360
1,0,63,80,109920,110360
1,0,66,80,109920,110400
2,0,49,80,110400,110840
2,0,56,80,110400,110840
1,0,61,80,110400,110840
1,0,64,80,110400,110880
2,0,47,80,110880,111320
2,0,56,80,110880,111320
1,0,63,80,110880,111320
1,0,68,80,110880,112320
2,0,47,80,111360,111800
