# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,535714
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,60,80,960,1440
1,0,72,80,1440,2400
2,0,41,80,1920,2400
2,0,41,80,1920,2880
1,0,60,80,1920,2880
2,0,48,80,2400,2880
2,0,57,80,2400,2880
1,0,69,80,2400,2880
1,0,74,80,2880,3840
2,0,41,80,3360,3840
2,0,41,80,3360,4320
1,0,59,80,3360,4320
2,0,48,80,3840,4320
2,0,56,80,3840,4320
1,0,68,80,3840,4320
1,0,67,80,4320,4800
2,0,40,80,4800,5280
2,0,40,80,4800,5760
1,0,60,80,4800,5280
1,0,69,80,4800,5280
2,0,48,80,5280,5760
2,0,55,80,5280,5760
1,0,58,80,5280,5760
1,0,70,80,5280,5760
1,0,72,80,5760,6720
2,0,39,80,6240,6720
2,0,39,80,6240,7200
1,0,57,80,6240,6720
2,0,48,80,6720,7200
2,0,54,80,6720,7200
1,0,66,80,6720,7200
1,0,72,80,6720,7200
1,0,77,80,7200,8160
2,0,38,80,7680,8160
2,0,50,80,8160,8640
2,0,53,80,8160,8640
2,0,60,80,8160,8640
1,0,65,80,8160,8640
2,0,49,80,8640,10080
2,0,53,80,8640,9120
1,0,59,80,8640,10080
1,0,67,80,8640,8760
1,0,65,80,8760,9120
2,0,55,80,9120,9600
1,0,64,80,9120,9600
2,0,53,80,9600,10560
1,0,65,80,9600,10080
2,0,48,80,10080,11520
1,0,60,80,10080,12480
1,0,67,80,10080,12480
2,0,52,80,10560,11040
2,0,50,80,11040,11520
2,0,48,80,11520,12000
1,0,64,80,11520,12480
2,0,47,80,12000,12480
2,0,46,80,12480,12960
1,0,62,80,12480,12960
1,0,64,80,12480,12960
1,0,68,80,12480,12960
1,0,69,80,12960,13920
2,0,45,80,13440,13920
2,0,45,80,13440,14400
1,0,61,80,13440,14400
1,0,64,80,13440,14400
2,0,52,80,13920,14400
2,0,57,80,13920,14400
1,0,69,80,13920,14400
1,0,72,80,14400,15360
2,0,43,80,14880,15360
2,0,43,80,14880,15840
1,0,62,80,14880,15840
1,0,65,80,14880,15840
2,0,53,80,15360,15840
2,0,58,80,15360,15840
1,0,70,80,15360,15840
1,0,69,80,15840,16320
2,0,45,80,16320,16800
2,0,45,80,16320,17280
1,0,61,80,16320,17280
1,0,63,80,16320,16800
2,0,52,80,16800,17280
2,0,57,80,16800,17280
1,0,64,80,16800,17280
1,0,69,80,17280,18240
2,0,46,80,17760,18240
2,0,46,80,17760,18720
1,0,62,80,17760,18720
2,0,53,80,18240,18720
2,0,55,80,18240,18720
1,0,67,80,18240,18720
1,0,60,80,18720,19200
2,0,48,80,19200,22080
2,0,57,80,19200,19680
1,0,65,80,19200,19680
1,0,65,80,19200,21600
2,0,58,80,19680,20160
1,0,67,80,19680,20160
2,0,60,80,20160,20640
1,0,69,80,20160,20640
2,0,61,80,20640,21120
1,0,70,80,20640,21120
2,0,62,80,21120,21600
1,0,67,80,21120,21600
1,0,63,80,21600,22080
1,0,67,80,21600,24000
1,0,72,80,21600,24000
1,0,64,80,22080,24000
2,0,62,80,22560,23040
2,0,60,80,23040,23520
2,0,58,80,23520,24000
2,0,55,80,24000,24480
1,0,60,80,24000,24480
1,0,72,80,24480,25440
2,0,41,80,24960,25440
2,0,41,80,24960,25920
1,0,60,80,24960,25920
2,0,48,80,25440,25920
2,0,57,80,25440,25920
1,0,69,80,25440,25920
1,0,74,80,25920,26880
2,0,41,80,26400,26880
2,0,41,80,26400,27360
1,0,59,80,26400,27360
