# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,468750
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,42,80,0,1440
2,0,50,80,0,1440
2,0,54,80,0,1440
2,0,57,80,0,1420
1,0,62,80,0,1440
1,0,66,80,0,1440
1,0,69,80,0,1440
1,0,74,80,0,1440
1,0,78,80,0,1440
1,0,81,80,0,1420
1,0,86,80,0,1440
2,0,33,80,1800,1840
2,0,45,80,1800,1840
2,0,57,80,1800,1840
1,0,69,80,1800,1840
2,0,35,80,1840,1880
2,0,47,80,1840,1880
2,0,59,80,1840,1880
1,0,71,80,1840,1880
2,0,37,80,1880,1920
2,0,49,80,1880,1920
1,0,61,80,1880,1920
1,0,73,80,1880,1920
2,0,38,80,1920,2820
2,0,50,80,1920,2820
1,0,62,80,1920,2820
1,0,74,80,1920,2820
2,0,38,80,2880,3480
2,0,50,80,2880,3480
1,0,62,80,2880,3480
1,0,74,80,2880,3480
2,0,38,80,3600,3820
2,0,50,80,3600,3820
1,0,62,80,3600,3820
1,0,74,80,3600,3820
2,0,42,80,3840,5280
2,0,54,80,3840,5280
1,0,66,80,3840,5280
1,0,78,80,3840,5280
2,0,38,80,5640,5700
2,0,50,80,5640,5700
1,0,62,80,5640,5700
1,0,74,80,5640,5700
2,0,40,80,5700,5760
2,0,52,80,5700,5760
1,0,64,80,5700,5760
1,0,76,80,5700,5760
2,0,42,80,5760,6620
2,0,54,80,5760,6620
1,0,66,80,5760,6620
1,0,78,80,5760,6620
2,0,42,80,6720,7340
2,0,54,80,6720,7340
1,0,66,80,6720,7340
1,0,78,80,6720,7340
2,0,42,80,7440,7680
2,0,54,80,7440,7680
1,0,66,80,7440,7680
1,0,78,80,7440,7680
2,0,45,80,7680,9120
2,0,57,80,7680,9120
1,0,69,80,7680,9120
1,0,81,80,7680,9120
2,0,42,80,9480,9540
2,0,54,80,9480,9540
1,0,66,80,9480,9540
1,0,78,80,9480,9540
2,0,43,80,9540,9600
2,0,55,80,9540,9600
1,0,67,80,9540,9600
1,0,79,80,9540,9600
2,0,45,80,9600,10380
2,0,57,80,9600,10380
1,0,69,80,9600,10560
1,0,81,80,9600,10380
2,0,45,80,10560,11160
2,0,57,80,10560,11160
1,0,69,80,10560,11160
1,0,81,80,10560,11160
2,0,45,80,11280,11520
2,0,57,80,11280,11520
1,0,69,80,11280,11520
1,0,81,80,11280,11520
2,0,38,80,11520,12040
2,0,50,80,11520,12040
1,0,62,80,11520,11760
1,0,74,80,11520,12040
1,0,86,80,11520,12040
1,0,62,80,11760,11980
2,0,50,80,12000,12240
1,0,62,80,12240,12480
2,0,50,80,12480,12720
1,0,62,80,12720,12940
2,0,33,80,12960,13440
2,0,45,80,12960,13440
2,0,50,80,12960,13180
1,0,69,80,12960,13320
1,0,62,80,13200,13440
2,0,32,80,13440,13920
2,0,44,80,13440,13920
2,0,50,80,13440,13680
1,0,68,80,13440,13800
1,0,62,80,13680,13920
2,0,33,80,13920,14400
2,0,45,80,13920,14400
2,0,50,80,13920,14160
1,0,69,80,13920,14280
1,0,62,80,14160,14400
2,0,35,80,14400,14880
2,0,47,80,14400,14880
2,0,50,80,14400,14640
1,0,71,80,14400,14760
1,0,62,80,14640,14880
2,0,36,80,14880,15360
2,0,48,80,14880,15360
2,0,50,80,14880,15100
1,0,72,80,14880,15240
1,0,62,80,15120,15360
1,0,67,80,15300,15360
2,0,34,80,15360,15840
2,0,46,80,15360,15840
2,0,50,80,15360,15600
1,0,70,80,15360,15840
1,0,79,80,15360,16080
1,0,62,80,15600,15840
2,0,35,80,15840,16320
2,0,47,80,15840,16320
2,0,50,80,15840,16080
1,0,71,80,15840,16440
1,0,62,80,16080,16320
1,0,78,80,16080,16200
1,0,76,80,16200,16300
2,0,50,80,16320,16560
1,0,74,80,16320,16740
1,0,62,80,16560,16800
2,0,35,80,16800,17280
2,0,47,80,16800,17280
2,0,50,80,16800,17040
1,0,71,80,16800,17060
1,0,74,80,16800,17080
1,0,62,80,17040,17280
2,0,34,80,17280,17760
2,0,46,80,17280,17760
2,0,50,80,17280,17520
1,0,70,80,17280,17640
1,0,62,80,17520,17760
2,0,35,80,17760,18240
2,0,47,80,17760,18240
2,0,50,80,17760,18000
1,0,71,80,17760,18120
1,0,62,80,18000,18240
2,0,37,80,18240,18720
2,0,49,80,18240,18720
2,0,50,80,18240,18480
1,0,73,80,18240,18600
1,0,62,80,18480,18720
2,0,38,80,18720,19200
2,0,50,80,18720,18940
2,0,50,80,18720,19200
1,0,74,80,18720,19080
1,0,62,80,18960,19200
1,0,69,80,19120,19200
2,0,35,80,19200,19680
2,0,47,80,19200,19680
2,0,50,80,19200,19440
1,0,71,80,19200,19660
1,0,81,80,19200,19780
1,0,62,80,19440,19680
2,0,36,80,19680,20160
2,0,48,80,19680,20160
2,0,50,80,19680,19900
1,0,72,80,19680,20440
1,0,62,80,19920,20160
1,0,79,80,19920,20000
1,0,78,80,20000,20080
1,0,76,80,20080,20160
2,0,50,80,20160,20400
1,0,74,80,20160,20580
1,0,62,80,20400,20640
2,0,36,80,20640,21120
2,0,48,80,20640,21120
2,0,50,80,20640,20860
1,0,72,80,20640,21020
1,0,74,80,20640,20960
1,0,62,80,20880,21120
2,0,35,80,21120,21600
2,0,47,80,21120,21600
2,0,50,80,21120,21360
1,0,71,80,21120,21480
1,0,62,80,21360,21600
2,0,36,80,21600,22080
2,0,48,80,21600,22080
2,0,50,80,21600,21840
1,0,72,80,21600,21960
1,0,62,80,21840,22080
2,0,38,80,22080,22560
2,0,50,80,22080,22320
2,0,50,80,22080,22560
1,0,74,80,22080,22440
1,0,62,80,22320,22560
2,0,36,80,22560,23040
2,0,48,80,22560,23040
2,0,50,80,22560,22780
1,0,72,80,22560,22920
1,0,62,80,22800,23040
2,0,34,80,23040,23520
2,0,46,80,23040,23520
2,0,50,80,23040,23260
1,0,70,80,23040,23400
2,0,55,80,23280,23520
1,0,74,80,23400,23520
2,0,58,80,23520,23760
1,0,79,80,23520,24000
2,0,55,80,23760,24000
2,0,46,80,24000,24460
