# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,240
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,59,80,0,860
1,0,66,80,0,860
1,0,71,80,0,860
2,0,59,80,960,1820
1,0,71,80,960,1820
1,0,60,80,1920,2780
1,0,67,80,1920,2140
1,0,76,80,1920,2780
1,0,69,80,2160,2270
1,0,71,80,2280,2390
1,0,72,80,2400,2510
1,0,74,80,2520,2630
1,0,72,80,2640,2750
1,0,71,80,2760,2870
2,0,57,80,2880,2990
1,0,72,80,2880,3740
1,0,76,80,2880,3740
2,0,59,80,3000,3110
1,0,60,80,3120,3230
1,0,62,80,3240,3350
1,0,64,80,3360,3580
2,0,57,80,3600,3820
2,0,59,80,3840,3950
1,0,71,80,3840,4270
1,0,74,80,3840,4700
1,0,61,80,3960,4070
1,0,62,80,4080,4190
1,0,64,80,4200,4310
1,0,66,80,4320,4540
1,0,66,80,4320,5020
2,0,59,80,4560,4780
2,0,59,80,4800,5230
1,0,74,80,4800,5230
1,0,62,80,5040,5980
2,0,57,80,5280,5500
1,0,72,80,5280,5500
2,0,55,80,5520,5740
1,0,71,80,5520,5740
2,0,54,80,5760,6410
1,0,69,80,5760,6190
1,0,63,80,6000,6220
1,0,64,80,6240,6940
1,0,67,80,6240,6670
2,0,52,80,6480,6700
2,0,54,80,6720,7580
1,0,69,80,6720,7580
1,0,63,80,6960,7180
1,0,64,80,7200,7420
1,0,63,80,7440,7660
2,0,52,80,7680,8540
1,0,64,80,7680,8110
1,0,67,80,7680,8110
1,0,71,80,8160,8590
1,0,79,80,8160,8590
2,0,52,80,8640,9070
1,0,71,80,8640,9070
1,0,79,80,8640,9070
1,0,64,80,9120,9550
1,0,71,80,9120,9340
1,0,79,80,9120,9550
1,0,73,80,9360,9580
1,0,62,80,9600,10030
1,0,74,80,9600,10460
1,0,78,80,9600,10030
2,0,59,80,10080,10510
1,0,78,80,10080,10300
1,0,79,80,10320,10540
1,0,60,80,10560,10990
1,0,72,80,10560,11420
1,0,76,80,10560,10990
2,0,57,80,11040,11150
1,0,76,80,11040,11470
2,0,59,80,11160,11270
1,0,60,80,11280,11390
1,0,62,80,11400,11510
1,0,64,80,11520,12380
1,0,67,80,11520,12380
1,0,71,80,11520,11950
1,0,79,80,11760,11870
1,0,78,80,11880,11990
1,0,76,80,12000,12110
1,0,74,80,12120,12230
1,0,76,80,12240,12350
1,0,78,80,12360,12470
1,0,64,80,12480,12910
1,0,71,80,12480,12910
1,0,79,80,12480,12910
1,0,64,80,12960,13390
1,0,67,80,12960,13390
1,0,79,80,12960,13390
1,0,62,80,13440,14300
1,0,69,80,13440,14300
1,0,78,80,13440,13550
1,0,79,80,13560,13670
1,0,78,80,13680,13790
1,0,79,80,13800,13910
1,0,78,80,13920,14030
1,0,76,80,14040,14150
1,0,74,80,14160,14270
1,0,72,80,14280,14390
1,0,64,80,14400,15260
1,0,67,80,14400,15260
1,0,71,80,14400,14830
1,0,76,80,14880,15580
2,0,59,80,15360,16220
1,0,66,80,15360,16220
1,0,76,80,15600,15820
1,0,75,80,15840,16060
1,0,73,80,16080,16300
2,0,59,80,16320,16750
1,0,66,80,16320,16750
1,0,75,80,16320,16750
2,0,59,80,16800,17230
1,0,66,80,16800,17230
1,0,75,80,16800,17230
1,0,67,80,17280,18140
1,0,71,80,17280,18180
1,0,79,80,17520,17630
1,0,78,80,17640,17750
1,0,76,80,17760,17870
1,0,74,80,17880,17990
1,0,76,80,18000,18110
1,0,78,80,18120,18230
1,0,67,80,18240,18670
1,0,71,80,18240,18670
1,0,79,80,18240,18670
1,0,67,80,18720,19150
1,0,71,80,18720,19150
1,0,79,80,18720,19150
1,0,62,80,19200,20060
1,0,69,80,19200,20060
1,0,78,80,19200,19310
1,0,79,80,19320,19430
1,0,78,80,19440,19550
1,0,79,80,19560,19670
1,0,78,80,19680,19790
1,0,76,80,19800,19910
1,0,74,80,19920,20030
1,0,72,80,20040,20150
1,0,64,80,20160,21020
1,0,67,80,20160,21020
1,0,71,80,20160,20590
1,0,76,80,20640,21340
2,0,59,80,21120,21980
1,0,66,80,21120,21980
1,0,76,80,21360,21580
1,0,74,80,21600,21820
1,0,73,80,21840,22060
2,0,55,80,22080,22510
1,0,71,80,22080,22510
1,0,74,80,22080,22510
2,0,55,80,22560,22990
1,0,71,80,22560,22990
1,0,74,80,22560,22990
1,0,60,80,23040,23900
1,0,72,80,23040,23260
1,0,76,80,23040,23900
1,0,69,80,23280,23390
1,0,71,80,23400,23510
1,0,72,80,23520,23630
1,0,71,80,23640,23750
1,0,72,80,23760,23870
1,0,74,80,23880,23990
1,0,60,80,24000,24430
1,0,72,80,24000,24430
1,0,76,80,24000,24430
1,0,60,80,24480,24910
1,0,72,80,24480,24910
1,0,76,80,24480,24910
2,0,55,80,24960,25820
1,0,71,80,24960,25070
1,0,74,80,24960,25820
1,0,72,80,25080,25190
1,0,71,80,25200,25310
1,0,72,80,25320,25430
1,0,71,80,25440,25550
1,0,69,80,25560,25670
1,0,67,80,25680,25790
1,0,66,80,25800,25910
2,0,57,80,25920,26780
1,0,64,80,25920,26780
1,0,72,80,25920,26140
1,0,69,80,26160,26270
1,0,71,80,26280,26390
1,0,72,80,26400,26510
1,0,71,80,26520,26630
1,0,72,80,26640,26750
1,0,74,80,26760,26870
2,0,52,80,26880,27740
1,0,67,80,26880,27310
1,0,71,80,26880,27740
1,0,64,80,27360,27790
1,0,64,80,27840,28190
1,0,67,80,27840,28060
1,0,71,80,27840,28700
