# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,1111111
# meta,0,0,time_signature,1/4
track,channel,pitch,vel,start,end
1,0,59,80,0,240
1,0,60,80,240,460
1,0,69,80,480,940
2,0,41,80,960,2320
2,0,53,80,960,2320
1,0,65,80,960,1280
1,0,69,80,960,1280
1,0,64,80,1440,1760
1,0,65,80,1440,1760
1,0,69,80,1440,1760
1,0,63,80,1920,2240
1,0,65,80,1920,2240
1,0,69,80,1920,2240
2,0,48,80,2400,3360
2,0,54,80,2400,2880
1,0,63,80,2400,3360
1,0,69,80,2400,2880
2,0,57,80,2880,2900
1,0,75,80,2880,3120
2,0,55,80,2900,3120
2,0,54,80,3120,3360
1,0,74,80,3120,3360
2,0,46,80,3360,3820
2,0,55,80,3360,3820
1,0,62,80,3360,3820
1,0,74,80,3360,3820
2,0,45,80,3840,4300
2,0,54,80,3840,4300
1,0,60,80,3840,4300
1,0,62,80,3840,4300
2,0,43,80,4320,5000
2,0,55,80,4320,5000
1,0,58,80,4320,5280
1,0,62,80,4320,5280
1,0,70,80,4320,4800
1,0,67,80,4800,5260
2,0,45,80,5040,5160
2,0,46,80,5160,5280
2,0,48,80,5280,6200
1,0,58,80,5280,5740
1,0,62,80,5280,5600
1,0,55,80,5760,6220
1,0,64,80,5760,6080
2,0,41,80,6240,7160
1,0,57,80,6240,6700
1,0,65,80,6240,6700
2,0,47,80,6720,7180
1,0,56,80,6720,7200
1,0,64,80,6720,6960
1,0,62,80,6960,7180
2,0,40,80,7200,7680
2,0,48,80,7200,8160
1,0,55,80,7200,7660
1,0,60,80,7200,7660
2,0,36,80,7680,8140
1,0,58,80,7680,8140
1,0,60,80,7680,8140
2,0,41,80,8160,9980
2,0,48,80,8160,8620
1,0,57,80,8160,8620
1,0,60,80,8160,8620
2,0,53,80,8640,9560
1,0,65,80,8640,8960
1,0,69,80,8640,8960
1,0,64,80,9120,9440
1,0,65,80,9120,9440
1,0,69,80,9120,9440
2,0,53,80,9600,10060
1,0,63,80,9600,9920
1,0,65,80,9600,9920
1,0,69,80,9600,9920
2,0,48,80,10080,11000
2,0,54,80,10080,10540
1,0,62,80,10080,10100
1,0,63,80,10080,10100
1,0,63,80,10100,11040
1,0,65,80,10140,10160
1,0,69,80,10160,10560
2,0,57,80,10560,10580
1,0,75,80,10560,10800
2,0,55,80,10580,10800
2,0,54,80,10800,11020
1,0,74,80,10800,11020
2,0,46,80,11040,11500
2,0,55,80,11040,11500
1,0,62,80,11040,11500
1,0,74,80,11040,11500
2,0,45,80,11520,11980
2,0,54,80,11520,11980
1,0,60,80,11520,11980
1,0,62,80,11520,11980
2,0,43,80,12000,12920
1,0,62,80,12000,12480
1,0,70,80,12000,12240
2,0,46,80,12240,12480
1,0,67,80,12240,12480
2,0,50,80,12480,12720
1,0,62,80,12480,12720
2,0,55,80,12720,12940
1,0,58,80,12720,12940
1,0,62,80,12720,12940
1,0,65,80,12720,12940
2,0,48,80,12960,13880
1,0,58,80,12960,13880
1,0,65,80,12960,13180
1,0,64,80,13200,13420
2,0,50,80,13440,13680
1,0,69,80,13440,13660
2,0,52,80,13680,13900
1,0,67,80,13680,13900
2,0,53,80,13920,14380
1,0,57,80,13920,15280
1,0,65,80,13920,15280
2,0,41,80,14400,14860
2,0,40,80,14880,14900
2,0,41,80,14900,14940
2,0,43,80,14940,14960
2,0,41,80,14960,15340
1,0,65,80,15360,15820
1,0,69,80,15360,15820
1,0,64,80,15840,16300
1,0,67,80,15840,16300
2,0,60,80,16320,16640
1,0,63,80,16320,16640
1,0,67,80,16320,16640
2,0,55,80,16800,17120
2,0,58,80,16800,17120
1,0,62,80,16800,17120
1,0,67,80,16800,17120
2,0,50,80,17280,17740
2,0,57,80,17280,17740
1,0,60,80,17280,17400
1,0,66,80,17280,17760
1,0,63,80,17400,17520
1,0,62,80,17520,17640
1,0,60,80,17640,17760
2,0,55,80,17760,18100
1,0,58,80,17760,19560
1,0,62,80,17760,19580
1,0,67,80,17760,19580
2,0,42,80,18120,18240
2,0,43,80,18240,18600
2,0,46,80,18600,18720
2,0,50,80,18720,19080
2,0,54,80,19080,19200
2,0,55,80,19200,19560
2,0,58,80,19560,19680
1,0,66,80,19680,19700
1,0,67,80,19700,19740
1,0,69,80,19740,19760
1,0,70,80,19760,20140
2,0,63,80,20160,20480
1,0,66,80,20160,20480
1,0,70,80,20160,20480
2,0,62,80,20640,20960
1,0,65,80,20640,20960
1,0,70,80,20640,20960
2,0,53,80,21120,21580
