# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,555555
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,26,80,768,808
2,0,38,80,768,808
2,0,50,80,768,808
2,0,50,80,960,3048
1,0,62,80,960,3048
2,0,58,80,1408,1432
1,0,67,80,1408,1432
2,0,58,80,1472,1496
1,0,66,80,1472,1496
1,0,60,80,1536,1560
1,0,69,80,1536,1600
2,0,58,80,1600,1624
1,0,67,80,1600,1624
2,0,55,80,1664,1688
1,0,70,80,1664,1688
2,0,54,80,1728,1752
1,0,69,80,1728,1752
2,0,57,80,1792,1816
1,0,72,80,1792,1816
2,0,55,80,1856,1880
1,0,70,80,1856,1880
2,0,58,80,1920,1960
1,0,74,80,1920,1960
2,0,38,80,2256,2304
2,0,46,80,2256,2304
2,0,55,80,2256,2304
2,0,38,80,2304,2400
2,0,46,80,2304,2400
2,0,55,80,2304,2400
2,0,38,80,2496,2592
2,0,45,80,2496,2592
2,0,54,80,2496,2592
2,0,26,80,3072,3112
2,0,38,80,3072,3112
2,0,50,80,3072,3112
1,0,62,80,3264,5352
1,0,74,80,3264,5352
1,0,70,80,3712,3776
1,0,79,80,3712,3736
1,0,69,80,3776,3840
1,0,78,80,3776,3800
1,0,72,80,3840,3904
1,0,81,80,3840,3864
1,0,70,80,3904,3968
1,0,79,80,3904,3928
1,0,67,80,3968,4032
1,0,82,80,3968,3992
1,0,66,80,4032,4096
1,0,81,80,4032,4056
1,0,69,80,4096,4160
1,0,84,80,4096,4120
1,0,67,80,4160,4224
1,0,82,80,4160,4184
1,0,70,80,4224,4264
1,0,86,80,4224,4264
2,0,50,80,4560,4608
2,0,55,80,4560,4608
1,0,70,80,4560,4608
2,0,50,80,4608,4704
2,0,55,80,4608,4704
1,0,70,80,4608,4704
2,0,50,80,4800,4896
2,0,54,80,4800,4896
1,0,69,80,4800,4896
2,0,34,80,5376,5416
2,0,46,80,5376,5416
2,0,48,80,5472,5512
2,0,51,80,5472,5512
2,0,56,80,5472,5512
1,0,60,80,5472,5512
1,0,63,80,5472,5568
1,0,68,80,5472,5568
1,0,75,80,5472,5568
1,0,60,80,5568,5904
1,0,63,80,5568,5904
1,0,68,80,5568,5904
1,0,72,80,5568,5904
1,0,75,80,5568,5904
1,0,80,80,5568,5904
1,0,87,80,5568,5904
1,0,60,80,5904,5952
1,0,62,80,5904,5952
1,0,66,80,5904,5952
1,0,69,80,5904,5952
1,0,74,80,5904,5952
1,0,86,80,5904,5952
1,0,60,80,5952,6000
1,0,62,80,5952,6000
1,0,66,80,5952,6000
1,0,69,80,5952,6000
1,0,73,80,5952,6000
1,0,85,80,5952,6000
1,0,60,80,6000,6048
1,0,62,80,6000,6048
1,0,66,80,6000,6048
1,0,69,80,6000,6048
1,0,74,80,6000,6048
1,0,86,80,6000,6048
1,0,60,80,6048,6096
1,0,62,80,6048,6096
1,0,66,80,6048,6096
1,0,69,80,6048,6096
1,0,76,80,6048,6096
1,0,88,80,6048,6096
1,0,60,80,6096,6144
1,0,62,80,6096,6144
1,0,66,80,6096,6144
1,0,69,80,6096,6144
1,0,78,80,6096,6144
1,0,90,80,6096,6144
2,0,58,80,6144,6184
1,0,62,80,6144,6184
1,0,67,80,6144,6184
1,0,81,80,6144,6184
1,0,93,80,6144,6184
2,0,58,80,6240,6280
1,0,62,80,6240,6280
1,0,67,80,6240,6280
1,0,79,80,6240,6280
1,0,86,80,6240,6280
1,0,91,80,6240,6280
2,0,46,80,6384,6528
2,0,50,80,6408,6528
2,0,55,80,6424,6472
2,0,58,80,6432,6472
1,0,67,80,6432,6472
1,0,74,80,6432,6472
1,0,79,80,6432,6472
2,0,36,80,6576,6720
2,0,39,80,6600,6720
2,0,45,80,6616,6664
2,0,48,80,6624,6664
2,0,57,80,6624,6664
1,0,63,80,6624,6664
1,0,67,80,6624,6664
1,0,69,80,6624,6664
2,0,48,80,6768,6912
2,0,51,80,6792,6912
2,0,57,80,6808,6912
1,0,60,80,6816,6912
1,0,69,80,6816,6856
1,0,75,80,6816,6856
1,0,79,80,6816,6856
1,0,81,80,6816,6856
2,0,38,80,6960,7104
2,0,45,80,6984,7104
2,0,50,80,7008,7048
2,0,59,80,7008,7048
1,0,65,80,7008,7048
1,0,67,80,7008,7048
1,0,71,80,7008,7048
2,0,50,80,7152,7296
2,0,55,80,7176,7296
1,0,62,80,7200,7240
1,0,71,80,7200,7240
1,0,77,80,7200,7240
1,0,79,80,7200,7240
1,0,83,80,7200,7240
2,0,39,80,7344,7488
2,0,43,80,7368,7488
2,0,48,80,7384,7432
2,0,51,80,7392,7432
1,0,60,80,7392,7432
1,0,67,80,7392,7432
1,0,72,80,7392,7432
2,0,51,80,7536,7680
2,0,55,80,7560,7680
1,0,60,80,7576,7624
1,0,63,80,7584,7624
1,0,72,80,7584,7624
