# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,1016955
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,46,80,0,597.3333333333333
1,0,62,80,0,1578.6666666666665
1,0,65,80,0,1578.6666666666665
2,0,53,80,554.6666666666666,1109.3333333333333
2,0,58,80,1066.6666666666665,1621.3333333333333
2,0,53,80,1578.6666666666665,2133.333333333333
1,0,63,80,1578.6666666666665,2048
1,0,67,80,1578.6666666666665,2048
2,0,58,80,2048,2645.333333333333
1,0,62,80,2048,3072
1,0,65,80,2048,3072
2,0,53,80,2560,3029.333333333333
2,0,46,80,3072,3669.333333333333
2,0,58,80,3072,4138.666666666666
1,0,62,80,3072,4138.666666666666
2,0,53,80,3626.6666666666665,4181.333333333333
2,0,58,80,4138.666666666666,4693.333333333333
1,0,62,80,4138.666666666666,5120
1,0,65,80,4138.666666666666,5120
2,0,53,80,4650.666666666666,5205.333333333333
2,0,58,80,5120,5717.333333333333
1,0,62,80,5120,6144
1,0,70,80,5120,6144
2,0,53,80,5632,6101.333333333333
2,0,51,80,6144,6741.333333333333
1,0,70,80,6144,7765.333333333333
1,0,82,80,6144,7722.666666666666
2,0,55,80,6698.666666666666,7253.333333333333
2,0,58,80,7210.666666666666,7765.333333333333
1,0,63,80,7722.666666666666,8277.333333333332
1,0,72,80,7722.666666666666,8277.333333333332
1,0,84,80,7722.666666666666,8192
2,0,58,80,8192,8789.333333333332
1,0,70,80,8192,9173.333333333332
1,0,82,80,8192,9216
2,0,55,80,8704,9173.333333333332
2,0,51,80,9216,9813.333333333332
1,0,67,80,9216,12288
1,0,79,80,9216,12288
2,0,55,80,9770.666666666666,10325.333333333332
2,0,58,80,10282.666666666666,10837.333333333332
1,0,63,80,10794.666666666666,11349.333333333332
2,0,58,80,11264,11861.333333333332
2,0,55,80,11776,12245.333333333332
2,0,46,80,12288,12885.333333333332
1,0,62,80,12288,13866.666666666666
1,0,65,80,12288,13866.666666666666
2,0,53,80,12842.666666666666,13397.333333333332
2,0,58,80,13354.666666666666,13909.333333333332
2,0,53,80,13866.666666666666,14421.333333333332
1,0,63,80,13866.666666666666,14336
