# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,652176
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
1,0,65,80,0,554.6666666666666
1,0,77,80,0,1024
1,0,65,80,554.6666666666666,1024
1,0,65,80,1024,1536
1,0,75,80,1024,1536
1,0,65,80,1536,2090.6666666666665
1,0,75,80,1536,1664
1,0,73,80,1664,1792
1,0,75,80,1792,1920
1,0,73,80,1920,2048
1,0,65,80,2090.6666666666665,2560
1,0,72,80,2090.6666666666665,2517.333333333333
1,0,65,80,2560,3072
1,0,70,80,2560,3029.333333333333
1,0,73,80,2560,3029.333333333333
1,0,65,80,3072,3626.6666666666665
1,0,68,80,3072,4608
1,0,72,80,3072,3584
1,0,65,80,3626.6666666666665,4096
1,0,70,80,3626.6666666666665,4053.333333333333
1,0,65,80,4096,4608
1,0,72,80,4096,4565.333333333333
1,0,65,80,4608,5162.666666666666
1,0,67,80,4608,6144
1,0,70,80,4608,5120
1,0,65,80,5162.666666666666,5632
1,0,68,80,5162.666666666666,5589.333333333333
1,0,65,80,5632,6144
1,0,70,80,5632,6101.333333333333
1,0,65,80,6144,6698.666666666666
1,0,68,80,6144,6656
1,0,65,80,6698.666666666666,7125.333333333333
1,0,67,80,6698.666666666666,7125.333333333333
1,0,63,80,7168,7637.333333333333
1,0,68,80,7168,7637.333333333333
1,0,61,80,7680,8192
1,0,70,80,7680,8192
1,0,60,80,8234.666666666666,8661.333333333332
1,0,72,80,8234.666666666666,8661.333333333332
2,0,58,80,8704,9173.333333333332
1,0,64,80,8704,9216
1,0,73,80,8704,9173.333333333332
2,0,56,80,9216,9728
1,0,65,80,9216,11776
1,0,72,80,9216,9728
2,0,55,80,9770.666666666666,10197.333333333332
1,0,70,80,9770.666666666666,10197.333333333332
2,0,53,80,10240,10709.333333333332
1,0,68,80,10240,10709.333333333332
2,0,58,80,10752,11264
1,0,67,80,10752,11264
1,0,60,80,11306.666666666666,11690.666666666666
1,0,68,80,11306.666666666666,11733.333333333332
2,0,48,80,11776,12160
1,0,64,80,11776,12160
1,0,70,80,11776,12160
1,0,65,80,12288,12842.666666666666
1,0,77,80,12288,13312
1,0,65,80,12842.666666666666,13312
1,0,65,80,13312,13824
1,0,75,80,13312,13824
1,0,65,80,13824,14378.666666666666
1,0,75,80,13824,13952
1,0,73,80,13952,14080
1,0,75,80,14080,14208
1,0,73,80,14208,14336
1,0,65,80,14378.666666666666,14848
1,0,72,80,14378.666666666666,14805.333333333332
1,0,65,80,14848,15360
1,0,70,80,14848,15317.333333333332
1,0,73,80,14848,15317.333333333332
1,0,65,80,15360,15914.666666666666
1,0,68,80,15360,16896
1,0,72,80,15360,15872
1,0,65,80,15914.666666666666,16384
1,0,70,80,15914.666666666666,16341.333333333332
1,0,65,80,16384,16896
1,0,72,80,16384,16853.333333333332
1,0,65,80,16896,17450.666666666664
1,0,67,80,16896,18432
1,0,70,80,16896,17408
1,0,65,80,17450.666666666664,17920
1,0,68,80,17450.666666666664,17877.333333333332
1,0,65,80,17920,18432
1,0,70,80,17920,18389.333333333332
1,0,65,80,18432,19456
1,0,68,80,18432,18944
1,0,67,80,18986.666666666664,19413.333333333332
1,0,63,80,19456,19925.333333333332
1,0,68,80,19456,19925.333333333332
1,0,61,80,19968,20480
1,0,67,80,19968,20480
1,0,70,80,19968,20480
1,0,63,80,20522.666666666664,20949.333333333332
1,0,68,80,20522.666666666664,20949.333333333332
1,0,61,80,20992,21461.333333333332
1,0,67,80,20992,21461.333333333332
1,0,70,80,20992,21461.333333333332
1,0,60,80,21504,22016
1,0,68,80,21504,22016
1,0,72,80,21504,22016
1,0,61,80,22058.666666666664,22485.333333333332
1,0,67,80,22058.666666666664,22485.333333333332
1,0,70,80,22058.666666666664,22485.333333333332
1,0,60,80,22528,22997.333333333332
1,0,68,80,22528,22997.333333333332
1,0,72,80,22528,22997.333333333332
2,0,58,80,23040,23552
1,0,70,80,23040,23552
1,0,73,80,23040,23552
1,0,60,80,23594.666666666664,24021.333333333332
1,0,72,80,23594.666666666664,24021.333333333332
2,0,58,80,24064,24533.333333333332
1,0,70,80,24064,24533.333333333332
1,0,73,80,24064,24533.333333333332
2,0,56,80,24576,26112
1,0,68,80,24576,26112
1,0,80,80,24576,25600
2,0,58,80,25130.666666666664,25557.333333333332
1,0,60,80,25600,26069.333333333332
1,0,79,80,25600,26069.333333333332
2,0,56,80,26112,27648
1,0,61,80,26112,26624
1,0,68,80,26112,27648
1,0,77,80,26112,26624
1,0,63,80,26666.666666666664,27093.333333333332
1,0,75,80,26666.666666666664,27093.333333333332
1,0,65,80,27136,27605.333333333332
1,0,73,80,27136,27605.333333333332
2,0,56,80,27648,29184
1,0,67,80,27648,28160
1,0,73,80,27648,28160
1,0,75,80,27648,29184
1,0,68,80,28202.666666666664,28629.333333333332
1,0,72,80,28202.666666666664,28629.333333333332
1,0,67,80,28672,29141.333333333332
1,0,73,80,28672,29141.333333333332
2,0,56,80,29184,30720
1,0,68,80,29184,29696
1,0,72,80,29184,29696
1,0,75,80,29184,30677.333333333332
1,0,67,80,29738.666666666664,30165.333333333332
1,0,73,80,29738.666666666664,30165.333333333332
1,0,63,80,30208,30677.333333333332
1,0,75,80,30208,30720
2,0,56,80,30720,32256
1,0,68,80,30720,32256
1,0,80,80,30720,31744
2,0,58,80,31274.666666666664,31701.333333333332
1,0,60,80,31744,32213.333333333332
1,0,79,80,31744,32213.333333333332
2,0,56,80,32256,33792
1,0,61,80,32256,32768
1,0,68,80,32256,33792
1,0,77,80,32256,32768
1,0,63,80,32810.666666666664,33237.33333333333
1,0,75,80,32810.666666666664,33237.33333333333
1,0,65,80,33280,33749.33333333333
1,0,73,80,33280,33749.33333333333
2,0,56,80,33792,35328
1,0,67,80,33792,34304
1,0,73,80,33792,34304
1,0,75,80,33792,35328
1,0,68,80,34346.666666666664,34773.33333333333
1,0,72,80,34346.666666666664,34773.33333333333
1,0,67,80,34816,35285.33333333333
1,0,73,80,34816,35285.33333333333
2,0,56,80,35328,36864
1,0,68,80,35328,35840
1,0,72,80,35328,35840
1,0,75,80,35328,36821.33333333333
1,0,67,80,35882.666666666664,36309.33333333333
1,0,73,80,35882.666666666664,36309.33333333333
1,0,63,80,36352,36821.33333333333
1,0,75,80,36352,36864
1,0,68,80,36864,37888
1,0,72,80,36864,37376
