# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,652176
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,2090.6666666666665
1,0,79,80,0,2090.6666666666665
1,0,70,80,554.6666666666666,1066.6666666666665
1,0,74,80,554.6666666666666,810.6666666666666
1,0,74,80,810.6666666666666,1066.6666666666665
1,0,70,80,1066.6666666666665,1578.6666666666665
1,0,74,80,1066.6666666666665,1578.6666666666665
1,0,70,80,1578.6666666666665,2048
1,0,74,80,1578.6666666666665,2048
1,0,67,80,2090.6666666666665,4096
1,0,72,80,2090.6666666666665,2560
1,0,75,80,2090.6666666666665,2560
1,0,79,80,2090.6666666666665,4096
1,0,70,80,2602.6666666666665,3072
1,0,74,80,2602.6666666666665,2816
1,0,74,80,2816,3072
1,0,70,80,3072,3584
1,0,74,80,3072,3584
1,0,70,80,3584,4053.333333333333
1,0,74,80,3584,4053.333333333333
1,0,79,80,4096,4266.666666666666
1,0,67,80,4096,4650.666666666666
1,0,72,80,4096,4650.666666666666
1,0,75,80,4096,4608
1,0,81,80,4224,4394.666666666666
1,0,79,80,4394.666666666666,4650.666666666666
1,0,67,80,4650.666666666666,5120
1,0,72,80,4650.666666666666,5120
1,0,78,80,4650.666666666666,4864
1,0,79,80,4906.666666666666,5120
1,0,66,80,5162.666666666666,5632
1,0,69,80,5162.666666666666,5674.666666666666
1,0,81,80,5162.666666666666,5546.666666666666
1,0,62,80,5674.666666666666,6144
1,0,69,80,5674.666666666666,6144
1,0,74,80,5674.666666666666,5888
1,0,72,80,5888,6144
1,0,70,80,6144,6314.666666666666
1,0,67,80,6186.666666666666,6656
1,0,72,80,6272,6442.666666666666
1,0,70,80,6442.666666666666,6698.666666666666
1,0,63,80,6698.666666666666,7168
1,0,69,80,6698.666666666666,6912
1,0,70,80,6912,7168
1,0,60,80,7168,7637.333333333333
1,0,69,80,7168,7594.666666666666
1,0,72,80,7168,7594.666666666666
1,0,62,80,7680,8149.333333333333
1,0,67,80,7680,7936
1,0,70,80,7680,7936
1,0,66,80,7936,8192
1,0,69,80,7936,8192
1,0,67,80,8192,10282.666666666666
1,0,79,80,8192,10282.666666666666
1,0,70,80,8746.666666666666,9258.666666666666
1,0,74,80,8746.666666666666,9002.666666666666
1,0,74,80,9002.666666666666,9258.666666666666
1,0,70,80,9258.666666666666,9770.666666666666
