# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,540540
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,50,80,192,240
1,0,62,80,192,240
1,0,63,80,240,288
2,0,53,80,288,336
1,0,65,80,288,336
1,0,63,80,336,384
2,0,39,80,384,472
2,0,39,80,384,560
2,0,51,80,384,472
1,0,60,80,480,520
1,0,63,80,480,520
1,0,66,80,480,520
1,0,69,80,480,520
1,0,72,80,480,520
1,0,75,80,480,520
1,0,78,80,480,520
1,0,81,80,480,520
1,0,60,80,576,616
1,0,63,80,576,616
1,0,66,80,576,616
1,0,69,80,576,616
1,0,72,80,576,616
1,0,75,80,576,616
1,0,78,80,576,616
1,0,81,80,576,616
1,0,61,80,672,712
1,0,63,80,672,712
1,0,67,80,672,712
1,0,70,80,672,712
1,0,73,80,672,712
1,0,75,80,672,712
1,0,79,80,672,712
1,0,82,80,672,712
1,0,61,80,768,960
1,0,63,80,768,960
1,0,67,80,768,960
1,0,70,80,768,960
1,0,73,80,768,960
1,0,75,80,768,960
1,0,79,80,768,960
1,0,82,80,768,960
2,0,50,80,960,1008
1,0,62,80,960,1008
1,0,63,80,1008,1032
2,0,53,80,1056,1104
1,0,65,80,1056,1104
1,0,63,80,1104,1128
2,0,39,80,1152,1240
2,0,39,80,1152,1416
2,0,51,80,1152,1240
2,0,57,80,1248,1288
1,0,60,80,1248,1288
1,0,63,80,1248,1288
1,0,66,80,1248,1288
1,0,72,80,1248,1288
1,0,78,80,1248,1288
1,0,81,80,1248,1288
1,0,84,80,1248,1288
2,0,57,80,1344,1384
1,0,60,80,1344,1384
1,0,63,80,1344,1384
1,0,66,80,1344,1384
1,0,72,80,1344,1384
1,0,78,80,1344,1384
1,0,81,80,1344,1384
1,0,84,80,1344,1384
2,0,58,80,1440,1480
1,0,61,80,1440,1480
1,0,63,80,1440,1480
1,0,67,80,1440,1480
1,0,73,80,1440,1480
1,0,79,80,1440,1480
1,0,82,80,1440,1480
1,0,85,80,1440,1480
2,0,58,80,1536,1728
1,0,61,80,1536,1728
1,0,63,80,1536,1728
1,0,67,80,1536,1728
1,0,73,80,1536,1728
1,0,79,80,1536,1728
1,0,82,80,1536,1728
1,0,85,80,1536,1728
1,0,74,80,1728,1776
1,0,86,80,1728,1776
1,0,87,80,1776,1824
1,0,77,80,1824,1872
1,0,89,80,1824,1872
1,0,87,80,1872,1920
1,0,69,80,1920,1968
1,0,81,80,1920,1968
1,0,82,80,1968,2016
1,0,72,80,2016,2064
1,0,84,80,2016,2064
1,0,82,80,2064,2112
1,0,62,80,2112,2160
1,0,74,80,2112,2160
1,0,75,80,2160,2208
1,0,65,80,2208,2256
1,0,77,80,2208,2256
1,0,75,80,2256,2304
2,0,57,80,2304,2352
1,0,69,80,2304,2352
1,0,70,80,2352,2400
1,0,60,80,2400,2448
1,0,72,80,2400,2448
1,0,70,80,2448,2496
2,0,50,80,2496,2544
1,0,62,80,2496,2544
1,0,63,80,2544,2592
2,0,53,80,2592,2640
1,0,65,80,2592,2640
1,0,63,80,2640,2688
2,0,45,80,2688,2736
2,0,57,80,2688,2736
2,0,58,80,2736,2784
2,0,48,80,2784,2832
1,0,60,80,2784,2832
2,0,58,80,2832,2880
2,0,38,80,2880,2928
2,0,50,80,2880,2928
2,0,51,80,2928,2976
2,0,41,80,2976,3024
2,0,53,80,2976,3024
2,0,51,80,3024,3072
2,0,38,80,3072,3120
2,0,50,80,3072,3120
2,0,51,80,3120,3168
2,0,41,80,3168,3216
2,0,53,80,3168,3216
2,0,51,80,3216,3264
2,0,38,80,3264,3312
2,0,50,80,3264,3312
2,0,51,80,3312,3360
2,0,41,80,3360,3408
2,0,53,80,3360,3408
2,0,51,80,3408,3456
2,0,38,80,3456,3504
2,0,50,80,3456,3504
2,0,51,80,3504,3552
2,0,41,80,3552,3600
2,0,53,80,3552,3600
2,0,51,80,3600,3648
2,0,38,80,3648,3696
2,0,50,80,3648,3696
2,0,51,80,3696,3744
2,0,41,80,3744,3792
2,0,53,80,3744,3792
2,0,51,80,3792,3840
2,0,38,80,3840,3888
2,0,50,80,3840,3888
2,0,51,80,3888,3936
2,0,41,80,3936,3984
2,0,53,80,3936,3984
2,0,51,80,3984,4032
2,0,38,80,4032,4080
2,0,50,80,4032,4080
2,0,51,80,4080,4128
2,0,41,80,4128,4176
2,0,53,80,4128,4176
2,0,51,80,4176,4224
2,0,38,80,4224,4272
2,0,50,80,4224,4272
2,0,51,80,4272,4320
2,0,41,80,4320,4368
2,0,53,80,4320,4368
2,0,51,80,4368,4416
2,0,38,80,4416,4464
2,0,50,80,4416,4464
2,0,51,80,4464,4512
2,0,41,80,4512,4560
2,0,53,80,4512,4560
2,0,51,80,4560,4608
2,0,32,80,4608,4648
2,0,44,80,4608,4648
2,0,51,80,4704,4744
2,0,56,80,4704,4744
1,0,60,80,4704,4744
1,0,63,80,4704,4744
2,0,39,80,4800,4840
2,0,56,80,4800,4840
1,0,60,80,4800,4840
1,0,63,80,4800,4840
2,0,51,80,4896,4936
2,0,56,80,4896,4936
1,0,60,80,4896,4936
1,0,65,80,4896,4936
2,0,46,80,4992,5080
2,0,46,80,4992,5168
2,0,55,80,4992,5168
1,0,61,80,4992,5088
1,0,65,80,4992,5088
2,0,51,80,5088,5176
1,0,63,80,5088,5176
2,0,38,80,5184,5232
2,0,50,80,5184,5232
2,0,51,80,5232,5280
2,0,41,80,5280,5328
2,0,53,80,5280,5328
2,0,51,80,5328,5376
2,0,34,80,5376,5416
2,0,46,80,5376,5416
2,0,51,80,5472,5512
2,0,55,80,5472,5560
