# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,55,80,0,1536
1,0,74,80,768,1536
2,0,54,80,1536,2304
1,0,74,80,1920,2304
2,0,55,80,2304,3072
1,0,70,80,2304,2496
1,0,67,80,2496,2688
1,0,79,80,2688,3072
2,0,50,80,3072,4608
1,0,79,80,3072,3456
1,0,78,80,3456,3648
1,0,76,80,3648,3840
1,0,78,80,3840,4032
1,0,79,80,4032,4416
1,0,78,80,4416,4608
2,0,51,80,4608,5760
1,0,79,80,4608,5760
2,0,46,80,5760,6144
1,0,77,80,5760,5952
1,0,75,80,5952,6144
2,0,46,80,6144,6912
1,0,74,80,6144,6720
1,0,74,80,6720,6912
2,0,41,80,6912,7680
1,0,72,80,6912,7488
1,0,70,80,7488,7680
2,0,46,80,7680,9216
1,0,70,80,7680,9216
2,0,46,80,9216,9600
1,0,74,80,9216,9792
2,0,46,80,9600,9984
1,0,74,80,9792,9984
2,0,45,80,9984,10176
1,0,72,80,9984,10368
2,0,43,80,10176,10368
2,0,42,80,10368,10752
1,0,74,80,10368,10560
1,0,72,80,10560,10752
2,0,43,80,10752,12288
1,0,70,80,10752,11328
1,0,67,80,11328,11520
1,0,79,80,11520,12288
2,0,51,80,12288,13056
1,0,79,80,12288,12864
1,0,79,80,12864,13056
2,0,50,80,13056,13440
1,0,77,80,13056,13440
2,0,46,80,13440,13824
1,0,74,80,13440,13824
2,0,53,80,13824,14208
1,0,72,80,13824,14400
2,0,41,80,14208,14592
1,0,77,80,14400,14592
2,0,46,80,14592,15360
1,0,77,80,14592,15360
2,0,46,80,15360,15936
1,0,74,80,15360,15936
2,0,46,80,15936,16128
1,0,74,80,15936,16128
2,0,41,80,16128,16896
1,0,72,80,16128,16512
1,0,77,80,16512,16896
2,0,46,80,16896,17088
1,0,74,80,16896,17280
2,0,45,80,17088,17280
2,0,43,80,17280,17664
1,0,77,80,17280,17664
2,0,41,80,17664,18432
1,0,77,80,17664,18432
2,0,46,80,18432,18816
1,0,74,80,18432,18816
2,0,45,80,18816,19008
1,0,72,80,18816,19008
2,0,43,80,19008,19200
1,0,70,80,19008,19200
2,0,42,80,19200,19584
1,0,69,80,19200,19584
2,0,43,80,19584,19968
1,0,70,80,19584,19968
2,0,50,80,19968,20736
1,0,69,80,19968,20544
1,0,67,80,20544,20736
2,0,43,80,20736,21504
1,0,67,80,20736,21504
