# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,454545
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,65,80,1056,1144
1,0,65,80,1152,1240
1,0,65,80,1248,1336
1,0,65,80,1344,1432
1,0,65,80,1440,1528
1,0,65,80,1536,1584
1,0,67,80,1584,1632
1,0,65,80,1632,1680
1,0,64,80,1680,1728
1,0,65,80,1728,1816
1,0,65,80,1824,1912
1,0,65,80,1920,2008
1,0,65,80,2016,2104
1,0,65,80,2112,2200
1,0,65,80,2208,2296
2,0,50,80,2304,2496
2,0,53,80,2304,2496
2,0,58,80,2304,2496
1,0,62,80,2304,2496
1,0,65,80,2304,2480
1,0,70,80,2304,2480
1,0,65,80,2592,2680
1,0,65,80,2688,2776
1,0,65,80,2784,2872
1,0,65,80,2880,2968
1,0,65,80,2976,3064
1,0,65,80,3072,3120
1,0,67,80,3120,3168
1,0,65,80,3168,3216
1,0,64,80,3216,3264
1,0,65,80,3264,3352
1,0,65,80,3360,3448
1,0,65,80,3456,3544
1,0,65,80,3552,3640
1,0,65,80,3648,3736
1,0,65,80,3744,3832
2,0,48,80,3840,4032
2,0,53,80,3840,4032
2,0,57,80,3840,4032
1,0,60,80,3840,4032
1,0,65,80,3840,4016
1,0,69,80,3840,4016
1,0,65,80,4128,4216
1,0,65,80,4224,4312
1,0,65,80,4320,4408
1,0,65,80,4416,4504
1,0,65,80,4512,4600
1,0,65,80,4608,4656
1,0,67,80,4656,4704
1,0,65,80,4704,4752
1,0,64,80,4752,4800
1,0,65,80,4800,4888
1,0,77,80,4896,4984
1,0,77,80,4992,5080
2,0,53,80,5088,5184
2,0,57,80,5088,5184
1,0,77,80,5088,5176
2,0,55,80,5184,5280
2,0,58,80,5184,5280
1,0,77,80,5184,5272
2,0,57,80,5280,5376
1,0,60,80,5280,5376
1,0,77,80,5280,5368
2,0,58,80,5376,5568
1,0,62,80,5376,5568
1,0,67,80,5376,5424
1,0,69,80,5424,5472
1,0,67,80,5472,5520
1,0,66,80,5520,5568
1,0,67,80,5568,5656
1,0,74,80,5664,5752
1,0,74,80,5760,5848
2,0,55,80,5856,5952
2,0,58,80,5856,5952
1,0,74,80,5856,5944
2,0,53,80,5952,6048
2,0,57,80,5952,6048
1,0,74,80,5952,6040
2,0,52,80,6048,6144
2,0,55,80,6048,6144
1,0,74,80,6048,6136
2,0,53,80,6144,6336
2,0,57,80,6144,6336
1,0,72,80,6144,6232
1,0,69,80,6240,6328
2,0,46,80,6336,6528
2,0,58,80,6336,6528
1,0,62,80,6336,6424
1,0,67,80,6336,6424
1,0,70,80,6432,6520
2,0,48,80,6528,6720
2,0,57,80,6528,6720
1,0,60,80,6528,6896
1,0,65,80,6528,6704
2,0,48,80,6720,6912
2,0,52,80,6720,6912
1,0,67,80,6720,6896
2,0,41,80,6912,7104
2,0,53,80,6912,7104
1,0,64,80,6912,7088
1,0,68,80,6912,7088
1,0,65,80,7104,7280
1,0,69,80,7104,7280
2,0,41,80,7200,7296
2,0,41,80,7296,7392
2,0,41,80,7392,7488
1,0,69,80,7392,7480
2,0,41,80,7488,7584
1,0,74,80,7488,7576
2,0,41,80,7584,7680
1,0,72,80,7584,7672
2,0,55,80,7680,7704
1,0,67,80,7680,7856
1,0,71,80,7680,7856
2,0,53,80,7704,7728
2,0,52,80,7728,7776
2,0,53,80,7776,7824
2,0,55,80,7824,7872
2,0,52,80,7872,7968
1,0,72,80,7872,8048
2,0,46,80,7968,8064
2,0,46,80,8064,8160
2,0,46,80,8160,8256
1,0,73,80,8160,8248
2,0,46,80,8256,8352
1,0,74,80,8256,8344
2,0,46,80,8352,8448
1,0,70,80,8352,8440
1,0,60,80,8448,8472
1,0,64,80,8448,8624
1,0,67,80,8448,8624
2,0,58,80,8472,8496
2,0,57,80,8496,8544
2,0,58,80,8544,8592
1,0,60,80,8592,8640
2,0,57,80,8640,8832
1,0,65,80,8640,8728
1,0,69,80,8640,8728
1,0,65,80,8736,8824
1,0,77,80,8832,8920
2,0,53,80,8928,9024
2,0,57,80,8928,9024
1,0,77,80,8928,9016
2,0,55,80,9024,9120
2,0,58,80,9024,9120
1,0,77,80,9024,9112
2,0,57,80,9120,9216
1,0,60,80,9120,9216
1,0,77,80,9120,9208
2,0,58,80,9216,9408
1,0,62,80,9216,9408
1,0,67,80,9216,9304
1,0,69,80,9312,9336
1,0,67,80,9336,9360
1,0,66,80,9360,9384
1,0,67,80,9384,9408
1,0,70,80,9408,9496
1,0,74,80,9504,9592
2,0,48,80,9600,9792
2,0,57,80,9600,9792
1,0,74,80,9600,9688
1,0,72,80,9696,9784
2,0,48,80,9792,9984
2,0,55,80,9792,9984
1,0,72,80,9792,9880
1,0,64,80,9888,9976
2,0,57,80,9984,10080
1,0,65,80,9984,10512
2,0,53,80,10080,10176
2,0,57,80,10176,10272
2,0,53,80,10272,10368
2,0,57,80,10368,10464
2,0,53,80,10464,10560
1,0,60,80,10560,10656
1,0,69,80,10560,10696
2,0,53,80,10656,10752
1,0,69,80,10704,10752
2,0,57,80,10752,10848
1,0,65,80,10752,10928
2,0,53,80,10848,10944
1,0,60,80,10944,11040
1,0,69,80,10944,11080
2,0,53,80,11040,11136
1,0,69,80,11088,11136
2,0,57,80,11136,11232
1,0,65,80,11136,11312
2,0,53,80,11232,11328
1,0,60,80,11328,11424
1,0,69,80,11328,11464
2,0,53,80,11424,11520
1,0,69,80,11472,11520
2,0,58,80,11520,11616
1,0,67,80,11520,11568
1,0,66,80,11568,11616
2,0,53,80,11616,11712
1,0,67,80,11616,11664
1,0,69,80,11664,11712
1,0,62,80,11712,11808
1,0,70,80,11712,11888
2,0,53,80,11808,11904
1,0,62,80,11904,12000
2,0,53,80,12000,12096
2,0,58,80,12096,12192
1,0,67,80,12096,12232
2,0,53,80,12192,12288
1,0,67,80,12240,12288
2,0,55,80,12288,12384
1,0,60,80,12288,12424
2,0,53,80,12384,12480
1,0,60,80,12432,12480
2,0,58,80,12480,12576
1,0,64,80,12480,12616
2,0,53,80,12576,12672
1,0,64,80,12624,12672
2,0,55,80,12672,12768
1,0,60,80,12672,12808
2,0,53,80,12768,12864
1,0,60,80,12816,12864
2,0,58,80,12864,12960
1,0,64,80,12864,13000
2,0,53,80,12960,13056
1,0,64,80,13008,13056
2,0,57,80,13056,13152
1,0,67,80,13056,13080
1,0,65,80,13080,13104
1,0,64,80,13104,13128
1,0,65,80,13128,13240
2,0,53,80,13152,13248
1,0,60,80,13248,13344
1,0,69,80,13248,13424
2,0,53,80,13344,13440
1,0,60,80,13440,13536
2,0,53,80,13536,13632
1,0,60,80,13632,13728
1,0,69,80,13632,13720
2,0,53,80,13728,13824
1,0,81,80,13728,13816
2,0,57,80,13824,13920
1,0,65,80,13824,13912
2,0,53,80,13920,14016
1,0,77,80,13920,14008
1,0,60,80,14016,14112
1,0,69,80,14016,14104
2,0,53,80,14112,14208
1,0,81,80,14112,14200
2,0,57,80,14208,14304
1,0,65,80,14208,14296
2,0,53,80,14304,14400
1,0,77,80,14304,14392
1,0,60,80,14400,14496
1,0,69,80,14400,14488
2,0,53,80,14496,14592
1,0,81,80,14496,14584
2,0,58,80,14592,14688
1,0,67,80,14592,14640
1,0,79,80,14640,14688
2,0,53,80,14688,14784
1,0,66,80,14688,14736
1,0,78,80,14736,14784
1,0,62,80,14784,14880
1,0,67,80,14784,14832
1,0,79,80,14832,14880
2,0,53,80,14880,14976
1,0,69,80,14880,14928
1,0,81,80,14928,14976
1,0,62,80,14976,15072
1,0,70,80,14976,15064
2,0,53,80,15072,15168
1,0,82,80,15072,15160
2,0,58,80,15168,15264
1,0,67,80,15168,15256
2,0,53,80,15264,15360
1,0,79,80,15264,15352
2,0,55,80,15360,15456
1,0,60,80,15360,15448
2,0,53,80,15456,15552
1,0,72,80,15456,15544
2,0,58,80,15552,15648
1,0,64,80,15552,15640
2,0,53,80,15648,15744
1,0,76,80,15648,15736
2,0,55,80,15744,15840
1,0,60,80,15744,15832
2,0,53,80,15840,15936
1,0,72,80,15840,15928
2,0,58,80,15936,16032
1,0,64,80,15936,16024
2,0,53,80,16032,16128
1,0,76,80,16032,16120
2,0,53,80,16128,16320
2,0,57,80,16128,16320
1,0,65,80,16128,16216
1,0,77,80,16224,16272
1,0,78,80,16272,16320
1,0,79,80,16320,16368
1,0,77,80,16368,16416
1,0,76,80,16416,16464
1,0,74,80,16464,16512
2,0,52,80,16512,16704
1,0,60,80,16512,16704
1,0,72,80,16512,16560
1,0,71,80,16560,16608
1,0,72,80,16608,16656
1,0,74,80,16656,16704
1,0,72,80,16704,16752
1,0,70,80,16752,16800
1,0,69,80,16800,16848
1,0,67,80,16848,16896
2,0,53,80,16896,17088
2,0,57,80,16896,17088
1,0,65,80,16896,16984
1,0,65,80,16992,17040
1,0,66,80,17040,17088
1,0,67,80,17088,17136
1,0,65,80,17136,17184
1,0,64,80,17184,17232
1,0,62,80,17232,17280
2,0,40,80,17280,17472
2,0,52,80,17280,17472
1,0,60,80,17280,17328
2,0,59,80,17328,17376
1,0,60,80,17376,17424
1,0,62,80,17424,17472
1,0,60,80,17472,17520
2,0,58,80,17520,17568
2,0,57,80,17568,17616
2,0,55,80,17616,17664
2,0,41,80,17664,17856
2,0,48,80,17664,17856
2,0,57,80,17664,17712
2,0,53,80,17712,17760
2,0,55,80,17760,17808
2,0,57,80,17808,17856
2,0,58,80,17856,17904
1,0,60,80,17904,17952
1,0,62,80,17952,18000
