# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,833333
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,69,80,0,96
2,0,57,80,96,288
1,0,60,80,96,480
1,0,64,80,96,480
1,0,69,80,96,576
2,0,52,80,288,480
2,0,45,80,480,864
1,0,69,80,576,672
1,0,71,80,672,768
1,0,72,80,768,864
2,0,56,80,864,1056
1,0,71,80,864,1344
2,0,54,80,1056,1248
2,0,56,80,1248,1440
1,0,76,80,1344,1440
2,0,52,80,1440,1632
1,0,74,80,1440,1536
1,0,76,80,1536,1632
2,0,57,80,1632,1824
1,0,72,80,1728,1824
2,0,55,80,1824,2016
1,0,74,80,1824,1920
1,0,76,80,1920,2016
2,0,53,80,2016,2208
1,0,77,80,2016,2112
1,0,68,80,2112,2208
2,0,50,80,2208,2400
1,0,69,80,2208,2304
1,0,71,80,2304,2400
2,0,52,80,2400,2592
1,0,68,80,2400,2976
2,0,40,80,2592,2784
2,0,52,80,2784,2976
2,0,50,80,2976,3168
1,0,76,80,2976,3072
1,0,74,80,3072,3168
2,0,49,80,3168,3360
1,0,76,80,3168,3264
1,0,69,80,3264,3360
2,0,52,80,3360,3552
1,0,67,80,3360,3456
1,0,69,80,3456,3552
2,0,57,80,3552,3744
1,0,64,80,3552,3648
1,0,67,80,3648,3744
2,0,45,80,3744,3936
1,0,65,80,3744,3840
1,0,64,80,3840,3936
2,0,50,80,3936,4032
1,0,65,80,3936,4416
2,0,53,80,4032,4128
2,0,57,80,4128,4224
2,0,53,80,4224,4320
2,0,50,80,4320,4512
1,0,69,80,4416,4512
2,0,48,80,4512,4704
1,0,71,80,4512,4608
1,0,72,80,4608,4704
2,0,47,80,4704,4896
1,0,74,80,4704,4800
1,0,67,80,4800,4896
2,0,50,80,4896,5088
1,0,65,80,4896,4992
1,0,67,80,4992,5088
2,0,55,80,5088,5280
1,0,62,80,5088,5184
1,0,67,80,5184,5280
2,0,43,80,5280,5472
1,0,64,80,5280,5376
1,0,62,80,5376,5472
2,0,48,80,5472,5568
1,0,64,80,5472,5952
2,0,52,80,5568,5664
2,0,55,80,5664,5760
2,0,52,80,5760,5856
2,0,48,80,5856,6240
1,0,72,80,5952,6048
1,0,74,80,6048,6144
1,0,76,80,6144,6240
2,0,47,80,6240,6432
1,0,74,80,6240,6336
1,0,79,80,6336,6432
2,0,59,80,6432,6624
1,0,77,80,6432,6528
1,0,79,80,6528,6624
2,0,57,80,6624,6816
1,0,72,80,6624,6720
1,0,77,80,6720,6816
2,0,55,80,6816,7008
1,0,71,80,6816,6912
1,0,76,80,6912,7008
2,0,53,80,7008,7200
1,0,69,80,7008,7104
1,0,74,80,7104,7200
2,0,54,80,7200,7392
1,0,72,80,7200,7296
1,0,74,80,7296,7392
2,0,55,80,7392,7584
1,0,71,80,7392,7488
1,0,67,80,7488,7584
2,0,52,80,7584,7776
1,0,69,80,7584,7680
1,0,71,80,7680,7776
2,0,53,80,7776,7968
1,0,69,80,7776,7872
1,0,71,80,7872,7968
2,0,50,80,7968,8160
1,0,72,80,7968,8064
1,0,74,80,8064,8160
2,0,55,80,8160,8352
1,0,71,80,8160,8448
2,0,43,80,8352,8544
1,0,72,80,8448,8544
2,0,48,80,8544,8640
1,0,64,80,8544,9120
1,0,67,80,8544,9120
1,0,72,80,8544,9120
2,0,55,80,8640,8736
2,0,60,80,8736,8832
2,0,59,80,8832,8928
2,0,60,80,8928,9024
2,0,59,80,9024,9120
2,0,57,80,9120,9216
1,0,72,80,9120,9216
2,0,55,80,9216,9312
1,0,71,80,9216,9312
2,0,57,80,9312,9504
1,0,69,80,9312,9408
1,0,67,80,9408,9504
2,0,60,80,9504,9696
1,0,66,80,9504,9600
1,0,64,80,9600,9696
2,0,59,80,9696,9792
1,0,63,80,9696,9792
1,0,59,80,9792,9888
