# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,652173
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,74,80,0,192
2,0,55,80,192,384
1,0,70,80,192,384
2,0,57,80,384,576
1,0,67,80,384,576
2,0,58,80,576,768
1,0,74,80,576,768
2,0,60,80,768,960
1,0,70,80,768,960
1,0,79,80,768,960
2,0,62,80,960,1152
1,0,69,80,960,1152
1,0,78,80,960,1152
2,0,60,80,1152,1344
1,0,76,80,1152,1344
2,0,58,80,1344,1536
1,0,74,80,1344,1440
1,0,79,80,1440,1536
2,0,55,80,1536,1728
1,0,78,80,1536,1632
1,0,79,80,1632,1728
2,0,60,80,1728,1920
1,0,75,80,1728,1824
1,0,74,80,1824,1920
2,0,57,80,1920,2112
1,0,72,80,1920,2016
1,0,70,80,2016,2112
2,0,62,80,2112,2304
1,0,66,80,2112,2496
1,0,69,80,2112,2208
1,0,74,80,2208,2304
2,0,50,80,2304,2496
1,0,72,80,2304,2400
1,0,74,80,2400,2496
2,0,55,80,2496,2880
1,0,70,80,2496,2688
1,0,67,80,2688,2880
2,0,55,80,2880,3072
1,0,70,80,2880,3072
1,0,74,80,2880,3072
2,0,57,80,3072,3264
1,0,69,80,3072,3264
1,0,74,80,3072,3264
2,0,58,80,3264,3648
1,0,67,80,3264,3648
1,0,74,80,3264,3456
1,0,72,80,3456,3552
1,0,70,80,3552,3648
2,0,58,80,3648,3840
1,0,74,80,3648,3840
1,0,77,80,3648,3840
2,0,60,80,3840,4032
1,0,72,80,3840,4032
1,0,77,80,3840,4032
2,0,62,80,4032,4608
1,0,70,80,4032,4416
1,0,77,80,4032,4224
1,0,75,80,4224,4320
1,0,74,80,4320,4416
1,0,82,80,4416,4704
2,0,62,80,4608,4800
1,0,81,80,4704,4800
2,0,63,80,4800,5088
1,0,79,80,4800,4896
1,0,81,80,4896,4992
1,0,79,80,4992,5088
2,0,62,80,5088,5184
1,0,77,80,5088,5184
2,0,60,80,5184,5376
1,0,75,80,5184,5280
1,0,74,80,5280,5376
2,0,51,80,5376,5568
1,0,72,80,5376,5472
1,0,70,80,5472,5568
2,0,53,80,5568,6144
1,0,69,80,5568,5664
1,0,65,80,5664,5760
1,0,67,80,5760,5856
1,0,69,80,5856,5952
1,0,70,80,5952,6048
1,0,72,80,6048,6144
2,0,51,80,6144,6336
1,0,74,80,6144,6240
1,0,75,80,6240,6336
2,0,50,80,6336,6528
1,0,77,80,6336,6528
2,0,51,80,6528,6720
1,0,70,80,6528,6720
1,0,79,80,6528,6720
2,0,53,80,6720,6912
1,0,70,80,6720,6912
1,0,74,80,6720,6912
2,0,41,80,6912,7104
1,0,69,80,6912,7008
1,0,72,80,6912,7008
1,0,70,80,7008,7104
2,0,46,80,7104,7200
1,0,70,80,7104,7392
2,0,53,80,7200,7296
2,0,55,80,7296,7392
2,0,57,80,7392,7488
1,0,72,80,7392,7488
2,0,58,80,7488,7680
1,0,74,80,7488,7680
2,0,55,80,7680,7872
1,0,70,80,7680,7872
1,0,75,80,7680,7872
2,0,57,80,7872,8064
1,0,72,80,7872,8064
2,0,54,80,8064,8256
1,0,69,80,8064,8256
1,0,74,80,8064,8256
2,0,55,80,8256,8448
1,0,67,80,8256,8640
1,0,70,80,8256,8544
2,0,48,80,8448,8640
1,0,69,80,8544,8640
2,0,50,80,8640,8832
1,0,66,80,8640,9024
1,0,69,80,8640,9024
2,0,48,80,8832,9024
2,0,46,80,9024,9216
1,0,67,80,9024,9408
1,0,74,80,9024,9216
2,0,43,80,9216,9408
1,0,76,80,9216,9312
1,0,77,80,9312,9408
2,0,48,80,9408,9600
1,0,67,80,9408,9600
1,0,76,80,9408,9600
2,0,46,80,9600,9792
1,0,74,80,9600,9792
1,0,78,80,9600,9696
1,0,79,80,9696,9792
2,0,45,80,9792,9984
1,0,72,80,9792,9984
1,0,78,80,9792,9984
2,0,43,80,9984,10176
1,0,70,80,9984,10176
1,0,79,80,9984,10176
2,0,50,80,10176,10752
