# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,535714
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,50,80,0,384
2,0,57,80,0,384
1,0,62,80,0,340
1,0,66,80,0,340
1,0,71,80,340,361
1,0,69,80,362,383
2,0,52,80,384,576
2,0,57,80,384,576
1,0,61,80,384,576
1,0,67,80,384,576
2,0,51,80,672,768
2,0,57,80,672,768
1,0,61,80,672,768
1,0,66,80,672,768
2,0,52,80,768,1152
2,0,57,80,768,1152
1,0,61,80,768,1152
1,0,67,80,768,1152
2,0,55,80,1152,1536
2,0,57,80,1152,1536
1,0,61,80,1152,1536
1,0,71,80,1152,1536
2,0,54,80,1536,1728
2,0,57,80,1536,1728
1,0,62,80,1536,2304
1,0,69,80,1536,2304
2,0,53,80,1824,1920
2,0,57,80,1824,1920
2,0,54,80,1920,2304
2,0,57,80,1920,2304
2,0,54,80,2304,2688
2,0,57,80,2304,2688
1,0,69,80,2304,2688
1,0,74,80,2304,2688
2,0,52,80,2688,2880
2,0,57,80,2688,2880
1,0,67,80,2688,2880
1,0,73,80,2688,2880
2,0,50,80,2976,3072
2,0,57,80,2976,3072
1,0,66,80,2976,3072
1,0,71,80,2976,3072
2,0,49,80,3072,3456
2,0,57,80,3072,3456
1,0,64,80,3072,3456
1,0,69,80,3072,3456
2,0,45,80,3456,3840
2,0,57,80,3456,3840
1,0,67,80,3456,3840
1,0,69,80,3456,3840
1,0,79,80,3456,3840
2,0,50,80,3840,4032
2,0,57,80,3840,4032
1,0,66,80,3840,4032
1,0,74,80,3840,4032
1,0,78,80,3840,4032
2,0,52,80,4128,4224
2,0,57,80,4128,4224
1,0,67,80,4128,4224
1,0,73,80,4128,4224
1,0,76,80,4128,4224
2,0,54,80,4224,4608
2,0,57,80,4224,4608
1,0,69,80,4224,4608
1,0,74,80,4224,4608
2,0,50,80,4608,4992
2,0,57,80,4608,4992
1,0,62,80,4608,4948
1,0,66,80,4608,4948
1,0,71,80,4948,4969
1,0,69,80,4970,4991
2,0,52,80,4992,5184
2,0,57,80,4992,5184
1,0,61,80,4992,5184
1,0,67,80,4992,5184
2,0,51,80,5280,5376
2,0,57,80,5280,5376
1,0,61,80,5280,5376
1,0,66,80,5280,5376
2,0,52,80,5376,5760
2,0,57,80,5376,5760
1,0,61,80,5376,5760
1,0,67,80,5376,5760
2,0,55,80,5760,6144
2,0,57,80,5760,6144
1,0,61,80,5760,6144
1,0,71,80,5760,6144
2,0,54,80,6144,6336
2,0,57,80,6144,6336
1,0,62,80,6144,6912
1,0,69,80,6144,6912
2,0,53,80,6432,6528
2,0,57,80,6432,6528
2,0,54,80,6528,6912
2,0,57,80,6528,6912
2,0,54,80,6912,7296
2,0,57,80,6912,7104
1,0,69,80,6912,7296
1,0,74,80,6912,7200
2,0,59,80,7104,7296
1,0,73,80,7200,7296
2,0,52,80,7296,7680
2,0,61,80,7296,7488
1,0,69,80,7296,8064
1,0,73,80,7296,7488
2,0,62,80,7488,7680
1,0,74,80,7488,7680
2,0,64,80,7680,7872
1,0,76,80,7680,7872
2,0,66,80,7872,8064
1,0,78,80,7872,8064
2,0,64,80,8064,8832
2,0,66,80,8064,8352
1,0,74,80,8064,8448
1,0,78,80,8064,8352
2,0,68,80,8352,8448
1,0,80,80,8352,8448
2,0,68,80,8448,8832
1,0,74,80,8448,8832
1,0,80,80,8448,8832
2,0,57,80,8832,9216
