# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,750000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,34,80,0,768
2,0,46,80,0,768
1,0,62,80,384,768
1,0,86,80,384,768
1,0,62,80,768,1152
1,0,86,80,768,1152
2,0,46,80,1152,1536
2,0,58,80,1152,1536
1,0,65,80,1152,1248
1,0,89,80,1152,1248
1,0,63,80,1248,1344
1,0,87,80,1248,1344
1,0,62,80,1344,1440
1,0,86,80,1344,1440
1,0,63,80,1440,1536
1,0,87,80,1440,1536
2,0,46,80,1536,1920
2,0,58,80,1536,1920
1,0,62,80,1536,2112
1,0,86,80,1536,2112
2,0,50,80,1920,2304
1,0,62,80,1920,2304
2,0,58,80,2112,2304
1,0,82,80,2112,2304
2,0,46,80,2304,3072
2,0,58,80,2304,3072
1,0,67,80,2304,2496
1,0,91,80,2304,2496
1,0,62,80,2496,2688
1,0,86,80,2496,2688
1,0,70,80,2688,2880
1,0,94,80,2688,2880
1,0,62,80,2880,3072
1,0,86,80,2880,3072
2,0,46,80,3072,3456
2,0,58,80,3072,3456
1,0,64,80,3072,3264
1,0,88,80,3072,3264
1,0,60,80,3264,3360
1,0,84,80,3264,3360
2,0,55,80,3360,3456
1,0,79,80,3360,3456
2,0,44,80,3456,3648
2,0,48,80,3456,3648
2,0,56,80,3456,3648
1,0,72,80,3456,3648
2,0,43,80,3648,3840
2,0,55,80,3648,3840
1,0,60,80,3648,3840
1,0,84,80,3648,3840
2,0,44,80,3840,4992
2,0,56,80,3840,4992
1,0,65,80,3840,4032
1,0,89,80,3840,4032
1,0,60,80,4032,4224
1,0,84,80,4032,4224
1,0,68,80,4224,4416
1,0,92,80,4224,4416
1,0,60,80,4416,4608
1,0,84,80,4416,4608
1,0,62,80,4608,4800
1,0,86,80,4608,4800
2,0,58,80,4800,4896
1,0,82,80,4800,4896
2,0,53,80,4896,4992
1,0,77,80,4896,4992
2,0,43,80,4992,5184
2,0,46,80,4992,5184
2,0,55,80,4992,5184
1,0,70,80,4992,5184
2,0,41,80,5184,5376
2,0,53,80,5184,5376
2,0,58,80,5184,5376
1,0,82,80,5184,5376
2,0,43,80,5376,5760
2,0,55,80,5376,5760
1,0,63,80,5376,5568
1,0,87,80,5376,5568
2,0,58,80,5568,5760
1,0,82,80,5568,5760
1,0,67,80,5760,5952
1,0,91,80,5760,5952
2,0,58,80,5952,6144
1,0,82,80,5952,6144
2,0,45,80,6144,6528
2,0,57,80,6144,6528
1,0,60,80,6144,6336
1,0,84,80,6144,6336
2,0,53,80,6336,6528
1,0,77,80,6336,6528
1,0,63,80,6528,6720
1,0,87,80,6528,6720
1,0,60,80,6720,6912
1,0,84,80,6720,6912
2,0,46,80,6912,7296
2,0,58,80,6912,7296
1,0,62,80,6912,7104
1,0,86,80,6912,7104
2,0,58,80,7104,7296
1,0,82,80,7104,7296
2,0,34,80,7296,7680
2,0,46,80,7296,7680
1,0,65,80,7296,7488
1,0,89,80,7296,7488
2,0,58,80,7488,7680
1,0,82,80,7488,7680
2,0,41,80,7680,8064
2,0,53,80,7680,8064
1,0,60,80,7680,7776
1,0,84,80,7680,7776
2,0,58,80,7776,7872
1,0,82,80,7776,7872
2,0,57,80,7872,7968
1,0,81,80,7872,7968
2,0,55,80,7968,8064
1,0,79,80,7968,8064
2,0,45,80,8064,8448
2,0,53,80,8064,8256
2,0,57,80,8064,8448
1,0,77,80,8064,8256
1,0,60,80,8256,8448
1,0,84,80,8256,8448
2,0,41,80,8448,9600
2,0,53,80,8448,9600
1,0,63,80,8448,8640
1,0,87,80,8448,8640
1,0,60,80,8640,8832
1,0,84,80,8640,8832
1,0,69,80,8832,9024
1,0,93,80,8832,9024
1,0,60,80,9024,9216
1,0,84,80,9024,9216
1,0,62,80,9216,9312
1,0,86,80,9216,9312
1,0,60,80,9312,9408
1,0,84,80,9312,9408
2,0,58,80,9408,9504
1,0,82,80,9408,9504
2,0,57,80,9504,9600
1,0,81,80,9504,9600
2,0,50,80,9600,9984
2,0,58,80,9600,9792
1,0,62,80,9600,9984
1,0,82,80,9600,9792
1,0,62,80,9792,9984
1,0,86,80,9792,9984
2,0,41,80,9984,11136
2,0,53,80,9984,11136
1,0,65,80,9984,10176
1,0,89,80,9984,10176
1,0,62,80,10176,10368
1,0,86,80,10176,10368
1,0,70,80,10368,10560
1,0,94,80,10368,10560
1,0,62,80,10560,10752
1,0,86,80,10560,10752
1,0,63,80,10752,10848
1,0,87,80,10752,10848
1,0,62,80,10848,10944
1,0,86,80,10848,10944
1,0,60,80,10944,11040
1,0,84,80,10944,11040
2,0,58,80,11040,11136
1,0,82,80,11040,11136
2,0,45,80,11136,11520
2,0,57,80,11136,11520
1,0,60,80,11136,11328
1,0,84,80,11136,11328
1,0,63,80,11328,11520
1,0,87,80,11328,11520
2,0,41,80,11520,12672
