# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1333333
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,48,80,0,384
1,0,60,80,0,384
1,0,64,80,0,384
1,0,69,80,0,288
1,0,71,80,288,336
1,0,72,80,336,384
2,0,45,80,384,768
1,0,62,80,384,576
1,0,71,80,384,576
1,0,60,80,576,768
1,0,69,80,576,768
2,0,45,80,768,1152
2,0,59,80,768,960
1,0,68,80,768,960
1,0,60,80,960,1152
1,0,69,80,960,1152
2,0,45,80,1152,1440
2,0,53,80,1152,2304
2,0,59,80,1152,2304
1,0,62,80,1152,2304
2,0,47,80,1440,1488
2,0,48,80,1488,1536
2,0,47,80,1536,1728
2,0,45,80,1728,1920
2,0,44,80,1920,2112
2,0,45,80,2112,2304
2,0,43,80,2304,2688
2,0,53,80,2304,2688
2,0,59,80,2304,2688
1,0,62,80,2304,2400
1,0,65,80,2400,2496
1,0,64,80,2496,2592
1,0,62,80,2592,2688
2,0,45,80,2688,3072
2,0,56,80,2688,3072
1,0,62,80,2688,3072
1,0,71,80,2688,2976
1,0,69,80,2976,3072
2,0,45,80,3072,3456
1,0,68,80,3072,3168
1,0,65,80,3168,3264
1,0,64,80,3264,3360
1,0,62,80,3360,3456
2,0,45,80,3456,3840
1,0,60,80,3456,3552
2,0,59,80,3552,3648
1,0,60,80,3648,3744
2,0,59,80,3744,3840
2,0,57,80,3840,3936
2,0,52,80,3936,4032
2,0,57,80,4032,4128
2,0,59,80,4128,4224
1,0,60,80,4224,4320
1,0,62,80,4320,4416
1,0,64,80,4416,4512
1,0,65,80,4512,4608
2,0,45,80,4608,4992
1,0,67,80,4608,4704
1,0,64,80,4704,4800
2,0,55,80,4800,4992
1,0,61,80,4800,4992
2,0,45,80,4992,5376
2,0,55,80,4992,5088
1,0,61,80,4992,5184
2,0,58,80,5088,5184
2,0,57,80,5184,5280
2,0,55,80,5280,5376
2,0,45,80,5376,5760
2,0,57,80,5376,5472
2,0,55,80,5472,5568
2,0,53,80,5568,5664
2,0,52,80,5664,5760
2,0,45,80,5760,6144
2,0,53,80,5760,5856
1,0,61,80,5856,5952
1,0,62,80,5952,6048
1,0,68,80,6048,6144
2,0,45,80,6144,6528
