# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,909090
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,192,384
1,0,62,80,384,576
1,0,64,80,576,768
1,0,65,80,768,1056
1,0,67,80,1056,1104
1,0,65,80,1104,1152
1,0,64,80,1152,1344
1,0,69,80,1344,1536
1,0,62,80,1536,1728
1,0,67,80,1728,2016
1,0,69,80,2016,2112
1,0,67,80,2112,2208
1,0,65,80,2208,2304
1,0,64,80,2304,2400
1,0,65,80,2400,2496
1,0,64,80,2496,2592
1,0,67,80,2496,2688
1,0,62,80,2592,2688
1,0,60,80,2688,2784
1,0,69,80,2688,2880
1,0,62,80,2784,2880
1,0,60,80,2880,2976
1,0,71,80,2880,3072
1,0,59,80,2976,3072
1,0,57,80,3072,3264
1,0,72,80,3072,3360
1,0,66,80,3264,3456
1,0,74,80,3360,3408
1,0,72,80,3408,3456
1,0,67,80,3456,4032
1,0,71,80,3456,3648
1,0,76,80,3648,3840
1,0,69,80,3840,4032
1,0,66,80,4032,4128
1,0,74,80,4032,4320
1,0,64,80,4128,4224
1,0,66,80,4224,4416
1,0,76,80,4320,4416
1,0,62,80,4416,4608
1,0,74,80,4416,4512
1,0,72,80,4512,4608
1,0,67,80,4608,4704
1,0,71,80,4608,4704
1,0,67,80,4704,4800
2,0,55,80,4800,4992
1,0,65,80,4800,4992
1,0,69,80,4800,4896
1,0,71,80,4896,4992
2,0,57,80,4992,5184
1,0,64,80,4992,5184
1,0,72,80,4992,5088
1,0,71,80,5088,5184
2,0,59,80,5184,5376
1,0,62,80,5184,5376
1,0,72,80,5184,5280
1,0,74,80,5280,5376
1,0,60,80,5376,5568
2,0,60,80,5376,5664
1,0,76,80,5376,5472
1,0,74,80,5472,5568
1,0,76,80,5568,5664
2,0,62,80,5664,5712
1,0,78,80,5664,5760
2,0,60,80,5712,5760
2,0,59,80,5760,5952
1,0,79,80,5760,5952
2,0,64,80,5952,6144
1,0,67,80,5952,6336
1,0,71,80,5952,6144
2,0,57,80,6144,6336
1,0,72,80,6144,6336
2,0,62,80,6336,6624
1,0,65,80,6336,6432
1,0,69,80,6336,6528
1,0,64,80,6432,6528
1,0,65,80,6528,7008
1,0,74,80,6528,6624
2,0,64,80,6624,6720
1,0,72,80,6624,6720
2,0,62,80,6720,6816
1,0,71,80,6720,6816
2,0,60,80,6816,6912
1,0,69,80,6816,6912
2,0,59,80,6912,7104
1,0,67,80,6912,7200
1,0,65,80,7008,7104
2,0,48,80,7104,7296
2,0,60,80,7104,7488
1,0,64,80,7104,7296
1,0,67,80,7200,7296
2,0,50,80,7296,7488
1,0,62,80,7296,7680
1,0,65,80,7296,7392
1,0,64,80,7392,7488
2,0,52,80,7488,7680
2,0,58,80,7488,7680
1,0,65,80,7488,7584
1,0,67,80,7584,7680
2,0,53,80,7680,7968
2,0,57,80,7680,7872
1,0,60,80,7680,7872
1,0,69,80,7680,7776
1,0,67,80,7776,7872
2,0,62,80,7872,8064
1,0,65,80,7872,8064
1,0,69,80,7872,7968
2,0,55,80,7968,8016
1,0,71,80,7968,8064
2,0,53,80,8016,8064
2,0,52,80,8064,8256
2,0,55,80,8064,8256
1,0,72,80,8064,8832
1,0,67,80,8160,8256
2,0,57,80,8256,8448
2,0,60,80,8256,8448
1,0,65,80,8256,8352
1,0,64,80,8352,8448
2,0,50,80,8448,8640
1,0,65,80,8448,8640
2,0,57,80,8544,8640
2,0,55,80,8640,8928
2,0,59,80,8640,8736
1,0,62,80,8640,8832
2,0,60,80,8736,8832
2,0,62,80,8832,9216
1,0,67,80,8832,9600
1,0,71,80,8832,9216
2,0,57,80,8928,9024
2,0,55,80,9024,9120
2,0,53,80,9120,9216
2,0,52,80,9216,9312
2,0,55,80,9216,9600
2,0,53,80,9312,9408
2,0,52,80,9408,9504
1,0,72,80,9408,9600
2,0,50,80,9504,9600
2,0,48,80,9600,9696
1,0,74,80,9600,9792
2,0,50,80,9696,9792
2,0,48,80,9792,9888
2,0,55,80,9792,9984
1,0,76,80,9792,9984
2,0,47,80,9888,9984
