# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,882352
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,53,80,192,576
2,0,57,80,192,576
1,0,60,80,192,576
2,0,53,80,576,960
2,0,57,80,576,960
1,0,60,80,576,960
2,0,48,80,768,2304
2,0,53,80,960,1344
2,0,57,80,960,1344
1,0,60,80,960,1344
2,0,53,80,1344,1728
2,0,57,80,1344,1728
1,0,60,80,1344,1728
2,0,41,80,1536,3072
1,0,69,80,1536,1920
2,0,53,80,1728,2112
2,0,57,80,1728,2112
1,0,60,80,1728,2112
1,0,65,80,1920,2304
2,0,53,80,2112,2496
2,0,57,80,2112,2496
1,0,60,80,2112,2496
2,0,45,80,2304,4608
1,0,60,80,2304,2688
2,0,53,80,2496,2880
2,0,57,80,2496,2880
1,0,60,80,2496,2880
1,0,69,80,2688,3072
2,0,53,80,2880,3264
2,0,57,80,2880,3264
1,0,60,80,2880,3264
2,0,33,80,3072,3840
1,0,72,80,3072,3456
2,0,53,80,3264,3648
2,0,57,80,3264,3648
1,0,60,80,3264,3648
1,0,65,80,3456,3648
2,0,53,80,3648,4032
2,0,57,80,3648,4032
1,0,60,80,3648,4032
1,0,67,80,3648,3840
2,0,36,80,3840,5376
1,0,69,80,3840,4224
2,0,53,80,4032,4416
2,0,57,80,4032,4416
1,0,60,80,4032,4416
1,0,65,80,4224,4608
2,0,53,80,4416,4800
2,0,57,80,4416,4800
1,0,60,80,4416,4800
2,0,48,80,4608,5376
1,0,60,80,4608,4992
2,0,52,80,4800,5184
2,0,58,80,4800,5184
1,0,60,80,4800,5184
1,0,67,80,4992,5376
2,0,52,80,5184,5568
2,0,58,80,5184,5568
1,0,60,80,5184,5568
2,0,41,80,5376,5760
2,0,53,80,5376,5760
1,0,65,80,5376,5952
2,0,57,80,5568,5952
1,0,60,80,5568,5952
2,0,41,80,5760,6144
2,0,52,80,5760,6144
2,0,53,80,5952,6336
1,0,65,80,5952,6336
2,0,41,80,6144,6528
2,0,50,80,6144,6528
1,0,70,80,6144,6528
2,0,58,80,6336,6720
1,0,65,80,6336,6720
1,0,70,80,6336,6720
2,0,41,80,6528,6912
2,0,48,80,6528,6912
1,0,69,80,6528,6912
1,0,60,80,6720,7104
1,0,64,80,6720,7104
1,0,69,80,6720,7104
2,0,41,80,6912,7296
2,0,46,80,6912,7296
1,0,67,80,6912,7296
1,0,62,80,7104,7488
1,0,67,80,7104,7488
2,0,41,80,7296,7680
2,0,45,80,7296,7680
1,0,65,80,7296,7680
1,0,60,80,7488,7680
1,0,65,80,7488,7680
2,0,41,80,7680,8064
2,0,44,80,7680,8064
1,0,64,80,7680,8064
2,0,59,80,7872,8064
1,0,64,80,7872,8064
2,0,41,80,8064,8448
2,0,45,80,8064,8448
1,0,65,80,8064,8256
1,0,60,80,8256,8448
1,0,60,80,8256,8448
1,0,65,80,8256,8448
2,0,41,80,8448,8832
2,0,47,80,8448,8832
1,0,64,80,8448,8832
2,0,56,80,8640,8832
1,0,64,80,8640,8832
2,0,41,80,8832,9216
2,0,48,80,8832,9216
1,0,65,80,8832,9024
2,0,57,80,9024,9216
1,0,60,80,9024,9216
1,0,65,80,9024,9216
2,0,41,80,9216,9600
2,0,50,80,9216,9600
1,0,70,80,9216,9984
2,0,58,80,9408,9600
1,0,65,80,9408,9600
1,0,70,80,9408,9600
2,0,41,80,9600,9984
2,0,50,80,9600,9984
1,0,60,80,9792,9984
1,0,67,80,9792,9984
1,0,70,80,9792,9984
2,0,41,80,9984,10368
2,0,53,80,9984,10368
1,0,69,80,9984,10368
1,0,60,80,10176,10368
1,0,69,80,10176,10368
2,0,53,80,10368,10752
1,0,60,80,10368,10752
1,0,69,80,10560,10752
1,0,72,80,10560,10752
2,0,53,80,10752,11136
1,0,65,80,10752,11136
1,0,77,80,10944,11136
2,0,53,80,11136,11520
1,0,63,80,11136,11520
1,0,65,80,11328,11520
1,0,75,80,11328,11520
1,0,77,80,11328,11520
2,0,53,80,11520,11904
1,0,61,80,11520,11904
1,0,77,80,11520,11904
1,0,65,80,11712,11904
1,0,73,80,11712,11904
1,0,77,80,11712,11904
2,0,53,80,11904,12288
1,0,60,80,11904,12288
1,0,63,80,11904,12288
1,0,75,80,11904,12288
1,0,65,80,12096,12288
1,0,72,80,12096,12288
1,0,75,80,12096,12288
2,0,53,80,12288,12672
2,0,58,80,12288,12672
1,0,61,80,12288,12672
1,0,73,80,12288,12672
