# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,576923
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
1,0,60,80,0,192
1,0,63,80,0,192
1,0,67,80,0,192
1,0,60,80,192,384
1,0,63,80,192,384
1,0,67,80,192,384
1,0,60,80,384,576
1,0,63,80,384,576
1,0,67,80,384,576
1,0,60,80,576,768
1,0,63,80,576,768
1,0,67,80,576,768
1,0,60,80,768,960
1,0,63,80,768,960
1,0,67,80,768,960
1,0,60,80,960,1152
1,0,63,80,960,1152
1,0,67,80,960,1152
2,0,48,80,1152,1248
1,0,60,80,1152,1344
1,0,63,80,1152,1344
1,0,67,80,1152,1344
2,0,47,80,1248,1344
2,0,48,80,1344,1440
1,0,60,80,1344,1536
1,0,63,80,1344,1536
1,0,67,80,1344,1536
2,0,43,80,1440,1536
2,0,45,80,1536,1632
1,0,60,80,1536,1728
1,0,63,80,1536,1728
1,0,67,80,1536,1728
2,0,47,80,1632,1728
2,0,48,80,1728,1824
1,0,60,80,1728,1920
1,0,63,80,1728,1920
1,0,67,80,1728,1920
2,0,47,80,1824,1920
2,0,48,80,1920,2016
1,0,60,80,1920,2112
1,0,63,80,1920,2112
1,0,67,80,1920,2112
2,0,43,80,2016,2112
2,0,45,80,2112,2208
1,0,60,80,2112,2304
1,0,63,80,2112,2304
1,0,67,80,2112,2304
2,0,47,80,2208,2304
2,0,48,80,2304,2496
1,0,60,80,2304,2496
1,0,63,80,2304,2496
1,0,67,80,2304,2496
1,0,60,80,2496,2688
1,0,63,80,2496,2688
1,0,67,80,2496,2688
2,0,51,80,2688,2880
1,0,60,80,2688,2880
1,0,63,80,2688,2880
1,0,67,80,2688,2880
2,0,55,80,2880,3072
1,0,60,80,2880,3072
1,0,63,80,2880,3072
1,0,67,80,2880,3072
1,0,60,80,3072,3264
1,0,63,80,3072,3264
1,0,67,80,3072,3264
2,0,48,80,3264,3456
1,0,60,80,3264,3456
1,0,63,80,3264,3456
