# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,53,80,0,768
1,0,69,80,0,1536
2,0,51,80,768,2304
1,0,69,80,1536,1920
1,0,72,80,1920,2304
2,0,50,80,2304,3072
1,0,65,80,2304,2688
1,0,70,80,2688,3072
2,0,48,80,3072,3840
1,0,70,80,3072,3456
1,0,69,80,3456,3840
2,0,46,80,3840,4608
1,0,70,80,3840,4608
2,0,58,80,4608,5376
1,0,74,80,4608,6144
2,0,56,80,5376,6912
1,0,74,80,6144,6528
1,0,77,80,6528,6912
2,0,55,80,6912,7680
1,0,70,80,6912,7296
1,0,68,80,7296,7488
1,0,67,80,7488,7680
2,0,53,80,7680,8448
1,0,68,80,7680,8064
1,0,67,80,8064,8256
1,0,65,80,8256,8448
2,0,51,80,8448,9984
1,0,67,80,8448,9216
1,0,79,80,9216,10752
2,0,49,80,9984,11520
1,0,79,80,10752,11136
1,0,82,80,11136,11520
2,0,48,80,11520,12288
1,0,76,80,11520,11904
1,0,76,80,11904,12288
2,0,46,80,12288,13056
1,0,76,80,12288,12672
1,0,79,80,12672,13056
2,0,44,80,13056,13824
1,0,72,80,13056,13824
2,0,56,80,13824,14208
1,0,84,80,13824,14208
2,0,55,80,14208,14592
1,0,82,80,14208,14592
2,0,53,80,14592,14976
1,0,80,80,14592,14976
2,0,51,80,14976,15360
1,0,79,80,14976,15360
2,0,49,80,15360,15744
1,0,77,80,15360,15744
2,0,48,80,15744,16128
1,0,75,80,15744,16128
2,0,46,80,16128,16512
1,0,73,80,16128,16512
2,0,44,80,16512,16896
1,0,72,80,16512,16896
2,0,43,80,16896,17280
1,0,70,80,16896,17472
2,0,41,80,17280,17664
1,0,68,80,17472,17664
2,0,48,80,17664,18432
1,0,68,80,17664,18432
2,0,36,80,18432,19200
1,0,67,80,18432,19008
1,0,65,80,19008,19200
2,0,41,80,19200,19968
1,0,65,80,19200,19968
2,0,53,80,19968,20736
2,0,57,80,19968,21504
1,0,77,80,20160,20352
1,0,75,80,20352,20544
1,0,74,80,20544,20736
2,0,51,80,20736,22272
1,0,72,80,20736,20928
1,0,70,80,20928,21120
1,0,69,80,21120,21312
1,0,67,80,21312,21504
2,0,57,80,21504,21888
1,0,65,80,21504,22272
1,0,60,80,21888,22272
2,0,50,80,22272,23040
2,0,53,80,22272,22656
1,0,70,80,22464,22656
2,0,58,80,22656,23040
1,0,69,80,22656,22848
1,0,70,80,22848,23040
2,0,48,80,23040,23808
2,0,58,80,23040,23424
1,0,72,80,23040,23232
1,0,74,80,23232,23424
2,0,57,80,23424,23808
1,0,75,80,23424,23616
1,0,77,80,23616,23808
2,0,46,80,23808,25344
2,0,58,80,23808,24576
1,0,74,80,23808,24576
1,0,62,80,24576,26112
1,0,82,80,24768,24960
1,0,80,80,24960,25152
1,0,79,80,25152,25344
2,0,44,80,25344,26880
1,0,77,80,25344,25536
1,0,75,80,25536,25728
1,0,74,80,25728,25920
1,0,72,80,25920,26112
1,0,62,80,26112,26496
1,0,70,80,26112,26880
1,0,65,80,26496,26880
2,0,43,80,26880,27648
2,0,58,80,26880,27264
1,0,75,80,27072,27264
2,0,55,80,27264,27648
1,0,74,80,27264,27456
1,0,75,80,27456,27648
2,0,41,80,27648,28416
2,0,56,80,27648,27984
1,0,77,80,27648,27840
1,0,79,80,27840,28032
2,0,55,80,27984,28032
2,0,53,80,28032,28416
1,0,80,80,28032,28224
1,0,77,80,28224,28416
2,0,39,80,28416,29568
2,0,55,80,28416,29568
1,0,82,80,28416,28800
1,0,79,80,28800,29568
2,0,51,80,29568,29952
2,0,55,80,29568,29952
1,0,79,80,29760,29952
2,0,53,80,29952,30336
2,0,57,80,29952,30336
1,0,72,80,29952,31104
2,0,55,80,30336,30720
2,0,59,80,30336,30720
2,0,56,80,30720,31104
1,0,60,80,30720,31104
2,0,53,80,31104,31488
1,0,62,80,31104,31488
1,0,80,80,31296,31488
2,0,55,80,31488,31872
2,0,59,80,31488,32256
1,0,74,80,31488,32256
2,0,53,80,31872,32256
2,0,51,80,32256,32640
1,0,60,80,32256,32832
1,0,75,80,32256,32832
2,0,48,80,32640,33024
1,0,60,80,32832,33024
1,0,75,80,32832,33024
2,0,55,80,33024,33792
1,0,60,80,33024,33792
1,0,75,80,33024,33600
1,0,74,80,33600,33792
2,0,43,80,33792,34560
2,0,59,80,33792,34368
1,0,74,80,33792,34368
1,0,60,80,34368,34560
1,0,72,80,34368,34560
2,0,48,80,34560,36096
1,0,60,80,34560,35328
1,0,72,80,34560,35328
2,0,52,80,35328,36864
1,0,74,80,35520,35712
1,0,76,80,35712,35904
1,0,77,80,35904,36096
2,0,46,80,36096,37632
1,0,79,80,36096,36288
1,0,80,80,36288,36480
1,0,82,80,36480,36672
1,0,79,80,36672,36864
2,0,52,80,36864,37248
1,0,84,80,36864,37632
2,0,55,80,37248,37632
2,0,44,80,37632,38400
2,0,48,80,37632,38016
1,0,72,80,37824,38016
2,0,48,80,38016,38400
1,0,74,80,38016,38208
1,0,76,80,38208,38400
2,0,56,80,38400,39168
1,0,60,80,38400,39168
1,0,77,80,38400,38592
1,0,79,80,38592,38784
1,0,80,80,38784,38976
1,0,77,80,38976,39168
2,0,55,80,39168,40320
2,0,58,80,39168,39936
1,0,82,80,39168,39552
1,0,79,80,39552,39744
1,0,82,80,39744,39936
2,0,58,80,39936,40320
1,0,76,80,39936,40320
2,0,55,80,40320,40704
2,0,55,80,40320,40704
1,0,79,80,40320,40704
2,0,53,80,40704,41088
2,0,56,80,40704,41088
1,0,72,80,40704,41856
2,0,51,80,41088,41472
2,0,56,80,41088,41472
2,0,49,80,41472,41856
2,0,58,80,41472,41856
2,0,48,80,41856,42240
1,0,60,80,41856,42240
1,0,72,80,42048,42240
2,0,46,80,42240,42624
1,0,61,80,42240,43392
1,0,77,80,42240,43392
2,0,45,80,42624,43008
2,0,46,80,43008,43392
2,0,48,80,43392,43776
1,0,60,80,43392,43776
1,0,77,80,43584,43776
2,0,49,80,43776,44160
2,0,58,80,43776,44160
1,0,82,80,43776,44544
2,0,48,80,44160,44544
2,0,56,80,44160,44544
2,0,49,80,44544,44928
2,0,55,80,44544,44928
1,0,70,80,44544,44928
2,0,46,80,44928,45312
2,0,53,80,44928,45312
1,0,73,80,44928,45312
2,0,48,80,45312,45696
2,0,52,80,45312,46080
1,0,67,80,45312,46080
2,0,46,80,45696,46080
2,0,44,80,46080,46464
2,0,53,80,46080,46656
1,0,68,80,46080,46656
2,0,41,80,46464,46848
2,0,53,80,46656,46848
1,0,68,80,46656,46848
2,0,48,80,46848,47616
2,0,53,80,46848,47616
1,0,68,80,46848,47424
1,0,67,80,47424,47616
2,0,36,80,47616,48384
2,0,52,80,47616,48192
1,0,67,80,47616,48192
2,0,53,80,48192,48384
