# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,285714
# meta,0,0,time_signature,3/2
track,channel,pitch,vel,start,end
1,0,65,80,1536,2304
1,0,67,80,2304,3072
1,0,69,80,3072,3840
1,0,70,80,3840,4608
1,0,69,80,4608,5328
1,0,67,80,5328,5376
1,0,65,80,5376,6144
2,0,53,80,6144,6912
1,0,77,80,6144,6912
2,0,55,80,6912,7680
1,0,70,80,6912,7680
2,0,57,80,7680,8448
1,0,72,80,7680,8448
2,0,58,80,8448,9216
1,0,74,80,8448,9168
1,0,74,80,9168,9216
2,0,57,80,9216,9984
1,0,75,80,9216,10368
2,0,53,80,9984,10752
1,0,77,80,10368,10752
2,0,58,80,10752,11520
1,0,74,80,10752,11904
2,0,51,80,11520,12288
1,0,72,80,11904,12288
2,0,53,80,12288,13056
1,0,72,80,12288,13440
2,0,41,80,13056,13824
1,0,70,80,13440,13824
2,0,46,80,13824,14592
1,0,70,80,13824,14592
1,0,82,80,14592,15744
1,0,82,80,15744,16128
1,0,82,80,16128,16896
1,0,81,80,16896,17280
1,0,79,80,17280,17664
1,0,77,80,17664,18048
1,0,75,80,18048,18432
1,0,74,80,18432,18816
1,0,72,80,18816,19200
2,0,58,80,19200,20352
1,0,70,80,19200,19584
1,0,72,80,19584,19968
1,0,74,80,19968,20352
2,0,58,80,20352,20736
1,0,75,80,20352,20736
2,0,58,80,20736,21504
1,0,77,80,20736,22848
2,0,57,80,21504,21888
2,0,55,80,21888,22272
2,0,53,80,22272,22656
2,0,51,80,22656,23040
1,0,65,80,22848,23040
2,0,50,80,23040,24192
1,0,70,80,23040,23424
1,0,69,80,23424,23808
1,0,70,80,23808,24192
2,0,48,80,24192,24576
1,0,72,80,24192,24576
2,0,46,80,24576,25344
1,0,74,80,24576,24960
1,0,70,80,24960,25344
2,0,45,80,25344,26112
1,0,75,80,25344,26112
2,0,46,80,26112,27648
1,0,74,80,26112,27264
1,0,75,80,27264,27648
2,0,53,80,27648,28416
1,0,72,80,27648,28416
1,0,77,80,28416,29568
1,0,77,80,29568,29952
1,0,77,80,29952,30720
1,0,75,80,30720,31104
1,0,74,80,31104,31488
1,0,72,80,31488,31872
1,0,70,80,31872,32256
1,0,69,80,32256,32640
1,0,67,80,32640,33024
2,0,53,80,33024,34176
1,0,65,80,33024,33408
1,0,67,80,33408,33792
1,0,69,80,33792,34176
2,0,53,80,34176,34560
1,0,70,80,34176,34560
2,0,53,80,34560,35328
1,0,72,80,34560,35712
2,0,51,80,35328,35712
2,0,50,80,35712,36096
1,0,70,80,35712,36096
2,0,48,80,36096,36480
1,0,72,80,36096,36480
2,0,46,80,36480,36864
1,0,74,80,36480,36864
2,0,45,80,36864,38016
1,0,75,80,36864,37248
1,0,74,80,37248,37632
1,0,72,80,37632,38016
2,0,43,80,38016,38400
1,0,74,80,38016,38400
2,0,41,80,38400,39168
1,0,75,80,38400,38784
1,0,77,80,38784,39168
2,0,46,80,39168,40704
1,0,74,80,39168,39888
1,0,72,80,39888,39936
1,0,70,80,39936,40704
2,0,58,80,40704,41472
1,0,77,80,40704,41472
1,0,63,80,41472,41856
1,0,79,80,41472,42240
1,0,62,80,41856,42240
1,0,60,80,42240,43008
1,0,81,80,42240,43008
2,0,58,80,43008,43776
1,0,82,80,43008,43776
2,0,57,80,43776,44160
1,0,77,80,43776,46464
2,0,58,80,44160,44544
2,0,57,80,44544,44928
2,0,55,80,44928,45312
2,0,53,80,45312,45696
2,0,51,80,45696,46080
2,0,50,80,46080,46464
2,0,48,80,46464,46848
1,0,75,80,46464,46848
2,0,46,80,46848,47232
1,0,74,80,46848,47232
2,0,48,80,47232,47616
1,0,72,80,47232,47616
2,0,50,80,47616,48000
1,0,70,80,47616,48000
2,0,46,80,48000,48384
1,0,69,80,48000,48384
2,0,51,80,48384,48768
1,0,67,80,48384,48768
2,0,53,80,48768,49152
1,0,69,80,48768,49152
2,0,55,80,49152,49536
1,0,70,80,49152,49536
2,0,57,80,49536,49920
1,0,72,80,49536,49920
2,0,58,80,49920,50304
1,0,74,80,49920,50304
2,0,55,80,50304,50688
1,0,70,80,50304,50688
1,0,60,80,50688,51072
1,0,75,80,50688,51072
2,0,58,80,51072,51456
1,0,74,80,51072,51456
2,0,57,80,51456,51840
1,0,72,80,51456,51840
2,0,55,80,51840,52224
1,0,70,80,51840,52224
2,0,53,80,52224,52608
1,0,69,80,52224,52608
2,0,51,80,52608,52992
1,0,67,80,52608,52992
2,0,50,80,52992,53376
1,0,65,80,52992,53760
2,0,48,80,53376,53760
2,0,50,80,53760,54144
1,0,77,80,53760,55296
2,0,51,80,54144,54528
2,0,53,80,54528,54912
2,0,50,80,54912,55296
2,0,51,80,55296,56064
1,0,75,80,55296,55680
1,0,74,80,55680,56064
2,0,53,80,56064,56832
1,0,72,80,56064,57216
2,0,41,80,56832,57600
1,0,70,80,57216,57600
2,0,46,80,57600,59136
1,0,70,80,57600,59136
2,0,46,80,59136,59904
2,0,53,80,59136,59904
2,0,51,80,59904,60288
2,0,55,80,59904,60672
2,0,50,80,60288,60672
2,0,48,80,60672,61440
2,0,57,80,60672,61440
2,0,46,80,61440,62208
2,0,58,80,61440,62208
2,0,53,80,62208,63360
2,0,57,80,62208,62928
2,0,55,80,62928,62976
2,0,53,80,62976,63744
2,0,51,80,63360,63744
2,0,50,80,63744,64512
2,0,58,80,63744,64512
1,0,70,80,63744,64512
2,0,51,80,64512,65280
2,0,58,80,64512,66048
1,0,72,80,64512,65280
2,0,53,80,65280,66048
1,0,74,80,65280,66048
2,0,41,80,66048,66816
2,0,57,80,66048,66816
1,0,75,80,66048,66816
2,0,46,80,66816,67968
2,0,58,80,66816,68352
1,0,74,80,66816,67536
1,0,72,80,67536,67584
1,0,70,80,67584,68352
2,0,48,80,67968,68352
2,0,50,80,68352,69120
2,0,50,80,68352,69120
1,0,77,80,68352,69120
2,0,51,80,69120,70656
2,0,51,80,69120,70656
1,0,79,80,69120,69504
1,0,77,80,69504,69888
1,0,75,80,69888,70272
1,0,74,80,70272,70656
2,0,51,80,70656,71424
2,0,51,80,70656,71424
1,0,72,80,70656,71040
1,0,70,80,71040,71424
2,0,53,80,71424,72144
2,0,53,80,71424,72192
1,0,69,80,71424,72192
2,0,51,80,72144,72192
2,0,50,80,72192,72912
2,0,50,80,72192,72960
1,0,70,80,72192,73344
2,0,48,80,72912,72960
2,0,46,80,72960,73728
2,0,46,80,72960,73728
1,0,72,80,73344,73728
2,0,53,80,73728,75264
2,0,53,80,73728,75264
1,0,74,80,73728,74496
1,0,72,80,74496,75648
2,0,41,80,75264,76032
2,0,41,80,75264,76032
1,0,70,80,75648,76032
2,0,46,80,76032,76800
2,0,46,80,76032,76800
1,0,70,80,76032,76800
1,0,82,80,76800,77952
1,0,82,80,77952,78336
1,0,82,80,78336,79104
1,0,81,80,79104,79488
1,0,79,80,79488,79872
1,0,77,80,79872,80256
1,0,75,80,80256,80640
1,0,74,80,80640,81024
1,0,72,80,81024,81408
2,0,58,80,81408,82560
2,0,58,80,81408,82560
1,0,70,80,81408,81792
1,0,72,80,81792,82176
1,0,74,80,82176,82560
2,0,58,80,82560,82944
2,0,58,80,82560,82944
1,0,75,80,82560,82944
2,0,58,80,82944,83712
2,0,58,80,82944,83712
1,0,77,80,82944,85632
2,0,57,80,83712,84096
2,0,57,80,83712,84096
2,0,55,80,84096,84480
2,0,55,80,84096,84480
2,0,53,80,84480,85056
2,0,53,80,84480,85056
2,0,51,80,85056,85248
2,0,51,80,85056,85248
2,0,50,80,85248,85968
2,0,50,80,85248,85968
1,0,75,80,85632,86016
2,0,48,80,85968,86016
2,0,48,80,85968,86016
2,0,46,80,86016,87552
2,0,46,80,86016,87552
1,0,74,80,86016,86400
1,0,72,80,86400,86784
1,0,70,80,86784,87168
1,0,69,80,87168,87552
2,0,47,80,87552,89856
2,0,50,80,87552,88320
1,0,67,80,87552,88320
2,0,55,80,88320,89472
2,0,50,80,89472,89856
1,0,79,80,89472,89856
2,0,48,80,89856,91008
2,0,52,80,89856,91008
1,0,79,80,89856,90240
1,0,77,80,90240,90624
1,0,76,80,90624,91008
2,0,46,80,91008,91392
2,0,52,80,91008,91392
1,0,74,80,91008,91392
2,0,45,80,91392,92160
2,0,53,80,91392,92160
1,0,72,80,91392,92160
2,0,46,80,92160,92928
2,0,53,80,92160,93696
1,0,70,80,92160,92544
1,0,69,80,92544,92928
2,0,48,80,92928,93696
1,0,67,80,92928,94080
2,0,36,80,93696,94464
2,0,52,80,93696,94464
1,0,65,80,94080,94464
2,0,41,80,94464,96000
2,0,53,80,94464,96000
1,0,65,80,94464,95232
1,0,77,80,95232,96384
1,0,77,80,96384,96768
1,0,77,80,96768,97536
1,0,75,80,97536,97920
1,0,74,80,97920,98304
1,0,72,80,98304,98688
1,0,70,80,98688,99072
1,0,69,80,99072,99456
1,0,67,80,99456,99840
2,0,53,80,99840,100992
2,0,53,80,99840,100992
1,0,65,80,99840,100224
1,0,67,80,100224,100608
1,0,69,80,100608,100992
2,0,53,80,100992,101376
2,0,53,80,100992,101376
1,0,65,80,100992,101376
2,0,55,80,101376,102144
2,0,55,80,101376,102144
1,0,70,80,101376,101760
1,0,69,80,101760,102144
2,0,55,80,102144,102912
2,0,55,80,102144,102912
1,0,70,80,102144,102528
1,0,72,80,102528,102912
2,0,55,80,102912,103680
2,0,55,80,102912,103680
1,0,74,80,102912,103296
1,0,75,80,103296,103680
2,0,57,80,103680,104064
2,0,57,80,103680,104064
1,0,72,80,103680,104064
2,0,55,80,104064,104448
2,0,55,80,104064,104448
1,0,70,80,104064,104448
2,0,57,80,104448,104832
2,0,57,80,104448,104832
1,0,72,80,104448,104832
2,0,58,80,104832,105216
2,0,58,80,104832,105216
1,0,74,80,104832,105216
1,0,60,80,105216,105600
1,0,60,80,105216,105600
1,0,75,80,105216,105600
2,0,57,80,105600,105984
2,0,57,80,105600,105984
1,0,77,80,105600,105984
2,0,58,80,105984,107520
2,0,58,80,105984,107520
1,0,74,80,105984,106368
1,0,75,80,106368,106752
1,0,77,80,106752,107136
1,0,75,80,107136,107520
2,0,58,80,107520,108288
2,0,58,80,107520,108288
1,0,74,80,107520,107904
1,0,72,80,107904,108288
2,0,50,80,108288,109056
2,0,50,80,108288,109056
1,0,70,80,108288,108672
1,0,69,80,108672,109056
2,0,51,80,109056,110208
2,0,51,80,109056,110208
1,0,67,80,109056,109440
1,0,70,80,109440,109824
1,0,72,80,109824,110208
2,0,50,80,110208,110592
2,0,50,80,110208,110592
1,0,74,80,110208,110544
1,0,74,80,110544,110592
2,0,48,80,110592,111744
2,0,48,80,110592,111744
1,0,75,80,110592,111744
2,0,48,80,111744,112128
2,0,48,80,111744,112128
1,0,75,80,111744,112128
2,0,46,80,112128,112896
2,0,46,80,112128,112896
1,0,74,80,112128,112896
2,0,53,80,112896,114432
2,0,53,80,112896,114432
1,0,72,80,112896,113664
1,0,77,80,113664,114816
2,0,53,80,114432,115200
2,0,53,80,114432,115200
1,0,77,80,114816,115200
1,0,77,80,115200,115968
1,0,75,80,115968,116352
1,0,74,80,116352,116736
1,0,72,80,116736,117120
1,0,70,80,117120,117504
1,0,69,80,117504,117888
1,0,67,80,117888,118272
2,0,53,80,118272,119424
2,0,53,80,118272,119424
1,0,65,80,118272,118656
1,0,67,80,118656,119040
1,0,69,80,119040,119424
2,0,53,80,119424,119808
2,0,53,80,119424,119808
1,0,65,80,119424,119808
2,0,55,80,119808,120576
2,0,55,80,119808,120576
1,0,70,80,119808,120192
1,0,69,80,120192,120576
2,0,55,80,120576,121344
2,0,55,80,120576,121344
1,0,70,80,120576,120960
1,0,72,80,120960,121344
2,0,55,80,121344,122112
2,0,55,80,121344,122112
1,0,74,80,121344,121728
1,0,75,80,121728,122112
2,0,57,80,122112,122496
2,0,57,80,122112,122496
1,0,72,80,122112,122496
2,0,55,80,122496,122880
2,0,55,80,122496,122880
1,0,70,80,122496,122880
2,0,57,80,122880,123264
2,0,57,80,122880,123264
1,0,72,80,122880,123264
2,0,58,80,123264,123648
2,0,58,80,123264,123648
1,0,74,80,123264,123648
1,0,60,80,123648,124032
1,0,60,80,123648,124032
1,0,75,80,123648,124032
2,0,57,80,124032,124416
2,0,57,80,124032,124416
1,0,77,80,124032,124416
2,0,58,80,124416,125952
2,0,58,80,124416,125952
1,0,74,80,124416,124800
1,0,72,80,124800,125184
1,0,70,80,125184,125568
1,0,72,80,125568,125952
2,0,58,80,125952,126720
2,0,58,80,125952,126720
1,0,74,80,125952,126336
1,0,75,80,126336,126720
2,0,46,80,126720,127488
2,0,46,80,126720,127488
1,0,77,80,126720,127488
2,0,48,80,127488,128256
2,0,48,80,127488,128256
1,0,77,80,127488,128640
2,0,50,80,128256,129024
2,0,50,80,128256,129024
1,0,75,80,128640,128832
1,0,77,80,128832,129024
2,0,51,80,129024,130176
2,0,51,80,129024,130176
1,0,79,80,129024,129600
1,0,81,80,129600,129792
1,0,81,80,129792,130944
2,0,51,80,130176,130560
2,0,51,80,130176,130560
2,0,48,80,130560,131328
2,0,48,80,130560,131328
1,0,79,80,130944,131136
1,0,81,80,131136,131328
2,0,55,80,131328,132864
2,0,55,80,131328,132864
1,0,82,80,131328,131712
1,0,81,80,131712,132096
1,0,79,80,132096,132480
1,0,77,80,132480,132864
2,0,55,80,132864,133632
2,0,55,80,132864,133632
1,0,75,80,132864,133248
1,0,74,80,133248,133632
2,0,57,80,133632,134400
2,0,57,80,133632,134400
1,0,75,80,133632,134016
1,0,74,80,134016,134400
2,0,57,80,134400,135168
2,0,57,80,134400,135168
1,0,72,80,134400,134784
1,0,74,80,134784,135168
2,0,53,80,135168,135936
2,0,53,80,135168,135936
1,0,75,80,135168,135552
1,0,77,80,135552,135936
2,0,58,80,135936,137088
2,0,58,80,135936,137472
1,0,74,80,135936,136320
1,0,77,80,136320,136704
1,0,79,80,136704,137088
2,0,58,80,137088,137472
1,0,77,80,137088,137472
2,0,51,80,137472,138240
2,0,51,80,137472,138240
1,0,75,80,137472,137856
1,0,74,80,137856,138240
2,0,53,80,138240,140544
2,0,53,80,138240,139008
1,0,72,80,138240,138624
1,0,70,80,138624,139008
2,0,41,80,139008,140544
1,0,69,80,139008,140160
1,0,70,80,140160,140544
2,0,46,80,140544,142080
2,0,46,80,140544,142080
1,0,70,80,140544,141312
1,0,82,80,141312,142464
1,0,82,80,142464,142848
1,0,82,80,142848,143616
1,0,81,80,143616,144000
1,0,79,80,144000,144384
1,0,77,80,144384,144960
1,0,75,80,144960,145152
1,0,74,80,145152,145536
1,0,72,80,145536,145920
2,0,58,80,145920,147072
2,0,58,80,145920,147072
1,0,70,80,145920,146304
1,0,72,80,146304,146688
1,0,74,80,146688,147072
2,0,58,80,147072,147456
2,0,58,80,147072,147456
1,0,75,80,147072,147456
2,0,58,80,147456,148224
2,0,58,80,147456,148224
1,0,77,80,147456,149568
2,0,57,80,148224,148608
2,0,57,80,148224,148608
2,0,55,80,148608,148992
2,0,55,80,148608,148992
2,0,53,80,148992,149568
2,0,53,80,148992,149568
2,0,51,80,149568,149760
2,0,51,80,149568,149760
1,0,65,80,149568,149760
2,0,50,80,149760,151248
2,0,50,80,149760,151248
1,0,70,80,149760,150144
1,0,69,80,150144,150528
1,0,70,80,150528,150912
1,0,72,80,150912,151296
2,0,48,80,151248,151296
2,0,48,80,151248,151296
2,0,46,80,151296,152064
2,0,46,80,151296,152064
1,0,74,80,151296,151680
1,0,75,80,151680,152064
2,0,53,80,152064,152832
2,0,53,80,152064,152832
1,0,72,80,152064,153600
2,0,51,80,152832,153600
2,0,55,80,152832,153600
2,0,50,80,153600,154368
2,0,56,80,153600,154320
1,0,77,80,153600,154192
1,0,77,80,154192,154368
2,0,56,80,154320,154368
2,0,51,80,154368,155904
2,0,55,80,154368,155520
1,0,75,80,154368,155520
2,0,57,80,155520,155904
1,0,77,80,155520,155904
2,0,46,80,155904,156672
2,0,58,80,155904,156672
1,0,74,80,155904,156672
2,0,53,80,156672,158976
2,0,58,80,156672,158208
1,0,74,80,156672,157440
1,0,72,80,157440,158976
2,0,57,80,158208,158976
2,0,55,80,158976,160512
2,0,58,80,158976,160512
1,0,70,80,158976,159360
1,0,72,80,159360,159744
1,0,74,80,159744,160128
1,0,75,80,160128,160512
2,0,53,80,160512,161280
1,0,77,80,160512,160896
1,0,74,80,160896,161280
2,0,51,80,161280,161664
1,0,79,80,161280,161664
2,0,53,80,161664,162048
1,0,80,80,161664,162048
2,0,51,80,162048,162432
1,0,79,80,162048,162432
2,0,50,80,162432,162816
1,0,77,80,162432,162816
2,0,48,80,162816,163200
1,0,75,80,162816,163200
2,0,46,80,163200,163584
1,0,74,80,163200,163584
2,0,53,80,163584,163968
1,0,72,80,163584,164352
2,0,55,80,163968,164352
2,0,53,80,164352,164736
1,0,69,80,164352,165120
2,0,51,80,164736,165120
2,0,50,80,165120,165504
1,0,70,80,165120,166272
2,0,48,80,165504,165888
2,0,46,80,165888,166656
1,0,72,80,166272,166656
2,0,53,80,166656,167424
1,0,72,80,166656,167808
2,0,41,80,167424,168192
1,0,70,80,167808,168192
2,0,46,80,168192,170496
1,0,70,80,168192,170496
