# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,714285
# meta,0,0,time_signature,5/4
track,channel,pitch,vel,start,end
2,0,33,80,0,192
2,0,52,80,384,576
2,0,57,80,384,576
2,0,61,80,384,720
1,0,64,80,384,576
1,0,69,80,384,576
1,0,73,80,384,720
1,0,76,80,384,576
2,0,57,80,576,768
1,0,69,80,576,768
1,0,81,80,576,768
2,0,58,80,768,1152
2,0,62,80,768,1104
2,0,64,80,768,1104
2,0,67,80,768,1104
1,0,70,80,768,1152
1,0,74,80,768,1152
1,0,76,80,768,1152
1,0,82,80,768,1152
2,0,52,80,1152,1488
1,0,64,80,1152,1488
1,0,76,80,1152,1488
2,0,40,80,1536,1728
2,0,33,80,1920,2112
2,0,52,80,2304,2496
2,0,57,80,2304,2496
2,0,61,80,2304,2640
1,0,64,80,2304,2496
1,0,69,80,2304,2496
1,0,73,80,2304,2640
1,0,76,80,2304,2496
2,0,57,80,2496,2688
1,0,69,80,2496,2688
1,0,81,80,2496,2688
2,0,58,80,2688,2880
2,0,62,80,2688,3024
2,0,64,80,2688,3024
2,0,67,80,2688,3024
1,0,70,80,2688,2880
1,0,74,80,2688,3024
1,0,76,80,2688,3024
1,0,82,80,2688,2880
2,0,66,80,2880,3072
1,0,78,80,2880,3072
1,0,90,80,2880,3072
2,0,61,80,3072,3264
1,0,73,80,3072,3264
1,0,85,80,3072,3264
2,0,61,80,3456,3648
1,0,73,80,3456,3648
1,0,85,80,3456,3648
2,0,33,80,3840,4224
2,0,50,80,3840,4032
2,0,53,80,3840,4032
2,0,56,80,3840,4032
2,0,58,80,3840,4032
2,0,51,80,4224,4416
2,0,54,80,4224,4416
2,0,57,80,4224,4416
2,0,59,80,4224,4416
1,0,66,80,4224,4416
1,0,61,80,4416,4592
2,0,53,80,4608,4800
2,0,56,80,4608,4800
2,0,58,80,4608,4800
2,0,62,80,4608,4800
2,0,52,80,4992,5184
2,0,55,80,4992,5184
2,0,57,80,4992,5184
2,0,61,80,4992,5184
1,0,66,80,4992,5184
1,0,61,80,5184,5360
2,0,33,80,5376,5760
2,0,50,80,5376,5568
2,0,53,80,5376,5568
2,0,56,80,5376,5568
2,0,58,80,5376,5568
2,0,51,80,5760,5952
2,0,54,80,5760,5952
2,0,57,80,5760,5952
2,0,59,80,5760,5952
1,0,66,80,5760,5952
1,0,61,80,5952,6128
2,0,53,80,6144,6528
2,0,56,80,6144,6528
2,0,58,80,6144,6528
2,0,62,80,6144,6528
2,0,56,80,6528,7200
2,0,58,80,6528,7200
2,0,61,80,6528,7200
2,0,64,80,6528,7200
1,0,72,80,6528,6720
1,0,67,80,6720,7104
2,0,33,80,6912,7104
1,0,70,80,7104,7472
1,0,61,80,7488,7584
1,0,64,80,7488,7584
2,0,33,80,7680,7872
1,0,64,80,7680,7776
1,0,67,80,7680,7776
1,0,67,80,7872,7968
1,0,70,80,7872,7968
1,0,70,80,8064,8160
1,0,73,80,8064,8160
1,0,73,80,8256,8352
1,0,76,80,8256,8352
2,0,53,80,8448,8832
2,0,56,80,8448,8832
2,0,58,80,8448,8832
2,0,62,80,8448,8832
2,0,56,80,8832,10608
2,0,58,80,8832,10608
2,0,61,80,8832,10608
2,0,64,80,8832,10608
1,0,72,80,8832,9024
1,0,67,80,9024,9408
2,0,33,80,9216,9552
1,0,70,80,9408,9600
1,0,73,80,9600,9776
1,0,67,80,9792,9888
1,0,70,80,9792,9888
2,0,33,80,9984,10320
1,0,70,80,9984,10080
1,0,73,80,9984,10080
1,0,73,80,10176,10272
1,0,76,80,10176,10272
1,0,76,80,10368,10464
1,0,79,80,10368,10464
1,0,79,80,10560,10656
1,0,82,80,10560,10656
2,0,33,80,10752,11760
2,0,45,80,10752,11760
2,0,53,80,10752,11904
2,0,57,80,10752,11904
2,0,61,80,10752,11904
2,0,65,80,10752,11904
1,0,73,80,11136,11328
1,0,77,80,11136,11808
1,0,85,80,11136,11328
1,0,75,80,11328,11520
1,0,87,80,11328,11520
1,0,75,80,11520,12096
1,0,87,80,11520,12096
2,0,54,80,11904,12288
2,0,57,80,11904,12288
2,0,61,80,11904,12288
2,0,66,80,11904,12288
1,0,78,80,11904,12240
1,0,73,80,12096,12288
1,0,85,80,12096,12288
2,0,55,80,12288,12672
2,0,57,80,12288,12672
2,0,61,80,12288,12672
2,0,67,80,12288,12672
1,0,73,80,12288,12480
1,0,79,80,12288,12624
1,0,85,80,12288,12480
1,0,75,80,12480,12672
1,0,87,80,12480,12672
2,0,54,80,12672,13008
2,0,57,80,12672,13008
2,0,61,80,12672,13008
2,0,66,80,12672,13008
1,0,75,80,12672,12864
1,0,78,80,12672,13008
1,0,87,80,12672,12864
1,0,73,80,12864,13040
1,0,85,80,12864,13040
